ProvinciaNaixement,DataNaixement
GRAUS,8
COSTA DE MARFIL,1
RETUERTA DEL BULLAQUE,1
BELLVIS,1
VALOR,2
SENIA (LA),1
GELIDA,2
CORVERA DE ASTURIAS,1
VIC,27
TRAZO,1
MOSTOLES,1
PUEBLA DEL PRINCIPE,59
BEGIJAR,3
BEASAIN,2
TERRIENTE,1
PONT DE VILOMARA I ROCAFORT (EL),3
ALCUDIA DE MONTEAGUD,2
PALMA DE MALLORCA,50
PINO (O),3
MALGRAT DE MAR,2
CARBONERAS DE GUADAZAON,2
SORIA,10
MONTELLA I MARTINET,2
BAÑOS DE LA ENCINA,1
PUEBLA DE GUZMAN,2
OLIVENZA,2
XERESA,1
FRAILES,5
VELEZ-MALAGA,13
ESPINAR (EL),1
AGUILON,1
CARDEÑA,4
ALBALADEJO DEL CUENDE,4
BURGO DE OSMA-CIUDAD DE OSMA,4
CABEZON DE LIEBANA,1
VILLACARRILLO,14
ALFAMBRA,1
PRIEGO DE CORDOBA,15
MONTEDERRAMO,1
CAMPOS DEL RIO,1
CALLOSA DE SEGURA,6
POIO,1
SETENIL DE LAS BODEGAS,1
CASTELLAR,6
GUADALAJARA,9
CARMONA,12
TAILANDIA,1
PEÑARROYA-PUEBLONUEVO,30
MEDINA DE LAS TORRES,3
MATALEBRERAS,1
NAVASFRIAS,1
CUEVAS DEL ALMANZORA,46
MANZANAL DE LOS INFANTES,1
SANTA COLOMA DE GRAMENET,75
NERPIO,3
DIEZMA,2
ALAMEDILLA,4
VIVEL DEL RIO MARTIN,1
MURCIA,130
SANTA ELENA,4
BUBION,2
VIANA,1
HERRIN DE CAMPOS,1
NAVALVILLAR DE PELA,3
CECLAVIN,1
BARRAX,2
VALDETORRES,2
TIVISSA,2
BENICARLO,3
FERRERAS DE ARRIBA,4
AINZON,1
CONDADO DE TREVIÑO,1
UJUE,1
VALLE DE SANTA ANA,3
AIGUAFREDA,1
KENIA,1
PIÑOR,1
VILLARRASA,8
CASTELLFORT,1
ASTILLERO (EL),1
CAPDEPERA,1
SALLENT,14
SANT FELIU DE LLOBREGAT,19
BELCHITE,1
LINARES DE MORA,1
ALCALA DE LOS GAZULES,2
SANT JOAN DE VILATORRADA,4
SANTA COLOMA DE FARNERS,1
VENEZUELA,144
FUENCALIENTE,3
CASTRILLO DE LA REINA,2
SESA,1
CAPILEIRA,16
CASCANTE DEL RIO,1
SORBAS,4
BEDAR,28
TORRIJO DEL CAMPO,1
BARBERA DEL VALLES,2
SALORINO,1
MAELLA,4
CADIZ,37
AGRAMUNT,1
CAMPILLO DE LLERENA,1
DON BENITO,23
PARADAS,3
SANLUCAR LA MAYOR,1
LANCARA,1
BENAMAUREL,5
ALCOLEA,1
ALCAUDETE,38
SEVILLEJA DE LA JARA,3
VILANOVA I LA GELTRU,67
PATERNA DEL MADERA,1
CORTES,2
OLESA DE MONTSERRAT,6
CALACEITE,22
ESTRADA (A),4
ZARRA,2
BULLAS,1
CASTELLO DE LA RIBERA,1
REUS,42
IBROS,2
MORALEDA DE ZAFAYONA,4
FORCALL,1
ALGARINEJO,9
OLIVA,1
NAVALCAN,2
SANTA MARIA DE CAYON,1
VILLAR DEL BUEY,1
CAMPILLOS,1
SANT CARLES DE LA RAPITA,9
SANTIAGO DE ALCANTARA,2
POLLOS,1
SERBIA,9
IRAK,5
MEDINACELI,2
ANDORRA,27
ARENAS DEL REY,4
ALBOX,3
ANTAS,21
FUENTE-ALAMO,3
OGIJARES,1
LAGUNA DE NEGRILLOS,4
CUNIT,7
PINELL DE BRAI (EL),1
ARTAJONA,1
ALDEACENTENERA,1
BORAU,2
PANTON,2
PASARON DE LA VERA,3
VILLAREJO DE ORBIGO,1
HIGUERA DE LLERENA,2
SANT FELIU DE GUIXOLS,1
GATA,3
ACEDERA,1
SEGURA DE LA SIERRA,4
VINAROS,2
MERCA (A),1
SENEGAL,23
SESEÑA,1
PUEBLA DE DON RODRIGO,3
SASTAGO,1
FERRERAS DE ABAJO,2
SANTOYO,2
JODAR,8
BERGA,16
MEMBRILLA,2
BURGO DE EBRO (EL),1
ESTERCUEL,3
SANTA CRUZ DE LA SALCEDA,1
XERMADE,1
BREA DE ARAGON,2
MORCILLO,1
NAJERA,1
ORCERA,3
MONTBLANC,3
ALISEDA,1
PALAU DE PLEGAMANS,2
DOLORES,1
SOPORTUJAR,3
SANTA MARIA DE LOS LLANOS,2
NAVALILLA,1
PEDRAJA DE PORTILLO (LA),1
CASTEJON DEL PUENTE,1
VILLARRUBIA DE LOS OJOS,24
TARADELL,2
MONTEFRIO,8
LUCENA,22
PALACIOS Y VILLAFRANCA (LOS),3
BERGARA,2
ELCHE DE LA SIERRA,3
NOBLEJAS,4
PUEBLA DE CAZALLA (LA),4
VILLAGARCIA DE LA TORRE,2
VERGES,1
CAZALILLA,4
TORA,1
MOTA DEL CUERVO,1
REDONDELA,2
LOSA DEL OBISPO,3
FUENTE VAQUEROS,1
MORAL DE SAYAGO,1
POZOS DE HINOJO,1
MOLINILLO,2
CHIVA,1
GUINEA-BISSAU,1
ALFARO,3
AGUILAR DE LA FRONTERA,19
HUERCAL-OVERA,10
ALMUÑECAR,1
ALCARAZ,2
PALMA DEL RIO,9
PALENCIANA,2
PUENTE DE GENAVE,1
ZORITA DEL MAESTRAZGO,5
VILLANUEVA DE LOS CASTILLEJOS,1
LANGA,5
ARANDA DE MONCAYO,1
MAGAÑA,1
ROSSELL,1
HORNOS,2
ALBURQUERQUE,1
SOLERA DE GABALDON,7
GRANJA DE TORREHERMOSA,13
VILANOVA DE BELLPUIG,1
BERLANGA DE DUERO,1
CARCAIXENT,4
CUMBRES DE SAN BARTOLOME,2
BULGARIA,57
IZNATORAF,4
DURCAL,1
LERIN,4
BOVERA,1
LEGANES,1
ARTEIXO,1
VILLARDONDIEGO,1
GRADEFES,1
FUENTES DE JILOCA,1
MERIDA,23
PUERTOLLANO,16
TOLOSA,1
URUGUAY,208
BESCANO,1
FIGUERES,12
SOBER,1
OLOT,6
PERU,215
CHIRIVEL,2
BENEJAMA,1
PERALES DEL PUERTO,1
JAMILENA,1
POBLA DE MONTORNES (LA),1
CAMPORROBLES,1
AVEINTE,1
CERCEDILLA,1
VILLADIEGO,1
RIODEVA,1
BEGUES,51
ALFORJA,1
SALAS DE BUREBA,1
UNION (LA),14
GRANADILLA DE ABONA,1
TURON,1
BEAS DE SEGURA,33
SADABA,2
VIVEIRO,1
PUERTO DE SANTA MARIA (EL),2
RIBES DE FRESER,1
ESPEJO,5
TERRER,1
TINEO,2
ANGUITA,1
ALCANTERA DE XUQUER,1
SAN BARTOLOME,1
VISO DEL MARQUES,4
TOLEDO,17
ANDOSILLA,1
CARTAGENA,46
PALENCIA,14
SAN NICOLAS DEL PUERTO,7
BOSNIA-HERZEGOVINA,5
SANT ADRIA DE BESOS,5
NIGRAN,1
VILLAFRANCA DE LOS BARROS,1
ITRABO,1
GRANADA DE RIO-TINTO (LA),1
RODA DE ANDALUCIA (LA),2
SALOU,2
SAN RAFAEL DEL RIO,1
SANT CLIMENT DE LLOBREGAT,33
MADRIGALEJO,1
VELEZ-RUBIO,4
POZOBLANCO,2
ESPORLES,2
BAGA,1
MASDENVERGE,1
FULIOLA (LA),1
ALDEANUEVA DE LA VERA,1
VALDALIGA,1
VILLAVIEJA DE YELTES,1
ALCALA LA REAL,41
SAN ESTEBAN DE GORMAZ,2
CALPE/CALP,2
CASAS DE REINA,4
VILA DE CRUCES,1
CAROLINA (LA),5
BENAFIGOS,1
ARABAYONA DE MOGICA,1
BICORP,1
VALLDEMOSA,1
HELLIN,3
POZOHONDO,1
MONACHIL,2
TORROELLA DE MONTGRI,1
POZONDON,1
POZUELO DE ALARCON,1
CANGAS,2
JEREZ DEL MARQUESADO,2
BORJA,2
SAN CLEMENTE,2
CASTELLAR DEL VALLES,2
SANT VICENÇ DELS HORTS,16
SAGUNTO/SAGUNT,10
CEBRONES DEL RIO,1
BRETOCINO,1
TONA,1
TORRALBA DE OROPESA,1
UCRANIA,81
LETUX,1
MONTMELL (EL),2
TABERNO,1
VILLAFRANCA DEL CID,1
VILLANUEVA DE SAN JUAN,1
TORREPEROGIL,4
HERRERA,9
MAZUECOS DE VALDEGINATE,1
VISO (EL),3
ALMAGRO,1
CASAS DE HARO,1
VELEZ DE BENAUDALLA,3
BENIEL,9
PEÑAS DE SAN PEDRO,1
UBEDA,13
RAMIRO,1
MELGAR DE ARRIBA,3
CEUTA,28
SARREAUS,1
CIJUELA,1
SAUCEJO (EL),14
ISLANDIA,22
VILANOVA DE MEIA,1
AGUILAR DE CAMPOO,1
CORRALES (LOS),1
BETXI,1
SOLIVELLA,1
ALHAURIN EL GRANDE,2
SAMPER DE CALANDA,3
BILBAO,34
BALAZOTE,4
SALAR,3
PUIG,1
GELDO,1
VILLALBILLA,1
VALLIRANA,6
LANJARON,5
GIJON,15
TORENO,1
MONTEMOLIN,3
SANT MATEU DE BAGES,1
AGUILAR DEL RIO ALHAMA,8
CORIA,5
FIÑANA,10
CORNAGO,1
CHILLUEVAR,1
CANOVELLES,1
SANTA MARIA DEL INVIERNO,1
VILLAGONZALO,1
RUBIO (EL),5
YUNTA (LA),4
CANADA,8
PASTORIZA (A),3
TORREMAYOR,1
RUEDA DE LA SIERRA,6
AMPUERO,1
SIRUELA,5
SEVA,1
ULLDECONA,1
CARPIO (EL),19
VILLABLINO,5
PONTEVEDRA,11
ALCOLLARIN,1
MIGUEL ESTEBAN,1
MORATALLA,2
YAIZA,1
ARGELIA,58
PAMPANEIRA,7
CASTRILLO DE DUERO,1
MOLINOS,1
OLIANA,1
BALSARENY,2
CIUTADILLA,2
FERIA,1
CARTAJIMA,2
SORT,1
CASTELLFOLLIT DE LA ROCA,1
SAN JAVIER,2
SEVILLA LA NUEVA,1
MONTIJO,9
PALAFRUGELL,4
IRLANDA,11
PORRIÑO (O),1
ALFARAZ DE SAYAGO,1
FUENTE OBEJUNA,5
SANT PERE PESCADOR,1
POBLA LLARGA (LA),1
LEON,47
VILLANUEVA DE CORDOBA,7
TOMIÑO,1
GUADAHORTUNA,5
SANT ANDREU DE LA BARCA,10
ZAHINOS,6
CASAS-IBAÑEZ,1
CORONADA (LA),2
QUESADA,3
CALZADA DE CALATRAVA,4
CABEZA LA VACA,3
PUEBLA DE SANABRIA,1
VILLARES (LOS),3
HUESCA,30
MALAGA,88
ALGEMESI,4
ALZIRA,1
FUENTECEN,2
TRUJILLO,1
CASTELLBISBAL,1
ORDES,1
BREA DE TAJO,1
BUSQUISTAR,1
TORRE DEL CAMPO,29
ARBO,5
CULLAR,9
CORTES DE LA FRONTERA,6
PREIXENS,1
PAPIOL (EL),4
VALDEMANCO DEL ESTERAS,2
MARCHENA,28
ESLOVENIA,3
MOIA,1
SOPEIRA,1
SANTA MARIA DEL MONTE DE CEA,1
SORIHUELA DEL GUADALIMAR,13
RIBEIRA,1
NOVIERCAS,1
MONDOÑEDO,2
ESCUZAR,1
ARMENIA,11
ROCAFORT DE QUERALT,1
HUENEJA,6
NERJA,7
CIMANES DEL TEJAR,1
CAMPONARAYA,1
RIUDOMS,2
MAZALEON,3
GOR,23
VALL D'UIXO (LA),7
OMELLS DE NA GAIA (ELS),1
FUENLABRADA,1
TOMELLOSO,8
DENIA,2
PUENTE DE DOMINGO FLOREZ,2
ALLER,2
CAÑIZARES,1
MAGACELA,1
ALDEASECA,2
OLMEDO,1
PUENTE DEL ARZOBISPO (EL),1
TALAYUELA,1
ALMENAR,1
GADOR,4
CABRANES,1
PEZA (LA),18
ESTELLA/LIZARRA,2
CORDOBA,167
ALBOLOTE,7
SANTA CRUZ DE MOYA,1
BARCABO,1
GOSOL,1
EJIDO (EL),3
NAVIA DE SUARNA,3
MOYA,2
VALDEMECA,1
CASTELLON DE LA PLANA/CASTELLO DE LA PLANA,12
PEROXA (A),1
ROTA,13
ECUADOR,329
CASTELLAR DE LA FRONTERA,2
GINES,2
MOJACAR,11
FILIPINAS,8
HERRERUELA,1
MORELABOR,1
FUENGIROLA,1
BELMEZ,5
BERMEO,1
NEPAL,2
MONTEJO,2
CARDEDEU,3
SENES,1
VALENCIA DE ALCANTARA,2
SACRAMENIA,1
COLOMBIA,419
ALBACETE,29
BENIJOFAR,1
VILLAMOL,1
EL SALVADOR,24
MONTGAT,1
MONTEJAQUE,4
MOCLIN,3
OVIEDO,19
SERRADILLA,1
PRADO DEL REY,7
BORREDA,1
GARAFIA,1
ISLA CRISTINA,9
ESCUCHA,3
CABEZA DEL BUEY,51
SANTOS DE MAIMONA (LOS),1
RIBA-ROJA DE TURIA,1
PEDROLA,1
LUCAINENA DE LAS TORRES,2
VALDERAS,2
COGOLLOS DE GUADIX,9
VENTA DEL MORO,1
CARBALLO,1
FERMOSELLE,3
ENTRIN BAJO,1
MASNOU (EL),2
ZALAMEA DE LA SERENA,3
MEMBRIO,1
CONSUEGRA,3
CHIMENEAS,9
ALCAUCIN,1
ALMADEN DE LA PLATA,6
HORCAJADA (LA),1
MIRANDA DE EBRO,10
MAMOLAR,1
ALORA,5
ROA,5
CABO VERDE,2
SAN AGUSTIN,1
ALDOVER,2
PAULS,2
ALMODOVAR DEL CAMPO,4
CAMBADOS,2
MOAÑA,2
GALDAKAO,1
SANT JOAN DE LES ABADESSES,4
ALCOLEA DEL RIO,8
VILLANUEVA DE LA SERENA,9
GRECIA,10
RIAÑO,1
BERMILLO DE SAYAGO,1
VILLAS DE LA VENTOSA,1
HIJAR,32
ESCATRON,1
PERIANA,2
ESCURIAL,1
AMETLLA DEL VALLES (L'),1
ALCAZAR DE SAN JUAN,10
SANTIAGO DE CALATRAVA,5
MOLLINA,15
CASTRO-URDIALES,4
ALAMILLO,5
MADRIGAL DE LAS ALTAS TORRES,2
CORBERA,1
PALOMARES DEL CAMPO,2
ALDEAQUEMADA,1
PORTILLO,1
REOCIN,2
VILLAQUEJIDA,1
ALBANCHEZ,11
BENIDORM,1
ORIHUELA,20
ZUFRE,1
ALCALA DE LA SELVA,1
EGIPTO,11
TALAVERA DE LA REINA,5
CARATAUNAS,1
LOBIOS,1
ALBUÑAN,3
CALELLA,4
FUENTES DE ANDALUCIA,6
RAIRIZ DE VEIGA,1
CORRALES DE BUELNA (LOS),2
CAMAS,2
ODENA,2
PETIN,3
BELLCAIRE D'URGELL,2
SALVACAÑETE,1
MELIDE,22
AZARA,1
GALLUR,2
ESTADILLA,3
VILLANUEVA DEL CAMPO,2
POLA DE GORDON (LA),2
SERON,5
AJALVIR,1
CASTELLBELL I EL VILAR,3
AMOREBIETA-ETXANO,2
BLANCA,2
ULEA,1
CASTROPODAME,1
MALCOCINADO,3
CASAS DE LAZARO,2
MESAS (LAS),1
PEREÑA DE LA RIBERA,1
DOÑA MENCIA,3
ILLAR,1
MENASALBAS,2
DURANGO,2
RIELLO,4
PALMAS DE GRAN CANARIA (LAS),24
PEÑARANDA DE BRACAMONTE,1
ALBALATE DE LAS NOGUERAS,1
LUQUE,7
HINOJOSA DEL DUQUE,17
TOLOX,2
SOMOLINOS,1
UGIJAR,1
LINEA DE LA CONCEPCION (LA),22
SANTIPONCE,1
ABLA,3
SANTA MARIA DEL BERROCAL,1
TRASIERRA,9
CELANOVA,6
CASAS DEL MONTE,1
LUGROS,2
TUNEZ,5
PRAVIA,2
PIEDRALAVES,1
FERREIRA,5
CALAÑAS,6
VALVERDE DE LEGANES,2
VENCILLON,1
ORIA,2
BENAMARGOSA,1
FREILA,1
HORNACHUELOS,9
BENIZALON,1
VILLALUENGA DE LA VEGA,1
SARIÑENA,1
SANT BOI DE LLOBREGAT,712
BENIFALLET,2
BOIMORTO,5
VILLANOVA,1
MADROÑERA,3
GEORGIA,13
VILLAVICIOSA DE CORDOBA,4
ZAEL,1
ICOD DE LOS VINOS,1
VILLANUEVA DEL ARZOBISPO,7
FRAGA,5
PUEBLA DE DON FADRIQUE,6
URREA DE GAEN,1
VILLAFELICHE,1
CATARROJA,1
BELMONTE DE MIRANDA,1
CHIPRE,3
CORUÑA (A),30
VILLAMEDIANA,1
ARBOÇ (L'),1
LORCA,65
LEIOA,2
TORQUEMADA,1
GARROVILLAS,3
ROQUETAS DE MAR,3
PURCHENA,5
BURGOHONDO,2
NUCIA (LA),1
SAN VICENTE DE LA BARQUERA,2
ABANTO Y CIERVANA/ABANTO ZIERBENA,1
VINEBRE,1
SANTIAGO DE COMPOSTELA,6
BODON (EL),1
BOQUEIXON,1
TORRE DE MIGUEL SESMERO,2
TURCIA,1
IGEA,1
RUS,5
VILLAMANTA,1
SAN JUAN DE LA ENCINILLA,2
URDIALES DEL PARAMO,1
RENTERIA,3
SANT GREGORI,6
CERVANTES,5
ZIMBABWE,2
AUÑON,2
TORREDONJIMENO,55
CASTELLSERA,2
COLOMERA,3
CASTUERA,2
ALMACELLES,1
ALMAZORA/ALMASSORA,1
POBLA DE SEGUR (LA),4
ALBALAT DE LA RIBERA,2
SAN CRISTOBAL DE LA POLANTERA,1
NIJAR,2
ESTADOS UNIDOS DE AMERICA,67
FONSAGRADA (A),1
OJOS NEGROS,1
VALLS,10
SAUCELLE,1
POZUELO DEL PARAMO,3
FINLANDIA,3
POLICAR,1
CASTRO DEL RIO,22
RIBA (LA),1
MAZARRON,10
TORRE-CARDELA,2
ZORITA,1
VILLA DEL RIO,4
SUIZA,47
TARIFA,2
POVEDA DE LA SIERRA,2
PUEBLA DE ALMENARA,1
GUATEMALA,5
ZARZA-CAPILLA,3
IGUALADA,17
TABERNAS,2
BARCO DE VALDEORRAS (O),2
SOTO EN CAMEROS,1
POZUELO DE ZARZON,1
BENAMOCARRA,1
BUJALANCE,11
DEHESAS DE GUADIX,2
PREMIA DE MAR,5
AVINYONET DEL PENEDES,2
ELDA,3
ECIJA,49
CHUMILLAS,1
VILLARES DEL SAZ,1
TORRESCARCELA,3
OUTEIRO DE REI,1
VALDEPOLO,2
OLVERA,25
DOMINGO PEREZ,1
GUADALCANAL,4
GATOVA,5
AGUAS CANDIDAS,1
CAMBRILS,2
ALCUDIA (L'),1
TALAVAN,1
VILADEMULS,1
CORONIL (EL),73
CABRA DEL SANTO CRISTO,5
VILLAGATON,1
CEDILLO,1
FINES,2
CHERCOS,3
JALANCE,3
MEZQUITA (A),1
VILLAMALEA,1
CASTRILLO DEL VAL,1
MONREAL DE ARIZA,1
OSSO DE SIO,1
SOTOBAÑADO Y PRIORATO,1
OTIVAR,1
CHINCHILLA DE MONTE-ARAGON,5
RIBADEO,2
ENCINAS DE ARRIBA,1
COIN,10
VILLANUEVA DEL RIO Y MINAS,22
LALIN,1
FELIX,2
SAX,1
VILLAR DE RENA,1
ZAGRA,1
SORVILAN,4
MARINALEDA,1
VEGA DE PAS,1
VALLE DE MATAMOROS,1
SANTA CRUZ DE TENERIFE,7
SANTA MAGDALENA DE PULPIS,2
SARRAL,2
SANT SADURNI D'ANOIA,8
QUIROGA,3
YATOVA,2
ALMONTE,1
PUIG-REIG,2
CUBA (LA),2
LLADORRE,1
CABANA DE BERGANTIÑOS,1
SALOBREÑA,5
CAMARGO,1
ZARAGOZA,126
YESTE,11
VALDERREDIBLE,1
CABRERA DE MAR,2
ARBECA,4
CORTEGANA,1
LETUR,1
LIBIA,2
VALDEFUENTES,3
ALCUBILLA DE AVELLANEDA,1
ALMENDRO (EL),3
MORADILLO DE ROA,1
CORIPE,10
VILLANUEVA DEL REY,1
RUEDA,1
BARCARROTA,4
PUERTO LUMBRERAS,45
ALCAÑIZ,15
MOLINICOS,3
SERRADILLA DEL ARROYO,2
ALBALA DEL CAUDILLO,3
ORISTA,1
TORVIZCON,2
VALVERDE DE MERIDA,2
ALGECIRAS,29
CORIA DEL RIO,1
ALCALA DE GUADAIRA,1
LAZA,1
ESQUIVIAS,1
MANACOR,2
BIOSCA,1
ZAHARA,3
FARAMONTANOS DE TABARA,1
UTRILLAS,2
MIERES,16
POLONIA,22
TIVENYS,1
TORREBAJA,1
CASPE,54
NARRILLOS DEL ALAMO,3
CARCABUEY,23
ADEMUZ,5
TORRES DE ALBANCHEZ,1
VILLORES,1
TRIGUEROS,5
REQUENA,3
SUBIRATS,4
ALMARZA,2
ARGUISUELAS,1
SIGUENZA,2
CALATAYUD,4
IRUELA (LA),1
SAELICES DE MAYORGA,1
CUEVAS BAJAS,2
SOTO DEL BARCO,1
BARCELONA,12525
PUENTE VIESGO,1
VILLAREJO-PERIESTEBAN,2
CUEVAS DEL CAMPO,2
RUBI,8
ALBOCASSER,2
MONREAL DEL CAMPO,1
PARAMO DEL SIL,1
VEGA DE VALCARCE,5
HABA (LA),2
CRETAS,2
MALAGON,2
ZURGENA,2
OBON,1
VILLASTAR,1
PUERTO DEL ROSARIO,2
MONTIEL,2
ADOBES,1
BOÑAR,1
ALMEGIJAR,3
ROBLA (LA),1
MORALINA,1
NORUEGA,7
BODERA (LA),2
CERVERA,7
AREN,1
CALAHORRA (LA),1
DOS HERMANAS,7
ABRERA,4
TORREMEJIA,1
NAVALCARNERO,1
LES,1
BIENVENIDA,11
PUEYO DE SANTA CRUZ,1
BAILEN,10
REINO UNIDO,95
CHICLANA DE LA FRONTERA,1
BARBATE,7
FUENMAYOR,2
VILLANUEVA DE LAS TORRES,5
BENAHADUX,1
MURTAS,6
HINOJOS,1
PEDRAFITA DO CEBREIRO,3
JUNCOSA,3
NUEVA ZELANDA,1
MAHON,6
MACOTERA,1
GENAVE,7
SANT ANTONI DE VILAMAJOR,2
