NOM,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,icon
Restaurante Bar Can Rodenas,"carrer montflorit, 76, 08850 Gavà",936620348 ,,,Bar - Restaurant,41.30293,2.000549,"(41.30293, 2.000549)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4189,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Quesada,"carrer premià, s/n, 08850 Gavà",936331003 ,administracion@quesadagavamar.com,,Bar - Restaurant,41.2695,2.032934,"(41.2695, 2.032934)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4187,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
La Tapería de Gavà,"carrer salvador lluch, 30, 08850 Gavà",936389292 657814951,lataperiadegava@gmail.com,,Bar - Restaurant,41.30629,2.004525,"(41.30629, 2.004525)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5227,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Sabors,"carrer sant josep oriol, 2, 08850 Gavà",932506214 ,,,Restaurant,41.303566,2.002491,"(41.303566, 2.002491)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3101,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Casa Aragón,"avinguda mas sellarès, 26, 08850 Gavà",936627403 ,,,Restaurant,41.305996,2.00929,"(41.305996, 2.00929)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1787,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Casa Aragón,"avinguda mas sellarès, 26, 08850 Gavà",936627403 ,,,Restaurant,41.305996,2.00929,"(41.305996, 2.00929)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1930,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Restaurante El Rincón de la Tortilla,"carrer artur costa, 51, 08850 Gavà",936625750 ,,,Bar - Restaurant,41.30334,2.006121,"(41.30334, 2.006121)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3768,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Kauai Gava Mar,"carrer calafell, 25-27, 08850 Gavà",936451188 ,eventoskauai@gmail.com,http://kauaigava.com,Bar - Restaurant,41.26635,2.007065,"(41.26635, 2.007065)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1024,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Restaurant Cassandra,"carrer guifré el pelós, 2, 08850 Gavà",936626930 627731962,restcassandra@gmail.com,,Bar - Restaurant,41.307056,1.995755,"(41.307056, 1.995755)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3767,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Major Trentasis,"carrer major, 36, 08850 Gavà",936626652 ,restaurant@major36.com,http://www.major36.com,Restaurant,41.304836,2.005612,"(41.304836, 2.005612)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4182,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Pizzeria Montevideo. Com Gava,"avinguda eramprunyà, 22, 08850 Gavà",936333988 678913694,vanismale@hotmail.com,,Bar - Restaurant,41.309486,1.997562,"(41.309486, 1.997562)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4761,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Rostisseria Els Quatre Plats ,"avinguda joan carles i, 4, 08850 Gavà",936389809 ,anacel63@gmail.com,,Restaurant,41.298878,2.00314,"(41.298878, 2.00314)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2421,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Rostisseria Els Quatre Plats ,"avinguda joan carles i, 4, 08850 Gavà",936389809 ,anacel63@gmail.com,,Restaurant,41.298878,2.00314,"(41.298878, 2.00314)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2322,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Sushi Chef,"avinguda mar, 1, 08850 Gavà",936331500 ,,http://www.sushi-chef.eu,Restaurant,41.281975,2.018639,"(41.281975, 2.018639)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2861,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Capri Pizza,"carrer mare de déu de la mercè, 13, 08850 Gavà",936383132 ,,,Bar - Restaurant,41.30469,2.006833,"(41.30469, 2.006833)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4167,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Top Tapa (Centre Comercial Barnasud),"carrer progrés, 69, 08850 Gavà", ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4243,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Gavà Wok,"carrer progrés, 69, 08850 Gavà",936380110 ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4347,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Pica Tapa (Centre Comercial Barnasud),"carrer progrés, 69, 08850 Gavà",936627105 ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4186,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Oriental,"carrer progrés, 69, 08850 Gavà", ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4185,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Burguer King,"carrer progrés, 69, 08850 Gavà", ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5421,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Líder de Estambul,"carrer progrés, 69, 08850 Gavà", 602160439,,,Bar - Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5445,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
"Rainbow Hana, SL","carrer progrés, 69, 08850 Gavà", ,,,Bar - Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5444,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Patricia Blanca Santellán Núñez,"carrer progrés, 69, 08850 Gavà", ,,,Bar - Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5385,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Plaza,"carrer f. pi i margall, 1, 08850 Gavà",936382114 669695750,barplaza999@telefonica.net,http://www.barplazagava.es,Bar - Restaurant,41.30813,1.997216,"(41.30813, 1.997216)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4687,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Rostisseria Casa Ramon,"carrer indústria, 2, 08850 Gavà",936620013 ,,,Restaurant,41.30606,2.008798,"(41.30606, 2.008798)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4169,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Racó d'en Madu,"carrer joanot martorell, 33, 08850 Gavà",936623904 659049291,,,Restaurant,41.300995,1.999791,"(41.300995, 1.999791)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4188,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Telepizza,"carrer lluís dalmau, 44-46, 08850 Gavà",936383388 ,,http://www.telepizza.es,Bar - Restaurant,41.303215,1.99853,"(41.303215, 1.99853)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4236,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Weizhan,"rambla maria casas, 90, 08850 Gavà", ,,,Restaurant,41.306255,2.006363,"(41.306255, 2.006363)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5405,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Restaurant Lluch Sis,"rambla salvador lluch, 6, 08850 Gavà",936620171 679648658,,,Bar - Restaurant,41.303875,2.009841,"(41.303875, 2.009841)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5039,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
