ID,NOM_EQUIPAMENT,DIRECCIO,DESCRIPCIO,TELEFON,FAX,EMAIL,WEB,LATITUD,LONGITUD,CATEGORIA,LOCALITZACIO,ENLLAÇ DIRECTORI
,,,,,,,,,,,,
58,Llar d'infants Patufet,"Carrer de Salvador Lluch,27-29",,,,,,0,0,Llars d'infants privades,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=791
3,Casal Municipal de la Gent Gran de Can Tintorer,"Carrer de Can Tries,s/n",,93 263 96 44,93 263 96 44,,,41.3107795715332,1.993800044059753,Cívics,"(41.31078, 1.9938)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=461
4,Casal Municipal de la Gent Gran el Centre,"Carrer de Sant Isidre,22",,93 662 53 62,,,,41.30569076538086,2.00383996963501,Gent gran,"(41.30569, 2.00384)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=463
5,Centre de Suport a l'Empresa (CSE),"Carrer del Progrés,27",,93 633 34 50,93 263 96 87,cse@gava.cat,http://www.portaleconomic.gavaciutat.cat/,41.30073165893555,2.013339996337891,Promoció Econòmica,"(41.30073, 2.01334)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=464
24,Casal Cívic i Esportiu de Ca n'Espinós,"Carrer Principal,28-30",,93 662 52 45,,,,41.30564880371094,1.978610038757324,Cívics,"(41.30565, 1.97861)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=466
34,Centre de Serveis Municipals de Gavà Mar,"Carrer dels Tellinaires,55",,93 263 96 70,93 263 91 08,,,41.267250061035156,2.01648998260498,Cívics,"(41.26725, 2.01649)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=467
36,Centre d'Història de la Ciutat de Gavà,"Carrer de Salvador Lluch,22",,93 263 96 30,93 263 96 31,chc@gava.cat,http://www.patrimonigava.cat,41.30595016479492,2.004800081253052,Culturals,"(41.30595, 2.0048)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=468
38,Punt Municipal i Cívic de la Sentiu,"Carretera de la Sentiu,null",,,,,,41.298133850097656,1.974177002906799,Cívics,"(41.298133, 1.974177)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=469
13,Zona Esportiva Diagonal,"Carrer de Sant Pere,118",,93 633 35 40,936333542,,,41.30289840698242,1.996600031852722,Esportius,"(41.3029, 1.9966)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=470
1,Biblioteca Josep Soler Vidal,"Plaça de Jaume Balmes,s/n",,93 263 92 30,93 263 92 31,b.gava.jsv@diba.cat,,41.3035888671875,1.998630046844482,Culturals,"(41.30359, 1.99863)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=471
25,Zona Esportiva de Can Torelló,"Avinguda de Bertran i Güell,null",,93 638 14 68,93 638 90 44,pmesports@gava.cat,,41.29029846191406,2.015000104904175,Esportius,"(41.2903, 2.015)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=472
