TIPUS DE CONTRACTE,LLOC DE TREBALL,NOMBRE EFECTIUS,DESTI,GRUP,SALARI BASE,COMPLEMENT DESTI,COMPLEMENT ESPECIFIC,MENSUAL,PLUS MENSUAL (12 vegades),PLUS MENSUAL (14 vegades),PLUSOS ANUALS,SOU BASE (per calcular extres),PAGUES EXTRES,PRODUCTIVITAT,PAGA EXTRA NADAL,TOTAL RETRIBUCIONS ANUALS,TOTAL RETRIBUCIONS PER EFECTIUS,TIPUS ELECCIÓ
EVENTUAL,Gerent Municipal,1,30,A1,1109.05,968.75,3700,5777.8,,,,684.36,5353.11,5353.11,1385.28,81425.1,81425.1,Resta de personal
EVENTUAL,Director de Serveis a la Persona,1,30,A1,1109.05,968.75,2665.31,4743.11,,,,,4743.11,4743.11,1385.28,67788.82,67788.82,Resta de personal
EVENTUAL,Director de Serveis d'Urbanisme i Planificació Estratègica,1,30,A1,1109.05,968.75,2665.31,4743.11,,,,,4743.11,4743.11,1385.28,67788.82,67788.82,Resta de personal
EVENTUAL,Coordinador de Comerç. Activitat i Salut Pública,1,,,4404.31,,,4404.31,,,,,4404.31,4404.31,1385.28,63045.62,63045.62,Resta de personal
EVENTUAL,Coordinador de l'Oficina de l'Alcaldia,1,,,4404.31,,,4404.31,,,,,4404.31,4404.31,1385.28,63045.62,63045.62,Resta de personal
EVENTUAL,Secretària de l'Alcalde,1,,,2656.25,,,2656.25,,,,622.3,2558.53,2558.53,1385.28,38377.34,38377.34,Resta de personal
EVENTUAL,Assessor Igualtat i Ciutadania,1,,,2313.59,,,2313.59,,,,699.38,2053.99,2053.99,1385.28,33256.34,33256.34,Resta de personal
EVENTUAL,Coordinador de Sostenibilitat i Patrimoni Natural,1,,,2313.59,,,2313.59,,,,699.38,2053.99,2053.99,1385.28,33256.34,33256.34,Resta de personal
FUNCIONARI/A,Secretari General ,1,30,A1,1109.05,968.75,4331.13,6408.93,,,,684.36,5984.24,5984.24,1385.28,90260.92,90260.92,Resta de personal
FUNCIONARI/A,Interventor Municipal ,1,30,A1,1109.05,968.75,4331.13,6408.93,,,,684.36,5984.24,5984.24,1385.28,90260.92,90260.92,Resta de personal
FUNCIONARI/A,Cap departament tresoreria - Tresorer Municipal,1,30,A1,1109.05,968.75,2104.79,4182.59,,,,684.36,3757.9,3757.9,1385.28,59092.14,59092.14,Resta de personal
FUNCIONARI/A,Cap Departament. obres i mobilitat de la ciutat,1,26,A1,1109.05,698.2,1543.02,4556.97,,1206.7,16893.8,,4556.97,4556.97,1385.28,65182.86,65182.86,Resta de personal
FUNCIONARI/A,Cap de la Unitat de Tramitació Urbanística i Concessions,1,26,A1,1109.05,698.2,1952.13,4048.4,289.02,,3468.24,684.36,3334.69,3334.69,1385.28,56635.49,56635.49,Resta de personal
FUNCIONARI/A,Adjunt a la Secretaria General,1,26,A1,1109.05,698.2,2199.86,4007.11,,,,684.36,3582.42,3582.42,1385.28,56635.49,56635.49,Resta de personal
FUNCIONARI/A,Cap de la Unitat Jurídica de Governació. Mobilitat i Manteniment de la Ciutat,1,26,A1,1109.05,698.2,2028.99,3836.24,,,,684.36,3411.55,3411.55,1385.28,54243.25,54243.25,Resta de personal
FUNCIONARI/A,Cap de la Unitat de Gestió Urbanística,1,26,A1,1109.05,698.2,1947.3,3754.55,,,,684.36,3329.86,3329.86,1385.28,53099.62,53099.62,Resta de personal
FUNCIONARI/A,Cap departament d'activitats i disciplina urbanística,1,26,A1,1109.05,698.2,1826.76,3634.01,,,,684.36,3209.32,3209.32,1385.28,51411.99,51411.99,Resta de personal
LABORAL,Cap departament de planificació urbanística i llicències urbanístiques,1,,A1,3565.4,,,3574.47,,,108.84,,3565.4,3565.4,1385.28,51409.72,51409.72,Resta de personal
FUNCIONARI/A,Tècnic/a de Responsabilitat Patrimonial,1,26,A1,1109.05,698.2,1711.48,3518.73,,,,684.36,3094.04,3094.04,1385.28,49798.12,49798.12,Resta de personal
LABORAL,Cap Oficina Local d'Habitatge,1,,A1,3032.6,,,3376.6,344,,4128,,3032.6,3032.6,,46584.4,46584.4,Resta de personal
FUNCIONARI/A,Cap del departament tecnologies de la informació i comunicació,1,24,A1,1109.05,582.92,1643.34,3335.31,,,,684.36,2910.62,2910.62,1385.28,47230.24,47230.24,Resta de personal
FUNCIONARI/A,Cap de Serveis Generals,1,24,A1,1109.05,582.92,1618.49,3310.46,,,,684.36,2885.77,2885.77,1385.28,46882.29,46882.29,Resta de personal
FUNCIONARI/A,Cap departament administratiu de serveis a la persona,1,,A1,1109.05,582.92,1587.66,3279.63,,,,684.36,2855.09,2855.09,1385.28,46451.02,46451.02,Resta de personal
LABORAL,Coordinador/a mitjans comunicació local,1,,A1,2183.83,,,3386.03,1202.2,,14426.4,,2183.83,2183.83,1385.28,46385.3,46385.3,Resta de personal
FUNCIONARI/A,Tècnic/a de Protecció Civil ,1,24,A1,1109.05,582.92,1244.44,2936.41,,,,684.36,2511.72,2511.72,1385.28,41645.66,41645.66,Resta de personal
FUNCIONARI/A,Cap d'Unitat de Sostenibilitat i Patrimoni natural,1,24,A1,1109.05,582.92,1244.44,2936.41,,,,684.36,2511.72,2511.72,1385.28,41645.66,41645.66,Resta de personal
FUNCIONARI/A,Cap de l'Oficina Municipal de Seguiment de l'Aeroport,1,24,A1,1109.05,582.92,1244.44,2936.41,,,,684.36,2511.72,2511.72,1385.28,41645.66,41645.66,Resta de personal
LABORAL,Cap de la Unitat d'Actuació urbanística,1,,A1,2951.47,,,2951.47,,,,684.36,2349.16,2349.16,1385.28,41501.24,41501.24,Resta de personal
LABORAL,Cap de patrimoni - Directora tècnica,1,,A1,2502.29,,419.24,2921.53,,,,684.36,2077.6,2077.6,1385.28,40598.84,40598.84,Resta de personal
LABORAL,Director/a tècnica de comerç i fires,1,,A1,2871.81,,,2871.81,,,,684.36,2309.34,2309.34,1385.28,40465.68,40465.68,Resta de personal
FUNCIONARI/A,Arquitecte I,2,24,A1,1109.05,582.92,1126.38,2818.35,,,,684.36,2393.66,2393.66,1385.28,39992.84,79985.68,Resta de personal
