TIPUS DE CONTRACTE,LLOC DE TREBALL,NOMBRE EFECTIUS,MENSUAL,TOTAL RETRIBUCIONS ANUALS,TOTAL RETRIBUCIONS PER EFECTIUS,TIPUS ELECCIÓ
Dedicació exclusiva i parcial,Alcaldessa,1,4892.86,68500.04,68500.04,Càrrec electe
Dedicació exclusiva i parcial,Tinent/a d'alcalde de Presidència. Serveis Generals i Promoció Econòmica,1,4458.52,62419.28,62419.28,Càrrec electe
Dedicació exclusiva i parcial,Tinent/a d'alcalde d'Igualtat i Ciutadania,1,4458.52,62419.28,62419.28,Càrrec electe
Dedicació exclusiva i parcial,Tinent/a d'alcalde de Governació. Vía Pública. Urbanisme. Medi Ambient i Sostenibilitat.,1,4458.52,62419.28,62419.28,Càrrec electe
Dedicació exclusiva i parcial,Regidor/a de Sostenibilitat i Patrimoni Natural,1,3740.28,52363.92,52363.92,Càrrec electe
Dedicació exclusiva i parcial,Regidor/a delegat/ada ,1,1880,26320,26320,Càrrec electe
Dedicació exclusiva i parcial,Regidor/a portaveu d'ERC,1,1584.51,22183.14,22183.14,Càrrec electe
Dedicació exclusiva i parcial,Regidor/a portaveu de C's,1,1584.51,22183.14,22183.14,Càrrec electe
Dedicació en règim d'assistències,Tinent/a d'alcalde,1,2375,28275,28275,Càrrec electe
Dedicació en règim d'assistències,Regidor/a portaveu grup de CiU,1,1837.05,22188.19,22188.19,Càrrec electe
Dedicació en règim d'assistències,Regidor/a portaveu grup de PPC,1,1837.05,22188.19,22188.19,Càrrec electe
Dedicació en règim d'assistències,Regidor/a delegat/ada,4,1435.96,17578.14,70312.56,Càrrec electe
Dedicació en règim d'assistències,Regidor/a portaveu adjunt/a grup de PPC,1,1119.06,13795.14,13795.14,Càrrec electe
Dedicació en règim d'assistències,Regidor/a portaveu adjunt/a grup de ERC,1,1119.06,13795.14,13795.14,Càrrec electe
Dedicació en règim d'assistències,Regidor/a portaveu adjunt/a grup de CiU,1,1119.06,12250.22,12250.22,Càrrec electe
Dedicació en règim d'assistències,Regidor/a grup de PPC,2,1000.22,12250.22,24500.44,Càrrec electe
Dedicació en règim d'assistències,Regidor/a grup de CiU,1,1000.22,12250.22,12250.22,Càrrec electe
