TIPUS DE MOVIMENT ALTA,MES,NOMBRE
Alta de residencia,ENERO     ,197
Alta de residencia,FEBRERO   ,192
Alta de residencia,MARZO     ,254
Alta de residencia,ABRIL     ,157
Alta de residencia,MAYO      ,254
Alta de residencia,JUNIO     ,184
Alta de residencia,JULIO     ,218
Alta de residencia,AGOSTO    ,212
Alta de residencia,SEPTIEMBRE,255
Alta de residencia,OCTUBRE   ,284
Alta de residencia,NOVIEMBRE ,234
Alta de residencia,DICIEMBRE ,169
Alta per naixement,ENERO     ,27
Alta per naixement,FEBRERO   ,28
Alta per naixement,MARZO     ,39
Alta per naixement,ABRIL     ,27
Alta per naixement,MAYO      ,34
Alta per naixement,JUNIO     ,38
Alta per naixement,JULIO     ,30
Alta per naixement,AGOSTO    ,35
Alta per naixement,SEPTIEMBRE,37
Alta per naixement,OCTUBRE   ,23
Alta per naixement,NOVIEMBRE ,38
Alta per naixement,DICIEMBRE ,38
Alta per omissio,ENERO     ,8
Alta per omissio,FEBRERO   ,20
Alta per omissio,MARZO     ,9
Alta per omissio,ABRIL     ,14
Alta per omissio,MAYO      ,7
Alta per omissio,JUNIO     ,15
Alta per omissio,JULIO     ,12
Alta per omissio,AGOSTO    ,11
Alta per omissio,SEPTIEMBRE,12
Alta per omissio,OCTUBRE   ,14
Alta per omissio,NOVIEMBRE ,15
Alta per omissio,DICIEMBRE ,8
