DATA RECEPCIO,DESCRIPCIO OPERACIO,IMPORT,NOM PARTIDA,CODI ECONOMIC,ECONOMIC,CODI FUNCIONAL,FUNCIONAL,CODI ORGANIC,ORGANIC
16/01/2017,abonoLOTE ESP. AJUNTAMENT GAVA   ,-260.7,Retribucions en espècie laborals,132.00.0016,Retribucions en espècie,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans
16/01/2017,abonoLOTE ESP. AJUNTAMENT GAVA   ,-34.2,Retribucions en espècie laborals,132.00.0016,Retribucions en espècie,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans
16/01/2017,abonoLOTE ESP. AJUNTAMENT GAVA   ,-218.96,Retribucions en espècie laborals,132.00.0016,Retribucions en espècie,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans
13/02/2017,"ABONO CONSUM GAS PS ERAMPRUNYA,44 CUPS ES0217010083076785ABAPLICAT A FE17321223675843 ",-503.83,Gas - Edificis Col·legis,221.02.0017,Gas,3230A,Funcionament centres docents d'Educació,3.6.0.16,Serveis Municipals
27/02/2017,INFORMACIO REGISTRAL GENER'17   ,10.91,Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria
02/03/2017,ABONO R 711000024 FECHA 08/02/2017   ,-11.51,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
03/03/2017,ABONO conceptos( 1 Sep. 16 - 31 Dic. 16 ) REG. CONCURSDE COMUNICACIONS LOT.VEU_APLICAT A FRA 90D0UT070007,-6772.95,Telefonia fixa,222.00.0015,Serveis de Telecomunicacions,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/03/2017,Liquidacion Km vehiculo matricula 2719HPC SEAT ALTEA XL DIESEL 5P 1.6TDI CR STYLE SS E-ECO 105CV,-1332.52,Inv. nova vehicles - Policia,624.00.0017,Elements de Transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
15/03/2017,INSCRIPCIONS A L'EXAMENT DELPET PB- NIVEL B-1PAGAMENT A JUSTIFICAR ,1034,Estudis i treballs tècnics Formació ocupac,227.06.0116,Estudis i treballs tècnics,2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica
17/03/2017,CLUB DE LECTURA FÀCIL BIBLIOTECA JOSEP SOLER VIDAL DE GAVÀ.14/03/2017_COMPENSA FRA Nº 1 ABONO Nº1-A ,98,Biblioteca SV,226.09.0317,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
21/03/2017,EXPOSICIÓ D'ACNUR DE SENSIBILITZACIÓ ENVERS LES PERSONES REFUGIADES - 2016 *memorandum* ,266,Sensibilització - Estacions solidàries,227.06.0017,Estudis i treballs tècnics,2319A,Cooperació,1.9.0.16,Joventut i Cooperació
31/03/2017,ABONO CLUB  LECTURA FÀCIL BJSV14/03/17 - COMPENSA FRA Nº 1 DE 02/02/2017 PER DUPLICITAT ,-98,Biblioteca SV,226.09.0317,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
06/04/2017,ABONO FRA AGRUP 3046010 ANUL factura P1M701N0065566 NO APLICAT ed socials ,-1364.19,"Electricitat - Edificis Socials (Casals, Museus,et",221.00.0017,Energia Elèctrica,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals
06/04/2017,ABONO FRA AGRUP 3046010 ANUL. facturaP1M708N0002802 NO APLICAR ed socials ,-1217.85,"Electricitat - Edificis Socials (Casals, Museus,et",221.00.0017,Energia Elèctrica,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals
06/04/2017,ABONO FRA AGRUP 3046010 ANUL FRA P1M701N0144486 NO APLICAT ed socials ,-236.42,"Electricitat - Edificis Socials (Casals, Museus,et",221.00.0017,Energia Elèctrica,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals
06/04/2017,ABONO AGRUP 2991145 ANUL FRAP1M601N1949141 NO APLICADAed socials ,-151.35,"Electricitat - Edificis Socials (Casals, Museus,et",221.00.0017,Energia Elèctrica,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals
