CODI_DIVISIO_TERRITORIAL;CODI_PAIS_PROCEDENCIA;PAIS_PROCEDENCIA;CODI_PROVINCIA_PROCEDENCIA;PROVINCIA_PROCEDENCIA;NRE_HOMES;NRE_DONES
D-01;102;AUSTRIA                  ;;;0;1
D-01;108;ESPAÑA;02;ALBACETE;2;1
D-01;108;ESPAÑA;03;ALICANTE;4;0
D-01;108;ESPAÑA;04;ALMERIA;1;1
D-01;108;ESPAÑA;07;BALEARES;6;1
D-01;108;ESPAÑA;08;BARCELONA;313;299
D-01;108;ESPAÑA;11;CADIZ;3;1
D-01;108;ESPAÑA;12;CASTELLON;0;2
D-01;108;ESPAÑA;14;CORDOBA;0;1
D-01;108;ESPAÑA;16;CUENCA;0;1
D-01;108;ESPAÑA;17;GIRONA;6;7
D-01;108;ESPAÑA;18;GRANADA;3;3
D-01;108;ESPAÑA;19;GUADALAJARA;0;1
D-01;108;ESPAÑA;21;HUELVA;1;1
D-01;108;ESPAÑA;22;HUESCA;1;0
D-01;108;ESPAÑA;23;JAEN;4;1
D-01;108;ESPAÑA;24;LEON;4;1
D-01;108;ESPAÑA;25;LLEIDA;3;10
D-01;108;ESPAÑA;26;LA RIOJA;0;2
D-01;108;ESPAÑA;28;MADRID;7;9
D-01;108;ESPAÑA;29;MALAGA;3;4
D-01;108;ESPAÑA;30;MURCIA;0;1
D-01;108;ESPAÑA;31;NAVARRA;1;2
D-01;108;ESPAÑA;32;ORENSE;1;4
D-01;108;ESPAÑA;33;ASTURIAS;1;4
D-01;108;ESPAÑA;34;PALENCIA;0;1
D-01;108;ESPAÑA;39;CANTABRIA;2;0
D-01;108;ESPAÑA;43;TARRAGONA;13;12
D-01;108;ESPAÑA;44;TERUEL;1;0
D-01;108;ESPAÑA;46;VALENCIA;10;5
D-01;108;ESPAÑA;47;VALLADOLID;0;4
D-01;108;ESPAÑA;50;ZARAGOZA;4;3
D-01;109;FINLANDIA                ;;;0;1
D-01;115;ITALIA                   ;;;10;5
D-01;120;NORUEGA                  ;;;1;0
D-01;121;PAISES BAJOS;;;2;0
D-01;122;POLONIA                  ;;;0;2
D-01;123;PORTUGAL                 ;;;2;2
D-01;124;ANDORRA;;;0;1
D-01;125;REINO UNIDO;;;3;4
D-01;126;ALEMANIA;;;1;2
D-01;128;RUMANIA;;;0;1
D-01;131;SUECIA                   ;;;1;0
D-01;132;SUIZA;;;1;1
D-01;135;UCRANIA;;;1;2
D-01;137;MOLDOVA;;;0;3
D-01;139;GEORGIA;;;0;1
D-01;142;LITUANIA;;;1;0
D-01;154;RUSIA;;;1;1
D-01;217;GHANA                    ;;;1;0
D-01;220;GUINEA ECUATORIAL        ;;;0;1
D-01;228;MARRUECOS;;;5;6
D-01;302;ESTADOS UNIDOS;;;1;0
D-01;303;MÉJICO;;;1;0
D-01;314;COSTA RICA               ;;;1;0
D-01;315;CUBA                     ;;;1;2
D-01;317;EL SALVADOR              ;;;3;4
D-01;321;HONDURAS;;;2;4
D-01;323;NICARAGUA                ;;;0;1
D-01;326;REP. DOMINICANA;;;0;2
D-01;340;ARGENTINA                ;;;4;1
D-01;341;BOLIVIA                  ;;;6;2
D-01;342;BRASIL                   ;;;2;5
D-01;343;COLOMBIA                 ;;;4;11
D-01;344;CHILE;;;2;2
D-01;345;ECUADOR;;;11;9
D-01;347;PARAGUAY;;;0;1
D-01;348;PERÚ;;;1;6
D-01;351;VENEZUELA;;;1;3
D-01;407;CHINA;;;16;4
D-01;410;INDIA                    ;;;3;3
D-01;424;NEPAL                    ;;;2;0
D-01;426;PAKISTÁN;;;4;1
D-02;108;ESPAÑA;03;ALICANTE;0;1
D-02;108;ESPAÑA;07;BALEARES;1;2
D-02;108;ESPAÑA;08;BARCELONA;105;102
D-02;108;ESPAÑA;11;CADIZ;1;0
D-02;108;ESPAÑA;14;CORDOBA;1;0
D-02;108;ESPAÑA;17;GIRONA;2;1
D-02;108;ESPAÑA;18;GRANADA;1;0
D-02;108;ESPAÑA;21;HUELVA;1;0
D-02;108;ESPAÑA;23;JAEN;1;0
D-02;108;ESPAÑA;25;LLEIDA;2;2
D-02;108;ESPAÑA;28;MADRID;1;2
D-02;108;ESPAÑA;32;ORENSE;0;1
D-02;108;ESPAÑA;33;ASTURIAS;2;0
D-02;108;ESPAÑA;35;LAS PALMAS;1;0
D-02;108;ESPAÑA;37;SALAMANCA;1;1
D-02;108;ESPAÑA;41;SEVILLA;2;0
D-02;108;ESPAÑA;43;TARRAGONA;4;6
D-02;108;ESPAÑA;45;TOLEDO;1;0
D-02;108;ESPAÑA;52;MELILLA;1;1
D-02;109;FINLANDIA                ;;;0;1
D-02;115;ITALIA                   ;;;1;0
D-02;125;REINO UNIDO;;;0;1
D-02;131;SUECIA                   ;;;3;3
D-02;139;GEORGIA;;;2;0
D-02;208;CAMERUN                  ;;;1;0
D-02;321;HONDURAS;;;0;2
D-02;326;REP. DOMINICANA;;;2;0
D-02;342;BRASIL                   ;;;2;0
D-02;345;ECUADOR;;;3;1
D-02;348;PERÚ;;;2;0
D-02;351;VENEZUELA;;;1;3
D-02;407;CHINA;;;0;1
D-02;426;PAKISTÁN;;;1;0
D-03;108;ESPAÑA;03;ALICANTE;0;1
D-03;108;ESPAÑA;06;BADAJOZ;1;1
D-03;108;ESPAÑA;07;BALEARES;5;2
D-03;108;ESPAÑA;08;BARCELONA;261;251
D-03;108;ESPAÑA;11;CADIZ;1;1
D-03;108;ESPAÑA;12;CASTELLON;3;0
D-03;108;ESPAÑA;13;CIUDAD REAL;1;0
D-03;108;ESPAÑA;14;CORDOBA;2;1
D-03;108;ESPAÑA;17;GIRONA;5;2
D-03;108;ESPAÑA;18;GRANADA;2;1
D-03;108;ESPAÑA;19;GUADALAJARA;1;0
D-03;108;ESPAÑA;20;GUIPUZCOA;0;1
D-03;108;ESPAÑA;22;HUESCA;1;1
D-03;108;ESPAÑA;23;JAEN;2;0
D-03;108;ESPAÑA;24;LEON;0;1
D-03;108;ESPAÑA;25;LLEIDA;8;4
D-03;108;ESPAÑA;27;LUGO;0;1
D-03;108;ESPAÑA;28;MADRID;2;3
D-03;108;ESPAÑA;29;MALAGA;1;1
D-03;108;ESPAÑA;31;NAVARRA;0;1
