ID;ENTITAT;SECTORSEMANTIC1;SECTORSEMANTIC2;SECTORSEMANTIC3;SIGLA;CODI_CARRER;CARRER;NRO;BIS;ESCALA;PIS;PORTA;CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA;CODI_DIVISIO_TERRITORIAL;CODI_POSTAL;AMBIT;ANY_CONSTITUCIO;TELEFON;MAIL;WEB;UTMX;UTMY;LATITUD;LONGITUD;ADREÇA_COMPLETA
2;CENTRO ANDALUZ BLAS INFANTE DE CORNELLÀ;Culturals;;;;;;;;;;;D-07;B-07;08940;Indefinit;1984;933753853;blasinfante.cornella@hotmail.com;;;;;;GERDERA, S/N. Centre Civic Sant Ildefons
3;CLUB D AMICS DEL FERROCARRIL-CORNELLÀ;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1978;933772575;trenscornella@cafc.e.telefonica.net;;;;;;AMADEU VIVES, S/N (Antiga Estacio FF.CC Riera)
4;AS. JUBILATS I PENS. FONTSANTA-FATJÓ;Gent gran;;;;;;;;;;;D-04;B-04;08940;Indefinit;1987;934741442;ajpfontsanta@live.com;;;;;;C.GANDESA 6
5;CLUB ESPORTIU CORNELLÀ;Esportives;;;;;;;;;;;D-05;B-06;08940;Indefinit;1968;936851764;pebol62@hotmail.com;www.c.e.cornella.net;;;;;AV LINEA ELECTRICA 1-7
6;CLUB NATACIO CORNELLA;Esportives;;;;;;;;;;;D-05;B-06;08940;Indefinit;1983;934742937;juntadirectiva@cncornella.cat;cncornella.cat;;;;;BONAVISTA, 70 Piscina Can Millars
7;ASSOCIACIÓ MIJAC ELS ESQUIROLS;Juvenils;;;;;;;;;;;D-03;B-03;08940;Indefinit;1979;;mariano_bayon@hotmail.com;;;;;;PGE. DOLORS ALMEDA, S/N Parroquia Sant Jaume
9;ASSOCIACIÓ DE MARES I PARES D ALUMNES DE L´ESCOLA L ARENY;Educació i formació;;;;;;;;;;;D-02;B-02;08940;Indefinit;1987;933776157;ampaslareny@hotmail.com  ;https://ampaareny.wordpress.com/;;;;;SANT LLUIS, S/N Col·legi L Areny
10;ASOCIACIÓN DE VECINOS LA MIRANDA DE CORNELLÁ;Veïnals;;;;;;;;;;;D-05;B-06;08940;Indefinit;1978;646244652;av-lamiranda@hotmail.com;;;;;;EMPORDÀ, S/N
14;CE.CULT. R. EXTREMEÑO LA SEGARRA DE C.;Culturals;;;;;;;;;;;D-07;B-07;08940;Indefinit;1987;933762640;info@ccrelasegarradecornella.com;ccrelasegarradecornella.com;;;;;SEGARRA, S/N .
15;AMICS DE LA SARDANA DE CORNELLA;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1979;933774369;sayolvallhonrat@arrakis.es;;;;;;RUBIO I ORS, 232 BAIXOS
16;PEÑA BARCELONISTA FONTSANTA-FATJO;Esportives;;;;;;;;;;;D-01;B-04;08940;Indefinit;1986;933770981;penyabarcelonistafontsanta@gmail.com;;;;;;PLAÇA FONTSANTA Nº 10. BAIXOS.
19;ASSOCIACIO DE MARES I PARES D ALUMNES DEL CEIP SURIS;Educació i formació;;;;;;;;;;;D-04;B-04;08940;Indefinit;1983;933777457;ampasuris12@gmail.com;ampasuris.blogspot.com.es;;;;;TERRA ALTA, S/N 
20;CLUB BASKET ALMEDA;Esportives;;;;;;;;;;;D-03;B-03;08940;Indefinit;1971;933775577;info@basketalmeda.com;www.basketalmeda.com;;;;;SANT FERRAN, 45, BIS Pavelló Almeda
22;FRATERNITAT CRISTIANA DE MALALTS I MINUSVALITS;Suport social;;;;;;;;;;;D-02;B-05;08940;Indefinit;1962;934713344;ana.fer.ru@hotmail.com;;;;;;Feliu i Codina, 4
23;PATRONAT CULTURAL I RECREATIU;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1910;933770229;info@pcr.cat;www.pcr.cat;;;;;MOSSÈN JACINT VERDAGUER NÚM. 52 (Patronat Cultural i Recreatiu)
24;ASOCIACION ORNITOLOGICA  LA CADERNERA  DE CORNELLÀ;Culturals;;;;;;;;;;;D-05;B-06;08940;Indefinit;1964;933761743;lacaderneradecornella@hotmail.com;;;;;;EMPORDÀ, S/N. (Local AA.VV. Miranda)
25;ASOC. CULT. GALEGA ROSALIA DE CASTRO;Culturals;;;;;;;;;;;D-02;B-06;08940;Indefinit;1980;933751103;acgrosaliadecastro@gmail.com;;;;;;FEDERICO SOLER, 71
26;ASSOCIACIÓ ESPORTIVA JUVENTUD RIERA CORNELLÀ;Esportives;;;;;;;;;;;D-02;B-02;08940;Indefinit;1982;;aejrieracornella@gmail.com;www.aejrieracornella.com;;;;;FRANCESC  MORAGUES, 3-9 Pavelló Riera
28;ASSOCIACIÓ DE VEÏNS FONTSANTA DEL BARRI FATJÓ DE CORNELLÀ DE LLOBREGAT;Veïnals;;;;;;;;;;;D-04;B-04;08940;Indefinit;1978;934741975;aavvff@hotmail.es;;;;;;PLZ. GANDESA, 1 BAIXOS.
29;ASSOCIACIÓ VEÏNAL DE SANT ILDEFONS.;Veïnals;;;;;;;;;;;D-04;B-07;08940;Indefinit;1965;934711441;avvsanildefonso@hotmail.com;www.santildefons.com;;;;;PJE.FEDERICO G.LORCA, S/N Darrera Col·legi Sant Ildefons
30;CD FONTSANTA;Esportives;;;;;;;;;;;D-04;B-04;08940;Indefinit;1982;934751145;cdfontsantafatjo@gmail.com;www.cdfontsantafatjo.org;;;;;CTRA. SANT JOAN DESPI, S/N Estadi de Futbol Fontsanta
32;CORNELLA ATLETIC;Esportives;;;;;;;;;;;D-02;B-02;08940;Indefinit;1965;934753524;cornellaatletic@hotmail.com;www.cornellaatletic.es;;;;;C/ DEL RUGBY S/N .CANTONADA AV. DEL BAIX LLOBREGAT, S/N (Nou Estadi Municipal)
33;PEÑA ATLETICO MINAS DE CORNELLA;Culturals;;;;;;;;;;;D-05;B-06;08940;Indefinit;1984;933755055;atleticominas1984@gmail.com;;;;;;BONAVISTA, NÚM. 4 - 6 BAIXOS
34;FUNDACIÓ UTOPIA JOAN N. GARCÍA-NIETO, ESTUDIS SOCIALS DEL BAIX LLOBREGAT;Culturals;;;;;;;;;;;D-03;B-01;08940;Indefinit;1990;934745135;utopia@aj-cornella.cat;www.fundacioutopia.org;;;;;MDEZ. PELAYO, S/N. Castell de Cornellà.
36;RUGBY CLUB CORNELLÀ;Esportives;;;;;;;;;;;D-02;B-01;08940;Indefinit;1931;660491756;administracio@rugbyclubcornella.cat;www.rugbyclubcornella.com;;;;;C/ RUGBY S/N
37;CORAL NOVA DE CORNELLA;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1986;933778703;;;;;;;MOSSÈN JAUME RAFANELL S/N
40;ASSOCIACIO CORNELLÀ PER LES DONES-1994;Gènere;;;;;;;;;;;D-07;B-07;08940;Indefinit;1995;933756329;cornellaperlesdones@gmail.com;;;;;;GERDERA S/N ( CENTRE CÍVIC SANT ILDEFONS )
41;ASSOCIACIÓ PENYA MADRIDISTA FONTSANTA;Esportives;;;;;;;;;;;D-04;B-04;08940;Indefinit;1983;933779946;pmfontsanta@teleline.es;;;;;;PLAÇA FONTSANTA 10 BXOS
42;ASSOCIACIÓ DE PARES D ALUMNES COL.LEGI SAGRADA FAMÍLIA;Educació i formació;;;;;;;;;;;D-02;B-01;08940;Indefinit;1975;605548488;ampa.safa.cornella@gmail.com;sfamilia@planalfa.es;;;;;DR. CARULLA, 23 (Col·legi Sagrada Familia)
43;ASSOCIACIÓ DE MARES I PARES D´ALUMNES ESCOLA ELS PINS;Educació i formació;;;;;;;;;;;D-02;B-01;08940;Indefinit;1986;934742592;ampapinscornella@gmail.com;www.ampaelpinscornella.org;;;;;PIUS XIIè, S/N. Col·legi Els Pins
44;ASSOCIACIÓ DE MARES I PARES D´ALUMNES DE L´ESCOLA ANTONI GAUDÍ;Educació i formació;;;;;;;;;;;D-03;B-06;08940;Indefinit;1978;933774348;ampagaudicornella@gmail.com;http:\\ampagaudicornella.blogspot.com;;;;;Av.del Parc Can Mercader, 6
45;P.CULT. AND. Y FLAMENCO RECREATIVA LOS AFICIONAOS;Culturals;;;;;;;;;;;D-04;B-05;08940;Indefinit;1979;934710166;losaficionaos@hotmail.com;;;;;;SEVILLA, S/N Junto Pavelló Can Carbonell
46;HERMANDAD DE NUESTRA SEÑORA DEL ROCÍO DE CORNELLÁ DE LLOBREGAT;Culturals;;;;;;;;;;;D-04;B-05;08940;Indefinit;1981;934711466;secretaria@hermandadrociocornella.com;;;;;;JOSEP MASGRAU, 61, Baixos. D.
47;GRUP D ESPLAI VOL I VOL DE CORNELLÀ DE LLOBREGAT;Juvenils;;;;;;;;;;;D-02;B-01;08940;Indefinit;1987;933779766;esplaivolivol@gmail.com;www.esplaivolivol.org;;;;;PL. LLUIS COMPANYS, S/N. Mercat Centre 3ª Planta
48;UNIÓ EXCURSIONISTA DE CATALUNYA DE CORNELLA;Esportives;;;;;;;;;;;D-02;B-01;08940;Indefinit;1947;933773203;ueccornella@gmail.com;u-e-c-c.blogspot.com;;;;;EDIFICI PRECSA. 4º PLANTA.PARC DE CAN MERCADER. CTRA DE L´HOSPITALET S/N
49;ASSOC. DE PARES I.E.S. ESTEVE TERRADES;Educació i formació;;;;;;;;;;;D-03;B-06;08940;Indefinit;1976;933776854;ampa@iesesteveterradas.cat;;;;;;BONAVISTA, 70 I.E.S. Esteve Terrades
50;ELS DIABLES DE CORNELLA;Culturals;;;;;;;;;;;D-05;B-06;08940;Indefinit;1988;933772551;smontell@telefonica.net;;;;;;MIRANDA, 11-13, 2º 4ª
52;CORNELLART, TRAÇOS, ARTS PLASTIQUES, DIFUSIO;Culturals;;;;;;;;;;;D-07;B-07;08940;Indefinit;1986;933753853;mpila2020@yahoo.es;;;;;;GERDERA, S/N. Centre Cívic Sant Ildefons
53;ASOC. ANDALUZA HIJOS DE ALMÁCHAR;Culturals;;;;;;;;;;;D-05;B-06;08940;Indefinit;1978;933751254;asocalmachar@gmail.com;;;;;;FLORIDA, NÚM. 38, BAIXOS
54;CLUB DE VOLEIBOL DE CORNELLA;Esportives;;;;;;;;;;;D-06;B-07;08940;Indefinit;1984;629709528;spalbiac@yahoo.es;;;;;;AV. SANT ILDEFONS, 20, 14º 5ª
55;FAVCO - FEDERACIÓN DE ASOCIACIONES DE VECINOS DE CORNELLÁ;Veïnals;;;;;;;;;;;D-05;B-06;08940;Indefinit;1987;933765903;favcoo@hotmail.com;;;;;;HERMENEGILDO GOULA, NÚM. 3 - 5 BAIXOS. (Local AA.VV Gavarra)
56;CENTRE INFANTIL I JUVENIL MOWGLI;Juvenils;;;;;;;;;;;D-03;B-05;08940;Indefinit;1971;933770695;cijmowgli@fundesplai.org;;;;;;PLÇ. JOSEP TARRADELLAS, S/N
57;ASSOCIACIÓ DE VEÏNS DEL BARRI PADRÓ ;Veïnals;;;;;;;;;;;D-04;B-05;08940;Indefinit;1975;934710490;aavvpadro@gmail.com;;;;;;DOMENECH I MUNTANER, 25, LOCALS 1-4
58;C. D. ALMEDA;Esportives;;;;;;;;;;;D-03;B-03;08940;Indefinit;1970;935971445;cdalmedaef@gmail.com;;;;;;SILICI, S/N Camp de Fútbol d Almeda
59;CLUB BASQUETBOL CORNELLA;Esportives;;;;;;;;;;;D-02;B-01;08940;Indefinit;1929;934740282;secretaria.basquetcornella@gmail.com;www.basquetcornella.com;;;;;RUBIÓ I ORS, 158 Pavelló Centre
61;AJEDREZ CLUB PADRO;Esportives;;;;;;;;;;;D-04;B-05;08940;Indefinit;1947;;padavd@yahoo.es;;;;;;TORRAS I BAGES, 62 Local Orfeó Catalonia
62;SOCIEDAD DE OCELLAIRES CORNELLÀ DE LLOBREGAT;Esportives;;;;;;;;;;;D-05;B-06;08940;Indefinit;1984;933757193;societatocellairedecornella@hotmail.com;;;;;;PLAÇA TÀRREGA, S/N
63;ASSOCIACIÓ DE VEÏNS DEL CASC ANTIC DE CORNELLÀ DE LLOBREGAT;Veïnals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1992;934743042;avcascantic@hotmail.com ;avcascantic.entitatscornella.cat;;;;;RUBIÓ I ORS, 158, 1º
64;CLUB HANDBOL RÀPID CORNELLÀ;Esportives;;;;;;;;;;;D-06;B-07;08940;Indefinit;1984;933769049;comunicacion@handbol-cornella.es;www.handbol-cornella.es;;;;;AVD. LÍNEA ELÉCTRICA Nº 9 3º 3º
65;C.F. BETICO LA ESPERANZA;Esportives;;;;;;;;;;;D-04;B-05;08940;Indefinit;1982;;beticolaesperanza@hotmail.com;beticoesperanza.blogspot.com;;;;;JOSE FITER, 35-37, ENT. 2ª
