ID;NOM_CURT_ACTE;NOM_ACTE;ID_EQUIPAMENT;NOM_LLOC;ADREÇA_COMPLETA;SIGLA;CARRER;CODI_CARRER;NRO;BIS;ESCALA;PIS;PORTA;CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA;CODI_DIVISIO_TERRITORIAL;CODI_POSTAL;CIUTAT;UTMX;UTMY;LONGITUD;LATITUD;TELEFON;EMAIL;URL;DATA_HORA_INICI_ACTE;DATA_HORA_FINAL_ACTE;DATA_HORA_PROPER_ACTE;TIPUS_ACTE;ESTAT;RESPONSABLE;GRATUIT;PREU;OBSERVACIONS;CICLE
2538697;VI Cicle de Joves Intèrprets - Pablo Und Destruktion (folk);Concerts i audicions musicals: VI Cicle de Joves Intèrprets - Pablo Und Destruktion (folk);3374;Palau Falguera - Jardins;C. Falguera 0002  BX ;C.   ;Falguera;;0002;;;BX ;;;;08980;SANT FELIU DE LLOBREGAT;;;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2538697;20170707200000;20170707220000;;Concerts i audicions musicals;Confirmat;;;;;
2512535;Balls de la revetlla de vacances per a tothom, amb Franc Mairen;Balls, danses: Balls de la revetlla de vacances per a tothom, amb Franc Mairen;3376;Sala Ibèria;C. Pi i Margall 0021   ;C.   ;Pi i Margall;;0021;;;;;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;420371,157628438;4581754,45484463;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2512535;20170708220000;20170709020000;;Balls, danses;Confirmat;;;;Organització Balls d Envelat;
2538698;VI Cicle de Joves Intèrprets - Xavier Canals & Mario Bueno (clàssica);Concerts i audicions musicals: VI Cicle de Joves Intèrprets - Xavier Canals & Mario Bueno (clàssica);3374;Palau Falguera - Jardins;C. Falguera 0002  BX ;C.   ;Falguera;;0002;;;BX ;;;;08980;SANT FELIU DE LLOBREGAT;;;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2538698;20170708200000;20170708220000;;Concerts i audicions musicals;Confirmat;;;;;
2533755;Ball per a la Gent Gran;Balls, danses: Ball per a la Gent Gran;3055;Centre Cívic Roses;C. Tibidabo 0018  BX 02;C.   ;Tibidabo;;0018;;;BX ;02  ;S-03005;S-03005;08980;SANT FELIU DE LLOBREGAT;420938,35969008;4581967,710516;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2533755;20170709173000;20170709200000;;Balls, danses;Confirmat;;;;Organització: Llar de Jubilats de Sant Feliu;
2533764;Ball per a tothom;Balls, danses: Ball per a tothom;37022;Unió Coral;Pg. Bertrand 0013   ;Pg.  ;Bertrand;;0013;;;;;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;420458,1427478;4581761,56741627;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2533764;20170709180000;20170709200000;;Balls, danses;Confirmat;;;;Coreografies i  rueda casino  Lloc i organització: La Unió Coral;
2538607;Concert  Cinema entre les cordes , amb Faraday Quartet. Activitat inclosa al TransARt-VI Mostra de Joves Intèrprets;Concerts i audicions musicals: Concert  Cinema entre les cordes , amb Faraday Quartet. Activitat inclosa al TransARt-VI Mostra de Joves Intèrprets;3376;Sala Ibèria;C. Pi i Margall 0021   ;C.   ;Pi i Margall;;0021;;;;;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;420371,157628438;4581754,45484463;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2538607;20170709183000;20170709210000;;Concerts i audicions musicals;Confirmat;;;;Preus: 5 €, 3 €, anticipada, carnet blau i persones en atur. Venda anticipada del 4 al 7 de juliol, de 17 a 21 h, a la Sala Ibèria.;
2528997;Regidoria de barri de Falguera;Regidoria de barri: Regidoria de barri de Falguera;3042;Centre de Barri Falguera;Pl. Rafael Alberti 0001   ;Pl.  ;Rafael Alberti;;0001;;;;;S-02004;S-02004;08980;SANT FELIU DE LLOBREGAT;419850,516833472;4581719,51449489;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2528997;20170710180000;20170710190000;;Regidoria de barri;Confirmat;;;;Data modificada excepcionalment ;
2525679;Com interpretar les comptes del meu gestor;Activitats de Promoció Econòmica: Com interpretar les comptes del meu gestor;;;C. Hospitalet 0025   ;C.   ;Hospitalet;;0025;;;;;S-01004;S-01004;08980;SANT FELIU DE LLOBREGAT;419980,56379841;4582313,27276946;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2525679;20170713093000;20170713103000;;Activitats de Promoció Econòmica;Confirmat;;;;;
2536900;La Metropolitana: tertúlia amb escuma  Barri, municipi, metròpoli: qüestió d identitat ;Jornades i seminaris: La Metropolitana: tertúlia amb escuma  Barri, municipi, metròpoli: qüestió d identitat ;2988;Ateneu Santfeliuenc;C. Vidal i Ribas 0023   ;C.   ;Vidal i Ribas;;0023;;;;;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;420388,1042643;4581789,6115931;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2536900;20170713190000;20170713200000;;Jornades i seminaris;Confirmat;;;;Amb M. Andreu (periodista i historiador) i M. Larrosa (Via Vallés). Organització: Pla Estratègic Metropolità de Barcelona i CECBLL.;
2538672;Sortida al Palau de la Música;Excursions, visites, sortides, recorreguts: Sortida al Palau de la Música;;;Pl. Estació 0001   ;Pl.  ;Estació;;0001;;;;;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;420521,824027273;4581844,49603485;;;936858000;ajuntament@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=18343&eventid=2538672;20170713100000;20170713140000;;Excursions, visites, sortides, recorreguts;Confirmat;;;;Preu :10 €. Cal portar T10 Organització: Casal de la Gent Gran;
