CODI;DATAINICI;NOMCOM;RAOSOCIAL;DESCRIPCIO;WEB;EMAIL;TELEFON1;HORARI;TIPUS;CODI_TIPUS;ADRECA
683;20060502;A DANSA;DIANA I ARAN, S.L.  ;academia de dansa;;;659991685;;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;Rbla. Marquesa de Castellbell 0072   
944;20031101;A més i a més (Abans  Vademecum );CUCHY SCP  ;RESTAURANT Aforament 47 persones;;nat_urb@hotmail.com;677572454;DE DIUMENGE A DIMECRES 10-16,  DE DIJOUS A DISSABTES 10-16 I 21- 24;RESTAURANTS;109;C. Marquès de Monistrol 0013   
1847;19990701;AB Graphic España;MAQUINARIA AB GRAPHIC MACHINERY ESPAÑA SA   ;DISTRIBUIDORS MÀQUINES D ART GRÀFIQUES;www.abgint.com;administracion@abgint.es;936854435;DE 9 A 14 I DE 15:30 A 18:30 DE DILLUNS A DIVENDRES;COMERÇ A L ENGRÒS, EXCEPTE VEHÍCLES DE MOTOR;63;Ctra. Laureà Miró 0325   
1249;19860101;Abadia Seguros Asesoria (Samaranch);MANUEL ABADIA LAMARCA;ASSEGURANCES;;asesoriaabadia@gmail.com;936854112;DE 9 A 13 I DE 16:30 A 20:00 DE DILLUNS A DIVENDRES;ASSEGURANCES;121;C. Joan Antoni Samaranch 0023   
1008;19951017;Academia de Perruqueria Maite;MARIA TERESA VALENZUELA VARGAS;ENSENYAMENT I PERRUQUERIA;;NO EN TENEN;936326471;DE DILLUNS A DIVENDRES DE 9 A 13 I DE 15 A 19;PERRUQUERIES;163;C. Falguera 0094 A  BX  05  
1830;20040101;ACC Clima;ACC TRADING SYSTEMS, S L  ;Comercialització i instal·lacio de climatització;;info@acclima.net;936850567;DE DILLUNS A DIVENDRES DE 9 A 13 I DE 16 A 18;CLIMATITZACIÓ;173;C. Roses 0077  BX  01  
1068;20021101;Acotxa t Bar;QIONGHUA YE ;Bar-cafeteria Aforament: 37 persones;;acotxat@yahoo.com;633042957;DE 8:30 A 22;BARS I CAFETERIES;110;Pg. Onze de Setembre 0025   
355;19950401;Actual Perruqueria;ROSA MARIA ORTIZ MORENO;perruqueria;;peluqueriaactual@hotmail.com;936854152;DE 9:00 A 13:00 I DE 15:00 A 20:00 DE DILLUNS A DIVENDRES. DISSABTES DE 9:00 A 18:00;PERRUQUERIES;163;C. Marquès de Monistrol 0006  BX  01  
2080;19990101;Adade - Assessoria Integral;ADADE SANT FELIU DE LLOBREGAT, S.L.  ;Assessoria de serveis;www.adade.es;jgraupera@adade.es;936668161;DE 8:30 A 14 I DE 16 A 19 DE DILLUNS A DIJOUS I ELS DIVENDRES DE 8:30 A 14 ;CONSULTORIES/ASSESSORIES;128;C. Pla 0080  BX  01  
596;20020101;Ades Interiorisme;FERNANDO LOPEZ ALVAREZ;BOTIGA DE MOBLES I DECORACIÓ;;adesinteriorisme@hotmail.es;936660838;DILLUNS A DIVENDRES 9 30 -13 30 16 30-20  /  DISS 9 30-13 30;MOBLES I DECORACIÓ;80;C. Dalt 0001   
3968;20120725;Administracció de Loteria Núm. 4;ESTEBAN DIAZ SANCHEZ;Venda de loteria;;loteria4sf@gmail.com;;;ADMINISTRACIÓ LOTERIA;104;Ctra. Laureà Miró 0302 E  LC  13  
886;19810101;Administració  Loteria num 2;EMELIA GRAU PARELLADA;Administració de loteries i apostes de l estat;;rpomarg@gmail.com;936667720;DE DILLUNS A DIVENDRES 9-13.30 17-20, DISSABTES 10-13.30;ADMINISTRACIÓ LOTERIA;104;C. Santa Creu 0002   
244;20010101;Administració de Loteries nº 5;ENRIC SERRA MOLES;ADMINISTRACIÓ DE LOTERIA;;quiqueserra@telefonica.net;936665187;9 30- 14  I 17 30- 20 30;ADMINISTRACIÓ LOTERIA;104;C. Remigi Guix 0004   
888;20060427;Administració Loteria núm. 3;JAIME GARGALLO BEDRINA;Administració de loteria;http://www.loteria-3.com;pedidos@administracioloteria-3.com;936663636;9-14 16 30-20 30;ADMINISTRACIÓ LOTERIA;104;Rbla. Marquesa de Castellbell 0102   
2547;20061124;Aerografia Planet;RAFAEL BLAZQUEZ CABRERA;comerç al detall de complements d aerografia;;aerografiaplanet@hotmail.com;936326327;;ALTRES COMERÇOS AL DETALL;107;C. Joaquim Monmany 0004  BX  04  
1881;20060301;A&G Perruqueria, estètica i relaxació;GASPAR DE LOS SANTOS RODRIGUEZ;PERRUQUERIA, ESTÈTICA I RELAXACIÓ;;gaspardelof@gmail.com;936856498;DE DILLUNS A DIVENDRES DE 10 A 14 I DE 16 A 20, DISSABTE DE 9 A 16;PERRUQUERIES;163;C. Hospitalet 0014   
2521;19880101;Agència d assegurances;MANUEL ABADIA LAMARCA;VENDA D ASSEGURANCES DE TOT TIPUS;;asesoriaabadia@gmailcom;936852270;DE DILLUNS A DIVENDRES DE 9 A 13 I DE 16 A 20;ASSEGURANCES;121;C. Girona 0015  LC  01  
1990;20100407;Agència d assegurances;MARIA ISABEL LUCAS ALONSO;Agència d assegurances;;;936855264;;CONSULTORIES/ASSESSORIES;128;C. Jaume Ribas 0025  LC  03  
2273;20060704;AGF-2, SL.;PROMOCIONS I OBRES A.G.F.-2, S.L.  ;CONSTRUCCIONS I OBRES;;agf-2sl@hotmail.com;936852407;DE DILLUNS A DIVENDRES DE 8 A13 I DE 14:30 A 18;ALTRES (CONSTRUCCIÓ);57;C. Josep Ricart 0024  LC  01  
3248;20070809;Air Trade Centre España;AIR TRADE CENTRE ESPAÑA, S.L.  ;Oficines i magatzem ;http://www.air-handling.com, www.airtradecentre.es;atencioncliente@air-handling.com, atencioncliente@airtradecentre.es;936850094;;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;Ctra. Laureà Miró 0401  BX  03  
500;18800101;Alimentació Suñé;JACINTO SUÑE FREIXES;comerç al detall de productes d alimentació;;NO EN TENEN;936661287;8-14 16-20 DILLUNS A DIVENDRES DIUMENGE 9-14;BODEGA;72;C. Falguera 0013  LC  
498;19720101;Alimentació Toscano;ALFONSO TOSCANO GAÑAN;comerç al detall de productes d alimentació;;alimentaciotoscano@gmail.com;936665563;DE 8:00 A 14:00 I DE 17:00 A 20:30 DE DILLUNS A DIVENDRES I DISSABTE DE 8 A 14;BOTIGA D ALIMENTACIÓ NO ESPECIALITZADA;64;C. Constitució 0030   
2099;20060606;Almirall Prodesfarma;ALMIRALL, S.A.  ;Centre de recerca i desenvolupament (R+D);www.almirall.com;comercial@almirall.com;932913000;;PRODUCTES FARMACEUTICS;33;Ctra. Laureà Miró 0408   
2341;20050908;Almirall Prodesfarma;ALMIRALL, S.A.  ;Oficines i magatzem;www.almirall.es;comercial@almirall.es;932912906;;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;C. Sant Josep 0136   
3877;20110725;Alquileres Alarcon, S.L. (Maquinaria obra civil);ALQUILERES ALARCON, S.L  ;Magatzem de maquinària d obra civil i oficines.;;alquileresalarcon@hotmail.com;936857189;DE DILL-DV DE 8:00H-13:30H i 15:00H-18:30H;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;C. Treball 0032  BX  01  
3580;20090310;Alumini i decoració d exteriors, S.L.;SANTIAGO MONTERO ALCARAZ;Taller mecànic d alumini;;adexsantfeliu.com;670251096;;ALTRES INSTAL·LACIONS (PINTORS, PALETES,...);177;C. Josep Ricart 0029  BX  
1932;20030915;Aluminis J.C.M.;JUAN MIGUEL COMES MORENO;FUSTERIA D ALUMINI;;info@aluminiosjcm.com;936325406;DE 8 A 13:30 I DE 15:30 A 20 DE DILLUNS A DIVENDRES;FUSTERIA;172;Rbla. Marquesa de Castellbell 0012  BX  01  
