ID;ENTITAT;SECTORSEMANTIC1;SECTORSEMANTIC2;SECTORSEMANTIC3;SIGLA;CODI_CARRER;CARRER;NRO;BIS;ESCALA;PIS;PORTA;ADREÇA_COMPLETA;CODI_DIVISIO_TERRITORIAL_ADM;CODI_DIVISIO_TERRITORIAL;CODI_POSTAL;AMBIT;ANY_CONSTITUCIO;TELEFON;MAIL;WEB;UTMX;UTMY;LATITUD;LONGITUD
3117;ACAF Associació Catalana d Afectats de Fibromiàlgia ;SOCIAL;;;C.   ;;Creus;0039;;;;;C.    Creus 0039    ;S-01002;S-01002;08980;indefinit;;;;;420123;4581831;;
3121;ACAM Associació Cívica d Ajuda Mútua ;SOCIAL;;;Pg.  ;;Comte de Vilardaga;0148;;;LC ;01  ;Pg.   Comte de Vilardaga 0148   LC  01  ;S-07001;S-07001;08980;indefinit;;;;;421276;4582443;;
3060;ACID Associació Comarcal per a la Igualtat de la Dona ;DONA;;;Pg.  ;;Bertrand;0001;;;;;Pg.   Bertrand 0001    ;S-01001;S-01001;08980;indefinit;1992;;;;420451;4581689;;
3016;ACR Casino Santfeliuenc;CULTURAL;;;C.   ;;Joan Batllori;0006;;;;;C.    Joan Batllori 0006    ;S-01002;S-01002;08980;indefinit;1879;936661194;casinocsf@gmail.com;casinosantfeliuenc.jimdo.com;420214;4581745;;
3165;ACSUR Las Segovias Associació per a la Cooperació amb el Sud;SOLIDARI;;;C.   ;;Roses;0023;;;BX ;;C.    Roses 0023   BX  ;S-03003;S-03003;08980;indefinit;;;catalunya@acsur.org;http://acsur.org;420666;4582115;;
3008;AFA Associació de Familiars d Alzheimer del Baix Llobregat;SOCIAL;;;C.   ;;Roses;0030;;;01 ;09  ;C.    Roses 0030   01  09  ;S-03001;S-03001;08980;indefinit;1994;933790022;projectes@afabaix.org;www.afabaix.org;420606;4582044;;
3206;AFAP Associació per al Foment de l Amistat entre els Pobles ;SOLIDARI;;;Ptge.;;Torre de la Presó;0002;;;BX ;;Ptge. Torre de la Presó 0002   BX  ;S-01002;S-01002;08980;indefinit;1989;936850950;sfafap@hotmail.com;afapcat.wordpress.com;420239;4581828;;
3047;Agrupació Cultural Folklòrica;CULTURAL;;;C.   ;;Vidal i Ribas;0023;;;;;C.    Vidal i Ribas 0023    ;S-01002;S-01002;08980;indefinit;1967;936853512;acf@acfsantfeliu.cat;www.acfsantfeliu.cat;420390;4581799;;
3045;Agrupació Excursionista Sant Llorenç;ESPORT;;;C.   ;;Torras i Bages;0013;;;1r ;;C.    Torras i Bages 0013   1r  ;S-01001;S-01001;08980;indefinit;1963;936665226(PereMestres-President);aesantllorenc@gmail.com;http://aeslsantllorenc.jimdo.com/;420386;4581697;;
3057;Agrupació Fotogràfica Creació 90;CULTURAL;;;C.   ;;Eugeni d Ors;0010;;;;;C.    Eugeni d Ors 0010    ;S-01003;S-01003;08980;indefinit;1990;936663124;antoni.manyoses@gmail.com;www.fedcatfotografia.org;420191;4581974;;
2988;Agrupació Pessebrista Sant Feliu;CULTURAL;;;C.   ;;Vidal i Ribas;0023;;;;;C.    Vidal i Ribas 0023    ;S-01002;S-01002;08980;indefinit;1931;936666188;pessebristessantfeliullob@gmail.com;http://pessebresantfeliu.blogspot.com.es/;420390;4581799;;
3054;Agrupación Cultural Andaluza Rosas de Sant Feliu ;CULTURAL;;;C.   ;;Hospitalet;0017;;;LC ;01  ;C.    Hospitalet 0017   LC  01  ;S-01004;S-01004;08980;indefinit;1991;936851144;;;420060;4582339;;
3036;Agrupament Escolta i Guia Nostra Dona de la Salut;LLEURE;;;Ptge.;;Penedès;0002;;;;;Ptge. Penedès 0002    ;S-01001;S-01001;08980;indefinit;1965;936852498;santfeliucau@gmail.com;http://www.causantfeliu.cat/;420343;4581675;;
3115;ALCER Barcelona Associació per a la Lluita contra Malalties de Ronyó;SOCIAL;;;Ra.  ;;Salut;0018;;;EN ;04  ;Ra.   Salut 0018   EN  04  ;S-05004;S-05004;08980;indefinit;;;;;420290;4582254;;
3149;Al-Sharara Col·lectiu de Solidaritat amb Palestina;SOLIDARI;;;C.   ;;Carcereny i Tristany;0012;;;01 ;;C.    Carcereny i Tristany 0012   01  ;S-01003;S-01003;08980;indefinit;;;;;420083;4581901;;
3048;Amics de la Natura de Sant Feliu;SOLIDARI;;;C.   ;;Vidal i Ribas;0023;;;;;C.    Vidal i Ribas 0023    ;S-01002;S-01002;08980;indefinit;;;ansf.santfeliu@gmail.com;;420390;4581799;;
3208;Amics de les Tradicions i de les Caramelles de Sant Feliu de Llobregat;CULTURAL;;;C.   ;;Serra;0017;;;BX ;;C.    Serra 0017   BX  ;S-01003;S-01003;08980;indefinit;;936667017;;;420045;4581984;;
