CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
D-01;104;BULGARIA;1;2
D-01;108;ESPANYA;127;128
D-01;110;FRANÇA;0;2
D-01;115;ITALIA;0;1
D-01;121;HOLANDA;1;0
D-01;122;POLONIA;1;0
D-01;125;REGNE UNIT;1;1
D-01;128;ROMANIA;3;5
D-01;139;GEORGIA;0;1
D-01;154;RUSSIA;1;1
D-01;203;ARGELIA;0;1
D-01;217;GHANA;1;0
D-01;228;MARROC;4;0
D-01;239;SENEGAL;1;0
D-01;303;MEXIC;1;0
D-01;340;ARGENTINA;0;1
D-01;341;BOLIVIA;1;5
D-01;343;COLOMBIA;0;3
D-01;344;XILE;1;1
D-01;345;EQUADOR;1;2
D-01;347;PARAGUAI;0;2
D-01;407;XINA;1;1
D-02;104;BULGARIA;6;2
D-02;107;DINAMARCA;1;0
D-02;108;ESPANYA;633;688
D-02;110;FRANÇA;2;0
D-02;115;ITALIA;3;7
D-02;121;HOLANDA;1;0
D-02;122;POLONIA;0;2
D-02;123;PORTUGAL;2;2
D-02;125;REGNE UNIT;2;1
D-02;126;ALEMANYA;1;1
D-02;128;ROMANIA;16;11
D-02;135;UCRANIA;4;4
D-02;144;REPUBLICA ESLOVAQUIA;2;1
D-02;154;RUSSIA;0;1
D-02;217;GHANA;1;0
D-02;220;GUINEA EQUATORIAL;1;0
D-02;228;MARROC;23;16
D-02;241;SIERRA LEONE;1;0
D-02;247;TOGO;0;1
D-02;314;COSTA RICA;0;1
D-02;315;CUBA;2;0
D-02;326;REPUBLICA DOMINICANA;1;1
D-02;340;ARGENTINA;2;1
D-02;341;BOLIVIA;1;4
D-02;342;BRASIL;1;2
D-02;343;COLOMBIA;4;3
D-02;344;XILE;2;1
D-02;345;EQUADOR;3;3
D-02;347;PARAGUAI;3;2
D-02;348;PERU;2;2
D-02;350;URUGUAI;0;4
D-02;351;VENEZUELA;1;3
D-02;407;XINA;6;9
D-02;412;IRAQ;1;0
D-02;414;ISRAEL;0;3
D-03;104;BULGARIA;2;3
D-03;108;ESPANYA;162;152
D-03;110;FRANÇA;0;2
D-03;115;ITALIA;3;0
D-03;122;POLONIA;0;1
D-03;128;ROMANIA;2;3
D-03;135;UCRANIA;0;3
D-03;214;ETIOPIA;1;1
D-03;217;GHANA;0;1
D-03;228;MARROC;17;10
D-03;302;ESTADOS UNIDOS (EUA);1;0
D-03;315;CUBA;0;4
D-03;340;ARGENTINA;0;1
D-03;341;BOLIVIA;2;1
D-03;342;BRASIL;2;1
D-03;343;COLOMBIA;3;2
D-03;345;EQUADOR;0;2
D-03;347;PARAGUAI;1;2
D-03;348;PERU;1;0
D-03;351;VENEZUELA;1;0
D-03;407;XINA;3;2
D-03;426;PAKISTAN;2;1
D-03;555;APATRIDES;1;0
D-04;104;BULGARIA;0;3
D-04;108;ESPANYA;362;398
D-04;115;ITALIA;1;2
D-04;122;POLONIA;1;0
D-04;123;PORTUGAL;1;1
D-04;126;ALEMANYA;1;0
D-04;128;ROMANIA;17;14
D-04;132;SUISSA;0;1
D-04;135;UCRANIA;1;0
D-04;138;BIELORRUSIA;1;0
D-04;154;RUSSIA;1;2
D-04;208;CAMERUN;0;1
D-04;211;COSTA DE MARFIL;0;1
D-04;228;MARROC;30;24
D-04;234;NIGERIA;1;1
D-04;303;MEXIC;0;1
D-04;321;HONDURES;1;2
D-04;326;REPUBLICA DOMINICANA;1;0
D-04;340;ARGENTINA;1;0
D-04;341;BOLIVIA;3;2
D-04;343;COLOMBIA;3;6
D-04;344;XILE;0;1
D-04;345;EQUADOR;7;4
D-04;347;PARAGUAI;4;3
D-04;348;PERU;0;3
D-04;350;URUGUAI;0;2
D-04;351;VENEZUELA;0;1
D-04;407;XINA;8;7
D-04;412;IRAQ;3;2
D-04;426;PAKISTAN;2;1
D-05;108;ESPANYA;43;33
D-05;228;MARROC;6;3
D-05;321;HONDURES;2;1
D-05;326;REPUBLICA DOMINICANA;0;1
D-05;341;BOLIVIA;1;0
D-05;345;EQUADOR;1;0
D-05;347;PARAGUAI;0;2
D-05;407;XINA;2;5
D-05;409;FILIPINES;0;1
D-06;103;BELGICA;2;2
D-06;108;ESPANYA;329;301
D-06;110;FRANÇA;1;0
D-06;115;ITALIA;6;2
D-06;122;POLONIA;2;0
D-06;125;REGNE UNIT;1;1
D-06;126;ALEMANYA;1;0
D-06;128;ROMANIA;1;3
D-06;135;UCRANIA;2;6
D-06;144;REPUBLICA ESLOVAQUIA;1;0
D-06;217;GHANA;1;0
D-06;227;MALI;2;0
D-06;228;MARROC;8;6
D-06;315;CUBA;2;3
D-06;321;HONDURES;2;2
D-06;341;BOLIVIA;0;2
D-06;343;COLOMBIA;2;3
D-06;344;XILE;0;1
D-06;345;EQUADOR;4;4
D-06;347;PARAGUAI;3;2
D-06;348;PERU;5;6
D-06;350;URUGUAI;0;2
D-06;351;VENEZUELA;1;0
D-06;407;XINA;7;4
D-06;426;PAKISTAN;1;1
D-07;108;ESPANYA;64;54
D-07;110;FRANÇA;0;1
D-07;123;PORTUGAL;3;1
D-07;228;MARROC;0;1
D-07;351;VENEZUELA;0;1
