Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,F__Drets_reconeguts_nets_respect,Recaptació_líquida,F__Recaptació_neta_respecte_els,FID
01,11200,IBI RÚSTEGA,19550,0,19550,0,,0,,1
01,11300,IBI URBANA,5496000,0,5496000,24237.9,,22143.02,,2
01,11301,IBI URBANA,0,0,0,10950.23,,1718.42,,3
01,11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,1320000,0,1320000,1282551.5,,95256.6,,4
01,11600,IMPOST SOBRE L'INCREMENT DE VALOR DELS TERRENYS URBANS,555000,0,555000,177279.5,,128672.05,,5
15,34400,PREU PÚBLIC ACTIVITATS MUSEU,6000,0,6000,1620.2,,1620.2,,6
01,13000,IMPOST SOBRE ACTIVITATS ECONÒMIQUES,540000,0,540000,57745.87,,57441.92,,7
15,34900,PREU PÚBLIC TURBINA MUSEU,10000,0,10000,2071.37,,0,,8
01,30200,SERVEI DE RECOLLIDA D'ESCOMBRARIES,1280000,0,1280000,1031.77,,254.3,,9
02M5,45050,GENE SUBV SOC BTB 38/15 DX-02 FSE NETEJA SUPERFICIES,0,0,0,0,,0,,10
15,34901,BOTIGA MUSEU,3000,0,3000,514.87,,514.87,,11
01,32500,TAXA PER EXPEDICIÓ DE DOCUMENTS,18500,0,18500,3539.84,,3539.84,,12
15,34902,VENDA DE LLIBRES,0,0,0,0,,0,,13
02N5,45050,GENE SUBV 15/FOAP/269/0126443 FSE,0,0,0,0,,0,,14
15,36000,ACA APORTACIÓ MUSEU,32000,0,32000,0,,0,,15
01,32900,EXPEDICIÓ DE PLAQUES I SIMILARS,3000,0,3000,346.05,,346.05,,16
02Ñ5,45050,GENE SUBV TRANSVERSAL PT20150072,0,0,0,0,,0,,17
15,36001,PRESTACIÓ SERVEIS DIVERSOS MUSEU,16000,0,16000,0,,0,,18
01,33100,TAXA PER ENTRADA DE VEHICLES,99000,0,99000,0,,0,,19
02O5,45050,GENE SUBV SECTORIAL PS20150045,0,0,0,0,,0,,20
15,39900,"ESTUDIS, TREBALLS I ALTRES",0,0,0,1763.99,,263.99,,21
01,33200,TAXA APROF. ESP. EMP. SUBMINISTRADORES,236000,0,236000,58728.05,,1307.62,,22
02P4,45050,GENE-SUBV.SOC PIRMI (FSE),0,0,0,0,,0,,23
15,42200,FUNDACIÓ BIODIVERSITAT APORTACIÓ MUSEU,39317.5,0,39317.5,0,,0,,24
01,33800,"COMPENSACIÓ DE TELEFONICA DE ESPAÑA, SA",45000,0,45000,10615.27,,10615.27,,25
02P5,45050,GENE SUBV SOC BTB 38/15 DX-10 FSE TREBALL SOCIOEDUCATIU,0,0,0,0,,0,,26
15,45050,GENE - SUBV. ANTENA MUSEU,8000,0,8000,0,,0,,27
01,34900,PREU PÚBLIC MATRIMONI CIVIL,1200,0,1200,0,,0,,28
02Q5,45050,"GENERALITAT, SUBV SOC B-041/15-02",0,0,0,0,,0,,29
15,45200,MUSEU DE LA CIÈNCIA - APORTACIÓ,15000,0,15000,0,,0,,30
01,39110,MULTES PER INFRACCIONS TRIBUTÀRIES I ANÀLOGUES,7500,0,7500,1939.81,,964.71,,31
15,46100,DIPU - SUBV. DIVERSES MUSEU,5000,0,5000,0,,0,,32
02R5,45050,"GENERALITAT, SUBV SOC B-041/15-01",0,0,0,0,,0,,33
01,39190,ALTRES MULTES I SANCIONS,9000,0,9000,4169.64,,4169.64,,34
15,46200,AJUNTAMENT DE ST. VICENÇ DE TORELLÓ - CONVENI,3000,0,3000,0,,0,,35
