Org_,Fun_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,F__Despesa_compromesa_respecte_e,Obligacions_reconegudes,F__Obligacions_reconegudes_respe,Pagaments_fets,F__Pagaments_fets_respecte_les_o,FID,Desc_Org
02,241L,2269915,OPE INTERMEDIACIO AGENCIA SAC/14/00063 (fse),0,18020,18020,0,,0,,0,,1,Promoció Econòmica
02,241M,1430015,BTB 38/15 DX-02 FSE PERSONAL NETEJA SUPERFICIES,0,53915.4,53915.4,4872.7,,4872.7,,4872.7,,2,Promoció Econòmica
02,241M,1600015,BTB 38/15 DX-02 FSE SEGURETAT SOCIAL NETEJA SUPERFICIES,0,18708.48,18708.48,0,,0,,0,,3,Promoció Econòmica
01,011,3100000,INTERESSOS PRÉSTECS,133061.16,-68245.71,64815.45,28247.15,,28247.15,,25084.24,,4,Alcaldia
02,241M,2260612,OPE CURS GESTOR MAGATZEM,0,8351.14,8351.14,3616.12,,3616.12,,3616.12,,5,Promoció Econòmica
01,011,3100100,INTERESSOS CONVENI PLAÇA,0,68245.71,68245.71,68245.71,,68245.71,,68245.71,,6,Alcaldia
02,241M,2260615,"OPE, CURS AUXILIARS MAGATZEM JOVES",0,5802,5802,2421.21,,2421.21,,0,,7,Promoció Econòmica
01,011,9110000,AMORTITZACIÓ PRÉSTECS,97500,-12500,85000,0,,0,,0,,8,Alcaldia
02,241MA,1430015,OPE PERSONAL TECNIC MARMI/53/2015 FSE,0,12903.64,12903.64,13398.33,,13398.33,,13398.33,,9,Promoció Econòmica
01,011,9130000,AMORTITZACIÓ PRÉSTECS,1922900.91,-37754.29,1885146.62,961295.88,,961295.88,,824570.51,,10,Alcaldia
02,241MA,1600015,OPE PERSONAL SEGURETAT SOCIAL MARMI/53/2015 FSE,0,4166.18,4166.18,2777.08,,2777.08,,2777.08,,11,Promoció Econòmica
