Org_,Pro_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,Obligacions_reconegudes,Pagaments_fets,Descripció_orgànica,FID
01,920N,1210100,COMPLEMENT ESPECÍFIC NETEJA.,24101.28,0,24101.28,14440.02,14440.02,11351,ALCALDIA,1
01,920N,1600000,SEGURETAT SOCIAL NETEJA,57215.72,0,57215.72,15906.64,15906.64,11844.16,ALCALDIA,2
01,011,9110000,AMORTITZACIÓ PRÉSTECS,85000,0,85000,0,0,0,ALCALDIA,3
01,920N,1200600,TRIENNIS NETEJA,3266.4,0,3266.4,800.62,800.62,682.4,ALCALDIA,4
01,920N,1310000,PERSONAL NETEJA TEMPORAL,0.1,0,0.1,0,0,0,ALCALDIA,5
01,011,9130000,AMORTIZACIONS PRÉSTECS BANCARIS,1728820.85,628318.63,2357139.48,1204124.14,1204124.14,1204124.14,ALCALDIA,6
01,011,9130300,AMORTITZACIO FUNDACIO TEATRE CENTRE,72934.63,0,72934.63,0,0,0,ALCALDIA,7
01,920N,1510000,GRATIFICACIONS NETEJA,0,162.4,162.4,81.2,81.2,81.2,ALCALDIA,8
01,920N,1500000,PRODUCTIVITAT NETEJA,2800,864.22,3664.22,1014.52,1014.52,837.24,ALCALDIA,9
01,011,3100100,INTERESSOS ALTRES OP ENDEUTAMENT,73054.62,0,73054.62,65733,65733,65733,ALCALDIA,10
01,920N,1300000,BÀSIQUES NETEJA,45827.18,0,45827.18,15179.36,15179.36,11905.99,ALCALDIA,11
01,011,9130100,AMORTITZACIÓ CONVENI PLAÇA,52767,0,52767,52767,52767,52767,ALCALDIA,12
02,241CM,2260611,OPE CURS MONITORS SOCIOCULTURALS,0,2405.64,2405.64,0,0,0,PROMOCIÓ ECONÒMICA,13
01,920P,1310000,PROGRAMES TEMPORALS,10000,0,10000,0,0,0,ALCALDIA,14
01,011,3100000,INTERESSOS PRÉSTECS,100601.58,0,100601.58,11894.77,11894.77,11894.77,ALCALDIA,15
02,241D,1600011,OPE SEGURETAT SOCIAL DINAMITZADOR INNOVADORS,0,1969.23,1969.23,0,0,0,PROMOCIÓ ECONÒMICA,16
01,011,9130200,AMORTITZACIO ESCOLA BRESSOL,61598.46,0,61598.46,0,0,0,ALCALDIA,17
01,920P,1500000,PREMI EXCEL.LENCIA,20000,-20000,0,0,0,0,ALCALDIA,18
02,241D,1200515,OPE BÀSIQUES AP FOMENT OCUPACIONAL,0,2942.74,2942.74,0,0,0,PROMOCIÓ ECONÒMICA,19
01,170,4670000,QUOTES CONSORCI ALBA TER,4173.57,0,4173.57,4173.57,4173.57,4173.57,ALCALDIA,20
02,241D,1600015,OPE SEGURETAT SOCIAL FOMENT OCUPACIÓ,0,244.98,244.98,0,0,0,PROMOCIÓ ECONÒMICA,21
01,312,4890100,CONVENI SUBV. HOSPITAL SANT JAUME,40000,3505,43505,0,0,0,ALCALDIA,22
02,241D,1210015,OPE COMPLEMENT DESTINACIÓ FOMENT OCUPACIÓ,0,10884.07,10884.07,0,0,0,PROMOCIÓ ECONÒMICA,23
02,241D,1210115,OPE COMPLEMENT ESPECÍFIC FOMENT OCUPACIÓ,0,9517.14,9517.14,0,0,0,PROMOCIÓ ECONÒMICA,24
01,920R,2269900,DESPESES RESPONSABILITAT PATRIMONIAL,4000,0,4000,192.41,192.41,192.41,ALCALDIA,25
01,327,2269912,DESPESES PGDM,0,941.88,941.88,0,0,0,ALCALDIA,26
02,241D,1430011,OPE PERSONAL DINAMITZADOR INNOVADORS,0,6055.47,6055.47,0,0,0,PROMOCIÓ ECONÒMICA,27
01,3322A,2219900,SUBMINISTRAMENTS DIVERSOS,200,0,200,0,0,0,ALCALDIA,28
01,920S,1310000,PAGA EXTRA NADAL 2012,95460.38,7638.9,103099.28,100320.1,100320.1,73507.6,ALCALDIA,29
02,241E,2160100,ESPAI LAB MANTENIMENT FOTOCOPIADORA,1500,0,1500,96.39,96.39,96.39,PROMOCIÓ ECONÒMICA,30
01,3322A,2269900,DESPESES DESTRUCCIÓ PAPER,200,0,200,69.19,69.19,69.19,ALCALDIA,31
01,3322T,2269900,DESPESES ARXIU,500,0,500,0,0,0,ALCALDIA,32
01,920,2279900,SERVEI PREVENCIÓ RISCOS LABORALS,30000,0,30000,3048.05,0,0,ALCALDIA,33
01,491,1500100,PRODUCTIVITAT COMUNICACIÓ,0.1,0,0.1,0,0,0,ALCALDIA,34
02,241ED,2269900,ESPAI LAB DESPESES DIVERSES,1000,-825,175,0,0,0,PROMOCIÓ ECONÒMICA,35
