Org_,Pro_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,Obligacions_reconegudes,Pagaments_fets,Descripció_orgànica,FID
01,011,9110000,AMORTITZACIÓ PRÉSTECS,85000,0,85000,0,0,0,ALCALDIA,1
01,011,9130000,AMORTIZACIONS PRÉSTECS BANCARIS,1728820.85,628318.63,2357139.48,1529900.64,1529900.64,1508303.9,ALCALDIA,2
01,011,9130300,AMORTITZACIO FUNDACIO TEATRE CENTRE,72934.63,0,72934.63,0,0,0,ALCALDIA,3
01,011,3100100,INTERESSOS ALTRES OP ENDEUTAMENT,73054.62,-7321.62,65733,65733,65733,65733,ALCALDIA,4
01,011,9130100,AMORTITZACIÓ CONVENI PLAÇA,52767,0,52767,52767,52767,52767,ALCALDIA,5
01,011,3100000,INTERESSOS PRÉSTECS,100601.58,-25500,75101.58,18323.69,18323.69,17435.64,ALCALDIA,6
01,011,9130200,AMORTITZACIO ESCOLA BRESSOL,61598.46,-61598.46,0,0,0,0,ALCALDIA,7
01,170,4670000,QUOTES CONSORCI ALBA TER,4173.57,0,4173.57,4173.57,4173.57,4173.57,ALCALDIA,8
01,312,4890100,CONVENI SUBV. HOSPITAL SANT JAUME,40000,3505,43505,43505,23505,0,ALCALDIA,9
01,327,2269912,DESPESES PGDM,0,941.88,941.88,0,0,0,ALCALDIA,10
01,3322A,2219900,SUBMINISTRAMENTS DIVERSOS,200,0,200,0,0,0,ALCALDIA,11
01,3322A,2269900,DESPESES DESTRUCCIÓ PAPER,200,0,200,69.19,69.19,69.19,ALCALDIA,12
01,3322T,2269900,DESPESES ARXIU,500,0,500,0,0,0,ALCALDIA,13
01,491,1500100,PRODUCTIVITAT COMUNICACIÓ,0.1,0,0.1,0,0,0,ALCALDIA,14
01,491,1310000,LABORAL TEMPORAL COMUNICACIÓ,0.1,0,0.1,0,0,0,ALCALDIA,15
01,491,1600000,SEGURETAT SOCIAL COMUNICACIÓ,10277.99,0,10277.99,4261.75,4261.75,4261.75,ALCALDIA,16
01,491,1300000,BÀSIQUES COMUNICACIÓ,13980.92,921.46,14902.38,7218.26,7218.26,7218.26,ALCALDIA,17
01,491,1300200,ALTRES REMUNERACIONS COMUNICACIÓ,18595.92,0,18595.92,9298,9298,9298,ALCALDIA,18
02,241D,1600011,OPE SEGURETAT SOCIAL DINAMITZADOR INNOVADORS,0,1969.23,1969.23,0,0,0,PROMOCIÓ ECONÒMICA,19
02,241D,1200515,OPE BÀSIQUES AP FOMENT OCUPACIONAL,0,2942.74,2942.74,0,0,0,PROMOCIÓ ECONÒMICA,20
01,912,2300000,DIETES CÀRRECS ELECTES,41500,0,41500,22088.25,22088.25,18488.25,ALCALDIA,21
02,241D,2269911,OPE DESPESES DINAMITZACIÓ,0,4574.12,4574.12,0,0,0,PROMOCIÓ ECONÒMICA,22
01,3322,1210000,COMPLEMENT DESTINACIÓ ARXIU,8242.5,0,8242.5,4121.25,4121.25,4121.25,ALCALDIA,23
02,241H,1200615,BTB 38/15 A1-01 FSE ORIENTADOR TRIENIS,0,0.26,0.26,0,0,0,PROMOCIÓ ECONÒMICA,24
02,241M,2269916,DESPESES NETEJA CTB-028/16 B1-01 (tb),0,2598,2598,864.43,864.43,864.43,PROMOCIÓ ECONÒMICA,25
02,241H,1200114,OPE BÀSIQUES A2 DISPOSITIU INSERCIÓ (TB) FSE,0,841.01,841.01,0,0,0,PROMOCIÓ ECONÒMICA,26
02,170E,2269900,QUOTA COOP SOM ENERGIA,0.1,0,0.1,0,0,0,PROMOCIÓ ECONÒMICA,27
02,241M,2260600,OPE AUXILIARS MAGATZEM JOVES 2017,0,16410.02,16410.02,0,0,0,PROMOCIÓ ECONÒMICA,28
01,912,4892900,TRANSF. APORTACIÓ GRUPS MPLS.,19200,0,19200,9600,9600,8000,ALCALDIA,29
02,241H,1210016,PERSONAL ORIENTADOR CTB-028/16 A1-01 DESTI (tb),0,5321.58,5321.58,3695.45,3695.45,3695.45,PROMOCIÓ ECONÒMICA,30
02,241D,1600015,OPE SEGURETAT SOCIAL FOMENT OCUPACIÓ,0,244.98,244.98,0,0,0,PROMOCIÓ ECONÒMICA,31
02,170,2269916,ACTIVITATS PREVENCIÓ RESIDUS,0,3382.12,3382.12,273.46,273.46,273.46,PROMOCIÓ ECONÒMICA,32
02,241M,1600015,BTB 38/15 DX-02 FSE SEGURETAT SOCIAL NETEJA SUPERFÍCIES,0,38.62,38.62,0,0,0,PROMOCIÓ ECONÒMICA,33
02,241D,1210015,OPE COMPLEMENT DESTINACIÓ FOMENT OCUPACIÓ,0,10884.07,10884.07,0,0,0,PROMOCIÓ ECONÒMICA,34
02,241H,1210114,OPE ESPECÍFIC DISPOSITIU INSERCIÓ (TB) FSE,0,52.72,52.72,0,0,0,PROMOCIÓ ECONÒMICA,35
01,912,2260100,ATENCIONS PROTOCOLÀRIES,7000,0,7000,2359.48,1809.48,1809.48,ALCALDIA,36
02,241,4620011,OPE TRANSF SEGMENTACIÓ ATURATS I CENS OFICIS,0,11396,11396,0,0,0,PROMOCIÓ ECONÒMICA,37
02,241MB,1600015,OPE SEGURETAT SOCIAL OCUPACIÓ FSE,0,2378.18,2378.18,0,0,0,PROMOCIÓ ECONÒMICA,38
02,241D,1210115,OPE COMPLEMENT ESPECÍFIC FOMENT OCUPACIÓ,0,9517.14,9517.14,0,0,0,PROMOCIÓ ECONÒMICA,39
02,241H,1200614,OPE TRIENIS DISPOSITIU INSERCIÓ (TB) FSE,0,137.98,137.98,0,0,0,PROMOCIÓ ECONÒMICA,40
01,920,2279900,SERVEI PREVENCIÓ RISCOS LABORALS,30000,0,30000,3048.05,0,0,ALCALDIA,41
01,920P,1310000,PROGRAMES TEMPORALS,10000,-8670.07,1329.93,0,0,0,ALCALDIA,42
02,241,1310000,OPE.LABORAL TEMPORAL FOMENT DE L'OCUPACIÓ,51131.49,0,51131.49,25132.25,25132.25,25132.25,PROMOCIÓ ECONÒMICA,43
02,241D,1430011,OPE PERSONAL DINAMITZADOR INNOVADORS,0,6055.47,6055.47,0,0,0,PROMOCIÓ ECONÒMICA,44
01,920P,1500000,PREMI EXCEL.LENCIA,20000,-20000,0,0,0,0,ALCALDIA,45
02,241MB,1430015,OPE PERSONAL OCUPACIÓ FSE,0,6590.72,6590.72,0,0,0,PROMOCIÓ ECONÒMICA,46
01,920,1620400,FONS SOCIAL,22000,-1987.55,20012.45,12698.29,12698.29,12698.29,ALCALDIA,47
01,912,1210100,COMPLEMENT ESPECÍFIC GABINET ALCALDIA,13611.24,0,13611.24,6805.62,6805.62,6805.62,ALCALDIA,48
02,241H,1210116,PERSONAL ORIENTADOR CTB-028/16 A1-01 ESPECÍFIC (tb),0,7339.87,7339.87,3521.1,3521.1,3521.1,PROMOCIÓ ECONÒMICA,49
02,241,2240000,OPE FOR ASSEGURANCES ALUMNES,300,0,300,0,0,0,PROMOCIÓ ECONÒMICA,50
02,241H,1210015,BTB 38/15 A1-01 FSE ORIENTADOR DESTÍ,0,394.91,394.91,0,0,0,PROMOCIÓ ECONÒMICA,51
01,920R,2269900,DESPESES RESPONSABILITAT PATRIMONIAL,4000,0,4000,192.41,192.41,192.41,ALCALDIA,52
02,241DI,2269916,FORMACIÓ DISPOSITIU INSERCIÓ CTB-028/16 A1-01 (tb),0,19510.56,19510.56,0,0,0,PROMOCIÓ ECONÒMICA,53
02,241N,1600014,OPE SEGURETAT SOCIAL DISPOSITIU INSERCIÓ (TB) FSE,0,443.93,443.93,0,0,0,PROMOCIÓ ECONÒMICA,54
01,912,4660100,QUOTES ASSOCIACIONS MPLS.,9600,0,9600,8915.23,8915.23,8915.23,ALCALDIA,55
01,920,2312000,VIATGES PERSONAL,11500,0,11500,5014.26,5014.26,5014.26,ALCALDIA,56
02,241,1600000,OPE.SEGURETAT SOCIAL FOMENT DE L'OCUPACIÓ,27087.37,0,27087.37,10410.34,10410.34,10410.34,PROMOCIÓ ECONÒMICA,57
02,241N,1200414,OPE BÀSIQUES C2 DISPOSITIU INSERCIÓ ADM (TB) FSE,0,211.46,211.46,0,0,0,PROMOCIÓ ECONÒMICA,58
02,241DI,2269910,OPE DESPESES PROG. DISPOSITIUS INSERCIÓ,0,198.49,198.49,99.47,99.47,99.47,PROMOCIÓ ECONÒMICA,59
01,920S,1310000,PAGA EXTRA NADAL 2012,95460.38,7638.9,103099.28,100320.1,100320.1,100320.1,ALCALDIA,60
02,241H,1210014,OPE DESTÍ DISPOSITIU INSERCIÓ (TB) FSE,0,398.47,398.47,0,0,0,PROMOCIÓ ECONÒMICA,61
01,912,1620000,FORMACIÓ REGIDORS,500,0,500,0,0,0,ALCALDIA,62
01,920,1200300,BÀSIQUES C1 ADMINISTRACIÓ GNAL.,22777.86,0,22777.86,9983.82,9983.82,9983.82,ALCALDIA,63
02,241E,2060000,ESPAI LAB LLOGUER FOTOCOPIADORA,2047.32,0,2047.32,692.65,692.65,692.65,PROMOCIÓ ECONÒMICA,64
02,241N,1200616,PERSONAL ADM CTB-028/16 A1-01 TRIENIS (tb),0,0.01,0.01,0,0,0,PROMOCIÓ ECONÒMICA,65
02,241,2260612,OPE FORMACIÓ FOAP 2012,0,9157.22,9157.22,0,0,0,PROMOCIÓ ECONÒMICA,66
01,920T,1200100,BÀSIQUES A2 TIC,13035.6,0,13035.6,0,0,0,ALCALDIA,67
02,241H,1200115,BTB 38/15 A1-01 FSE ORIENTADOR BÀSIQUES A2,0,959.56,959.56,0,0,0,PROMOCIÓ ECONÒMICA,68
01,912,2310000,VIATGES CÀRRECS ELECTES,2500,0,2500,2542.12,2542.12,2542.12,ALCALDIA,69
01,920,1600000,SEGURETAT SOCIAL ADM. GNAL.,85095.77,0,85095.77,35804.94,35804.94,35804.94,ALCALDIA,70
02,241N,1600016,ASSEGURANCES SOCIALS ADM CTB-028/16 A1-01 (tb),0,5617.82,5617.82,2285.85,2285.85,2285.85,PROMOCIÓ ECONÒMICA,71
02,241E,2260200,ESPAI LAB PUBLICITAT I PROPAGANDA,0.1,0,0.1,0,0,0,PROMOCIÓ ECONÒMICA,72
01,920T,1210000,COMPL DESTI TIC,5582.36,0,5582.36,0,0,0,ALCALDIA,73
02,241,1300000,OPE.BÀSIQUES FOMENT DE L'OCUPACIÓ,16182.39,0,16182.39,8010.29,8010.29,8010.29,PROMOCIÓ ECONÒMICA,74
01,912,2269900,DESPESES ELECCIONS,1500,0,1500,0,0,0,ALCALDIA,75
02,241H,1600016,ASSEGURANCES SOCIALS ORIENTADOR CTB-028/16 A1-01 (tb),0,8371.41,8371.41,4070.97,4070.97,4070.97,PROMOCIÓ ECONÒMICA,76
01,920,2260400,DESPESES JURÍDIQUES,19500,0,19500,3159.78,3159.78,3143.41,ALCALDIA,77
02,241E,2269916,ESS OPORTUNITAT AC ECONÒMICA IE-11/16 2-03,0,67976.25,67976.25,56040,5000,5000,PROMOCIÓ ECONÒMICA,78
02,241N,1210015,BTB 38/15 A1-01 FSE PERSONAL SUPORT DESTÍ,0,40.71,40.71,0,0,0,PROMOCIÓ ECONÒMICA,79
01,920T,1210100,COMPL ESPECIFIC TIC,10561.8,0,10561.8,0,0,0,ALCALDIA,80
02,241,2260614,CURS MAGATZEM JOVES,0,1441.95,1441.95,1441,1441,1441,PROMOCIÓ ECONÒMICA,81
01,912,4890000,SUBVENCIONS,3000,0,3000,1000,500,500,ALCALDIA,82
02,241H,1200616,PERSONAL ORIENTADOR CTB-028/16 A1-01 TRIENIS (tb),0,0.01,0.01,0,0,0,PROMOCIÓ ECONÒMICA,83
01,920,1200000,BÀSIQUES A1 ADMINISTRACIÓ GNAL.,29648.44,0,29648.44,14824.22,14824.22,14824.22,ALCALDIA,84
