codi,Nom_centre,Tipus_de_consum,import,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
EP52,POMPEU FABRA S/N COST.ET 16237,Electricitat Quadres enllumenat,€,ES0031446454053001HG0F,ENDESA ENERGÍA S.A.U.,82013635713,,2059.29,2378.48,2611.77,2093.84,2183.03,2243.06,161
ESP06,PISCINA D'ESTIU,Electricitat dependències,€,ES0031446454011001DW0F,ENDESA ENERGÍA S.A.U.,82013723675,,4617.12,5484.99,8776.09,10029.65,4802.67,2066.71,162
REG39,BOCA REG ZONA MOLI,Aigua,€,,SOREA,4756119,14/06/2011,0,0,,,,,163
FON01,FONT Pg. ST. JOAN- C/GLEVA,Aigua,€,,SOREA,4755780,03/06/2011,0,0,,,,,164
REG40,BOCA DE REG C/PERICAS,Aigua,€,,SOREA,4755796,08/06/2011,0,0,,,,,165
EP53,PG. DEL TER (Davant MIT),Electricitat Quadres enllumenat,€,ES0031446474638001LG0F,ENDESA ENERGÍA S.A.U.,82013645622,,4621.18,4964.09,4698.1,4647.64,5212.52,6015.26,166
FON02,FONT DE LES TRES CREUS,Aigua,€,,SOREA,4755782,02/06/2011,0,0,,,,,167
REG41,FONT I REG PARC C. AMISTAT - AV. ROMA,Aigua,€,,SOREA,4756391,06/06/2011,0,0,,,,,168
EP54,PS. SANT JOAN ROTONDA,Electricitat Quadres enllumenat,€,ES0031448018945001QH0F,ENDESA ENERGÍA S.A.U.,82013636434,,2396.35,2634.92,6925.87,6150.81,5896.57,6290.06,169
FON03,FONT PARC C/ ESQUIROL,Aigua,€,,SOREA,4755785,09/06/2011,0,0,,,,,170
REG42,BOCA DE REG AV. DIPUACIÓ. 108,Aigua,€,,SOREA,4756636,07/06/2011,0,0,,,,,171
EP55,CTRA.RODA SN CANT. AVDA GARROT,Electricitat Quadres enllumenat,€,ES0031448011792001EH0F,ENDESA ENERGÍA S.A.U.,82013645846,,2720.5,2907.28,2762.22,2424.67,2510.07,1819.1,172
FON04,FONT C/ SANT. DOMENECH,Aigua,€,,SOREA,4755787,06/06/2011,0,0,,,,,173
REG43,BOCA DE REG AV. DIPUTACIÓ. 82,Aigua,€,,SOREA,4756637,07/06/2011,0,0,,,,,174
EP56,VILAMIROSA CANTONADA PUIGAURDI,Electricitat Quadres enllumenat,€,ES0031448015222001KM0F,ENDESA ENERGÍA S.A.U.,82013646081,,3393.18,3684.78,3566.2,3428.38,3878.72,4365.9,175
FON05,FONT PG. DEL TER,Aigua,€,,SOREA,4755789,07/06/2011,0,0,,,,,176
REG44,BOCA DE REG AV. DIPUTACIÓ. 48,Aigua,€,,SOREA,4756638,07/06/2011,0,0,,,,,177
EP57,TER -PUIGPARDINES,Electricitat Quadres enllumenat,€,ES0031448061369001FN0F,ENDESA ENERGÍA S.A.U.,82013646187,,4675.32,5050.51,4932.25,4670.45,5006.74,4719.14,178
FON06,FONT PARC ANGELA ROCA,Aigua,€,,SOREA,4755798,07/06/2011,0,0,,,,,179
REG45,BOCA DE REG,Aigua,€,,SOREA,4756662,08/06/2011,0,0,,,,,180
EP58,VILAMIROSA ZONA S/N LES HORTES,Electricitat Quadres enllumenat,€,ES0031446475789001ZS0F,ENDESA ENERGÍA S.A.U.,82013646284,,4638.51,5965.59,5578.09,6139.3,6916.25,6774.89,181
FON07,FONT C/ LLUÇANES,Aigua,€,,SOREA,4755799,07/06/2011,0,0,,,,,182
REG46,BOCA DE REG PLAÇA PLA DELS ÀLBERS,Aigua,€,,SOREA,4756782,08/06/2011,0,0,,,,,183
EP59,C/ TORRENT MAGI-PARQUE PARC MAGI,Electricitat Quadres enllumenat,€,ES0031448098189001PW0F,ENDESA ENERGÍA S.A.U.,82013637252,,1322.17,1427.97,1466.46,1281.61,1710.16,1508.68,184
FON08,FONT C/ RIPOLL,Aigua,€,,SOREA,4755800,07/06/2011,0,0,,,,,185
REG47,BOCA DE REG PLAÇA PLA DELS ÀLBERS,Aigua,€,,SOREA,4756783,08/06/2011,0,0,,,,,186
EP60,CR GLEVA. CM LA PIARA ET 55751,Electricitat Quadres enllumenat,€,ES0031448148654001FN0F,ENDESA ENERGÍA S.A.U.,82013639887,,826.96,903.21,1048.33,855.55,756.88,825.29,187
FON09,FONT PG. SANT JOAN,Aigua,€,,SOREA,4755802,08/06/2011,0,0,,,,,188
REG48,BOCA DE REG BAIXADA BONET,Aigua,€,,SOREA,4756837,02/06/2011,0,0,,,,,189
EP61,C. COLLSACABRA LDO Nº 12,Electricitat Quadres enllumenat,€,ES0031408193143001HW0F,ENDESA ENERGÍA S.A.U.,82013625973,,3897.38,4226.76,4459.42,4460.35,4457.65,4574.01,190
FON10,FONT C/ CABRERA- CASTELLOT,Aigua,€,,SOREA,4755810,07/06/2011,0,0,,,,,191
REG49,BOCA DE REG PL. PLA DELS ÀLBERS,Aigua,€,,SOREA,4756908,08/06/2011,0,0,,,,,192
FON11,FONT C/ ST. JAUME,Aigua,€,,SOREA,4755817,06/06/2011,0,0,,,,,193
EP62,PG. ANGELA ROCA,Electricitat Quadres enllumenat,€,ES0031408160106001EH0F,ENDESA ENERGÍA S.A.U.,82013647045,,10944.18,10560.87,11371.06,11516.63,10643.36,9362.45,194
FON12,FONT DE LA MARE DE DÉU,Aigua,€,,SOREA,4755803,02/06/2011,0,0,,,,,195
EP63,FONT TARRES,Electricitat Quadres enllumenat,€,ES0031408218254001JQ0F,ENDESA ENERGÍA S.A.U.,82013619431,,1193.99,1400.93,1388.13,1380.77,1417.79,1491.81,196
REG50,BOCA DE REG PL. PLA DELS ÀLBERS (2),Aigua,€,,SOREA,4756925,08/06/2011,0,0,,,,,197
FON12,FONT DE LA MARE DE DÉU,Electricitat altres,€,ES0031446444315001XC0F,ENDESA ENERGÍA S.A.U.,82013616162,,293.78,302.32,328.19,382.82,234.41,149.98,198
EP64,SANT PERE / AV. DE ROMA,Electricitat Quadres enllumenat,€,ES0031448284684001CP0F,ENDESA ENERGÍA S.A.U.,82013640434,,2372.13,2475.54,2575.46,2362.21,2732.2,2700.08,199
SMF01,SEMAFORS PG. ST JOAN,Electricitat Quadres enllumenat,€,ES0031446458809001FH0F,ENDESA ENERGÍA S.A.U.,82013612533,,192.98,358.77,401.38,383.7,384.3,395.44,200
FON13,FONT PARC DE MONTSERRAT,Aigua,€,,SOREA,4755847,08/06/2011,0,0,,,,,201
EP65,SECTOR CAN P. AP SECTOR PMU 1.,Electricitat Quadres enllumenat,€,ES0031408396202001MY0F,ENDESA ENERGÍA S.A.U.,82013620139,,1603.72,1695.49,1731.9,1766.94,1998.51,2091.47,202
SMF03,SEMAF. - AV. ROMA ZONA IL·LUM.,Electricitat Quadres enllumenat,€,ES0031446460836001WM0F,ENDESA ENERGÍA S.A.U.,82014349974,,1767.91,2083.56,2408.32,2307.38,2196.28,1627.01,203
FON14,FONT DE LA PLAÇA LLEVANT,Aigua,€,,SOREA,4755752,06/06/2011,0,0,,,,,204
EP66,PL. POU I SOLA,Electricitat Quadres enllumenat,€,ES0031408408662001WD0F,ENDESA ENERGÍA S.A.U.,82013626413,,7086.98,5786.22,4842.95,5182.56,5116.03,5625.69,205
SMF04,SEMAFOR -PUIGPAR. ZONA IL·LUM.,Electricitat Quadres enllumenat,€,ES0031446458817001XZ0F,ENDESA ENERGÍA S.A.U.,82013613478,,208.58,384.1,413.43,452.9,501.21,523,206
FON15,FONT DEL C/CASSERRES,Aigua,€,,SOREA,4756699,09/06/2011,0,0,,,,,207
EP68,C/ VILAMONTA-ENLLUMENAT P COSTAT PISTA MANLLEU B,Electricitat Quadres enllumenat,€,ES0031448468215001DR0F,ENDESA ENERGÍA S.A.U.,82013640740,,332.8,1732.03,1554.72,1418.22,1443.83,1532.25,208
SMF05,SEMAFOR -ST. JOAN ZONA IL·LUM.,Electricitat Quadres enllumenat,€,ES0031446461031001QB0F,ENDESA ENERGÍA S.A.U.,82013614034,,1728.81,655.85,596.01,583.2,650.68,612.9,209
FON16,FONT DEL C/CASACUBERTA,Aigua,€,,SOREA,4756702,07/06/2011,0,0,,,,,210
EP69,C/ EDUARD RIFA ENLLPUBLIC MANLLEU BARCELONA,Electricitat Quadres enllumenat,€,ES0031448469860001TH0F,ENDESA ENERGÍA S.A.U.,82013641081,,205.14,653.81,1023.75,1991.59,1678.65,1871.99,211
TAN01,TANATORI MUNICIPAL,Aigua,€,,SOREA,4756542,07/06/2011,51.03,22.4,,,,,212
HAB01,PIS SOCIAL,Electricitat dependències,€,ES0031408193249030MR0F,ENDESA ENERGÍA S.A.U.,82013612227,,,,146.03,641.43,792.28,790.85,213
EP72,CRUÏLLA CTRA.D'OLOT-AVGDA GARROTXA,Electricitat Quadres enllumenat,€,ES0031408440712001WS0F,ENDESA ENERGÍA S.A.U.,82013647241,,4726.66,4712.48,4190.83,4049.23,3798.29,3581.64,214
HAB01,PIS SOCIAL,Electricitat dependències,€,ES0031408193249029MT0F,ENDESA ENERGÍA S.A.U.,82030478742,,,,,377.59,479.2,439.66,215
TAN01,TANATORI MUNICIPAL,Aigua,€,,SOREA,4755801,07/06/2011,0,0,,,,,216
HAB01,PIS SOCIAL,Electricitat dependències,€,ES0031408193249003AC0F,ENDESA ENERGÍA S.A.U.,82023424835,,,,,324.92,1270.94,1483.82,217
EP73,PASSEIG ESTACIO-ENLLUMENAT,Electricitat Quadres enllumenat,€,ES0031448492561001RH0F,ENDESA ENERGÍA S.A.U.,82013621360,,,,1189.74,3448.13,2629.07,2668.09,218
VAR01,CASETA MEDI AMBIENT,Electricitat dependències,€,ES0031446456670001LH0F,ENDESA ENERGÍA S.A.U.,82013618062,,1167.59,1357.73,1464.4,1443.35,1487.71,1539.9,219
EP74,C/ DONYA BLANCA SN COSTAT ET 1,Electricitat Quadres enllumenat,€,ES0031446459438001PZ0F,ENDESA ENERGÍA S.A.U.,82013703652,,8999.23,9084.45,6244.03,5256.57,3434.38,3389.12,220
HAB02,HABITATGE SOCIAL,Electricitat dependències,€,ES0031446453778001KS0F,ENDESA ENERGÍA S.A.U.,82013615665,,409.2,466.09,572.23,270.03,318.16,416.17,221
VAR02,PIS D'ACOLLIDA,Aigua,€,,SOREA,4751739,02/06/2011,31.53,13.02,,,,,222
VAR02,PIS D'ACOLLIDA,Electricitat dependències,€,ES0031446461309001MX0F,ENDESA ENERGÍA S.A.U.,82013641592,,1273.5,1254.44,1360.54,1114.15,816.08,531.76,223
HAB02,HABITATGE SOCIAL,Electricitat dependències,€,ES0031446453779001LA0F,ENDESA ENERGÍA S.A.U.,82033488109,,,,,,157.51,464.77,224
EP75,LLOC CAN OLIVERAS ENLLPUBLIC,Electricitat Quadres enllumenat,€,ES0031448070797001ZJ0F,ENDESA ENERGÍA S.A.U.,82013618520,,2801.62,2744.69,2790.99,2829.08,2216.98,1387.43,225
EQU01,MERCAT MUNICIPAL,Combustibles líquids dependències,€,,,12,,,,,,,862.5,226
HAB02,HABITATGE SOCIAL,Electricitat dependències,€,ES0031446453777001RG0F,ENDESA ENERGÍA S.A.U.,82034369842,,,,,,33.27,491.93,227
VAR03,DEIXALLERIA,Aigua,€,,SOREA,4751704,06/06/2011,77.21,167.88,,,,,228
VAR03,DEIXALLERIA,Electricitat dependències,€,ES0031446462803001DE0F,GAS NATURAL FENOSA,31204013292,31/08/2012,888.34,1248.5,796.71,,,,229
INC01,CONTRAINCENDIS,Aigua,€,,SOREA,4756663,08/06/2011,0,0,,,,,230
EQU01,MERCAT MUNICIPAL,Electricitat dependències,€,ES0031446458440001HF0F,,40035615053,30/06/2010,5554.77,,,,,,231
VAR03,DEIXALLERIA,Electricitat dependències,€,ES0031448352391001DE0F,ENDESA ENERGÍA S.A.U.,82013625194,,2386.83,2490.14,2172.31,2033.02,830.03,1242.69,232
MAG01,NAU+ENLLUM. C ST. FERRAN. 13 GAS MANLLEU,Electricitat dependències,€,ES0031446449166001JK0F,,40034700156,11/05/2010,73.85,,,,,,233
EQU01,MERCAT MUNICIPAL,Electricitat dependències,€,ES0031448443599012FS0F,GAS NATURAL FENOSA,31204013448,27/11/2012,,196.42,5868.87,,,,234
VAR04,EVENTUALS (Fires-Tonis-Pista Gel...),Electricitat dependències,€,ES0031448517954001EY0F,ENDESA ENERGÍA S.A.U.,82034787916,21/01/2016,,,,,7284.78,10668.47,235
MAG03,DIPÒSIT DE VEHICLES,Electricitat dependències,€,ES0031446457847001HQ0F,ENDESA ENERGÍA S.A.U.,82013616557,,283.8,305.22,188.71,206.19,312.07,312.27,236
EQU01,MERCAT MUNICIPAL,Electricitat dependències,€,ES0031448443599003FY0F,ENDESA ENERGÍA S.A.U.,82013614910,,,67.79,149.85,149.97,203.69,205.87,237
VAR05,"ERMITA ""EL FUGURULL""",Electricitat dependències,€,ES0031446463020001ZV0F,ENDESA ENERGÍA S.A.U.,82013723939,,898.22,707.62,892.95,1304.32,1865.89,1862.26,238
MAG04,TRUBINES DE CAN SANGLAS,Electricitat dependències,€,ES0031448223080001GJ0F,GAS NATURAL FENOSA,31204013259,19/02/2013,873.44,373.52,1037.09,100.33,,,239
EQU01,MERCAT MUNICIPAL,Electricitat dependències,€,ES0031448443599002FM0F,ENDESA ENERGÍA S.A.U.,82013717380,,,513.85,1515.73,1667.97,1151.06,1222.9,240
MAG05,CAL ALBAREDA-TALLER DE FORMACIÓ,Electricitat dependències,€,ES0031446462574001NX0F,ENDESA ENERGÍA S.A.U.,82013617132,,555.01,988.47,454.42,230.85,1020.07,1118.9,241
EQU01,MERCAT MUNICIPAL,Gas,€,ES0217010217297317AH,GAS NATURAL SERVICIOS,16738311,14/12/2012,,4.55,1407.71,,,,242
VAR08,EDIFICI CAMPANAR,Electricitat dependències,€,ES0031448051659001KZ0F,ENDESA ENERGÍA S.A.U.,82013724168,,6738.19,4235.94,5362.68,4949.01,4376.56,4188.9,243
VAR09,LLUMS ESCALES DE LA PÇA.FRA BERNADI,Electricitat dependències,€,ES0031446462913001PJ0F,GAS NATURAL FENOSA,31204013153,11/02/2013,3401.93,4533.89,8729.81,626.88,,,244
MAG06,MAGATZEM FOMENT,Electricitat dependències,€,ES0031446462521001PW0F,ENDESA ENERGÍA S.A.U.,82013617662,,562.77,1012.26,1093.12,1031.49,787.25,1079.11,245
EQU02,COMPORTA CANAL,Electricitat dependències,€,ES0031446453780001QZ0F,ENDESA ENERGÍA S.A.U.,82013615266,,179.53,223.16,262.4,266.94,273.89,286.38,246
VAR11,PIS D'ACOLLIDA,Aigua,€,,SOREA,111100011569,07/06/2011,47.18,13.55,,,,,247
MAG07,MAGATZEM MIT I BANC D'ALIMENTS,Electricitat dependències,€,ES0031448475205001TW0F,ENDESA ENERGÍA S.A.U.,82015332685,,,347.3,695.62,1472.01,2178.56,1998.76,248
EQU03,ESCOMESA RESCLOSA TEULA I ENLLUMENAT PÚBLIC DOLCET,Electricitat dependències,€,ES0031408337087001ZC0F,ENDESA ENERGÍA S.A.U.,82013620770,,909.03,1952.76,2265.69,3148.23,1184.97,1141.05,249
VAR13,EDIFICI MOLÍ MIARONS,Aigua,€,,SOREA,4756347,07/06/2011,32.85,13.42,,,,,250
NMU01,CONSORCI HOSPITALARI DE VIC,Aigua,€,,SOREA,4756815,08/06/2011,11212.11,3836.28,,,,,251
EQU04,TURBINES LES 3 FÀBRIQUES,Electricitat dependències,€,ES0031408359020001CJ0F,ENDESA ENERGÍA S.A.U.,82013699909,,2121.5,1624.14,3578.93,3761.81,1140.26,1917.99,252
VEH01,VEHICLES BRIGADA MUNICIPAL,Combustibles líquids altres,€,,,9,17/09/2013,5802.7,6313.23,4451.48,4892.32,,,253
NMU02,COLOM SCP,Aigua,€,,SOREA,4751740,08/06/2011,0,0,,,,,254
NMU04,CENTRE DE DIA JOSEP COSTA I RIQUÉ,Aigua,€,,SOREA,4752816,03/06/2011,247.74,166.7,,,,,255
NMU07,JORDI MACIÀ ARUMÍ,Aigua,€,,SOREA,4751736,03/06/2011,644.06,157.61,,,,,256
NMU08,JAUME TUBAU LATORRE,Aigua,€,,SOREA,4751741,07/06/2011,52.83,32.62,,,,,257
REG01,BOCA REG CTRA. OLOT,Aigua,€,,SOREA,4755786,08/06/2011,0,0,,,,,258
REG03,VIVERS,Aigua,€,,SOREA,4755792,06/06/2011,0,0,,,,,259
REG04,GIRATORI BENVINGUDES,Aigua,€,,SOREA,4755793,08/06/2011,0,0,,,,,260
REG05,BOCA REG C/ BELLFORT,Aigua,€,,SOREA,4755794,08/06/2011,0,0,,,,,261
REG06,BOCA REG C/ PINTOR GUARDIA,Aigua,€,,SOREA,4755797,08/06/2011,0,0,,,,,262
REG07,BOCA REG EL VERDAGUER (2),Aigua,€,,SOREA,4755804,06/06/2011,0,0,,,,,263
REG07,BOCA REG EL VERDAGUER (2),Aigua,€,,SOREA,4755850,06/06/2011,0,0,,,,,264
REG08,BOCA REG CAL XIC,Aigua,€,,SOREA,4755811,06/06/2011,0,0,,,,,265
REG09,GIRATORI PG ST. JOAN/AV.ROMA,Aigua,€,,SOREA,4755813,03/06/2011,0,0,,,,,266
REG10,BOCA REG- VILAMIROSA/ DOÑA BLANCA,Aigua,€,,SOREA,4755819,06/06/2011,0,0,,,,,267
REG11,BOCA REG VILAMIROSA/PUIG GUARDIA,Aigua,€,,SOREA,4755818,06/06/2011,0,0,,,,,268
REG12,GIRATORI CRTA RODA /AV. GARROTXA,Aigua,€,,SOREA,4755820,09/06/2011,0,0,,,,,269
REG13,BOCA REG PARC DEL BENET,Aigua,€,,SOREA,4755823,07/06/2011,0,0,,,,,270
REG14,BOCA REG AV ROMA - ALBERT BENET,Aigua,€,,SOREA,4755842,07/06/2011,0,0,,,,,271
REG15,BOCA REG C/ ROCA - AVDA ROMA,Aigua,€,,SOREA,4755843,07/06/2011,0,0,,,,,272
REG16,BOCA REG AVDA ROMA (costat caixa),Aigua,€,,SOREA,4755844,06/06/2011,0,0,,,,,273
REG17,BOCA REG TORRENT MAGI,Aigua,€,,SOREA,4755815,07/06/2011,0,0,,,,,274
REG18,BOCA REG P/ SARDANA,Aigua,€,,SOREA,4755783,06/06/2011,0,0,,,,,275
REG19,BOCA REG PL SANGLAS ALSINA,Aigua,€,,SOREA,4755784,07/06/2011,0,0,,,,,276
REG20,BOCA REG PSG. TER,Aigua,€,,SOREA,4755790,03/06/2011,0,0,,,,,277
