Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,Recaptació_líquida,Descripció_Orgànica,FID
02A4,45050,GENE-SUBV SOC PANP 2014 (fse),0,866.97,866.97,0,0,PROMOCIÓ ECONÒMICA,1
02A6,45050,GENE SOC. SUBV 16/FOAP/315/0144605,0,70513.5,70513.5,42349.5,42349.5,PROMOCIÓ ECONÒMICA,2
02B4,45050,GENE-SUBV INSERCIÓ RMI,0,3873.98,3873.98,0,0,PROMOCIÓ ECONÒMICA,3
02B5,45050,GENERALITAT SUBV SOC BTB 38/15 E1-05 DINAMITZACIÓ,0,1167.64,1167.64,0,0,PROMOCIÓ ECONÒMICA,4
02C1,45050,GENT SUBV EIXC2-ESTRATÈGIES INSERCIÓ,0,50935.91,50935.91,0,0,PROMOCIÓ ECONÒMICA,5
02C5,45050,GENERALITAT SUBV SOC BTB 38/15 E1-04 FSE TREBALLADORA SOCIAL,0,1164.89,1164.89,0,0,PROMOCIÓ ECONÒMICA,6
02D4,45050,GENE-SUBV AGENT OCUPACIÓ (fse),0,58.62,58.62,0,0,PROMOCIÓ ECONÒMICA,7
02D5,45050,GENERALITAT SUBV PIFE-072-15 CATALUNYA EMPRÈN FSE,0,22050,22050,0,0,PROMOCIÓ ECONÒMICA,8
02F4,45050,GENE-SUBV PLANIFICACIÓ ESTRATEGICA 2014 (fse),0,0.8,0.8,0,0,PROMOCIÓ ECONÒMICA,9
02F6,45050,GENE. SUBV PLANIFICACIÓ ESTRATÈGICA,0,7149.14,7149.14,0,0,PROMOCIÓ ECONÒMICA,10
02F6,45080,GENE. SUBV FINAL FOUR,0,1000,1000,0,0,PROMOCIÓ ECONÒMICA,11
01,11200,IBI RÚSTEGA,12000,0,12000,12900.78,0,ALCALDIA I RÈGIM INTERN,12
02G5,45050,GENERALITAT SUBV BTB 38/15 DX-03 FSE MANTENIMENT FIBRA ÓPTIC,0,3432.26,3432.26,0,0,PROMOCIÓ ECONÒMICA,13
01,11300,IBI URBANA,5650000,0,5650000,5532360,210608.61,ALCALDIA I RÈGIM INTERN,14
02H4,45050,GENE-SUBV TREBALL BARRIS (fse),0,32109.22,32109.22,0,0,PROMOCIÓ ECONÒMICA,15
02H5,45050,GENERALITAT SUBV SOC BTB 38/15 A1-01 ORIENTADOR,0,4348.81,4348.81,0,0,PROMOCIÓ ECONÒMICA,16
01,11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,1280000,0,1280000,1292644.03,1032930.21,ALCALDIA I RÈGIM INTERN,17
02H6,45050,GENE. SUBV INNOVACIÓ ESS ALTRES OPORTUNITATS ATS IE-11/16,0,28092.9,28092.9,0,0,PROMOCIÓ ECONÒMICA,18
02I5,45050,"GENERALITAT, SUBV INNOVACIÓ SOC B-065/15-01",0,1119.21,1119.21,0,0,PROMOCIÓ ECONÒMICA,19
02I6,45050,GENE - SOC. SUBV INNOVACIÓ B-032/16-03,0,5409.11,5409.11,0,0,PROMOCIÓ ECONÒMICA,20
02J3,45050,GENERALITAT.SOC SUBV FOAP 2013 (fse),0,1004.93,1004.93,0,0,PROMOCIÓ ECONÒMICA,21
02J4,45050,GENE-SOC SUBV FORMACIÓ FOAP 2014 (fse),0,3660,3660,0,0,PROMOCIÓ ECONÒMICA,22
02J5,45050,GENERALITAT SUBV MARMI/53/2015,0,3298.17,3298.17,0,0,PROMOCIÓ ECONÒMICA,23
01,11600,IMPOST SOBRE L'INCREMENT DE VALOR DELS TERRENYS URBANS,800000,0,800000,509665.18,433611.96,ALCALDIA I RÈGIM INTERN,24
02J6,45050,GENE. SUBV 2016/RMI/SPOO/0028 FSE,0,94060.01,94060.01,75472,75472,PROMOCIÓ ECONÒMICA,25
02K5,45050,GENERALITAT SUBV SOC BTB 38/15 B1-01 NETEJA,0,651.91,651.91,-1798.04,-1798.04,PROMOCIÓ ECONÒMICA,26
01,13000,IMPOST SOBRE ACTIVITATS ECONÒMIQUES,521000,0,521000,47667.55,47024.29,ALCALDIA I RÈGIM INTERN,27
02K6,45050,GENE. SUBV 2016/PANP/SPOO/0028 FSE,0,20971.4,20971.4,-280.8,-280.8,PROMOCIÓ ECONÒMICA,28
02L5,45050,GENERALITAT SUBV SOC BTB 38/15 DX-04 FSE AUXILIAR LLAR,0,447.91,447.91,0,0,PROMOCIÓ ECONÒMICA,29
