Nom_Curs,Data_Inici,Data_Fi,Hores_curs,FID,Alumnes,Anycurs
BUSINESS ENGLISH FOR TRAVELLERS A2- AULA SEFED (febrer),06/02/2015,20/02/2015,5,1,3,2015
PRESSUPOSTOS AMB EXCEL - AULA SEFED,18/02/2015,20/02/2015,8,2,2,2015
BUSINESS ENGLISH FOR TRAVELLERS B2- AULA SEFED (febrer),11/02/2015,23/02/2015,5,3,5,2015
BUSINESS ENGLISH FOR TRAVELLERS B1 - AULA SEFED (febrer) ,04/02/2015,25/02/2015,6,4,6,2015
COMPTABILITAT DOMÈSTICA AMB EXCEL- AULA SEFED,23/02/2015,27/02/2015,13,5,3,2015
EXCEL BÀSIC- AULA SEFED,23/03/2015,16/04/2015,33,6,2,2015
COMERÇ INTERNACIONAL - AULA SEFED ,16/03/2015,30/04/2015,66,7,7,2015
CATALÀ INTERMEDI 1,09/02/2015,03/06/2015,45,8,9,2015
"NETEJA DE SUPERFÍCIES I MOBILIARI EN EDIFICIS, LOCALS I DOMICILIS",09/02/2015,03/06/2015,312,9,10,2015
MONITOR/A DE LLEURE I SOCIOEDUCATIU,23/02/2015,03/06/2015,272,10,13,2015
CATALÀ BÀSIC 1,12/02/2015,04/06/2015,45,11,12,2015
MANIPULACIÓ ALIMENTS I - JUNY 2015,09/06/2015,10/06/2015,4,12,30,2015
MANIPULACIÓ ALIMENTS XINÈS  - JUNY 2015,17/06/2015,17/06/2015,4,13,13,2015
TALLER DE COMPTABILITAT INFORMATITZADA- AULA SEFED,02/02/2015,01/07/2015,216,14,14,2015
SESSIONS D'ANGLÈS COMERCIAL I ADMINISTRATIU B2 - AULA SEFED,16/03/2015,20/07/2015,43,15,10,2015
SESSIONS D'ANGLÈS COMERCIAL I ADMINISTRATIU B1 - AULA SEFED,18/03/2015,22/07/2015,30,16,5,2015
SESSIONS D'ANGLÈS COMERCIAL I ADMINISTRATIU A2 - AULA SEFED,20/03/2015,24/07/2015,30,17,4,2015
SESSIÓ FACTURA ELECTRÒNICA,30/07/2015,30/07/2015,2,18,0,2015
TALLER DE MARCA PERSONAL- AULA SEFED,01/06/2015,31/07/2015,90,19,13,2015
MANIPULACIÓ ALIMENTS II - SETEMBRE 2015,22/09/2015,23/09/2015,4,20,27,2015
ENGLISH CORNER. TALLER DE CONVERSA NIVELL A2 - AULA SEFED,18/09/2015,23/10/2015,12,21,4,2015
ENGLISH CORNER. TALLER DE CONVERSA NIVELL B2 - AULA SEFED,07/09/2015,26/10/2015,12,22,6,2015
INSTAL·LADOR FIBRA ÒPTICA,01/10/2015,27/10/2015,32,23,9,2015
ENGLISH CORNER. TALLER DE CONVERSA NIVELL B1- AULA SEFED,09/09/2015,28/10/2015,12,24,6,2015
MANIPULACIÓ D'ALIMENTS III - DESEMBRE 2015,01/12/2015,02/12/2015,4,25,22,2015
AULA D'AUTOAPRENENTATGE DE LLENGÜES,01/01/2015,31/12/2015,0,26,77,2015
CURS DE MANIPULACIÓ D'ALIMENTS 10H - 2015 / 2016,29/12/2015,19/01/2016,10,27,14,2015
CATALÀ INTERMEDI 1,28/09/2015,01/02/2016,45,28,16,2015
ACTIVITATS AUXILIARS DE MAGATZEM,21/12/2015,03/03/2016,190,29,15,2015
CURS  DE COCTELERIA,29/12/2015,15/03/2016,20,30,9,2015
2015 ACTIVITATS AUXILIARS DE COMERÇ,25/01/2016,29/04/2016,250,31,15,2016
"NETEJA DE SUPERFÍCIES I MOBILIARI EN EDIFICIS, LOCALS I DOMICILIS",08/02/2016,03/06/2016,312,32,9,2016
OPERARI DE MANTENIMENT D'EDIFICIS I INSTAL·LACIONS FIBRA ÒPTICA,08/02/2016,16/06/2016,348,33,9,2016
MANIPULACIÓ ALIMENTS (Abril 2016),29/04/2016,29/04/2016,4,34,9,2016
CURS DE SOCORRISME EN INSTAL·LACIONS AQUÀTIQUES,16/03/2016,31/05/2016,370,35,8,2016
TRACTAMENT DE LA INFORMACIÓ NUMÈRICA (ACTIC/C6) NIVELL MITJÀ,16/03/2016,21/04/2016,30,36,5,2016
CURS DE TREBALL EN EQUIP,23/05/2016,21/06/2016,30,37,8,2016
CURS MANIPULACIÓ D'ALIMENTS - OCTUBRE 2016,10/10/2016,10/10/2016,4,38,21,2016
CURS DE XARXES SOCIALS,13/06/2016,22/07/2016,30,39,8,2016
CURS OPERACIÓ DE CARRETONS Norma UNE-58451,14/06/2016,05/07/2016,24,40,10,2016
FINANCES PER NO FINANCERS,11/07/2016,28/09/2016,40,41,6,2016
COMERÇ ELECTRÒNIC I BOTGA VIRTUAL,11/07/2016,29/09/2016,30,42,4,2016
COMPTABILITAT BÀSICA,12/07/2016,29/07/2016,40,43,6,2016
COMUNICACIÓ I PUBLICITAT,21/07/2016,29/09/2016,30,44,5,2016
"FORMACIÓ BÀSICA EN INSTAL.LACIO, CONFIGURACIÓ I MANTENIMENTS DE XARXES",04/04/2016,13/05/2016,65,45,12,2016
GESTIÓ EMPRESARIALS PER A TREBALLADORS AUTÒNOMS,05/09/2016,29/09/2016,20,46,11,2016
ATENCIÓ AL CLIENT,13/09/2016,27/10/2016,30,47,8,2016
MARQUETING PER A EMPRESES D'ECONOMIA SOCIAL,05/07/2016,29/09/2016,40,48,12,2016
AL.LÈRGENS,07/11/2016,09/11/2016,0,49,7,2016
OPERACIÓ DE CARRETONS NORMA RENOVACIÓ UNE 58451,19/12/2016,20/12/2016,6,50,5,2016
ATENCIÓ SOCIOSANITARIA A PERSONES DEPENDENTS EN INSTITUCIONS,22/12/2016,31/07/2017,450,51,15,2016
