Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,F__Drets_reconeguts_nets_respect,Recaptació_líquida,F__Recaptació_neta_respecte_els,FID
02,46127,"DIPUTACIÓ, SUBV PROMOCIÓ COMERÇ",0,0,0,0,,0,,1
0205,46116,"DIPUTACIÓ, C SERV MERCAT MUNICIPAL",0,2000,2000,0,,0,,2
02,46128,"DIPUTACIÓ, SUBV INNOVACIÓ ESS",0,0,0,0,,0,,3
0205,46119,"DIPUTACIÓ, C SERV ECONOMIA SOCIAL I SOLIDARIA",0,0,0,0,,0,,4
02,46129,"DIPUTACIÓ, SUBV MANLLEU GALERIA ART (mga)",0,0,0,0,,0,,5
02,46130,"DIPUTACIÓ, SUBV MANLLEU GALERIA ART (mga)",0,0,0,0,,0,,6
02,46131,"DIPUTACIÓ, SUBV PROJ COWORKING LAB",0,0,0,0,,0,,7
02,46132,"DIPUTACIÓ, SUBV PROJ TU POTS FER-HO",0,0,0,0,,0,,8
02,46133,"DIPUTACIÓ, SUBV ACCIONS FORMATIVES",0,0,0,0,,0,,9
02,46500,CONSELL COMARCAL- SUBV. SEFED,3000,0,3000,0,,0,,10
0205,46120,"DIPUTACIÓ, C SERV PROMOCIÓ COMERÇ",0,826,826,0,,0,,11
0205,46121,"DIPUTACIÓ, C SUBV APARADORS ARTISTICS",0,2753.32,2753.32,0,,0,,12
02,47000,INFORM - SUBV. ESCOLA SEFED,115000,0,115000,0,,0,,13
0205,46122,DIPUTACIÓ C SERV DINAMITZACIÓ COMERCIAL,0,1239,1239,0,,0,,14
0205,46123,"DIPUTACIÓ, C SUBV ESPAIS BUITS APARADORS ARTIST",0,688.33,688.33,0,,0,,15
02,47002,APORTACIONS EMPRESES INNOVACAT,0,90000,90000,0,,0,,16
0205,46178,"DIPUTACIÓ, SUBV CENTRE EMPRESES (aj vic) 15/Y/205779",0,36739.36,36739.36,0,,0,,17
0205,46179,"DIPUTACIÓ, SUBV CARTA SERVEIS (aj vic) 15/Y/205786",0,12595.5,12595.5,0,,0,,18
02,55001,CANON MERCAT MUNICIPAL,0,16149.38,16149.38,16745.24,,16745.24,,19
0205,46180,"DIPUTACIÓ, SUBV SERVEI MERCAT TREBALL 15/Y/207536",0,17877.6,17877.6,0,,0,,20
02A4,45050,GENE-SUBV.SOC PANP 2014 (FSE),0,866.97,866.97,0,,0,,21
14,46113,"DIPUTACIÓ, SUBVENCIÓ ESPORTS",0,6000,6000,0,,0,,22
0205,46181,"DIPUTACIÓ, SUBV XALOC 15/Y/202577",0,10669.12,10669.12,0,,0,,23
02A5,45050,GENERALITAT-SOC SUBV 2015/PANP/SPO/011,0,62424.33,62424.33,0,,0,,24
14,46114,"DIPUTACIÓ, SUBV FESTIVALS ARTISTICS",0,2450,2450,0,,0,,25
0304,76101,DIPU-SUBV.ROTONDA CRUÏLLA B-522/BV/BV-5224,0,175530.23,175530.23,0,,0,,26
02B4,45050,GENE-SUBV.INSERCIÓ RMI,0,3873.98,3873.98,0,,0,,27
14,46116,"DIPUTACIÓ, SUBV ESCOLES BRESSOL",0,0,0,0,,0,,28
02B5,45050,GENE. SUBV SOC BTB 35/15 E1-05 DINAMITZACIÓ,0,5409.11,5409.11,0,,0,,29
14,46117,"DIPUTACIÓ, SUBV PFI-PTT 2016-17",0,0,0,0,,0,,30
0304,76102,DIPU - SUBV.ROTONDA PG. TER/CAN MOLAS,0,0,0,0,,0,,31
02C1,45050,GENT SUBV EIXC2-ESTRATÈGIES INSERCIO,0,50935.91,50935.91,0,,0,,32
14,46119,"DIPUTACIÓ, SUBV ACTIVITATS CULTURALS",0,14000,14000,0,,0,,33
02C5,45050,GENE SUBV SOC BTB 38/15 E1-04 FSE TREBALLADORA SOCIAL,0,5396.98,5396.98,0,,0,,34
14,46126,"DIPUTACIÓ, AJUT FINAL FOUR 16/Y/224452",0,2500,2500,0,,0,,35
0304,76103,DIPU -  SUBV.L1 XRXA GOVERNS LOCALS,0,17.22,17.22,0,,0,,36
02D3,45080,GENERALITAT.SOC SUBV INNOVADORS (fse),0,10413.23,10413.23,0,,0,,37
14,47001,APORTACIONS CURTMETRATGES,0,1890,1890,1890,,1890,,38
02D4,45050,GENE-SUBV.SOC AGENT OCUPACIÓ (FSE),0,0,0,0,,0,,39
14,47002,DONACIÓ BEQUES ESTUDIANTS,0,4000,4000,4000,,4000,,40
0304,76104,"DIPUTACIÓ, SUBV REHABILITACIÓ MOLI MIARONS",0,2271.42,2271.42,0,,0,,41
02D5,45050,GENE SUBV PIFE-072-15 CATALUNYA EMPREN FSE,0,22050,22050,0,,0,,42
14,55003,CONCESSIÓ BAR CAMP DE FUTBOL,0,7967.8,7967.8,4780.68,,4780.68,,43
02F5,45050,"GENERALITAT, SUBV PLANIFICACIÓ ESTRATEGICA PE-01/15",0,9157.28,9157.28,0,,0,,44
14,76100,"DIPUTACIÓ, MATERIAL ESPORTIU INVENTARIABLE",0,2340,2340,0,,0,,45
0305,45080,"GENERALITAT, SUBV PUOSC 2012/700",0,22104.28,22104.28,0,,0,,46
02G3,45050,GENERALITAT.SOC SUBV PLANS 2013/PANP/SPO/0068-FSE,0,1353.4,1353.4,0,,0,,47
01,11200,IBI RÚSTEGA,19550,0,19550,11669.51,,104.06,,48
0305,46125,SUBV ARRANJAMENT VESTUARIS CAMP MPAL ESPORTS,0,22897.42,22897.42,0,,0,,49
02G5,45050,GENE SUBV SOC BTB 38/15 DX-03 FSE MANT FIBRA ÓPTICA,0,15900.02,15900.02,0,,0,,50
14,78000,INGRESSOS PARTICULARS ESTATUA,0,0,0,1970,,1970,,51
01,11300,IBI URBANA,5496000,0,5496000,5610658.98,,2227965.06,,52
0305,55105,CONCESSIO SOREA,0,0,0,0,,0,,53
02H4,45050,GENE-SUBV TREBALL BARRIS (fse),0,32109.22,32109.22,0,,0,,54
14E,45030,GENE - SUBV. ESCOLES BRESSOL,126875,0,126875,0,,0,,55
01,11301,IBI URBANA,0,0,0,0,,0,,56
0305,75080,"GENERALITAT, SUBV PUOSC 2012/700",0,64510.34,64510.34,0,,0,,57
14E,46100,SUBVENCIÓ PROG.COMPL.FINANÇAMENT LLARS D'INFANTS,0,0,0,66473.71,,66473.71,,58
02H5,45050,GENE.SUBV SOC BTB 38/15 A1-01 ORIENTADOR,0,20146,20146,0,,0,,59
01,11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,1320000,0,1320000,1285103.59,,1144330.93,,60
0305,76103,"DIPUTACIÓ, SUBV SUBSTITUCIÓ PER LED",0,7450.92,7450.92,0,,0,,61
15,32900,"TAXA ENTRADES, TALLERS I ALTRES MUSEU",32000,0,32000,19085,,19085,,62
02I5,45050,"GENERALITAT, SUBV INNOVACIÓ SOC B-065/15-01",0,5396.25,5396.25,0,,0,,63
01,11600,IMPOST SOBRE L'INCREMENT DE VALOR DELS TERRENYS URBANS,555000,0,555000,356765.12,,265506.51,,64
0905,39800,INDEMNITZACIONS ASSEGURANCES,0,0,0,0,,0,,65
02J3,45050,GENERALITAT.SOC SUBV FOAP 2013 (FSE),0,1004.93,1004.93,0,,0,,66
15,34400,PREU PÚBLIC ACTIVITATS MUSEU,6000,0,6000,2962.9,,2962.9,,67
01,13000,IMPOST SOBRE ACTIVITATS ECONÒMIQUES,540000,0,540000,87539.06,,87109.85,,68
0905,46101,DIPU - SUBV. MEDIACIÓ CIUTADANA,0,0,0,0,,0,,69
01,30200,SERVEI DE RECOLLIDA D'ESCOMBRARIES,1280000,0,1280000,1269367.69,,1160514.62,,70
0905,46104,"DIPUTACIÓ, FONS DE PRESTACIÓ BENESTAR SOCIAL",0,6079.8,6079.8,0,,0,,71
01,32500,TAXA PER EXPEDICIÓ DE DOCUMENTS,18500,0,18500,7298.29,,7298.29,,72
0905,46124,"DIPUTACIÓ, SUBV COHESIÓ SOCIAL 2015",0,21875.14,21875.14,0,,0,,73
01,32900,EXPEDICIÓ DE PLAQUES I SIMILARS,3000,0,3000,572.5,,572.5,,74
0905,46133,DIPUTACIO - SUBV PLA GOVERNS LOCALS,0,0,0,0,,0,,75
01,33100,TAXA PER ENTRADA DE VEHICLES,99000,0,99000,0,,0,,76
02J4,45050,GENE-SOC SUBV.FORMACIÓ FOAP 2014 (FSE),0,3660,3660,0,,0,,77
15,34900,PREU PÚBLIC TURBINA MUSEU,10000,0,10000,3478.45,,0,,78
0905,46164,"DIPUTACIÓ, SUBV COHESIÓ SOCIAL 2015",0,0,0,0,,0,,79
01,33200,TAXA APROF. ESP. EMP. SUBMINISTRADORES,236000,0,236000,122308,,61818.26,,80
02J5,45050,GENE SUBV MARMI/53/2015,0,26906.71,26906.71,0,,0,,81
15,34901,BOTIGA MUSEU,3000,0,3000,1343.87,,1343.87,,82
01,33800,"COMPENSACIÓ DE TELEFONICA DE ESPAÑA, SA",45000,0,45000,24796.65,,24796.65,,83
0905,46194,"DIPUTACIÓ, SUBV IGUALTAT I CIUTADANIA",0,7129.03,7129.03,0,,0,,84
15,34902,VENDA DE LLIBRES,0,0,0,0,,0,,85
02K5,45050,GENE. SUBV SOC BTB 38/15 B1-01 NETEJA,0,3020,3020,0,,0,,86
01,34900,PREU PÚBLIC MATRIMONI CIVIL,1200,0,1200,490,,490,,87
02E4,45050,GENE-SOC AODL OCUPACIÓ I COMPETITIVITAT (FSE),0,141.19,141.19,0,,0,,88
15,36000,ACA APORTACIÓ MUSEU,32000,0,32000,0,,0,,89
02L5,45050,GENE SUBV SOC BTB 38/15 DX-04 FSE AUXILIAR LLAR,0,2074.97,2074.97,0,,0,,90
01,38900,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0,0,0,200,,200,,91
15,36001,PRESTACIÓ SERVEIS DIVERSOS MUSEU,16000,0,16000,0,,0,,92
02E5,45050,GENE SUBV SOC BTB 38/15 DX-08 FSE ENGINYER FIBRA OPTICA,0,4231.17,4231.17,0,,0,,93
02M5,45050,GENE SUBV SOC BTB 38/15 DX-02 FSE NETEJA SUPERFICIES,0,14524.78,14524.78,0,,0,,94
01,39110,MULTES PER INFRACCIONS TRIBUTÀRIES I ANÀLOGUES,7500,0,7500,2867.33,,916.35,,95
15,39900,"ESTUDIS, TREBALLS I ALTRES",0,0,0,1763.99,,1763.99,,96
09I5,45002,GENERALITAT CONT PROGRAMA SIAD,0,1254.07,1254.07,1150,,1150,,97
02N5,45050,GENE SUBV 15/FOAP/269/0126443 FSE,0,32424,32424,0,,0,,98
01,39190,ALTRES MULTES I SANCIONS,9000,0,9000,4499.64,,4499.64,,99
15,42200,FUNDACIÓ BIODIVERSITAT APORTACIÓ MUSEU,39317.5,0,39317.5,0,,0,,100
09T4,45030,GENE - SUBV. PROGRAMA SOCIAL SITUACIONS RISC,0,0,0,0,,0,,101
02Ñ5,45050,GENE SUBV TRANSVERSAL PT20150072,0,11250.58,11250.58,0,,0,,102
15,45050,GENE - SUBV. ANTENA MUSEU,8000,0,8000,0,,0,,103
01,39200,RECÀRREC PER DECLARACIÓ EXTEMPORÀNIA SENSE REQUERIMENT PREVI,1000,0,1000,981.04,,923.25,,104
10,30300,TAXA DEIXALLERIA,14000,0,14000,5326.32,,3755.33,,105
03,34902,RECAPTACIÓ PARQUING I ZONA BLAVA,0,46255.4,46255.4,83029.29,,81506.32,,106
02O5,45050,GENE SUBV SECTORIAL PS20150045,0,13381.6,13381.6,0,,0,,107
15,45200,MUSEU DE LA CIÈNCIA - APORTACIÓ,15000,0,15000,0,,0,,108
01,39211,RECÀRREC DE CONSTRENYIMENT,7500,0,7500,3778.6,,3778.6,,109
03,39900,LLOGUERS PLAÇA LLEVANT,6000,0,6000,3345,,3345,,110
15,46100,DIPU - SUBV. DIVERSES MUSEU,5000,0,5000,0,,0,,111
10,33900,TAXA HORTS,4100,0,4100,2321.25,,2321.25,,112
02P4,45050,GENE-SUBV.SOC PIRMI (FSE),0,8639.96,8639.96,0,,0,,113
01,39300,INTERESSOS DE DEMORA,21500,0,21500,13827.39,,13472.92,,114
03,39901,"LLUM, GAS I ALTRES PISOS LLOGUER",3000,0,3000,1632.5,,1632.5,,115
15,46115,"DIPUTACIÓ, SUBV XARXA MUSEUS",0,0,0,0,,0,,116
10,34900,PREU PÚBLIC ENERGIA DEIXALLERIA,2200,0,2200,1875.81,,0,,117
02P5,45050,GENE SUBV SOC BTB 38/15 DX-10 FSE TREBALL SOCIOEDUCATIU,0,2761.06,2761.06,0,,0,,118
01,39800,INDEMNITZACIONS D'ASSEGURANCES DE NO-VIDA,6000,0,6000,1376.23,,1376.23,,119
15,46116,DIPUTACIÓ SUBV TEATRALITZACIÓ,0,0,0,0,,0,,120
03,46100,"DIPUTACIÓ, CONVENI SIDH-SAC",0,10095.65,10095.65,0,,0,,121
02Q5,45050,"GENERALITAT, SUBV SOC B-041/15-02",0,5409.11,5409.11,0,,0,,122
10,39900,INGRESSOS SISTEMA INTEGRAT DE GESTIÓ,60000,0,60000,0,,0,,123
02R5,45050,"GENERALITAT, SUBV SOC B-041/15-01",0,5409.11,5409.11,0,,0,,124
