codi,Nom_centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2012,F2013,F2014,F2015,F2016,FID
EP65,SECTOR CAN P. AP SECTOR PMU 1.,Electricitat Quadres d'enllumenat,kWh,ES0031408396202001MY0F,ENDESA ENERGÍA S.A.U.,409241515,,13604,13619,14897,14779,15008,20
EP66,PL. POU I SOLA,Electricitat Quadres d'enllumenat,kWh,ES0031408408662001WD0F,ENDESA ENERGÍA S.A.U.,409247789,,30908,32280,32011,35234,33128,21
EP67,C/ VENDRELL-PASEO,Electricitat Quadres d'enllumenat,kWh,ES0031448537202001JL0F,ENDESA ENERGÍA S.A.U.,430482601,,0,0,0,0,15299,22
EP68,C/ VILAMONTA-ENLLUMENAT P COSTAT PISTA MANLLEU B,Electricitat Quadres d'enllumenat,kWh,ES0031448468215001DR0F,ENDESA ENERGÍA S.A.U.,409262116,,9363,9236,9315,9039,9201,23
EP69,C/ EDUARD RIFA ENLLPUBLIC MANLLEU BARCELONA,Electricitat Quadres d'enllumenat,kWh,ES0031448469860001TH0F,ENDESA ENERGÍA S.A.U.,409262457,,7009,16013,11910,12856,11433,24
EP72,CRUÏLLA CTRA.D'OLOT-AVGDA GARROTXA,Electricitat Quadres d'enllumenat,kWh,ES0031408440712001WS0F,ENDESA ENERGÍA S.A.U.,409268617,,25474,24344,23909,21951,24547,25
EP73,PASSEIG ESTACIO-ENLLUMENAT,Electricitat Quadres d'enllumenat,kWh,ES0031448492561001RH0F,ENDESA ENERGÍA S.A.U.,409242736,,3772,16302,15616,15978,15510,26
EP74,C/ DONYA BLANCA SN COSTAT ET 1,Electricitat Quadres d'enllumenat,kWh,ES0031446459438001PZ0F,ENDESA ENERGÍA S.A.U.,409325028,,31652,26300,20175,25744,25152,27
EP75,LLOC CAN OLIVERAS ENLLPUBLIC,Electricitat Quadres d'enllumenat,kWh,ES0031448070797001ZJ0F,ENDESA ENERGÍA S.A.U.,409239896,,12409,13706,12799,7452,5594,28
SMF01,SEMAFORS PG. ST JOAN,Electricitat Quadres d'enllumenat,kWh,ES0031446458809001FH0F,ENDESA ENERGÍA S.A.U.,409233909,,1667,1680,1643,1633,1618,29
SMF03,SEMAF. - AV. ROMA ZONA IL·LUM.,Electricitat Quadres d'enllumenat,kWh,ES0031446460836001WM0F,ENDESA ENERGÍA S.A.U.,409971350,,11460,12415,12711,8663,1426,30
MAG03,DIPÒSIT DE VEHICLES,Electricitat dependències,kWh,ES0031446457847001HQ0F,ENDESA ENERGÍA S.A.U.,409237933,,324,277,453,419,373,31
ADM02,AJUNTAMENT,Electricitat dependències,kWh,ES0031446461083001TP0F,ENDESA ENERGÍA S.A.U.,409334996,,162314,156190,153437,148505,148488,32
SMF04,SEMAFOR -PUIGPAR. ZONA IL·LUM.,Electricitat Quadres d'enllumenat,kWh,ES0031446458817001XZ0F,ENDESA ENERGÍA S.A.U.,409234854,,1448,1661,1627,1679,1700,33
