PROCEDIMENT,F2014,F2015,F2016,FID
Canvi no substancial d'una activitat (OBS),1,0,0,1
Cèdula d'habitabilitat (OBS),1,1,22,2
Cèdules urbanístiques,0,0,1,3
Certificat d'aprofitament urbanístic,1,1,0,4
Certificat de legalitat i antiguitat (OBS),2,0,4,5
Certificat de qualificació urbanística (OBS),7,9,15,6
Certificat o informe de compatibilitat urbanística,3,5,7,7
Comunicació de canvi de titularitat d'activitats (FUE),44,33,49,8
Comunicació prèvia a l'exercici d'activitats de restauració o d'espectacles públics (Decret 112/2010) (OBS),1,0,0,9
Comunicació prèvia ambiental municipal (Annex III) (FUE) (OBS),6,8,2,10
Comunicació prèvia de modificació no substancial d'una activitat amb efectes sobre les persones o el medi ambient (FUE) (OBS),5,9,11,11
Comunicació prèvia d'obertura (FUE) (OBS),37,28,11,12
Comunicació prèvia d'obres (OBS),212,204,271,13
"Comunicació prèvia municipal d'establiments fixos oberts al públic, d'espectacles públics i activitats recreatives ordinàries (FUE)",1,3,1,14
Comunicació prèvia municipal per a espectacles públics o activitats recreatives de caràcter extraordinari (FUE),0,0,1,15
"Comunicacions prèvies per a construccions i instal·lacions de nova planta, i les obres d'ampliació, reforma, modificació, rehabilitació o demolició d'aquelles existents que no requereixen l'elaboració d'un projecte tècnic",0,0,8,16
Declaració responsable d'obertura (FUE) (OBS),2,5,17,17
Elaborar o modificar el planejament urbanístic,8,5,8,18
Informe previ en matèria d'incendis (FUE),0,1,2,19
Informe urbanístic associat a la tramitació d'activitats (FUE),0,1,0,20
Inspecció i control periòdics d'activitat,2,4,6,21
Llicència ambiental (Annex II) (FUE) (OBS),3,3,1,22
Llicència de parcel·lació urbanística / declaració innecessarietat / divisió en propietat horitzontal (OBS),13,11,8,23
Llicència de primera ocupació urbanística,2,12,13,24
Llicència municipal per a espectacles públics o activitats recreatives de caràcter extraordinari (FUE),0,0,1,25
Llicències d'obres amb projecte,85,80,37,26
Llicències d'obres majors,0,0,4,27
Llicències d'obres menors,0,0,1,28
Llicències d'obres sense projectes,106,84,49,29
Ofici o denúncia de disciplina urbanística,67,65,45,30
Procediment sancionador amb tramitació abreujada,3,4,0,31
Retorn d'avals de llicències d'obres amb i sense projecte,18,37,20,32
Sol·licitud d'alta/modificació de llicència de guals,32,32,26,33
