codi,Centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
EP11,VOLTREGA 155-2,Electricitat Quadres enllumenat,Kwh,ES0031446462180001VT0F,ENDESA ENERGÍA S.A.U.,82013628750,,7274,28891,24051,21017,22001,21552,187
REG11,BOCA REG VILAMIROSA/PUIG GUARDIAL,Aigua,m3,,SOREA,4755818,06/06/2011,292,87,,,,,188
EP12,AVDA DIPUTACIO DAVANT Nº6,Electricitat Quadres enllumenat,Kwh,ES0031446462012001AS0F,ENDESA ENERGÍA S.A.U.,82013706292,,40467,42555,42199,38304,45350,38769,189
REG16,BOCA REG AV ROMA (costat caixa),Aigua,m3,,SOREA,4755844,06/06/2011,94,40,,,,,190
EP13,PTGE VENDRELL. SN,Electricitat Quadres enllumenat,Kwh,ES0031446461202001EY0F,ENDESA ENERGÍA S.A.U.,82013706634,,46104,43600,40666,40693,40319,38867,191
REG18,BOCA REG PL SARDANA,Aigua,m3,,SOREA,4755783,06/06/2011,0,8359,,,,,192
EP14,PASSEIG TER S/N PAVELLO ESPORT,Electricitat Quadres enllumenat,Kwh,ES0031446462880001EH0F,ENDESA ENERGÍA S.A.U.,82013642864,,34209,53228,51735,51629,52425,51461,193
REG21,BOCA REG TORRENT DE LA BORINA,Aigua,m3,,SOREA,4755791,06/06/2011,0,0,,,,,194
EP15,C/ VAZQUEZ MELLA. 24,Electricitat Quadres enllumenat,Kwh,ES0031408345376001LG0F,ENDESA ENERGÍA S.A.U.,82013646801,,54990,58873,48770,51049,53003,47529,195
REG22,BOCA REG PINTOR GUÀRDIA,Aigua,m3,,SOREA,4755795,06/06/2011,81,0,,,,,196
EP16,ROMA S/N 4,Electricitat Quadres enllumenat,Kwh,ES0031446460918001WX0F,ENDESA ENERGÍA S.A.U.,82013643245,,25136,25013,23975,36598,74218,53022,197
REG25,BOCA REG PARC DE L'ERM,Aigua,m3,,SOREA,4755814,06/06/2011,5285,690,,,,,198
EP17,PLAÇA ST HIGINI SN COSTAT Nº3,Electricitat Quadres enllumenat,Kwh,ES0031446461358001LC0F,ENDESA ENERGÍA S.A.U.,82013724514,,57549,55982,49589,48844,49339,50862,199
REG32,BOCA REG C/ BAIXADA BONET,Aigua,m3,,SOREA,4755841,06/06/2011,119,0,,,,,200
EP20,HORTA FONTS/N,Electricitat Quadres enllumenat,Kwh,ES0031446447789001JP0F,ENDESA ENERGÍA S.A.U.,82013707959,,35630,41047,40851,39550,36127,35306,201
REG35,BOCA REG CTRA OLOT,Aigua,m3,,SOREA,4755806,06/06/2011,255,95,,,,,202
EP23,PASSEIG TER SN DAVANT Nº30,Electricitat Quadres enllumenat,Kwh,ES0031446449168001PC0F,ENDESA ENERGÍA S.A.U.,82013708494,,58035,57580,55764,56403,45110,31440,203
REG35,BOCA REG CTRA OLOT,Aigua,m3,,SOREA,4755807,06/06/2011,0,0,,,,,204
EP24,PASSEIG TER S/N DAVANT SAFARE,Electricitat Quadres enllumenat,Kwh,ES0031446450655001PR0F,ENDESA ENERGÍA S.A.U.,82013643591,,17199,16797,16456,15406,16924,16677,205
REG41,FONT I REG PARC C. AMISTAT - AV. ROMA,Aigua,m3,,SOREA,4756391,06/06/2011,0,22,,,,,206
EP25,PASSEIG SANT JOAN S/N,Electricitat Quadres enllumenat,Kwh,ES0031446449246001LG0F,ENDESA ENERGÍA S.A.U.,82013709027,,63515,58406,54101,52434,54308,57689,207
VAR03,DEIXALLERIA,Aigua,m3,,SOREA,4751704,06/06/2011,8534,236,,,,,208
EP26,SANT JOAN 70-19,Electricitat Quadres enllumenat,Kwh,ES0031446461032001JE0F,ENDESA ENERGÍA S.A.U.,82013643849,,33746,33437,28985,29143,29640,33578,209
CEM01,CEMENTIRI MUNICIPAL,Aigua,m3,,SOREA,4751720,03/06/2011,223,64,,,,,210
EP27,PINTOR GUARDIA S/N COSTAT Nº9,Electricitat Quadres enllumenat,Kwh,ES0031446459433001KM0F,ENDESA ENERGÍA S.A.U.,82013709620,,61268,77399,76659,72529,74883,72211,211
EP28,MIRIANA SN DAVANT Nº8,Electricitat Quadres enllumenat,Kwh,ES0031408411383001VV0F,ENDESA ENERGÍA S.A.U.,82013618915,,22182,21894,20450,13386,25699,19915,212
ESC09,LLAR D'INFANTS COLORS,Aigua,m3,,SOREA,4754096,03/06/2011,346,151,,,,,213
EP29,BORINA S/N,Electricitat Quadres enllumenat,Kwh,ES0031446451871001TZ0F,ENDESA ENERGÍA S.A.U.,82013629239,,17142,17025,14986,16266,15368,16187,214
FON01,FONT Pg. ST. JOAN- C/GLEVA,Aigua,m3,,SOREA,4755780,03/06/2011,15,3,,,,,215
EP30,CAVALLERIA.62 NUM 22,Electricitat Quadres enllumenat,Kwh,ES0031408466042002KR0F,ENDESA ENERGÍA S.A.U.,82034674625,,,,,,,7847,216
NMU04,CENTRE DE DIA JOSEP COSTA I RIQUÉ,Aigua,m3,,SOREA,4752816,03/06/2011,349,234,,,,,217
EP32,BELLFORT S/N FINAL COST.ET 161,Electricitat Quadres enllumenat,Kwh,ES0031446457836001TX0F,ENDESA ENERGÍA S.A.U.,82013710746,,60325,55377,53927,53484,54766,54676,218
NMU07,JORDI MACIÀ ARUMÍ,Aigua,m3,,SOREA,4751736,03/06/2011,907,221,,,,,219
EP33,AUSETANIA 31-37,Electricitat Quadres enllumenat,Kwh,ES0031446462685001PN0F,ENDESA ENERGÍA S.A.U.,82013644031,,42497,44214,41335,40938,41172,35619,220
EP34,BARCELONA COSTAT Nº2,Electricitat Quadres enllumenat,Kwh,ES0031446462762001KP0F,ENDESA ENERGÍA S.A.U.,82013629769,,21464,21025,20823,20658,20738,20604,221
EP35,ROCA S/N ENTL,Electricitat Quadres enllumenat,Kwh,ES0031446463256001VZ0F,ENDESA ENERGÍA S.A.U.,82013630428,,2354,15681,12636,12998,15007,14164,222
EP36,C/ RUPIT S/N COSTAT ET 16196,Electricitat Quadres enllumenat,Kwh,ES0031446457159001MS0F,ENDESA ENERGÍA S.A.U.,82013644268,,78678,79284,76023,72467,76225,77145,223
EP37,FONT DE TARRÉS POL COROMINA SN,Electricitat Quadres enllumenat,Kwh,ES0031446457733001FG0F,ENDESA ENERGÍA S.A.U.,82013631121,,14995,13967,14368,14011,15202,14746,224
EP38,MOSSEN AULET S/N,Electricitat Quadres enllumenat,Kwh,ES0031446459001001YZ0F,ENDESA ENERGÍA S.A.U.,82013644707,,39891,41807,42479,41990,42713,42993,225
EP39,"C/ PLA DELS ESTUDIANTS 0, AP",Electricitat Quadres enllumenat,Kwh,ES0031446458024001DP0F,ENDESA ENERGÍA S.A.U.,82013631683,,10219,24284,27529,33256,36413,34750,226
EP40,PLA DELS ESTUDIANTS CANTONADA,Electricitat Quadres enllumenat,Kwh,ES0031446458023001BC0F,ENDESA ENERGÍA S.A.U.,82013644901,,10967,11055,31070,34023,41145,37203,227
EP41,FRANCESC PUGUET COST. ET 16259,Electricitat Quadres enllumenat,Kwh,ES0031446455030001SX0F,ENDESA ENERGÍA S.A.U.,82013711281,,49417,44942,44767,45033,41932,42731,228
EP42,ANDREU COSTA SN DARRERA ET 162,Electricitat Quadres enllumenat,Kwh,ES0031446455055001KD0F,ENDESA ENERGÍA S.A.U.,82013632313,,23440,23924,22574,18740,21970,24328,229
EP43,AVDA. PUIGMAL-S/N COSTAT 40,Electricitat Quadres enllumenat,Kwh,ES0031446454945001EH0F,ENDESA ENERGÍA S.A.U.,82014695777,,55183,56612,54368,51675,52905,53661,230
EP44,MAGI-S/N 25,Electricitat Quadres enllumenat,Kwh,ES0031446456554001JF0F,ENDESA ENERGÍA S.A.U.,82013712711,,58838,53283,53678,47751,42482,40942,231
EP45,CTRA D'OLOT CANTONADA LLEIDA,Electricitat Quadres enllumenat,Kwh,ES0031446455437001RW0F,ENDESA ENERGÍA S.A.U.,82013645151,,38064,38529,36472,25884,17241,35692,232
EP46,LLEIDA S/N CANTONADA CABRERA,Electricitat Quadres enllumenat,Kwh,ES0031446455108001WV0F,ENDESA ENERGÍA S.A.U.,82013645428,,34169,32300,29369,18743,12396,11535,233
EP47,SERRAT DE LES ESQUITLLERES C25,Electricitat Quadres enllumenat,Kwh,ES0031446382705001XM0F,ENDESA ENERGÍA S.A.U.,82013633184,,7066,7233,7091,7305,7313,7176,234
EP48,PS SANT JOAN EDI. ROTONDA,Electricitat Quadres enllumenat,Kwh,ES0031446382990001GN0F,ENDESA ENERGÍA S.A.U.,82013633910,,16553,18108,16271,13578,17767,13365,235
EP50,SERRALLO S/N COSTAT ET 16266,Electricitat Quadres enllumenat,Kwh,ES0031446463260001FN0F,ENDESA ENERGÍA S.A.U.,82013634397,,14283,13306,11866,4856,12559,11610,236
EP51,PUIGGUARDIAL S/N COSTAT Nº153,Electricitat Quadres enllumenat,Kwh,ES0031446463261001MT0F,ENDESA ENERGÍA S.A.U.,82013635143,,17850,16715,15604,15170,16712,16322,237
EP52,POMPEU FABRA S/N COST.ET 16237,Electricitat Quadres enllumenat,Kwh,ES0031446454053001HG0F,ENDESA ENERGÍA S.A.U.,82013635713,,18421,19110,18769,15454,18357,18102,238
EP53,PG. DEL TER (Davant MIT),Electricitat Quadres enllumenat,Kwh,ES0031446474638001LG0F,ENDESA ENERGÍA S.A.U.,82013645622,,37090,37277,33289,30354,33384,38705,239
EP54,PS. SANT JOAN ROTONDA,Electricitat Quadres enllumenat,Kwh,ES0031448018945001QH0F,ENDESA ENERGÍA S.A.U.,82013636434,,22536,22295,55768,57124,57917,56141,240
EP55,CTRA.RODA SN CANT. AVDA GARROT,Electricitat Quadres enllumenat,Kwh,ES0031448011792001EH0F,ENDESA ENERGÍA S.A.U.,82013645846,,20929,20727,18139,15253,19072,12158,241
EP56,VILAMIROSA CANTONADA PUIGAURDI,Electricitat Quadres enllumenat,Kwh,ES0031448015222001KM0F,ENDESA ENERGÍA S.A.U.,82013646081,,25701,25969,23195,21151,24232,27455,242
EP57,TER -PUIGPARDINES,Electricitat Quadres enllumenat,Kwh,ES0031448061369001FN0F,ENDESA ENERGÍA S.A.U.,82013646187,,30028,36611,31273,29996,31477,29402,243
EP58,VILAMIROSA ZONA S/N LES HORTES,Electricitat Quadres enllumenat,Kwh,ES0031446475789001ZS0F,ENDESA ENERGÍA S.A.U.,82013646284,,18498,42231,36898,39591,45033,41740,244
EP59,C/ TORRENT MAGI-PARQUE PARC MAGI,Electricitat Quadres enllumenat,Kwh,ES0031448098189001PW0F,ENDESA ENERGÍA S.A.U.,82013637252,,12557,11683,11356,9955,13826,11164,245
EP60,CR GLEVA. CM LA PIARA ET 55751,Electricitat Quadres enllumenat,Kwh,ES0031448148654001FN0F,ENDESA ENERGÍA S.A.U.,82013639887,,7367,7314,7159,5247,4564,4748,246
EP61,C. COLLSACABRA LDO Nº 12,Electricitat Quadres enllumenat,Kwh,ES0031408193143001HW0F,ENDESA ENERGÍA S.A.U.,82013625973,,27064,28871,29533,27892,27715,28460,247
EP62,PG. ANGELA ROCA,Electricitat Quadres enllumenat,Kwh,ES0031408160106001EH0F,ENDESA ENERGÍA S.A.U.,82013647045,,85768,83462,77025,76768,76489,64409,248
EP63,FONT TARRES,Electricitat Quadres enllumenat,Kwh,ES0031408218254001JQ0F,ENDESA ENERGÍA S.A.U.,82013619431,,10241,10785,9630,10357,10507,10460,249
EP64,SANT PERE / AV. DE ROMA,Electricitat Quadres enllumenat,Kwh,ES0031448284684001CP0F,ENDESA ENERGÍA S.A.U.,82013640434,,23093,21466,20223,19083,21121,19485,250
EP65,SECTOR CAN P. AP SECTOR PMU 1.,Electricitat Quadres enllumenat,Kwh,ES0031408396202001MY0F,ENDESA ENERGÍA S.A.U.,82013620139,,15454,14629,13604,13619,14897,14779,251
EP66,PL. POU I SOLA,Electricitat Quadres enllumenat,Kwh,ES0031408408662001WD0F,ENDESA ENERGÍA S.A.U.,82013626413,,40831,39801,30908,32280,32011,35234,252
EP68,C/ VILAMONTA-ENLLUMENAT P COSTAT PISTA MANLLEU B,Electricitat Quadres enllumenat,Kwh,ES0031448468215001DR0F,ENDESA ENERGÍA S.A.U.,82013640740,,2528,11759,9363,9236,9315,9039,253
EP69,C/ EDUARD RIFA ENLLPUBLIC MANLLEU BARCELONA,Electricitat Quadres enllumenat,Kwh,ES0031448469860001TH0F,ENDESA ENERGÍA S.A.U.,82013641081,,1614,4968,7009,16013,11910,12856,254
EP72,CRUÏLLA CTRA.D'OLOT-AVGDA GARROTXA,Electricitat Quadres enllumenat,Kwh,ES0031408440712001WS0F,ENDESA ENERGÍA S.A.U.,82013647241,,24155,28976,25474,24344,23909,21951,255
EP73,PASSEIG ESTACIO-ENLLUMENAT,Electricitat Quadres enllumenat,Kwh,ES0031448492561001RH0F,ENDESA ENERGÍA S.A.U.,82013621360,,,,3772,16302,15616,15978,256
EP74,C/ DONYA BLANCA SN COSTAT ET 1,Electricitat Quadres enllumenat,Kwh,ES0031446459438001PZ0F,ENDESA ENERGÍA S.A.U.,82013703652,,66758,65307,31652,26300,20175,25744,257
EP75,LLOC CAN OLIVERAS ENLLPUBLIC,Electricitat Quadres enllumenat,Kwh,ES0031448070797001ZJ0F,ENDESA ENERGÍA S.A.U.,82013618520,,17288,14097,12409,13706,12799,7452,258
SMF01,SEMAFORS PG. ST JOAN,Electricitat Quadres enllumenat,Kwh,ES0031446458809001FH0F,ENDESA ENERGÍA S.A.U.,82013612533,,851,1686,1667,1680,1643,1633,259
SMF03,SEMAF. - AV. ROMA ZONA IL·LUM.,Electricitat Quadres enllumenat,Kwh,ES0031446460836001WM0F,ENDESA ENERGÍA S.A.U.,82014349974,,11365,11383,11460,12415,12711,8663,260
SMF04,SEMAFOR -PUIGPAR. ZONA IL·LUM.,Electricitat Quadres enllumenat,Kwh,ES0031446458817001XZ0F,ENDESA ENERGÍA S.A.U.,82013613478,,600,1509,1448,1661,1627,1679,261
SMF05,SEMAFOR -ST. JOAN ZONA IL·LUM.,Electricitat Quadres enllumenat,Kwh,ES0031446461031001QB0F,ENDESA ENERGÍA S.A.U.,82013614034,,10981,2874,2193,2196,2230,1875,262
FON12,FONT DE LA MARE DE DÉU,Electricitat altres,Kwh,ES0031446444315001XC0F,ENDESA ENERGÍA S.A.U.,82013616162,,1577,1363,1363,1682,642,157,263
ADM02,AJUNTAMENT,Gas,Kwh,ES0217010161678289MG,ENDESA ENERGÍA S.A.U.,999406000000,,253933,195351,226757,220115,175978,208558,264
ENT01,CAN PUGET,Gas,Kwh,ES0217010254760374HP,ENDESA ENERGÍA S.A.U.,86159970927,,,,,,29434,51512,265
ENT02,MUSEU INDUSTRIAL DEL TER,Gas,Kwh,ES0217010238592308FE,ENDESA ENERGÍA S.A.U.,86161721705,,,,,,39822,117810,266
ESC01,ESCOLA PUIG-AGUT,Gas,Kwh,ES0230010000176324ZE,ENDESA ENERGÍA S.A.U.,86161367029,,,,,,37792,130076,267
ESC08,SIDRAL-PATALARGA,Gas,Kwh,ES0217010222363279ST,ENDESA ENERGÍA S.A.U.,999406000000,,50921,39513,42477,93951,4429,10793,268
ESC09,LLAR D'INFANTS COLORS,Gas,Kwh,ES0217010253643352MG,ENDESA ENERGÍA S.A.U.,999405000000,,201080,200604,206322,211749,189697,196920,269
ESC10,ESCOLA QUATRE VENTS,Gas,Kwh,ES0230010289972481XC,ENDESA ENERGÍA S.A.U.,86161649496,,322778,293156,265219,155690,140239,157494,270
ESP02,PISCINA COBERTA,Gas,Kwh,ES0230010272367478SE,ENDESA ENERGÍA S.A.U.,999406000000,,1838407,1393450,1359223,1467886,1214246,1381684,271
ESP02,PISCINA COBERTA,Gas,Kwh,ES0217010161679290WQ,ENDESA ENERGÍA S.A.U.,999406000000,,7210,7272,24922,24546,12866,18768,272
EQU01,MERCAT MUNICIPAL,Combustibles líquids dependències,Kwh,12,,12,,,,,,,14708,273
EQU11,CENTRE EL CANAL,Combustibles líquids dependències,Kwh,11,,11,,,,29415,50006,107855,58830,274
ESC03,ESCOLA POMPEU FABRA,Combustibles líquids dependències,Kwh,2,,2,,165871,164449,196100,215710,205905,201003,275
ESP01,PAVELLÓ D'ESPORTS,Combustibles líquids dependències,Kwh,3,,3,,247164,180412,252969,171097,201003,178569,276
ESP03,CAMP DE FUTBOL,Combustibles líquids dependències,Kwh,7,,7,,39642,,,49005,148575,166205,277
