codi,Nom_centre,Tipus_de_consum,Import,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2012,F2013,F2014,F2015,F2016,FID
EP32,BELLFORT S/N FINAL COST.ET 161,Electricitat Quadres enllumenat,€,ES0031446457836001TX0F,ENDESA ENERGÍA S.A.U.,409332122,,8283.37,7777.28,7631.86,7680.95,7418.37,75
EP62,PG. ANGELA ROCA,Electricitat Quadres enllumenat,€,ES0031408160106001EH0F,ENDESA ENERGÍA S.A.U.,409268421,,11371.06,11516.63,10643.36,9362.45,7755.57,76
EQU01,MERCAT MUNICIPAL,Electricitat dependències,€,ES0031448443599003FY0F,ENDESA ENERGÍA S.A.U.,409236286,,149.85,149.97,203.69,205.87,224.78,77
EP33,AUSETANIA 31-37,Electricitat Quadres enllumenat,€,ES0031446462685001PN0F,ENDESA ENERGÍA S.A.U.,409265407,,5617.62,6943.15,7095.89,6474.48,7194.5,78
EP63,FONT TARRES,Electricitat Quadres enllumenat,€,ES0031408218254001JQ0F,ENDESA ENERGÍA S.A.U.,409240807,,1388.13,1380.77,1417.79,1491.81,1346.74,79
EQU01,MERCAT MUNICIPAL,Electricitat dependències,€,ES0031448443599012FS0F,GAS NATURAL FENOSA,1139242376,27/11/2012,5868.87,0,0,0,0,80
EP34,BARCELONA COSTAT Nº2,Electricitat Quadres enllumenat,€,ES0031446462762001KP0F,ENDESA ENERGÍA S.A.U.,409251145,,2471.05,2293.5,2296.03,2492.66,2451.01,81
EP64,SANT PERE / AV. DE ROMA,Electricitat Quadres enllumenat,€,ES0031448284684001CP0F,ENDESA ENERGÍA S.A.U.,409261810,,2575.46,2362.21,2732.2,2700.08,2685.27,82
EQU02,COMPORTA CANAL,Electricitat dependències,€,ES0031446453780001QZ0F,ENDESA ENERGÍA S.A.U.,409236642,,262.4,266.94,273.89,286.38,278.39,83
EP35,ROCA S/N ENTL,Electricitat Quadres enllumenat,€,ES0031446463256001VZ0F,ENDESA ENERGÍA S.A.U.,409251804,,1826.5,1698.79,1928.58,1930.24,1908.46,84
EP65,SECTOR CAN P. AP SECTOR PMU 1.,Electricitat Quadres enllumenat,€,ES0031408396202001MY0F,ENDESA ENERGÍA S.A.U.,409241515,,1731.9,1766.94,1998.51,2091.47,1948.49,85
EQU03,ESCOMESA RESCLOSA TEULA I ENLLUMENAT PÚBLIC DOLCET,Electricitat dependències,€,ES0031408337087001ZC0F,ENDESA ENERGÍA S.A.U.,409242146,,2265.69,3148.23,1184.97,1141.05,1400.5,86
EP36,C/ RUPIT S/N COSTAT ET 16196,Electricitat Quadres enllumenat,€,ES0031446457159001MS0F,ENDESA ENERGÍA S.A.U.,409265644,,9976.94,9831.31,10579.63,10761.26,10571.51,87
EP66,PL. POU I SOLA,Electricitat Quadres enllumenat,€,ES0031408408662001WD0F,ENDESA ENERGÍA S.A.U.,409247789,,4842.95,5182.56,5116.03,5625.69,5120.9,88
EQU04,TURBINES LES 3 FÀBRIQUES,Electricitat dependències,€,ES0031408359020001CJ0F,ENDESA ENERGÍA S.A.U.,409321285,,3578.93,3761.81,1140.26,1917.99,1342.32,89
EP37,FONT DE TARRÉS POL COROMINA SN,Electricitat Quadres enllumenat,€,ES0031446457733001FG0F,ENDESA ENERGÍA S.A.U.,409252497,,1986.15,1777.31,1842.91,1937.9,1940.88,90
EP67,C/ VENDRELL-PASEO,Electricitat Quadres enllumenat,€,ES0031448537202001JL0F,ENDESA ENERGÍA S.A.U.,430482601,,0,0,0,0,2949.52,91
EQU05,ESCOMESA COMPORTES CAMP DE FUTBOL,Electricitat dependències,€,ES0031408373739001WW0F,ENDESA ENERGÍA S.A.U.,409231781,,221.96,270.85,274.33,308.9,307.54,92
EP38,MOSSEN AULET S/N,Electricitat Quadres enllumenat,€,ES0031446459001001YZ0F,ENDESA ENERGÍA S.A.U.,409266083,,6743.83,6534.02,6748.03,6809.34,5685.82,93
EP68,C/ VILAMONTA-ENLLUMENAT P COSTAT PISTA MANLLEU B,Electricitat Quadres enllumenat,€,ES0031448468215001DR0F,ENDESA ENERGÍA S.A.U.,409262116,,1554.72,1418.22,1443.83,1532.25,1402.12,94
EQU06,CARGOLA MERCAT MUNICIPAL,Electricitat dependències,€,ES0031408435824001TK0F,ENDESA ENERGÍA XXI,-1323379968,31/10/2011,474.43,0,0,0,0,95
EP69,C/ EDUARD RIFA ENLLPUBLIC MANLLEU BARCELONA,Electricitat Quadres enllumenat,€,ES0031448469860001TH0F,ENDESA ENERGÍA S.A.U.,409262457,,1023.75,1991.59,1678.65,1871.99,1556.24,96
EP39,"C/ PLA DELS ESTUDIANTS 0, AP",Electricitat Quadres enllumenat,€,ES0031446458024001DP0F,ENDESA ENERGÍA S.A.U.,409253059,,3462,4294.16,4391.38,3930.63,4451.96,97
EQU07,TURBINES HIDRAULIQUES,Electricitat dependències,€,ES0031408413499001VV0F,ENDESA ENERGÍA S.A.U.,409232595,,179.33,248.49,754.6,1206.23,1172.07,98
EP72,CRUÏLLA CTRA.D'OLOT-AVGDA GARROTXA,Electricitat Quadres enllumenat,€,ES0031408440712001WS0F,ENDESA ENERGÍA S.A.U.,409268617,,4190.83,4049.23,3798.29,3581.64,3294.79,99
EP40,PLA DELS ESTUDIANTS CANTONADA,Electricitat Quadres enllumenat,€,ES0031446458023001BC0F,ENDESA ENERGÍA S.A.U.,409266277,,4846.18,5332.64,6502.7,6200.76,6006.78,100
EQU08,SANT JAUME,Electricitat dependències,€,ES0031446462839001BG0F,ENDESA ENERGÍA S.A.U.,409267778,,2773.91,3647.33,3094.82,3538.6,3861.66,101
EP73,PASSEIG ESTACIO-ENLLUMENAT,Electricitat Quadres enllumenat,€,ES0031448492561001RH0F,ENDESA ENERGÍA S.A.U.,409242736,,1189.74,3448.13,2629.07,2668.09,2133.17,102
EP41,FRANCESC PUGUET COST. ET 16259,Electricitat Quadres enllumenat,€,ES0031446455030001SX0F,ENDESA ENERGÍA S.A.U.,409332657,,7378.71,6693.78,6316.61,6548.88,6303.61,103
EQU09,CEMENTIRI,Electricitat dependències,€,ES0031446460995001SY0F,ENDESA ENERGÍA S.A.U.,409237277,,372.23,549.33,933.19,445.73,434.58,104
EP74,C/ DONYA BLANCA SN COSTAT ET 1,Electricitat Quadres enllumenat,€,ES0031446459438001PZ0F,ENDESA ENERGÍA S.A.U.,409325028,,6244.03,5256.57,3434.38,3389.12,3069.54,105
EP42,ANDREU COSTA SN DARRERA ET 162,Electricitat Quadres enllumenat,€,ES0031446455055001KD0F,ENDESA ENERGÍA S.A.U.,409253689,,2839.87,2386.84,2746.28,3251.9,2686.09,106
EQU10,FONT I ASCENSOR PLAÇA FRA BERNADÍ,Electricitat dependències,€,ES0031408501445001YC0F,ENDESA ENERGÍA S.A.U.,409321795,,998.25,2554.86,1952.32,2009,1804.74,107
EP43,AVDA. PUIGMAL-S/N COSTAT 40,Electricitat Quadres enllumenat,€,ES0031446454945001EH0F,ENDESA ENERGÍA S.A.U.,410317153,,8580.86,8150.44,7782.87,7964.67,7567.65,108
EP75,LLOC CAN OLIVERAS ENLLPUBLIC,Electricitat Quadres enllumenat,€,ES0031448070797001ZJ0F,ENDESA ENERGÍA S.A.U.,409239896,,2790.99,2829.08,2216.98,1387.43,1118.82,109
EQU11,CENTRE EL CANAL,Electricitat dependències,€,ES0031446462915001AN0F,ENDESA ENERGÍA S.A.U.,426019117,,0,0,13844.38,16170.08,13176.25,110
SMF01,SEMAFORS PG. ST JOAN,Electricitat Quadres enllumenat,€,ES0031446458809001FH0F,ENDESA ENERGÍA S.A.U.,409233909,,401.38,383.7,384.3,395.44,380.58,111
EP44,MAGI-S/N 25,Electricitat Quadres enllumenat,€,ES0031446456554001JF0F,ENDESA ENERGÍA S.A.U.,409334087,,9030.75,7942.42,6698.74,6380.22,6699.16,112
EQU12,PÀRQUING SUBTERRANI PLAÇA FRA BERNADÍ,Electricitat dependències,€,ES0031448408626001VE0F,ENDESA ENERGÍA S.A.U.,430304805,,0,0,0,2249.6,6802.87,113
SMF03,SEMAF. - AV. ROMA ZONA IL·LUM.,Electricitat Quadres enllumenat,€,ES0031446460836001WM0F,ENDESA ENERGÍA S.A.U.,409971350,,2408.32,2307.38,2196.28,1627.01,413.89,114
EQU12,PÀRQUING SUBTERRANI PLAÇA FRA BERNADÍ,Electricitat dependències,€,ES0031448467664001HN0F,ENDESA ENERGÍA S.A.U.,430304737,,0,0,0,1102.82,2557.25,115
SMF04,SEMAFOR -PUIGPAR. ZONA IL·LUM.,Electricitat Quadres enllumenat,€,ES0031446458817001XZ0F,ENDESA ENERGÍA S.A.U.,409234854,,413.43,452.9,501.21,523,511.52,116
ESC01,ESCOLA PUIG-AGUT,Electricitat dependències,€,ES0031446458586001HA0F,ENDESA ENERGÍA S.A.U.,409341657,,13731.2,11177.67,11662.65,9616.88,10287.49,117
SMF05,SEMAFOR -ST. JOAN ZONA IL·LUM.,Electricitat Quadres enllumenat,€,ES0031446461031001QB0F,ENDESA ENERGÍA S.A.U.,409235410,,596.01,583.2,650.68,612.9,457.46,118
ESC03,ESCOLA POMPEU FABRA,Electricitat dependències,€,ES0031446454055001JA0F,ENDESA ENERGÍA S.A.U.,409341934,,15697.42,14004.28,13978.44,12705.26,14034.11,119
FON12,FONT DE LA MARE DE DÉU,Electricitat altres,€,ES0031446444315001XC0F,ENDESA ENERGÍA S.A.U.,409237538,,328.19,382.82,234.41,149.98,172.82,120
ESC06,ESCOLA TALLER CAN PATALLARGA,Electricitat dependències,€,ES0031408090662001CX0F,ENDESA ENERGÍA S.A.U.,409322385,,1880.97,2421.43,2072.62,1870.11,1821.17,121
ADM02,AJUNTAMENT,Gas,€,ES0217010161678289MG,ENDESA ENERGÍA S.A.U.,-1321379968,,11760.56,13504.02,11233.98,11668.74,10932.68,122
ESC07,TRIPIJOC,Electricitat dependències,€,ES0031446461139001CA0F,ENDESA ENERGÍA S.A.U.,409342166,,2477.2,2643.09,2470.98,2484.35,2284.39,123
ENT01,CAN PUGET,Gas,€,ES0217010254760374HP,ENDESA ENERGÍA S.A.U.,260625007,,0,0,2387.84,3506.35,3282.54,124
ESC08,SIDRAL-PATALARGA,Electricitat dependències,€,ES0031446475434001NC0F,ENDESA ENERGÍA S.A.U.,409245206,,3295.91,1237.02,821.15,828.91,839.86,125
ENT02,MUSEU INDUSTRIAL DEL TER,Gas,€,ES0217010238592308FE,ENDESA ENERGÍA S.A.U.,262375785,,,,2820.13,7452.28,6049.39,126
ESC09,LLAR D'INFANTS COLORS,Electricitat dependències,€,ES0031448197295001YZ0F,ENDESA ENERGÍA S.A.U.,409342699,,7570.84,8158.88,7296.61,6900.4,6517.62,127
EQU01,MERCAT MUNICIPAL,Gas,€,ES0217010217297317AH,GAS NATURAL SERVICIOS,16738311,14/12/2012,1407.71,0,0,0,0,128
ESC10,ESCOLA QUATRE VENTS,Electricitat dependències,€,ES0031408176567001GX0F,ENDESA ENERGÍA S.A.U.,409323314,,13250.16,11837.31,11496.63,11332.88,10892.54,129
ESC01,ESCOLA PUIG-AGUT,Gas,€,ES0230010000176324ZE,ENDESA ENERGÍA S.A.U.,262021109,,0,0,3156.36,7770.05,8836.35,130
ESC12,ESCOLA D'ADULTS,Electricitat dependències,€,ES0031408457953001HP0F,ENDESA ENERGÍA S.A.U.,409324098,,7831.96,7043.79,5359.49,5601.82,5065.03,131
ESC08,SIDRAL-PATALARGA,Gas,€,ES0217010222363279ST,ENDESA ENERGÍA S.A.U.,-1321379968,,2858.83,6234.97,1168.95,1412.6,2358.92,132
ESC09,LLAR D'INFANTS COLORS,Gas,€,ES0217010253643352MG,ENDESA ENERGÍA S.A.U.,-1322379968,,12004.54,13100.01,12201.91,11130.36,10513.42,133
ESC14,NOVA SECCIÓ INSTITUT,Electricitat dependències,€,ES0031408514956001KS0F,ENDESA ENERGÍA S.A.U.,416887989,25/02/2015,0,3700.38,9204.32,1209.6,0,134
ESC10,ESCOLA QUATRE VENTS,Gas,€,ES0230010289972481XC,ENDESA ENERGÍA S.A.U.,262303576,,16938.19,11217.14,10130.5,9311.43,9206.03,135
ESP01,PAVELLÓ D'ESPORTS,Electricitat dependències,€,ES0031446462879001WF0F,ENDESA ENERGÍA S.A.U.,409343176,,21316,19286.05,18130.62,18238.8,17382.92,136
ESP02,PISCINA COBERTA,Gas,€,ES0217010161679290WQ,ENDESA ENERGÍA S.A.U.,-1321379968,,1664.11,1628.16,985.16,1221.35,1005.51,137
ESP02,PISCINA COBERTA,Electricitat dependències,€,ES0031448323163002TD0F,ENDESA ENERGÍA S.A.U.,409343597,,1510.06,1995.58,1671.94,1675.54,1562.15,138
ESP02,PISCINA COBERTA,Gas,€,ES0230010272367478SE,ENDESA ENERGÍA S.A.U.,-1321379968,,65529.34,83660.31,70605.8,70365.06,56095.38,139
ESP02,PISCINA COBERTA,Electricitat dependències,€,ES0031448323163001TP0F,ENDESA ENERGÍA S.A.U.,409343965,,106734.66,79966.15,68175.21,71365.06,67888.6,140
