any_,Agricultura,Industria,Construccio,Serveis,Sense_ocupacio_anterior,Total,FID
2016,34.3,346.3,206.3,827.2,306.7,1720.8,1
2015,39.8,386.4,261.3,924.5,340.9,1953,2
2014,42,459.7,320.8,965.4,338.3,2126.2,3
2013,34.8,522.8,389.7,1022.9,332.4,2302.6,4
2012,31,516.3,398.1,966.7,313.3,2225.3,5
2011,36.7,520.6,388.5,909,315.3,2170.1,6
2010,26.9,568.3,373.3,764.9,274.3,2007.7,7
2009,22.5,591.9,341.2,718.1,162.1,1835.8,8
2008,22.7,460.8,188.9,388.1,73.6,1134.1,9
2007,14.6,393.3,101.2,315.5,42.1,866.6,10
2006,15.4,411.9,78.9,286.4,49,841.7,11
2005,9.4,410.1,79.5,330.8,48.5,878.3,12
