NOMBRE,UBICACION,OBJETO,TITULO,AUTOR,TEMA,MATERIALES,MEDIDAS
"MARMITA "EA-MTM" OVIEDO      2","MUSEO.","PALANCA DE ACCIONAMIENTO DE AGUJAS.","MARMITA "EA-MTM" OVIEDO      2","M.T.M. (BARCELONA).","","",""
"MARMITA "EA-MTM" OVIEDO      6","MUSEO.","PALANCA DE ACCIONAMIENTO DE AGUJAS.","MARMITA "EA-MTM" OVIEDO      6","M.T.M. (BARCELONA).","","",""
"GATO TRASLADO ELEVADOR.      5","MUSEO.","GATO DE HUSILLO PARA MATERIAL MOVIL","GATO TRASLADO ELEVADOR.      5","","","",""
"GATO TRASLADO ELEVADOR.      6","MUSEO.","GATO DE HUSILLO PARA MATERIAL MOVIL","GATO TRASLADO ELEVADOR.      6","","","",""
"TALADRO VERTICAL MANUAL.","MUSEO.","TALADRO VERTICAL DE ACCIONAMIENTO MANUAL","TALADRO VERTICAL MANUAL.","","","",""
"SEÑAL DE AGUJA EA RIBADESE.(1)","MUSEO.","SEÑALES ELEVADAS DE POSICION DE AGUJAS.","SEÑAL DE AGUJA EA RIBADESE.(1)","","","",""
"VA Efh 59.","MUSEO.","FURGON DE DOS EJES PARA TRENES DE MERCANCIAS","VA Efh 59.","","","",""
"MARMITA "ALEGRIA" SIMPLE.","MUSEO.","PALANCA DE ACCIONAMIENTO DE AGUJAS.","MARMITA "ALEGRIA" SIMPLE.","TALLERES ALEGRIA-ABOÑO (CARREÑO).","","",""
"PUENTE GIRATORIO NOREÑA.","MUSEO.","PLACA GIRATORIA PARA VAGONES.","PUENTE GIRATORIO NOREÑA.","??,(BELGIQUE)*POSIBLE FREDERIX.","","",""
"PUNTO KILOMETRICO EA VILLAHORM","MUSEO.","PLACA INDICATIVA DE PUNTO KILOMETRICO.","PUNTO KILOMETRICO EA VILLAHORM","","","",""
"BASCULA FL CARBAYIN.         1","MUSEO.","BASCULA PARA PESAJE DE MERCANCIAS Y EQUIPAJES.","BASCULA FL CARBAYIN.         1","PIBERNAT.","","",""
"TELEFONO PARED MET."ERICSSON"7","MUSEO.","APARATO TELEFONICO.","TELEFONO PARED MET."ERICSSON"7","ERICSSON ESPAÑOLA SA (MADRID)","","",""
"TELEFONO PARED MAD."ERICSSON"8","MUSEO.","APARATO TELEFONICO.","TELEFONO PARED MAD."ERICSSON"8","ERICSSON ESPAÑOLA SA (MADRID).","","","VID ESQUEMA."
"INTERRUPTOR SEÑALES.","MUSEO.","INTERRUPTOR PARA UNA SEÑAL.","INTERRUPTOR SEÑALES.","TALLERES PROPIOS.","","","VID ESQUEMA."
"PLACA "BEASAIN 1906"","MUSEO.","PLACA DE CONSTRUCCION.","PLACA "BEASAIN 1906"","C.A.F. (BEASAIN).","","","VID ESQUEMA."
"PETROLERA "TUILLA"           2","MUSEO.","RECIPIENTE PARA PETROLEO Y ACEITE.","PETROLERA "TUILLA"           2","","","",""
"COMPOSTOR "TROUILLET"","MUSEO.","COMPOSTOR PARA BILLETES "EDMONSSON".","COMPOSTOR "TROUILLET"","VID","","",""
"TELEGRAFO "BREGUET" (CAMPAN.)1","MUSEO.","CAMPANILLERO FAURE DE TELEGRAFO BREGUET.","TELEGRAFO "BREGUET" (CAMPAN.)1","BREGUET, MAISON (FRANCIA).","","",""
"TELEGRAFO "BREGUET" (RECEPTOR)","MUSEO.","RECEPTOR DE ESFERA DE TELEGRAFO BREGUET.","TELEGRAFO "BREGUET" (RECEPTOR)","BREGUET, MAISON (FRANCIA).","","",""
"TELEGRAFO "BREGUET" (BRUJULA)","MUSEO.","GALVANOMETRO O BRUJULA.","TELEGRAFO "BREGUET" (BRUJULA)","BREGUET, MAISON (FRANCIA).","","",""
"TALADRO MANUAL DE CARRILES.","MUSEO.","TALADRO PARA TALADRAR ALMA DE CARRILES.","TALADRO MANUAL DE CARRILES.","","","",""
"GATO BOTELLA LLANES          1","MUSEO.","GATO ELEVADOR DE MATERIAL MOVIL.","GATO BOTELLA LLANES          1","","","",""
"GATO BOTELLA LLANES          2","MUSEO.","GATO ELEVADOR DE MATERIAL MOVIL.","GATO BOTELLA LLANES          2","","","",""
"+MATERIAL DE ESCRITORIO","MUSEO.","MATERIAL DE ESCRITORIO VARIO.","+MATERIAL DE ESCRITORIO","","","",""
"CONMUTADOR "ERICSSON" 2","MUSEO.","CONMUTADOR TELEFONICO.","CONMUTADOR "ERICSSON" 2","ERICSSON L.M. (STOCKHOLM).","","",""
"BALANZA EA.                  2","MUSEO.","BALANZA ROBERVAL PARA PESAJE.","BALANZA EA.                  2","","","",""
"COMPOSTOR "RENIU".           4","MUSEO.","COMPOSTOR PARA BILLETES "EDMONSSON".","COMPOSTOR "RENIU".           4","RENIU, JOSE, GRABADOR, FUSTERIA 7, BARNA","","",""
"COMPOSTOR "SFG".","MUSEO.","COMPOSTOR PARA BILLETES "EDMONSSON".","COMPOSTOR "SFG".","RENIU, JOSE, GRABADOR, FUSTERIA 7 BARNA.","","",""
"PETROLERA "OSCURA"","MUSEO.","RECIPIENTE PARA PETROLEO Y ACEITE.","PETROLERA "OSCURA"","","","",""
"PETROLERA "BENDICION".","MUSEO.","RECIPIENTE PARA PETROLEO Y ACEITE.","PETROLERA "BENDICION".","","","",""
"PETROLERA "LAVIANA".","MUSEO.","RECIPIENTE PARA PETROLEO Y ACEITE.","PETROLERA "LAVIANA".","","","",""
"CAJA BRIGADA "GIJON Y ABOÑO"(1","MUSEO.","CAJA PARA BRIGADA DE V.O.","CAJA BRIGADA "GIJON Y ABOÑO"(1","","","",""
"GATO BOTELLA.                6","MUSEO.","GATO PARA LEVANTE DE MATERIAL MOVIL.","GATO BOTELLA.                6","","","","VID GRAFICO."
"GATO ELEVADOR.(1) (4 UNID).","MUSEO.","GATO PARA LEVANTE DE PIEZAS PESADAS DE MM.","GATO ELEVADOR.(1) (4 UNID).","","","",""
"MARCHAMO "FLASSA"","MUSEO.","PARA MARCAJE DE PLOMOS DE PRECINTO","MARCHAMO "FLASSA"","","","",""
"MARCHAMO "NORTE"","MUSEO.","PARA MARCAJE DE PLOMOS DE PRECINTO","MARCHAMO "NORTE"","","","",""
"MARCHAMO "LINEA"","MUSEO.","PARA MARCAJE DE PLOMOS DE PRECINTO","MARCHAMO "LINEA"","","","",""
"MARCHAMO "LA BISBAL"","MUSEO.","PARA MARCAJE DE POLMOS DE PRECINTO","MARCHAMO "LA BISBAL"","","","",""
"MARCHAMO "LA BISBAL EFE"","MUSEO.","PARA MARCAJE DE PLOMOS DE PRECINTO","MARCHAMO "LA BISBAL EFE"","","","",""
"MARCHAMO "ZARATAN"","MUSEO.","PARA MARCAJE DE PLOMOS DE PRECINTO","MARCHAMO "ZARATAN"","","","",""
"MARCHAMO "PLAMOS EFE"","MUSEO.","PARA MARCAJE DE PLOMOS DE PRECINTO","MARCHAMO "PLAMOS EFE"","","","",""
"MARCHAMO "NORTE VALLADOLID"","MUSEO.","PARA MARCAJE DE PLOMOS DE PRECINTO","MARCHAMO "NORTE VALLADOLID"","","","",""
"VIA MONTADA ECONOMICOS","MUSEO.","TRAMO DE VIA MONTADA.","VIA MONTADA ECONOMICOS","FEVE.","","",""
"VA MESILLA OVIEDO.","MUSEO.","MESILLA DE TALLER.","VA MESILLA OVIEDO.","","","",""
