titulo,categoria,convoca,plazo,resumen,boletin,contacto_y_telefono,correo_electronico,web
"Subvenciones asociaciones juveniles y entidades prestadoras de servicios<strong> </strong>a<strong> </strong>la juventud Principado de Asturias","Ayudas y subvenciones","Consejería de Presidencia del Principado de Asturias","11/06/2014","<ul> <li>Para la realización de diversos<strong> programas</strong> durante el año 2014 </li><li>Para la realización de acciones conducentes a la promoción de la emancipación juvenil (<strong>empleo y vivienda</strong>) 2014.</li></ul> <p>Impreso de solicitud: <strong><a href="http://www.asturias.es/">www.asturias.es</a></strong>, introduciendo en el buscador de cabecera (parte superior derecha) el código<strong> 2002183</strong>.<br/>También se pueden descargar los impresos aquí: <strong>programas generales</strong> (sólo <strong><a href="http://juventudgijon.files.wordpress.com/2014/05/impreso-solo-actividades-2014.doc">proyectos de actividades</a></strong>, sólo<strong><a href="http://juventudgijon.files.wordpress.com/2014/05/impreso-solo-contratacion-2014.doc"> proyectos de contratación</a></strong> y<strong><a href="http://juventudgijon.files.wordpress.com/2014/05/impreso-general-actividades-contratacion-2014.doc"> ambos</a></strong>) y <strong><a href="http://juventudgijon.files.wordpress.com/2014/05/impreso-completo-emancipacion.doc">programas de emancipación.</a></strong></p>","Convocatoria:<a title="Ir a https://sede.asturias.es/bopa/2012/10/09/2012-18020.pdf" href="https://sede.asturias.es/bopa/2012/10/09/2012-18020.pdf"> BOPA 21-05-2014</a><strong>. </strong>Bases reguladoras: <a title="Ir a https://sede.asturias.es/bopa/2012/10/09/2012-18020.pdf" href="https://sede.asturias.es/bopa/2012/10/09/2012-18020.pdf">BOPA 09-10-2014</a>","<em>Registro de la Consejería de Presidencia (C/ Eduardo Herrera “Herrerita”, s/n, 33006, Oviedo</em>","",""
"Ayudas para el fomento de la cultura científica, tecnológica y de la innovación 2014","Ayudas y subvenciones","Fundación Española para la Ciencia y la Tecnología (FECYT)","12/06/2014","Líneas de actuación:<br/>1. Cultura científica, tecnológica y de la innovación.<br/>2. Creatividad y vocaciones científicas.<br/>3. Redes de comunicación y divulgación de la ciencia y la innovación <br/>Puede ser solicitante y beneficiaria de las ayudas toda persona o entidad, con personalidad jurídica propia, con sede y legalmente constituida en España en el momento de la presentación de la solicitud de ayuda.<br/>Anuncio en el <a title="Ir a http://www.boe.es/boe/dias/2014/05/05/pdfs/boe-b-2014-15714.pdf" href="http://www.boe.es/boe/dias/2014/05/05/pdfs/BOE-B-2014-15714.pdf"><u>BOE 5 de mayo</u></a>.","","","","<em>Bases de la convocatoria: </em><a title="Ir a www.convocatoria.fecyt.es" href="http://www.convocatoria.fecyt.es/"><u><em>www.convocatoria.fecyt.es</em></u></a><em>. y </em><a title="Ir a www.fecyt.es" href="http://www.fecyt.es/"><em><u>www.fecyt.es</u"
"Subvenciones de la Fundación Municipal de Cultura, Educación y Universidad Popular de Gijón","Ayudas y subvenciones","Fundación Municipal de Cultura, Educación y Universidad Popular de Gijón","13/06/2014","Incluyen varias líneas de subvención: <br/> <p>· Asociacionismo ultural</p> <p>· Producciones artísticas</p> <p>· Teatro y danza</p> <p>· Cultura Tradicional y Llingua asturiana</p> <p>· Juegos y deportes tradicionales asturianos</p> <p>· Asociaciones de vecinos de la zona rural</p> <p>· Para la promoción de la música coral</p>","","<em>C/ Jovellanos, 21. 33201 Gijón</em>","","Bases: <a title="Ir a https://sede.asturias.es/bopa/2014/05/09/2014-08111.pdf" href="https://sede.asturias.es/bopa/2014/05/09/2014-08111.pdf" rel="external">BOPA 9 de mayo <br/></a>"
"Subvenciones para la realización de un programa de formación e inserción laboral de demandantes de empleo en tecnologías de la información y de las comunicaciones y de la economía digital","Ayudas y subvenciones","Ministerio de Empleo y Seguridad Social","25/06/2014","Serán subvencionables tanto las acciones de formación profesional para el empleo, como las acciones vinculadas a la formación. Pueden participar en ellas los demandantes de empleo inscritos en las oficinas de los Servicios Públicos de Empleo.","<a href="http://www.boe.es/boe/dias/2014/06/05/pdfs/BOE-A-2014-5923.pdf" title="Ir a http://www.boe.es/boe/dias/2014/06/05/pdfs/BOE-A-2014-5923.pdf" rel="external">BOE de 05/06/2014</a>","<a href="http://www.sepe.es/" title="Ir a http://www.sepe.es/" rel="external">Dirección General del Servicio Público de Empleo Estatal</a>, C/ Condesa de Venadito, 9. 28027. Madrid.","","<a href="http://www.sepe.es/" title="Ir a http://www.sepe.es/" rel="external">www.sepe.es</a>"
"Subvenciones para programas de retorno voluntario de personas inmigrantes","Ayudas y subvenciones","Ministerio de Empleo y Seguridad Social","26/06/2014","Son subvenciones para entidades, organizaciones no gubernamentales, organismos internacionales y entidades de naturaleza análoga, para la gestión del retorno en el caso de menores no acompañados, víctimas de trata de seres humanos, etc. La cuantía máxima está fijada en 2.400.000 €. Las solicitudes se pueden obtener en la Dirección General de Migraciones y en <a href="http://www.empleo.gob.es/index.htm" title="Ir a http://www.empleo.gob.es/index.htm" rel="external">www.meyss.es</a> ","<a href="https://www.boe.es/boe/dias/2014/06/06/pdfs/BOE-A-2014-5972.pdf" title="Ir a https://www.boe.es/boe/dias/2014/06/06/pdfs/BOE-A-2014-5972.pdf" rel="external">BOE de 06/06/2014</a>","Dirección General de Migraciones, C/ José Abascal, 39, 28003. Madrid.","","<a href="http://www.empleo.gob.es/index.htm" title="Ir a http://www.empleo.gob.es/index.htm" rel="external">www.meyss.es</a>"
"Subvenciones a asociaciones de mujeres y otras entidades para programas de igualdad de oportunidades entre mujeres y hombres","Ayudas y subvenciones","Consejería de Presidencia","27/06/2014","El gasto máximo será de 49600 € para programas relacionados con la consecución del principio de igualdad entre hombres y mujeres en el ámbito del empleo, de la atención directa a mujeres de colectivos vulnerables y del deporte. Las solicitudes se pueden recoger en el Instituto Asturiano de la Mujer (C/ Eduardo Herrera &quot;Herrerita&quot;, 2ª planta o en <a href="http://www.asturias.es/portal/site/webasturias/menuitem.91cd0facbcdb17a73e2d6f77f2300030/?vgnextoid=dad56fc85c97d210VgnVCM1000002f030003RCRD&amp;vgnextchannel=dad56fc85c97d210VgnVCM1000002f030003RCRD&amp;i18n.http.lang=es" title="Ir a http://www.asturias.es/portal/site/webasturias/menuitem.91cd0facbcdb17a73e2d6f77f2300030/?vgnextoid=dad56fc85c97d210VgnVCM1000002f030003RCRD&amp;vgnextchannel=dad56fc85c97d210VgnVCM1000002f030003RCRD&amp;i18n.http.lang=es" rel="external">www.asturias.es</a>)","<a href="https://sede.asturias.es/portal/site/Asturias/menuitem.1003733838db7342ebc4e191100000f7/?vgnextoid=d7d79d16b61ee010VgnVCM1000000100007fRCRD&amp;fecha=07/06/2014&amp;refArticulo=2014-10002&amp;i18n.http.lang=es" title="Ir a https://sede.asturias.es/portal/site/Asturias/menuitem.1003733838db7342ebc4e191100000f7/?vgnextoid=d7d79d16b61ee010VgnVCM1000000100007fRCRD&amp;fecha=07/06/2014&amp;refArticulo=2014-10002&amp;i18n.http.lang=es" rel="external">BOPA de 07/06/2014</a>","Registro de Consejería de Presidencia, C/ Eduardo Herrera "Herrerita", s/n. 33006. Oviedo","","<a href="http://www.asturias.es/portal/site/webasturias/menuitem.91cd0facbcdb17a73e2d6f77f2300030/?vgnextoid=dad56fc85c97d210VgnVCM1000002f030003RCRD&amp;vgnextchannel=dad56fc85c97d210VgnVCM1000002f030003RCRD&amp;i18n.http.lang=es" title="Ir a http://www."
"BROTES - Programa de residencias artísticas 2014","Ayudas y subvenciones","Espacio Escénico El Huerto","27/06/2014","La dotación consiste en dos residencias de dos semanas cada una (del 1 al 14 de septiembre y del 15 al 28 de septiembre). El proyecto presentado no podrá estar estrenado y se valoran aspectos como búsqueda de nuevos lenguajes escénicos, multidisciplinariedad de la propuesta, y que ésta sea arriesgada pero sólida y adecuada a las características de la sala.","","Brotes. Programa de Residencias Artísticas 2014. C/ Severo Ochoa, 91. 33210 Gijón.","<a title="Enviar correo electrónico a info@escenaelhuerto.com" href="mailto:info@escenaelhuerto.com"><a href="mailto:info@escenaelhuerto.com">info@escenaelhuerto.com</a></a>",""
"Subvenciones a ONG para proyectos de cooperación al desarrollo 2014","Ayudas y subvenciones","Consejería de Bienestar Social y Vivienda","30/06/2014","Las ONG benefiaciarias deben estar inscritas en el registro de ONG para cooperación al desarrollo en el Exterior del Principado, en el caso de proyectos de cooperación al desarrollo, línea que tiene un importe máximo de 2068000 €. Para proyectos de educación para el desarrollo y sensibilización, deben estar inscritas en el Registro de ONG del Principado, tener sede social en el mismo, y acreditar dos años de antigüedad en la realización de proyectos en esta materia. Es necesario hallarse al corriente de las obligaciones tributarias y con la Seguridad Social.","<a href="https://sede.asturias.es/portal/site/Asturias/menuitem.1003733838db7342ebc4e191100000f7/?vgnextoid=d7d79d16b61ee010VgnVCM1000000100007fRCRD&amp;fecha=31/05/2014&amp;refArticulo=2014-09686&amp;i18n.http.lang=es" title="Ir a https://sede.asturias.es/portal/site/Asturias/menuitem.1003733838db7342ebc4e191100000f7/?vgnextoid=d7d79d16b61ee010VgnVCM1000000100007fRCRD&amp;fecha=31/05/2014&amp;refArticulo=2014-09686&amp;i18n.http.lang=es" rel="external">BOPA de 31/05/2014</a>","Registro de la Consejería de Bienestar Social, C/ Alférez Provisional, s/n. 33005. Oviedo","",""
"Subvenciones a los artesanos del Principado de Asturias para inversiones en talleres de artesanía artística y creativa","Ayudas y subvenciones","Consejería de Economía y Empleo","30/06/2014","Está dirigida a artesanos residentes en Asturias, que estén inscritos o hayan cursado inscripción en el Registro de Empresas y Talleres Artesanos del Principado de Asturias. La cuantía máxima será de 3000 €.","<a href="https://sede.asturias.es/bopa/2014/05/24/2014-09089.pdf" title="Ir a https://sede.asturias.es/bopa/2014/05/24/2014-09089.pdf" rel="external">BOPA de 24/05/2014</a>","Registro de la Consejería de Economía y Empleo. Plaza de España, 1, bajo. 33007. Oviedo","","<a href="http://www.asturias.es/" title="Ir a http://www.asturias.es/" rel="external">www.asturias.es</a>"
"Ayudas para participar en el programa "Recuperación y utilización educativa de pueblos abandonados"","Ayudas y subvenciones","Ministerio de Educación, Cultura y Deporte","30/06/2014","Son ayudas dirigidas a alumnos de 3º y 4º de ESO, Bachillerato, FP de grado medio y Programas de cualificación profesional inicial, o alumnos de secciones espaoñales en centros de otros países miembros de la UE. En cualquier caso, la edad máxima para participar será de 18 años. El importe máximo de las ayudas son 69.590,39 €, destinados a la recuperación de Búbal (Huesca), Granadilla ( Cáceres) y Umbralejo (Guadalajara).","<a href="http://www.boe.es/boe/dias/2014/06/13/pdfs/BOE-A-2014-6262.pdf" title="Ir a http://www.boe.es/boe/dias/2014/06/13/pdfs/BOE-A-2014-6262.pdf" rel="external">BOE de 13/06/2014</a>","Ministerio de Educación. C/ Los Madrazo, 15-17. 28014. Madrid.","","<a href="http://www.mecd.gob.es/portada-mecd/" title="Ir a http://www.mecd.gob.es/portada-mecd/" rel="external">Ministerio de Educación, Cultura y Deporte</a>"
