titulo,categoria,convoca,plazo,resumen,boletin,contacto_y_telefono,correo_electronico,web
"Programa de cine en Versión Original (VOS)","Actividades","Festival Internacional de Cine de Gijón","Sábado, 24 de mayo","Las películas se proyectan en el <strong>CMI Pumarín Gijón Sur</strong>durante los meses de <strong>abril y mayo de 2014</strong>a las<strong> 20:00 horas</strong> en versión original subtitulada. <strong>Precio de la entrada:</strong> 4€. <p><strong>Programa:</strong></p> <p>· 26 abril: <strong><em>&quot;Al nacer el día&quot;</em></strong>,de Goran Paskaljevic (Serbia, 2012).</p> <p>· 10 mayo:<strong><em> &quot;Enemy&quot;</em></strong>,de Denis Villeneuve (Canadá/España, 2013).</p> <p>· 17 mayo: <strong><em>&quot;Frances Ha&quot;</em></strong>,de Noah Baumbach (EE.UU, 2012).</p> <p>· 24 mayo: <strong><em>&quot;Llenar el vacío&quot;</em></strong>,de Rama Burshtein (Israel, 2012). </p>","","<em>C/ Ramón Areces, 7</em>","","<a title="Ir a http://www.gijonfilmfestival.com/" href="http://www.gijonfilmfestival.com/"><u>Mas información</u></a>"
"Clinic Joven Emprend@ 2014","Actividades","Asociación Asturias EMPREND@","Viernes, 30 de mayo","<p>Campus que se desarrollará entre los <strong>días 2 y 14 de septiembre</strong>en <strong>Avilés, Carreño y Gijón</strong>. Se trata de una iniciativa pionera en la Unión Europea para la capacitación del joven capital humano, sirviendo de plataforma de intercambio de ideas emprendedoras. Se seleccionarán 40 participantes. La inscripción se puede hacer <a title="Ir a http://www.asturiasemprenda.org/inscripcion_emprendedor.php" href="http://www.asturiasemprenda.org/inscripcion_emprendedor.php"><u>on-line</u></a></p> <p>Los participantes se dividirán en <strong>2 sub-grupos</strong>:</p> <ol> <li>Perfil joven de entre 18 y 22 años, residente en cualquiera de los municipios de la región, a punto de iniciar, bien estudios de FP o universitarios, bien su proyecto con iniciativa, participante previo en alguna de las acciones de difusión de la cultura emprendedora hechas para bachilleres y escolares. <br/><strong>Objetivo principal:</strong> sensibilizar y consolidar ideas de negocio o proyectos sociales y apoyar planes de carrera intraemprendedores. </li><li>Perfil joven de entre 23 y 30 años, residente en cualquiera de los municipios de la región, con estudios de FP o universitarios terminados o en fase final, con proyecto en proceso de maduración, con iniciativa, participante previo en alguna de las acciones de difusión de la cultura emprendedora hechas para bachilleres y escolares.<br/><strong>Objetivo principal:</strong> convertir su proyecto de idea en negocio, apoyar el plan de acción para su causa social, desarrollar un plan personal de carrera. <a title="Ir a http://www.asturiasemprenda.org/sobre_clinic.php" href="http://www.asturiasemprenda.org/sobre_clinic.php"><u>Más información</u></a></li></ol>","","<em>C/ Progreso 1, 4º E, 33209, Gijón- Asturias. Tel. 984 391 249</em>","<a href="mailto:clinic@asturiasemprenda.org">clinic@asturiasemprenda.org</a>",""
"What is Music? Encuentro Internacional de Música Ciudad de Frías","Actividades","Asociación Juvenil "Movimiento por la Cultura Libre","10/07/2014","Se celebra en la ciudad medieval de Frías (Burgos) durante 10 días, del 25 de julio al 3 de agosto. En este encuentro se sucederán actuaciones programadas y otras espontáneas, gracias al aprendizaje colectivo y al intercambio de ideas musicales. Habrá también cursos de formación intensiva, talleres, conferencias...","","","","<a title="Ir a http://www.wim2014.com/" href="http://www.wim2014.com/" rel="external"><a href="http://www.wim2014.es">www.wim2014.es</a></a>"
"“Imagina 2014”, Festival de Magia y Humor en la calle","Actividades","Ayuntamiento de Gijon","11/06/2014","Tendrá lugar en <strong>todos los barrios de Gijón del 26 de mayo al 11 de junio de 2014.</strong>Espectáculos en todos los Centros Municipales Integrados, a las <strong>18:00 horas</strong>. En caso de lluvia, los espectáculos se trasladarán al Salón de Actos de cada centro. <p>Intervienen en esta edición los <strong>artistas</strong>:</p> <ul> <li>Carlos Adriano (Argentina) </li><li>Donald Lehn (EE.UU.) </li><li>Dr. Marrax (Alemania) </li><li>Odoroff (Rusia) </li><li>Yurgen &amp; Florette (Francia) </li><li>Dramagia, la carpa del misterio (España)<br/></li></ul>","","","",""
"Cinefórum de las asociaciones","Actividades","Conseyu de Mocedá de Xixón (CMX)","13/06/2014","Un espacio de encuentro y debate a través del cine. El viernes 13 se presnta la<strong> película<em>“But I´m a Cheerleader”</em></strong>. Hora: <strong>9:00 horas.</strong> Lugar: <strong>Salón de Actos del Conseyu de Mocedá de Xixón</strong>.<p>Será <a href="https://www.facebook.com/xega.xoven" title="Ir a https://www.facebook.com/xega.xoven" rel="external"><u>Xega Xoven</u></a>, con motivo de la celebración durante el mes de junio del Orgullo LGTB 2014, la encargada de proyectar la película, en versión original subtitulada (Jamie Babbit. Estados Unidos, 1999).</p>","","<a title="Ir a ww.cmx.es" href="http://ww.cmx.es" rel="external"><br/></a>","","Más información en la <a href="http://www.cmx.es" title="Ir a www.cmx.es" rel="external">web del Conseyu de Mocedá</a>"
"Exposición &quot;prótesis discursiva(Una converación alquímica) de David Ferrando Giraut","Actividades","Laboral Centro de Arte y Creación Industrial","14/09/2014","Del 20 de junio al 14 de Septiembre.Muestar que ofrece una versión poliédrica de la actual problemática energética en España. Horario: Miércoles, jueves, viernes, sábado, domingo y festivos de 11 a 19 horas (lunes y martes cerrado excepto festivos)","","Laboral Centro de Arte y Creación Industrial <div>Los Prados,121.33394.Gijón</div>Tfno:985 18 55 77","<a title="Enviar correo electrónico a info@laboralcentrodearte.org" href="mailto:info@laboralcentrodearte.org"><a href="mailto:info@laboralcentrodearte.org">info@laboralcentrodearte.org</a></a>","<a title="Ir a http://www.laboralcentrodearte.org/es" href="http://www.laboralcentrodearte.org/es" rel="external">www.laboralcentrodearte.org<br/></a>"
"I Game Jam Asturias","Actividades","Centro Europeo de Empresas e Innovación del Principado de Asturias (CEEI Aturias), Ideascad de la Universidad de Oviedo","14/06/2014","<strong>Competición para el desarrollo de videojuegos y serious games.</strong>Equipos que pondrán a prueba sus conocimientos y habilidades para desarrollar en equipo un proyecto en una maratón de 3 días que exprimirá al máximo su creatividad y saber hacer. Y tendrán que hacerlo sobre una temática común que tiene como slogan <strong>&quot;Here comes a TIC challenger&quot;</strong>, es decir, el desarrollo de un videojuego que estimule la adquisición de habilidades digitales. <p>Tendrá lugar en la EPI (Escuela Politécnica de Ingeniería), en el Campus de Gijón, los días <strong>12, 13 y 14 de junio</strong> <strong>de 2014</strong>.</p> <p><strong>Requisito:</strong> las personas interesadas en participar deben ser mayores de 18 años.</p>","","<p><em>EPI (Escuela Politécnica de Ingeniería), Campus de Gijón</em></p>","","Web del <a title="Ir a http://www.ceei.es/pgceei.asp?pg=306" href="http://www.ceei.es/pgceei.asp?pg=306">CEEI</a>"
"Salida cultural al valle del Jerte","Actividades","Casa de Extremadura en Asturias","18/06/2014","La salida será los días 28 y 29 de junio. Viaje en autocar, alojamiento en pensión completa (incluida visita y recolección de cerezas). Precios: socios 120 €, no socios 130 €. Reserva 50 € (hasta agotar plazas)","","Dolores, 24, bajo. 33210 Gijón.Tel. 985 142 022","<a title="Enviar correo electrónico a casadeexenas@telecable.es" href="mailto:casadeexenas@telecable.es"><a href="mailto:casadeexenas@telecable.es">casadeexenas@telecable.es</a></a>",""
"Salida cultural al Valle del Jerte","Actividades","Casa de Extremadura en Asturias","18/06/2014","Tendrá lugar los días 29 y 30 de junio, y consta de un viaje a Cáceres, con visita guiada a la ciudad, visita al monasterio de Guadalupe y visita al Valle del Jerte (recogida de la cereza). El viaje se hece en autocar y el precio (120 €, socios; 130 €, no socios; 50 € para hacer la reserva) incluye pensión completa.","","Casa de Extremadura en Asturias. C/ Dolores, 24, bajo. 33210. Gijón.   985 14 20 22","<a href="mailto:casadeexenas@telecable.es" title="Enviar correo electrónico a casadeexenas@telecable.es">casadeexenas@telecable.es</a>",""
"Exposición de Sebastián Román Lobato: "La isla"","Actividades","Fundación Museo Evaristo Valle","22/06/2014","Un proyecto multidisciplinar en dos fases, maqueta de una isla y su posterior fotografiado. De martes a sábado (abril-octubre) de 17:00 a 20:00 horas, (noviembre-abril) de 16:00 a 18:00 horas. Domingos y festivos de 12:00 a 14:00 horas.","","Fundación Museo Evaristo Valle, Camino de Cabueñes, 261, Somió (Gijón).   985 33 40 00","","<a href="http://www.evaristovalle.com">www.evaristovalle.<a title="Ir a www.evaristovalle.com" href="http://www.evaristovalle.com" rel="external">com</a></a>"
"Visita guiada &quot;Un mundo de títeres&quot; en el museo El Taller de títeres","Actividades","Museo El Taller de Títeres","22/06/2014","A las 17:30 horas el domingo 22 de Junio.Descubre el mundo de los títeres en esta visita guiada y participativa de una hora.<br/>Entrada: 2'5 €","","Museo El Taller de Títeres. La Cabaña,51 A-Siero","","<a title="Ir a http://www.museodetiteres.es/" href="http://www.museodetiteres.es/" rel="external">www.museodetiteres.es<br/></a>"
"Exposición "Imágenes y Sensaciones"","Actividades","Asociación Profesional de Fotoperiodistas Asturianos y Asociación de la Prensa","22/06/2014","Libro y exposición de 78 fotografías firmadas por 31 fotógrafos asturianos con motivo del Día Mundial del Medio Ambiente. Exposición al aire libre en el Paseo de Begoña. <p>Una fotografía, un texto; un fotógrafo, un periodista y una imagen, una sensación.</p>","","Paseo de Begoña a la altura de la C/ Covadonga, Gijón.","",""
"Ciclo de audiovisuales. 22ª edición: "Imágenes de un viaje"","Actividades","Ateneo Obrero de Gijón","23/06/2014","Todas las sesiones serán a las 20:00 horas, entrada libre hasta completar aforo.","","Ateneo Obrero de Gijón, C/ Covadonga, 7-1º izda. Gijón    9885 34 03 95","<a href="mailto:administracion@ateneo-obrero.org"><a title="Enviar correo electrónico a administracion@ateneo-obrero.org" href="mailto:administracion@ateneo-obrero.org">administracion@ateneo-obrero.org</a></a>","<a href="http://ateneo-obrero.blogspot.com.es/2014/04/imagenes-de-un-viaje.html" title="Ir a http://ateneo-obrero.blogspot.com.es/2014/04/imagenes-de-un-viaje.html" rel="external">Más información</a>"
"Carrera popular "Dona Vida"","Actividades","Centro Comunitario de sangre","23/06/2014","El domingo <strong>29 de junio de 2014</strong>, a la<strong>s 11:00 horas</strong>. 7.500 metros. Salida y llegada en la Playa de Poniente.  <p>Participantes: a<strong></strong> partir de 16 años, en <strong>tres categorías</strong>:</p> <p>· <em><strong>Senior: </strong></em><strong></strong>de 16 a 34 años.</p> <p>· <strong><em>Veteranos A: </em></strong><em></em>de 35 a 49 años.</p> <p>· <strong><em>Veteranos B:</em></strong> a partir de 50 años.</p> <p><strong>Premios:</strong> trofeos para los tres primeros de cada categoría y sorteo de regalos al final de la prueba.</p> <p><strong>Precio de la inscripción:</strong> 6 €.</p>","","","","<em>Más información e inscripciones en la </em><u><em><a title="Ir a http://www.carreradonavida.com/index.php/la-carrera" href="http://www.carreradonavida.com/index.php/la-carrera" rel="external">web de la Carrera &quot;Dona Vida&quot;</a></em></u>"
