titulo,categoria,convoca,plazo,resumen,boletin,contacto_y_telefono,correo_electronico,web
"XXV Ayuda a la Investigación "Ramón de la Sagra" para Licenciatura o Grado en Geografía e Historia","Becas y ayudas al estudio","Fundación Alvargonzález","31/10/2017","<p>El Departamento de Geografía de la Universidad de Oviedo, con el patrocinio de la Fundación Alvargonzález, convoca una ayuda de investigación, de una cuantía de 4.000 euros destinada a la realización de un trabajo de investigación de Geografía de libre elección.  </p><p><strong>Requisitos:</strong></p>  <ul><li>Licenciatura o Grado en Geografía de nacionalidad española.</li></ul>  <ul><li>El trabajo de investigación ha de ser realizado en el plazo máximo de un año a partir de la fecha de notificación del fallo del concurso.</li></ul>  <p><strong>Las personas candidatas remitirán</strong>, en el plazo establecido, los documentos que a continuación se relacionan:</p>  <ul><li>Escrito de solicitud en el que se hagan constar los datos personales de la persona interesada y la aceptación expresa de las bases del concurso.</li></ul>  <ul><li>Certificación académica personal.</li></ul>  <ul><li>Breve memoria relativa al trabajo que se pretende realizar.</li></ul>  <p><strong>Obligaciones de la persona  beneficiaria</strong>:</p>  <ul><li>Remitir a la Fundación patrocinadora, a los seis meses del comienzo del disfrute de la ayuda, un avance de la investigación realizada en ese periodo y una copia del trabajo, una vez finalizado.</li></ul>  <ul><li>La documentación podrá ser presentada en el Departamento de Geografía de la Universidad de Oviedo (Campus del Milán s/n, OVIEDO) o en las oficinas de la Fundación Alvargonzález (C/ Claudio Alvargonzález 16-1º, GIJÓN) en el plazo de un mes a partir de la fecha de la publicación de la presente convocatoria.</li></ul>  <ul><li>El concurso será fallado en el plazo de un mes a partir de la finalización del plazo de presentación de solicitudes.</li></ul>  <p><strong>El plazo para presentar las solicitudes es del 1 al 31 de octubre de 2017.</strong></p>","<a title="Ir a http://www.fundacion-alvargonzalez.com/v_portal/informacion/informacionver.asp?cod=1399&amp;te=478&amp;idage=1694&amp;vap=0" href="http://www.fundacion-alvargonzalez.com/v_portal/informacion/informacionver.asp?cod=1399&amp;te=478&amp;idage=1694&amp;vap=0" rel="external">bases</a>","","","<a title="Ir a http://www.fundacion-alvargonzalez.com/v_portal/apartados/apartado.asp" href="http://www.fundacion-alvargonzalez.com/v_portal/apartados/apartado.asp" rel="external">FundacionAlvargonzalez</a>"
"Beca Formación Postgrado en el Consejo Superior de Deportes","Becas y ayudas al estudio","Consejo Superior de Deportes","31/10/2017","<p>El Consejo Superior de Deportes convoca la concesión de una beca para la formación teórica y práctica de postgrado en las actividades que se realizan en la Subdirección General de Deporte Profesional y Control Financiero.</p><p>Las actividades objeto de la beca que se convoca se realizarán en la Subdirección General de Deporte Profesional y Control Financiero del CSD, en un horario de treinta y cinco horas semanales, con la distribución que realice al respecto el tutor o tutora que se le asigne.</p><p>Las actividades a realizar por el o la becaria se limitarán a las que correspondan al proyecto de formación para el que aquélla se concedió, y serán determinadas por el o la titular de la Subdirección General de Deporte Profesional y Control Financiero. Además contará con el asesoramiento, orientación y supervisión de un tutor o tutora para cumplir el plan formativo elaborado por el equipo técnico de la citada Subdirección. </p><p> <strong>Requisitos:</strong>  </p><ul><li><p>Poseer la nacionalidad española o la de un país miembro de la Unión Europea o pertenecer a un Estado signatario del Acuerdo sobre Espacio Económico Europeo.</p></li><li><p>Ser residente en España en el momento de incorporarse a la beca y poseer plena capacidad de obrar.</p></li><li><p>Para la beca de formación de postgrado en la Subdirección General de Deporte Profesional y Control Financiero, deberán estar en posesión de alguna de las siguientes titulaciones: Grado en el área de las Ciencias Económicas, de las Ciencias Empresariales o de la Administración y Dirección de Empresas, con conocimientos avanzados de contabilidad y análisis de balances.</p></li><li><p>La fecha de finalización de los estudios solicitados no podrá ser anterior al curso académico 2012/2013.</p></li></ul>        <p><strong>Dotación:</strong></p>  <p>La cuantía de la beca será de 14.400 euros anuales íntegros, divididos en doce mensualidades.</p>  <p><strong></strong></p>  <p><strong>Plazo de presentación hasta el 31/10/2017</strong></p>  <p></p>","<a href="https://www.boe.es/boe/dias/2017/10/21/pdfs/BOE-B-2017-61422.pdf"><u>BOE 21/10/2017</u></a><a href="https://sede.asturias.es/bopa/2017/10/18/2017-11376.pdf"></a>","","","<a title="Abre en ventana nueva" href="http://www.pap.minhafp.gob.es/bdnstrans"><u>Base de Datos Nacional de Subvenciones</u></a>"
"Becas ADOBE para mujeres","Becas y ayudas al estudio","ADOBE","31/10/2017","<p>La empresa Adobe lanza su programa de <a href="file://vdifs01.gijon.local/redireccion$/amugarte.GIJON/Escritorio/FICHA%20BLANCA/redir.aspx?C=SA-F-pZZv0CTAb7H0kEdcMMkE08yFdUIjsun6dF1zgW_O8q2VAJq0OfO9ENwN3wkMth5wg8EdZY.&amp;URL=https:/research.adobe.com/scholarship/"><u>Becas Adobe ResearchWomen-in-Technology</u></a>.</p><p>Este programa permitirá a 10 mujeres finalizar sus estudios con una beca de 10.000 dólares, además de una suscripción de Creative Cloud por un año, contará con un mentor de Adobe Research, y tendrá la oportunidad de realizar unas prácticas profesionales en Adobe el próximo verano.</p><p>Si eres mujer y estás cursando estudios de Computación o Ingeniería Informática en la universidad, te interesa la nueva convocatoria de becas que ha anunciado la multinacional estadounidense Adobe.</p><p>Un año más, estaempresa ha convocado su programa de <a href="https://research.adobe.com/scholarship/"><u>becas AdobeResearch Women-in-Technology</u></a> a través del cual diez mujeres de cualquier nacionalidad del mundo que estén actualmente cursando Ingeniería Informática o Computación en la universidad, puedan finalizar sus estudios.</p><p><strong>Dirigidas a:</strong></p><p>Mujeres universitarias de cualquier parte del mundo que cursen Ingeniería Informática o Computación.</p><p><strong>Requisitos:</strong></p><ul><li><p>Ser estudiante de grado y estar matriculada en una universidad durante el presente curso 2017/2018, y también tener intención de cursar un programa formativo el próximo año académico en una universidad a tiempo completo.</p></li><li><p>Contar con un sólido y brillante expediente académico, dominar el inglés, y no tener ningún pariente o familiar cercano trabajando en Adobe Research.</p></li></ul><p><strong>Dotación:</strong></p><p>10.000 dólares (unos8.500 euros) con el objetivo de que puedan costearse sus estudios de grado o licenciatura. Además, cada una de las candidatas recibirá también una suscripción de Creative Cloud por un año, contará con un mentor de Adobe Research, y tendrá la oportunidad de realizar unas prácticas profesionales en Adobe el próximo verano.</p><p><strong>Presentación de solicitudes:</strong></p><p>El proceso de envío de candidaturas estará abierto hasta el próximo 31 de octubre, y las interesadas podrán <a href="https://research.adobe.com/forms/scholarship/"><u>aplicar a estas becas a través de la página web de Adobe</u></a>. Junto con el impreso de solicitud, es necesario enviar, además, un currículum, un certificado académico, y tres cartas de referencia. <u><a title="Ir a https://research.adobe.com/forms/scholarship/" href="https://nscripcion" rel="external">Inscripcion</a></u></p><p><br/>Asimismo, es obligatorio contestar a las cuatro preguntas que Adobe lanzará a las candidatas cuando comience a aceptar solicitudes, y de forma optativa, cada candidata podrá enviar un vídeo de unos 60 segundos en el que detalle cómo sería para ella su carrera profesional ideal.</p><p align="center"><strong>Plazo de presentación hasta el día 31/10/2017</strong></p>","<u><a title="Ir a https://research.adobe.com/scholarship/" href="https://Programa" rel="external">Programa</a></u>","","<a href="mailto:adoberesearchwebmaster@adobe.com"><u>adoberesearchwebmaster@adobe.com</u></a>","<u><a title="Ir a http://www.adobe.com/" href="http://www.adobe.com" rel="external">www.adobe.com</a></u>"
"Becas Fundación Iberdrola España-Museo del Prado de Formación e Investigación en Restauración","Becas y ayudas al estudio","Museo del Prado","31/10/2017","<p>Convocatoria de 3 becas Fundación Iberdrola España - Museo Nacional del Prado que contribuya a la formación de especialistas y fomentar la investigación en el Área de Restauración del Museo Nacional del Prado. </p><p> <strong>Entre los requisitos:</strong>  </p><ul><li><p>Tener la nacionalidad española o de algún otro Estado Miembro de la Unión Europea y de los Estados signatarios del Acuerdo sobre el Espacio Económico Europeo, ser residente en España en el momento de incorporarse a la beca, con dominio del idioma español.</p></li><li><p>Poseer la titulación universitaria exigida según la siguiente titulación exigida para cada especialidad: Restauración de Pintura: Grado en Conservación y Restauración de Bienes Culturales, especialidad en Pintura, o Licenciatura en Bellas Artes, especialidad en Conservación y Restauración de Bienes Culturales, itinerario en Pintura o Diplomatura por las Escuelas Superiores de Conservación y Restauración de Bienes Culturales, especialidad en pintura, con una calificación no inferior a Notable. Servicio de Documentación Técnica y Laboratorio: Grado en Conservación y Restauración de Bienes Culturales o Licenciatura en Bellas Artes, Superiores de Conservación y Restauración de Bienes Culturales, con una calificación no inferior a notable.</p></li></ul>    <p><strong>Dotación y duración:</strong></p>  <ul><li><p>Una duración de 10 meses consecutivos.</p></li><li><p>La cuantía de las becas se fija en 15.000 euros para cada una.</p></li></ul>    <p><strong>Solicitudes:</strong></p>  <p>La solicitud deberá ir acompañada, entre otros documentos, de una propuesta de proyecto basado en la visualización de las colecciones del Museo del Prado en formatos digitales, y de una carta de motivación en la que se exprese el interés por la beca y resultados que se esperan obtener durante la estancia.</p><p>  <strong>Más Información en:</strong>  </p><p>Extracto de la resolución de 28 de septiembre de 2017, del Museo Nacional del Prado, por la que se convocan tres becas Fundación Iberdrola España - Museo Nacional del Prado de Formación e Investigación en Restauración. <a href="https://www.boe.es/boe/dias/2017/10/09/pdfs/BOE-B-2017-58608.pdf"><u>BOE 9 de octubre 2017</u></a></p>  <p>De conformidad con lo previsto en los artículos 17.3b y 20.8.a de la Ley 38/2003, de 17 de noviembre, General de Subvenciones, se publica el extracto de la convocatoria cuyo texto completo puede consultarse en la<strong>Base de Datos Nacional de Subvenciones </strong><strong></strong><a href="http://www.pap.minhafp.gob.es/bdnstrans/GE/es/convocatoria/364743"><u>pap.minhafp.gob.es</u></a></p>  <p><strong></strong></p>  <p><strong>Plazo de presentación del 10/10/2017 al 31/10/2017</strong><br/></p>","<a href="https://www.boe.es/boe/dias/2017/10/09/pdfs/BOE-B-2017-58608.pdf"><u>BOE 09/10/2017</u></a>","","","<a href="http://www.pap.minhafp.gob.es/bdnstrans/GE/es/convocatoria/364743"><u>Gob.es</u></a>"
"Becas VANIER CANADA","Becas y ayudas al estudio","Gobierno de Canada","01/11/2017","<p>Canadá busca talento pre-doctoral y convoca este programa de becas.</p><p> <strong>Características:</strong>  </p><p>Las becas están abiertas a estudios doctorales individuales y también a grados conjuntos, siempre que exista un importante elemento de investigación. En este sentido, sólo se concedería la beca por la parte proporcional del doctorado que sí sea de investigación.</p>  <p>El programa está abierto a todas las áreas de doctorado, aunque tienen preferencia las investigaciones en salud, ciencias naturales e ingeniería y ciencias sociales y humanidades.</p>  <p><strong>Dirigidas a:</strong></p>  <p>Jóvenes universitarias y universitarios que quieran doctorarse en una universidad canadiense.</p>  <p><strong>Requisitos:</strong></p>  <ul><li><p>Haber sido nominada o dominado por una institución canadiense que esté adscrita al programa y en la que se estudiará e investigará para obtener el doctorado.</p></li><li><p>Acreditar un buen nivel de inglés y muy buenas calificaciones durante los dos últimos años de estudio.</p></li></ul>    <p></p>  <p>Si ya has empezado tu doctorado puedes aspirar también a las becas Vanier, siempre que a mayo de 2018 no acumules más de 20 meses de estudios e investigaciones doctorales.</p><p>  <strong>Duración y dotación:</strong> </p><ul><li> 3 años de duración </li><li> 50.000 dólares al año por doctorando.</li></ul>  <p></p>  <p>Inscripciones a través de la web <a href="http://www.vanier.gc.ca/en/home-accueil.html"><u>vanier.gc</u></a></p>  <p><strong>Plazo de presentación hasta el día 01/11/2017</strong></p>","<u><a title="Ir a http://www.vanier.gc.ca/en/nomination_process-processus_de_mise_en_candidature_overview.html" href="http://www.vanier.gc.ca/en/nomination_process-processus_de_mise_en_candidature_overview.html" rel="external">Aplicación</a></u>","","<u><br/></u>","<a href="http://www.vanier.gc.ca/en/home-accueil.html"><u>va</u></a><u><a title="Ir a http://www.vanier.gc.ca/en/home-accueil.html" href="http://www.vanier.gc.ca/en/home-accueil.html" rel="external">nier</a></u>"
"Becas Pre-doctorales SEVERO OCHOA","Becas y ayudas al estudio","Consejería de Educación y Cultura","02/11/2017","<p>Se convocan ayudas pre-doctorales del Programa “Severo Ochoa” para la investigación y docencia del Principado de Asturias en el año 2017.</p><p><strong>Objetivo:</strong>  </p><p>Fomentar la formación docente e investigadora de estudiantes de doctorado en el Principado de Asturias mediante la realización de una tesis doctoral en Departamentos o Institutos Universitarios, en Organismos Públicos de Investigación o en Centros Tecnológicos, radicados en el Principado de Asturias.</p>  <p><strong>Dirigidas a:</strong></p>  <p>Estudiantes de doctorado en el Principado de Asturias</p>  <p><strong>Entre los requisitos:</strong></p>  <ul><li><p>Poseer nacionalidad española, ser nacional de un país miembro de la Unión Europea, o en el caso de las personas extranjeras extracomunitarias, estar en posesión del NIE en el plazo de presentación de solicitudes.</p></li><li><p>Estar en posesión del título oficial español de Grado y de Máster Universitario. La duración del conjunto de dichos estudios deberá ser de al menos 300 créditos ECTS, o alternativamente estar en posesión de un título universitario oficial español (Licenciatura, Arquitectura, Ingeniería, Arquitectura técnica, Ingeniería técnica, Diplomatura), o de otro país integrante del Espacio Europeo de Educación Superior, que habilite para el acceso a Máster de acuerdo con lo establecido en el artículo 16 del Real Decreto 1393/2007, de 29 de octubre y haber superado un mínimo de 300 créditos ECTS en el conjunto de estudios universitarios oficiales, de los que, al menos 60, habrán de ser de nivel de Máster.</p></li><li><p>Acreditar un expediente académico completo con una nota media de 6,5 puntos, o superior, en base a la escala 1-10.</p></li></ul>      <p><strong>Dotación y duración:</strong></p>  <ul><li><p>La cuantía máxima de cada una de las ayudas será de 16.100 euros brutos anuales.</p></li><li><p>Se suscribirán contratos pre-doctorales de duración determinada, o la modalidad contractual que corresponda, con dedicación a tiempo completo. La duración del contrato no podrá ser inferior a un año, ni exceder de cuatro años.</p></li></ul>    <p><strong>Presentación de solicitudes:</strong></p>  <p>En la sede electrónica del Principado de Asturias <a href="https://sede.asturias.es/"><u>sede.asturias.es</u></a> está publicada la Ficha de Servicio que se podrá localizar introduciendo el código 2002166 en el buscador de la cabecera en la que se encontrará el texto íntegro de la Resolución, información complementaria, el formulario normalizado de solicitud y la posibilidad de iniciar electrónicamente la solicitud.</p>","<a title="Ir a https://sede.asturias.es/bopa/2017/10/11/2017-11016.pdf" href="https://sede.asturias.es/bopa/2017/10/11/2017-11016.pdf" rel="external">BOPA 11/10/2017</a>","","","<p><a title="Ir a https://sede.asturias.es/portal/site/Asturias/menuitem.1003733838db7342ebc4e191100000f7/?vgnextoid=d7d79d16b61ee010VgnVCM1000000100007fRCRD&amp;fecha=11/10/2017&amp;refArticulo=2017-11016&amp;i18n.http.lang=es" href="https://sede.asturia"
"4 Becas para el Parlamento","Becas y ayudas al estudio","Congreso de los Diputados","02/11/2017","<p>El Congreso de los Diputados convoca 4 becas individuales de formación práctica sobre comunicación institucional relacionada con la actividad parlamentaria. El desarrollo de las becas estará dirigido por la Dirección de Comunicación de la Cámara y por el Departamento de Prensa. Los estudios y trabajos prácticos realizados quedarán de propiedad del Congreso de los Diputados.  </p><p>De dichas becas se reservará una para su concesión entre personas con discapacidad de grado igual o superior al 33 por ciento.</p>  <p><strong>Entre los requisitos:</strong></p>  <p>1. Podrán solicitar la concesión de esta beca las personas de nacionalidad española que reúnan las siguientes condiciones:</p>  <ul><li><p>Estar en posesión del título universitario de Nivel 3 (Máster) o Licenciado en Ciencias de la Información, con equivalencia a dicho nivel, en la rama de Periodismo, de conformidad con los niveles establecidos en el Real Decreto 1027/2011, de 15 de julio, por el que se establece el Marco Español de Cualificaciones para la Educación Superior, así como por lo dispuesto en la Resolución de 10 de febrero de 2016, de la Dirección General de Política Universitaria, por la que se publica el Acuerdo del Consejo de Ministros de 22 de enero de 2016, por el que se determina el nivel de correspondencia al nivel del Marco Español de Cualificaciones para la Educación Superior del Título Universitario Oficial de Licenciatura en Periodismo.</p></li><li><p>Haber nacido con posterioridad al 1 de enero de 1989.</p></li><li><p>No haber disfrutado durante más de seis meses de otra beca de las mismas características en las Cortes Generales (Congreso de los Diputados o Senado).</p></li></ul>      <p>2. Sin perjuicio de lo previsto en la base primera, las personas solicitantes no podrán padecer enfermedad o defecto físico que impida la realización efectiva de las prácticas, ni haber sido separadas, mediante expediente disciplinario, de servicios del Estado o de cualquier ente territorial.</p>  <p><strong>Dotación y duración:</strong></p>  <ul><li><p>Cada una de las 4 becas tendrá una duración de 12 meses. El inicio de las mismas se comunicará a las personas beneficiarias simultáneamente a la notificación de la concesión. Las becas terminarán el 31 de diciembre de 2018.</p></li><li><p>La cuantía total de la beca será de 12.900 € brutos, que se percibirán finalizado cada mes a razón de una cuantía bruta de 1.075 € y que estarán sujetos a las retenciones que proceda.</p></li></ul>    <p><strong>Plazo de presentación hasta el02/11/2017</strong></p>","<p><a href="http://www.boe.es/boe/dias/2017/10/11/pdfs/BOE-A-2017-11653.pdf"><u>BOE 11/10/2017</u></a><a href="http://www.elateneo.es/noticias/show/2015-09-15-2"></a></p>","","","<a href="http://www.congreso.es/portal/page/portal/Congreso/Congreso"><u>Congreso.es</u></a>"
"6 Becas Formación en Fondo Español de Garantía Agraria","Becas y ayudas al estudio","Fondo Español de Garantía Agraria, O.A.","03/11/2017","<p>Convocatoria en régimen de concurrencia competitiva de seis becas de formación práctica destinadas a personas tituladas universitarias al objeto de contribuir a su formación en materias relativas al ámbito de las actividades y funciones propias del Fondo Español de Garantía Agraria O.A. El mencionado ámbito se enmarcará dentro de las áreas y líneas de actuación que corresponden a la Gestión Pública del Organismo.</p><p>La finalidad de estas becas es contribuir a la formación práctica en tareas relacionadas con el ámbito de las competencias del FEGA, mediante la convocatoria de 6 becas en el Área Gestión Pública, de las cuales 4 son para Ingeniería Agrónoma o personas con el máster en ingeniería agronómica y 2 para grado en Derecho, por un período inicial máximo de 12 meses, pudiendo prorrogarse por 12 meses más.</p><strong>Requisitos:</strong>  <ul><li><p>Españoles o de un Estado miembro de la Unión Europea, residentes en España, menores de 30 años, que hayan terminado sus estudios en el plazo de los 4 años anteriores al día siguiente al de la publicación del presente extracto, y que estén en posesión o en condiciones de obtener el título en alguna de las titulaciones y ámbitos de estudio señalados en el artículo 4.3 de la convocatoria. </p></li><li><p>Asimismo deberán acreditar dominio del idioma inglés, y manejo a nivel de usuario de los programas informáticos de tratamiento de texto, hoja de cálculo y presentaciones.</p></li></ul><p>    <strong>Dotación:</strong><p><br/></p><p>La cuantía de estas becas será de 1.200 euros mensuales.</p><p><strong>Plazo de presentación hasta el 31/10/2017</strong>  </p></p>","<a href="https://www.boe.es/boe/dias/2017/10/21/pdfs/BOE-B-2017-61424.pdf"><u>BOE 21/10/2017</u></a>  <p><a href="https://www.boe.es/boe/dias/2017/08/07/pdfs/BOE-A-2017-9421.pdf"><u>bases</u></a></p>","","","<a title="Abre en ventana nueva" href="http://www.pap.minhafp.gob.es/bdnstrans"><u>Base de Datos Nacional de Subvenciones</u></a>"
"Ayudas para la financiación de trabajos fin de máster  TFM","Becas y ayudas al estudio","Universidad de Oviedo","04/11/2017","<p>La Universidad de Oviedo aprueba la convocatoria para la concesión de ayudas para la financiación de trabajos fin de máster (TFM).  </p><p>Estas ayudas estarán financiadas con fondos de investigación propios o externos, de carácter público o privado, año 2017, Procedimiento 3: Ayudas para la realización de trabajos fin de máster (TFM), en el marco del Proyecto CEI Ad Futurum 2015, del Ministerio de Educa­ción, Cultura y Deportes (CEI15-24/Pasantías en empresas).</p><p>  <strong>Personas beneficiarias:</strong>  </p><ul><li><p>Estudiantes que se hayan matriculado del TFM de un Máster Universitario impartido en la Universidad de Oviedo en el curso académico 2017/2018, y que hayan presentado el citado trabajo o vayan a hacer su presentación dentro del curso académico indicado.El TFM deberá estar relacionado con la temática de dicha convocatoria o corresponder a los Másteres Universitarios que se puedan especificar en ella.</p></li><li><p>Las personas solicitantes no han de estar incursas en alguna de las prohibiciones establecidas en el art. 4.2 de la Resolución de 9 de abril de 2010, de la Universidad de Oviedo (Boletín Oficial del Principado de Asturias de 28 de abril), por la que se regula el régimen de concesión de subvenciones.</p></li></ul>    <p><strong>Dotación, número y cuantía:</strong></p>  <ul><li><p>La cuantía de las becas se fija en un importe total de veintiún mil seiscientos euros (21.600 €) ycada beca tendrá una cuantía de 800 euros cada una.</p></li><li><p>El número máximo de ayudas a conceder será de 27 ayudas.</p></li></ul>    <p><strong>Presentación de solicitudes:</strong></p>  <p>Las solicitudes para optar a estas ayudas serán presentadas debidamente cumplimentadas, conforme al modelo de solicitud que se establezca en las correspondientes convocatorias, acompañadas de la documentación que se exija en las mismas y dirigidas al Vicerrectorado con competencias en materia de Investigación y Campus de Excelencia Internacional, a través del Portal del Investigador o de cualquiera de los siguientes registros de la Universidad de Oviedo:</p>  <ul><li><p>Registro General, plaza de Riego, 33003 Oviedo.</p></li><li><p>Registro Auxiliar del Campus de El Cristo A. Aulario de Ciencias Jurídico-Sociales. Calle Catedrático Valentín Andrés Álvarez, s/n. 33006 Oviedo.</p></li><li><p>Registro Auxiliar del Campus de Gijón. Servicio del Campus de Gijón. Edificio Sur, planta baja. 33203 Gijón.</p></li><li><p>Registro Auxiliar del Campus de Mieres. Servicio Administrativo de Mieres. Edificio Científico Técnico. Calle Gonzalo Gutiérrez Quirós, s/n. 33600 Mieres.</p></li><li><p>Registro Auxiliar de Avilés, Centro de Servicios Universitarios, calle La Ferrería n.º 7 y 9, planta baja, 33402 Avilés.</p></li><li><p>Registro Auxiliar del Campus del Milán. Edificio de Administración, planta baja. Calle Tte. Alfonso Martínez s/n, 330011 Oviedo.</p></li></ul>            <p>Las solicitudes también podrán ser presentadas por cualquiera de los medios establecidos en el artículo 38 de la Ley 30/1992 de 26 de noviembre, de Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común.</p>  <p><strong></strong></p>  <p><strong>Plazo de presentación hasta el 04/11/2017</strong></p>","<a href="https://sede.asturias.es/portal/site/Asturias/menuitem.1003733838db7342ebc4e191100000f7/?vgnextoid=d7d79d16b61ee010VgnVCM1000000100007fRCRD&amp;fecha=13/02/2016&amp;refArticulo=2016-01393&amp;i18n.http.lang=es"><u>bases</u></a>     <a href="https://sede.asturias.es/bopa/2017/10/20/2017-11514.pdf"><u>BOPA 20/10/2017</u></a><a href="http://www.elateneo.es/noticias/show/2015-09-15-2"></a>","","","<a href="http://www.uniovi.es/accesoyayudas/becas"><u>UnioviBECASyAYUDAS</u></a>"
"Beca Banco de España-Museo Nacional del Prado","Becas y ayudas al estudio","Museo Nacional del Prado","06/11/2017","<p>El Museo Nacional del Prado convoca una <strong>beca Banco de España-Museo Nacional del Prado de formación e investigación</strong> en el ámbito de las nuevas tecnologías aplicadas a la educación en el área de educación. </p><p>    <strong>Entre los requisitos:</strong>  </p><ul><li><p>Tener la nacionalidad española o de algún otro Estado Miembro de la Unión Europea, y de los Estados signatarios del Acuerdo sobre el Espacio Económico Europeo, ser residente en España en el momento de incorporarse a la beca, con un dominio del idioma español (hablado y escrito) que permita a los candidatos desenvolverse satisfactoriamente en su entorno de trabajo.</p></li><li><p>Poseer la siguiente titulación: Título de Ciclo Formativo de Grado Superior, Grado Universitario, Grado Superior de Enseñanzas Artísticas, o equivalente, en la especialidad de Tecnologías Creativas, Diseño Multimedia, Desarrollo de Videojuegos, Desarrollo de Aplicaciones Web, Animaciones 3D, Juegos y Entornos Interactivos, Bellas Artes, o similar.</p></li><li><p>Haber finalizado los estudios conducentes a la obtención del título exigido con posterioridad a enero de 2010.</p></li><li><p>No haber sido beneficiaria o beneficiario con anterioridad a esta convocatoria de la beca &quot;Museo del Prado&quot;.</p></li></ul>        <p><strong>Dotación y duración:</strong></p>  <ul><li><p>Una duración de 12 meses</p></li><li><p>Dotada con 18.000 euros</p></li></ul>    <p><strong>Solicitudes:</strong></p>  <p>La solicitud deberá ir acompañada, entre otros documentos, de una propuesta de proyecto basado en la visualización de las colecciones del Museo del Prado en formatos digitales, y de una carta de motivación en la que se exprese el interés por la beca y resultados que se esperan obtener durante la estancia.</p><p>  <strong>Más Información en:</strong>  </p><p>Extracto de la resolución de 5 de octubre de 2017, del Museo Nacional del Prado, por la que se convoca una beca Banco de España-Museo Nacional del Prado de formación e investigación en el ámbito de las nuevas tecnologías aplicadas a la educación en el área de educación. <a href="https://www.boe.es/boe/dias/2017/10/16/pdfs/BOE-B-2017-60043.pdf"><u>BOE 16 de octubre 2017</u></a></p>  <p>De conformidad con lo previsto en los artículos 17.3 b) y 20.8.a) de la Ley 38/2003, de 17 de noviembre, General de Subvenciones, se publica el extracto de la convocatoria cuyo texto completo puede consultarse en la <a title="Abre en ventana nueva" href="http://www.pap.minhafp.gob.es/bdnstrans"><strong><u>Base de Datos Nacional de Subvenciones</u></strong></a>.</p>  <p><strong>Período de inscripción del 17/10/2017 al 06/11/2017</strong></p>","<a href="https://www.boe.es/boe/dias/2017/10/16/pdfs/BOE-B-2017-60043.pdf"><u>BOE 16/10/2017</u></a>","","","<a href="http://www.pap.minhafp.gob.es/bdnstrans/GE/es/convocatoria/365566"><u>Gob.es</u></a>"
