Código,Nombre,Crédito inicial del ejercicio
,"Clasificación económica de ingresos",75693110.03
1,"IMPUESTOS DIRECTOS",36865000.00
10,"Impuesto sobre la Renta",0
100,"Impuestos sobre la Renta de las Personas Físicas",0
101,"Impuesto sobre Sociedades",0
102,"Impuesto sobre la Renta de No Residentes",0
11,"Impuestos sobre el capital",35465000.00
110,"Impuesto sobre Sucesiones y Donaciones",0
111,"Impuesto sobre Patrimonio",0
112,"Impuesto sobre Bienes Inmuebles. Bienes Inmubles de Naturaleza Rústica.",330000.00
113,"Impuesto sobre Bienes Inmuebles. Bienes inmuebles de Naturaleza Urbana.",29200000.00
114,"Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de características especiales.",0
115,"Impuesto sobre Vehículos de Tracción Mecánica",3935000.00
116,"Impuesto sobre Incremento del Valor de los Terrenos de Naturaleza Urbana",2000000.00
117,"Impuesto sobre viviendas desocupadas",0
13,"Impuesto sobre las Actividades Económicas",1400000.00
130,"Impuesto sobre Actividades Económicas",1400000.00
16,"Recargos sobre impuestos directos del Estado y de la Comunidad Autónoma",0
160,"Sobre impuestos del Estado",0
161,"Sobre impuestos de la Comunidad Autónoma",0
17,"Recargos sobre impuestos directos de otros entes locales",0
170,"En el Impuesto sobre Bienes Inmuebles",0
171,"Recargo provincial en el Impuesto sobre Actividades Económicas",0
179,"Otros recargos sobre impuestos directos de otros entes locales",0
18,"Impuestos directos extinguidos",0
19,"Otros impuestos directos",0
2,"IMPUESTOS INDIRECTOS",2563386.00
21,"Impuestos sobre el Valor Añadido",0
210,"Impuesto sobre el Valor Añadido",0
22,"Sobre consumos específicos",0
220,"Impuestos Especiales",0
220.00,"Impuesto sobre el alcohol y bebidas derivadas",0
220.01,"Impuesto sobre la cerveza",0
220.02,"Impuesto sobre el vino y bebidas fermentadas",0
220.03,"Impuesto sobre las labores del tabaco",0
220.04,"Impuesto sobre hidrocarburos",0
220.05,"Impuesto sobre determinados medios de transporte",0
220.06,"Impuesto sobre productos intermedios",0
220.07,"Impuesto sobre la energía",0
220.08,"Impuesto sobre ventas minoristas de hidrocarburos",0
220.09,"Exacción sobre la gasolina",0
26,"Recargos sobre impuestos indirectos del Estado y de la Comunidad Autónoma",0
260,"Sobre impuestos del Estado",0
261,"Sobre impuestos de la Comunidad Autónoma",0
27,"Recargos sobre impuestos indirectos de otros entes locales",0
270,"Sobre impuestos de otros entes locales",0
28,"Impuestos indirectos extinguidos",0
29,"Otros impuestos indirectos",2563386.00
290,"Impuesto sobre construcciones, instalaciones y obras",2563386.00
291,"Impuesto sobre gastos suntuarios (Cotos de caza y pesca)",0
292,"Arbitrio sobre importaciones y entregas de mercancías en Canarias (AIEM)",0
293,"Impuesto general indirecto canario (IGIC)",0
