uri,rdfs_label,om_ejercicioEconomico,om_presupuestoFormadoPor,om_entidadOrdenantePresupuesto,om_fechaAprobacionPresupuesto,om_presupuestoFormadoPor_numeroCapitulo,om_presupuestoFormadoPor_cantidadCapitulo,om_presupuestoFormadoPor_denominacionCapitulo,om_presupuestoFormadoPor_tipoApunteCapitulo,om_presupuestoFormadoPor_tipoOperacionCapitulo
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Gasto1,Ayuntamiento,16/12/2014,1,21808588.83,Gastos De Personal,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Gasto2,Ayuntamiento,16/12/2014,2,23290998.96,Gastos Corrientes En Bienes Y Servicios,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Gasto3,Ayuntamiento,16/12/2014,3,740000,Gastos Financieros,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Gasto4,Ayuntamiento,16/12/2014,4,9605668.01,Transferencias Corrientes,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Gasto5,Ayuntamiento,16/12/2014,5,279401.65,Fondo de contingencia y otros imprevistos,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Gasto6,Ayuntamiento,16/12/2014,6,6276120,Inversiones Reales,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Gasto8,Ayuntamiento,16/12/2014,8,100000,Activos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Gasto9,Ayuntamiento,16/12/2014,9,6054305.38,Pasivos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Ingreso1,Ayuntamiento,16/12/2014,1,33467097.44,Impuestos Directos,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2015-1-AYTO,Presupuesto del Ayuntamiento 2015,2015,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2015-1-AYTO-Ingreso2,Ayuntamiento,16/12/2014,2,3042962.88,Impuestos Indirectos,Ingreso,No Financiera Corriente
