dc:identifier,dc:modified,ayto:Tipo,ayto:Nombre,ayto:latitud,ayto:longitud,ayto:imagenURL,ayto:DescripcionCorta,ayto:DescripcionLarga,ayto:Direccion,ayto:Telefono,ayto:Fax,ayto:Email,ayto:Web,ayto:Horario,ayto:DescripcionCortaUK,ayto:DescripcionLargaUK,uri
GAL2,2017-10-31T01:18:45.708Z,Galería,Galería de Arte Acuarela,43.4631370000,-3.8149600000,http://ra.smartsantander.eu/images/cultura/Acuarela.jpg,"Espacio destinado a la exposición artística ","Galería de arte. Este espacio artístico expone obras de arte no sólo de reconocidos autores\, ya que además organiza ciclos y actividades para ñiños y jóvenes. ","Calle Cisneros\, 54 39006 Santander",(+34) 942361995,,,http://galeriaacuarela.blogspot.com.es,,Art showroom,"This art space exhibits art of not only well known authors but serves as a display area for activities centred on children and young people. ",http://datos.santander.es/api/datos/puntos_interes_galeria/gal2.csv
GAL11,2017-10-31T01:18:45.708Z,Galería,Demolden Video Project,43.4652180000,-3.8015060000,http://ra.smartsantander.eu/images/cultura/DemoldenVideoProject.jpg,Galería de arte especializada en la creación audiovisual,"Demolden Video Project es un novedoso espacio expositivo dedicado en exclusiva al mundo del audiovisual que pretende mostrar formas de mirar distintas a las acostumbradas y acercar\, fundamentalmente aunque no en exclusiva\, los nuevos y viejos caminos por los que ha transitado y transita el videoarte.",C/ del Sol 12 39003 Santander,,,demoldengallery@yahoo.es,www.demolden.com,,Art gallery specialized in audiovisual,Demolden Video Project is a new exhibition space dedicated exclusively to the world of audiovisual promotions aimed at exhibiting not just the usual visual approach but also new innovations in video art.,http://datos.santander.es/api/datos/puntos_interes_galeria/gal11.csv
GAL10,2017-10-31T01:18:45.708Z,Galería,Galería Estela Docal,43.4635100000,-3.7989650000,http://ra.smartsantander.eu/images/cultura/galeriaesteladocal.jpg,Galería de arte contemporáneo,"En esta galería de arte\, situada en inmediaciones de Puertochico pueden encontrarse obras de Juan Alcalde\, Guillermo Oyágüez\, Carlos Morago\, Eduardo Úrculo\, Carlos Costa\, Juan Manuel Fernández Pinedo\, Guillermo Mora\, Julián Grau Santos\, Joaquín Millán\, David Morago\,  Eduardo Sanz\, Luis Mayo\, Manuel Mediavilla y Antonio Santos.\n","Peña Herbosa\, 11 39003 Santander",(+34) 942 214 815,(+34) 942 214 815,esteladocal@hotmail.com,www.esteladocal.com,,Contemporary art gallery,"In this art gallery\, located in the vicinity of Puertochico the works of Juan Mayor Guillermo Oyagüez\, Carlos Morago\, Eduardo Úrculo\, Carlos Costa\, Juan Manuel Fernández Pinedo\, Guillermo Mora\, Julián Grau Santos\, Joaquín Millán\, David Morago\, Eduardo Sanz can be found as well as  Luis Mayo\, Manuel Mediavilla and Antonio Santos.",http://datos.santander.es/api/datos/puntos_interes_galeria/gal10.csv
GAL1,2017-10-31T01:18:45.708Z,Galería,Espacio Creativo Alexandra,43.4617580000,-3.8190490000,http://ra.smartsantander.eu/images/cultura/ECALEXANDRA.jpg,Escuela de dibujo y pintura,"Esta escuela de dibujo y pintura desarrolla numerosos talleres a lo largo del año\, con diferentes temáticas tales como arteterapia\, acuarela\, programas de diseño\, pensamiento creativo... ",C/Francisco Cubría s/n 39007 Santander,(+34) 942 037 210,,espaciocreativoalexandra@hotmail.com,espaciocreativoalexandra.blogspot.com,,School of drawing and painting,"This school of drawing and painting has developed numerous workshops that take place throughout the year with a variety of themes which include art therapy\, watercolor\, design programs and creative thinking.",http://datos.santander.es/api/datos/puntos_interes_galeria/gal1.csv
GAL9,2017-10-31T01:18:45.707Z,Galería,Galería MEISTERSTÜCK,43.4636882000,-3.7926227000,http://ra.smartsantander.eu/images/cultura/GaleriaMEISTERSTÜCK.jpg,Estudio creativo y galería de arte,"Estudio creativo y galería de arte dedicado al diseño gráfico\, imagen corporativa\, diseño web\, ilustración y fotografía.","Calle San Martín\, 15 39004 Santander",(+34) 942 050 280,,info@meisterstuck.es,www.meisterstuck.es,,Art gallery,"This creative studio and art gallery is dedicated to graphic design\, corporate identity\, web design\, illustration and photography. ",http://datos.santander.es/api/datos/puntos_interes_galeria/gal9.csv
GAL8,2017-10-31T01:18:45.707Z,Galería,Galería de Arte Siboney,43.4630900000,-3.7952950000,http://ra.smartsantander.eu/images/cultura/galeriaSIBONEY.jpg,Galería de arte,"Una de las más prestigiosas galerías de arte de Santander\, presente todos los años en la feria internacional de ARCO. En su espacio expositivo esta galería desarrolla una media de 12 exposiciones anuales.",c/ Castelar 7 39004 Santander,(+34) 942 311 003,,info@galeriasiboney.com,www.galeriasiboney.com,,Art gallery,"One of the most prestigious art galleries in Santander and exhibits every year at the ARCO International Fair. In this gallery there are around 12 exhibitions per year. ",http://datos.santander.es/api/datos/puntos_interes_galeria/gal8.csv
GAL7,2017-10-31T01:18:45.707Z,Galería,Galería de Arte Nuble,43.4632571000,-3.8000445000,http://ra.smartsantander.eu/images/cultura/GaleriaNuble.jpg,"Galería de arte (pintura\, escultura\, instalación e imagen)","La Galería Nuble pretende dar cabida a todo tipo de manifestación artística\, desde la pintura y la escultura a la instalación o la imagen. Ofrece un criterio abierto a la promoción de creadores de carácter universal que aborden diversos lenguajes artísticos\, con el objetivo de colaborar en la difusión de la cultura y el coleccionismo a través de actividades multidisciplinares y con el deseo de convertirse en una cita para el público interesado.","Daoiz y Velarde\, 26 39003 Santander",(+34) 942 313 745,,info@galerianuble.com,www.galerianuble.com,,Art gallery,"The Nuble Gallery seeks to exhibit all kinds of artistic expression from painting and sculpture through to installation and image. It offers an open and creative promotion aimed at universal art which addresses various artistic languages with the aim of contributing to the dissemination of culture and collections through multidisciplinary activities to promote a wider public interest. ",http://datos.santander.es/api/datos/puntos_interes_galeria/gal7.csv
GAL6,2017-10-31T01:18:45.707Z,Galería,Galería de Arte Juan Silió,43.4654633000,-3.7982336000,http://ra.smartsantander.eu/images/cultura/GALERIAJUANSILIO.jpg,Espacio dedicado al arte y la creación,"Galería de arte. Además colabora en la distribución de las publicaciones de Pisueña Press\, un proyecto editorial independiente cuyo fin es la difusión del Arte Contemporáneo a través de la edición de textos de artistas y críticos.","Calle del Sol\, 45 39003 Santander",(+34) 942 216 257,," galeria@juansilio.com",www.juansilio.com,,Art gallery,"This gallery also assists in the distribution and publications of Pisueña Press\, an independent publishing project aimed at the dissemination of contemporary art through of texts by artists and critics. ",http://datos.santander.es/api/datos/puntos_interes_galeria/gal6.csv
GAL5,2017-10-31T01:18:45.707Z,Galería,Galería del Mercado del Este,43.4623212900,-3.8042200000,http://ra.smartsantander.eu/images/cultura/mercadodeleste.jpg,"Centro cultural y de servicios\, declarado bien de interés cultural","El Mercado del Este recibió este nombre por encontrarse en la zona de ensanche que en ese momento avanzaba hacía en este del casco antiguo\, y por su posición relativa al otro gran mercado de la ciudad\, el Mercado de la Esperanza\, situado detrás del Ayuntamiento de Santander\, en la Plaza de la Esperanza.El mercado tiene una única planta de geometría rectangular\, de 40 metros de ancho por 60 metros de largo\, lo que dan una superficie de 2.400 metros cuadrados. En el año 1986\, el Mercado del Este fue declarado Bien de Interés Cultural. En la actualidad alberga diversos negocios relacionados con el sector servicios. En él se hallan\, además de una oficina de información turística\, cafetería\, restaurante\, tiendas de diversas índoles (regalos\, floristería\, productos delicatessen\, etc.) y una sala de exposiciones que ocupa toda la planta inferior del edificio ","C/ Hernán Cortés\, 4\, 39003 Santander",942 20 31 20,,,,,Cultural and service center,"The Eastern Market got its name for being in the area at that time when town expansion took place from what was considered the original old town as well as it?s positioning in relation to The Esperanza Market Hall which is located directly behind Santander Town Hall\, in The Plaza de la Esperanza. The market has a rectangular floor space that measures 60m x 40m giving a total area of 2\,400 square meters. In 1986 The Eastern Market was declared of Cultural Interest and now houses several businesses related to the service sector. It is also a tourist information office\, cafe\, restaurant\, shops of various kinds (gifts\, florist\, delicatesent etc.) including an exhibition hall which occupies the entire ground floor of the building.",http://datos.santander.es/api/datos/puntos_interes_galeria/gal5.csv
GAL4,2017-10-31T01:18:45.707Z,Galería,Galería Cervantes,43.4627780000,-3.8114190000,http://ra.smartsantander.eu/images/cultura/cervantes.jpg,Espacio destinado a la exposición artística,"Galería de arte fundada en 1988 por Francisco Revilla Iranzo -creador de Arte Santander-. Esta galería ha realizado más de 200 exposiciones individuales y temáticas con los artistas más importantes de la plástica actual.\nAdemás\, este espacio ofrece un ""fondo de galeriía"" de alta calidad.","C/Cervantes\, nº10\, bajo izda\, 39001 Santander",(+34) 942 311 672,(+34) 942 311 672,galeriacervantes@gmail.com,http://www.galeriacervantes.com/,,Art gallery,"Gallery founded in 1988 by Francisco Revilla Iranzo who created Art Santander. This gallery has performed more than 200 individual and theme orientated exhibitions with contributions from major artists in the visual arts world. ",http://datos.santander.es/api/datos/puntos_interes_galeria/gal4.csv
