dc:identifier,ayto:titulo,ayto:url_imagen,ayto:descripcion,dc:descripcion_ingles,dc:fh_inicio,ayto:fh_fin,ayto:id_comercio,ayto:nombre_comercio,ayto:direccion,ayto:latitud,ayto:longitud,dc:modified,uri
84,Maridaje temático dedicado al Atún de Almadraba de Barbate,https://butler.tst-sistemas.es/uploads/maridajeatun-2526.jpg,"El atún de almadraba de Barbate es el protagonista del maridaje temático que hemos organizado para los días 25 y 26 de abril.\n\nDirigido por nuestro sumiller Pedro Martínez\, esta actividad gastronómica consta de cinco vinos con cinco platos que son los siguientes: tartar\, tataki\, saquitos de atún\, lomo y tarantelo a la plancha y postre.\n\nSi queréis disfrutar de esta de esta experiencia sensorial única\, programada en horario de cenas y con un precio de 30€ por persona\, es necesario realizar reserv",,0002-11-30T21:00:00.000Z,2015-04-28T22:00:00.000Z,RES58,"Bodega La Montaña ","San Fernando\, 28. Santander ",43.460254632212255,-3.820862564551817,2017-10-31T16:02:19.194Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/84.csv
85,"PinchoPote ",https://butler.tst-sistemas.es/uploads/pinchopotefrontal.png,"El PinchoPote es una tradición muy arraigada en el País Vasco que nosotros hemos adoptado y en el que todos los domingos de 20 a 23h\, un pincho y un pote cuesta 1€\, o 0\,50€ por separado.\n\nY para los que prefiráis disfrutar de los pinchos en vuestra casa\, también ofrecemos la opción de PinchoPote para llevar. Date una buena merendola a precios increíbles...",,0002-11-30T19:00:00.000Z,2015-04-29T21:00:00.000Z,RES58,"Bodega La Montaña ","San Fernando\, 28. Santander ",43.460254632212255,-3.820862564551817,2017-10-31T16:02:19.193Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/85.csv
162,DISFRUTA DE SANTANDER SOBRE RUEDAS,https://butler.tst-sistemas.es/uploads/1413545281Turybike.jpg,"Reservando una habitacion con nosotros\, le ofrecemos un 20% de descuento en el alquiler de bicilcetas electricas en turybike.com La mejor manera de desplazarse para conocer Santander. Hay que mencionar esta oferta al momento de hacer check-in.","If you book a room with us\, we offer a 20% discount on the rental of electrical bicilcetas in turybike.com The best way to travel for Santander. We must mention this offer at time of check-in.",2014-10-16T22:00:00.000Z,2015-09-29T22:00:00.000Z,HOT31,Hostal Cabo Mayor,"Cadiz nº1\, 2º 39002 ",43.45953727924331,-3.81075103439332,2017-10-31T16:02:19.191Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/162.csv
160,Oferta Habitación Indidual 1Pax,https://butler.tst-sistemas.es/uploads/141344430324662_504484772943571_2126884708_n.jpg,"Oferta especial Habitacion individual o doble para uso individual\,con desayuno incluido\,todas las habitaciones tienen baño tv telefono calefaccion internet inalambrico","Special offer single or double room for single occupancy\, including breakfast \, all rooms have TV telephone wireless internet heating bath",2014-10-15T22:01:00.000Z,2014-10-31T19:00:00.000Z,HOT36,Hotel San Glorio**,Calle Federico vial nº 3 Santander 39009,43.45651170685084,-3.8132293955230807,2017-10-31T16:02:19.191Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/160.csv
159,"OFERTA HABITACION DOBLE NO REEMBOLSABLE ",https://butler.tst-sistemas.es/uploads/1413372805HABITACION1.jpg,"Oferta de habitacion doble/twin a 40\,00€/noche IVA incluido\, en lugar de 45\,00€ \n\nEsta oferta es NO REEMBOLSABLE. Se cargará el importe total en el momento de hacer la reserva. Si cancela o modifica la reserva\, no se reembolsará el importe pagado.","Offer double / twin room € 40\,00 / night including VAT\, instead of 45.00 €\n\nThis offer is NON-REFUNDABLE. The total amount will be charged at time of booking. If you cancel or change your reservation\, the amount paid will not be refunded.",2014-10-18T22:00:00.000Z,2015-03-30T22:00:00.000Z,HOT31,Hostal Cabo Mayor,"Cadiz nº1\, 2º 39002 ",43.45953727924331,-3.81075103439332,2017-10-31T16:02:19.191Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/159.csv
163,WINTER,,HABITACION   DESAYUNO,"BED ",2014-10-31T23:00:00.000Z,,HOT43,HOTEL CITYEXPRESS SANTANDER PARAYAS,,43.46741785352323,-3.8193984762573336,2017-10-31T16:02:19.19Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/163.csv
212,"Limpieza de alfombras a 5\,95€m2",,"traenos tus alfombras y las limpiamos por tan solo 5\,95€ m2 ....precios solo en tienda !!!!",,2014-11-10T23:00:12.000Z,2014-11-20T23:00:12.000Z,COM2619,Lavanderia Tintoreria SAKYA,C/Universidad nº 1 bajo,43.46741785352323,-3.8193984762573336,2017-10-31T16:02:19.189Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/212.csv
207,CAMPAÑA INDEGO ROBOT DE JARDIN DE BOSCH,https://farm9.staticflickr.com/8668/15146047904_4f317a9863.jpg,"\nCampaña de instalación gratuita del robot cortacésped Indego\n\n1. Por la compra del robot Indego entre el 1 de marzo y el 30 de junio de 2014\n\n2. Con solo llamar al 902 53 15 53\n\n3. ¡Relájate y disfruta!. Ahora te lo instalamos gratis\n\nBosch lanza una campaña de instalación gratuita del robot cortacésped Indego en la que\, por la compra de este producto entre el 1 de marzo y el 30 de junio de 2014\, un instalador de Bosch acudirá al domicilio del comprador y realizará la instalación y configuració",,2015-02-28T23:00:00.000Z,2016-06-29T22:00:24.000Z,COM2614,BADYSAT,fernando de los rios nº71 bajo c.p. 39006,43.46741785352323,-3.8193984762573336,2017-10-31T16:02:19.189Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/207.csv
191,Pack Especial Gourmet Navidad 2014,,Disfruta de un pack gourmet que haga las delicias de los de tuyos,,2014-12-15T09:00:00.000Z,2015-01-07T19:00:00.000Z,COM3042,La Boutique del Foie,"Calle Francisco Salazar\, 2",43.46605128605782,-3.7861873642349337,2017-10-31T16:02:19.189Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/191.csv
215,Belleza y salud en Navidad,https://farm8.staticflickr.com/7534/15767740112_633710c240.jpg,"Regalar belleza y regalar salud\, acierto seguro. Higiene de piel. Regeneración facial. Rejuvenecimiento. Eliminación de arrugas. Adelgazamiento. Relajación. Masaje Antiestrés. Terapia Ansiedad. Celulitis. Spa urbano. Estilismo. Asesoria de Imagen integral. Medicina Estética",,2014-11-10T23:00:00.000Z,2015-01-12T23:00:00.000Z,COM732,Centro Velvet,Floranes 10 a Santander 39010,43.46741785352323,-3.8193984762573336,2017-10-31T16:02:19.187Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/215.csv
213,Lavado de mantas solo 9€,,lavado y secado de mantas ...pagos por adelantado,,2014-11-11T11:00:00.000Z,2014-11-21T11:00:00.000Z,COM2619,Lavanderia Tintoreria SAKYA,C/Universidad nº 1 bajo,43.46741785352323,-3.8193984762573336,2017-10-31T16:02:19.187Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/213.csv
223,CAMPAÑA NAVIDAD 2014,https://farm8.staticflickr.com/7486/15766517125_19f00799e9.jpg,"La mejor ropa de calidad REBAJADA. Estas Navidades tu regalo de ZAEL en Santa Clara\, 2. Si quieres hacer un regalo que sorprenda ven a nuestra tienda\, ahora es el momento la mayoria de las prendas que tenemos en la tienda a precios rebajados\, aprovecha cuanto antes para conseguir la talla y color que quieres antes de que se acaben. Chaquetas\, Vestidos\, Faldas\, Cazadoras de Piel\, Chalecos\, Sudaderas\, Camisas\, todas ellas con un diseño diferente el de ISATO\, un diseño que han elegido ya muchas act","\nThe best quality clothing REDUCED. This Christmas gift your ZAEL in Santa Clara\, 2. If you want to make a gift that surprised to see our store\, now is the time most of the items we have in store at discounted prices\, sooner fail to get the size and color you want before they sell out. Jackets\, Dresses\, Skirts\, Jackets\, Leather jackets\, sweatshirts\, shirts\, each with a different design Isato that of a design that have already chosen many actresses\, singers and even the Queen to dress in their ac",2014-11-30T22:55:00.000Z,2015-01-06T22:55:00.000Z,COM2731,ZAEL,"SANTA CLARA\, 2 ",43.46264057265844,-3.8074358240509127,2017-10-31T16:02:19.186Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/223.csv
222,muebles vintage industriales,https://farm6.staticflickr.com/5610/15580609169_550314fff4.jpg,"Muebles asiaticos antiguos y reproducciones importados directamente desde China\,Tibet(armarios \,aparadores\, sillas \,mesitas todo tipo de muebles y decoracion.","Asian antique furniture and reproductions imported directly from China\, Tibet (cabinets\, dressers\, chairs\, tables all types of furniture and decoration.",2014-11-10T23:00:18.000Z,2015-01-30T23:00:20.000Z,COM3153,IDEAIS (decoracion iris),"magallanes\,4 bajo",43.46741785352323,-3.8193984762573336,2017-10-31T16:02:19.186Z,http://datos.santander.es/api/datos/comercios_ofertas_butler/222.csv
