dc:identifier,dc:modified,ayto:UtmX,ayto:UtmY,ayto:UtmZone,ayto:latWGS84,ayto:lonWGS84,ayto:latED50,ayto:lonED50,ayto:CodTipoSenal,ayto:TipoSenal,ayto:CategoriaSenal,ayto:FamiliaSenal,ayto:GrupoSenal,ayto:SubgrupoSenal,ayto:IdIcono,ayto:CodCalle,ayto:NombreCalle,ayto:NumeroPostal,ayto:Indicacion,ayto:Autorizacion,ayto:FechaColocacion,ayto:Propiedad,ayto:CompartePoste,ayto:FechaRevision,ayto:PlazasCordon,ayto:PlazasBateria,ayto:Regulacion,uri
51865,2017-10-30T23:35:08.935Z,435578.48,4812672.55,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,3810,PS/ PEREDA,35,MARGEN SUR DE LA CALLE A LA ALTURA DEL Nº 35,36870/2017,2017-09-14,Ayuntamiento Santander,0,2017-09-14,2,0,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51865.csv
51868,2017-10-30T23:35:08.935Z,435298.48,4812638.22,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,3810,PS/ PEREDA,23,MARGEN SUR DE LA CALLE A LA ALTURA DEL Nº 23,36862/2017,2017-09-14,Ayuntamiento Santander,0,2017-09-14,2,0,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51868.csv
51879,2017-10-30T23:35:08.935Z,436330.16,4814640.98,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2990,CL/ MANUEL GARCIA LAGO,1,"MARGEN OESTE DELVIAL\, DIRECCION SALIDA DE LA CALLE FRENTE AL Nº 1",37837/2017,2017-09-21,Ayuntamiento Santander,0,2017-09-21,2,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51879.csv
52342,2017-10-30T23:35:08.935Z,435439.77,4813867.61,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8250,CL/ MARINO FERNANDEZ-FONTECHA,S/N,"Margen Norte del vial\, junto al paso de peatones elevado señalizado a continuacion del primer aparcamiento ecologico",45856/2017,2017-10-30,Ayuntamiento Santander,0,2017-10-30,2,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/52342.csv
52345,2017-10-30T23:35:08.935Z,435094.82,4813779.63,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8250,CL/ MARINO FERNANDEZ-FONTECHA,13,Margen Norte del vial junto al paso de peatones elevado señalizado a continuacion del recinto de las Autocaravanas,45858/2017,2017-10-30,Ayuntamiento Santander,0,2017-10-30,2,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/52345.csv
52348,2017-10-30T23:35:08.935Z,433152.97,4812794.25,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,7820,CL/ MIGUEL DE UNAMUNO,10,Junto a la plaza ya existente en ese punto del vial- Se coloca una flecha de vinilo en la señal existente indicando las dos plazas,39816/2017,2017-10-30,Ayuntamiento Santander,1,2017-10-30,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/52348.csv
50811,2017-10-30T23:35:08.532Z,434436.86,4812666.16,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,4710,CL/ RUBIO,19,"Margen Sur del vial\, a continuacion de las plazas de motos.",00000/2015,2015-05-12,Ayuntamiento Santander,0,2015-05-12,3,0,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/50811.csv
50828,2017-10-30T23:35:08.532Z,433230.09,4811940.74,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,1730,PZ/ DOS DE MAYO,7,"Reserva  señalizada junto centro de la Plaza\, frente al nº 7. ",00267/2014,2015-06-02,Ayuntamiento Santander,0,2015-06-02,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/50828.csv
50859,2017-10-30T23:35:08.532Z,435086.46,4813169.56,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,4350,CL/ PRADO SAN ROQUE,28,Margen Sur del vial frente al nº 28.,00240/2015,2015-08-14,Ayuntamiento Santander,0,2015-08-14,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/50859.csv
51061,2017-10-30T23:35:08.532Z,434248.86,4812851.2,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,3350,CL/ MONTE,29,"Margen Este de la zona de aparcamiento\, junto a la entrada.",00390/2015,2015-11-17,Ayuntamiento Santander,0,2015-11-17,0,1,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51061.csv
