EXPEDIENTE;ASUNTO;F_ADJUDICA;PRECIO;EMPRESA
2014/CONASO0029;"CONTRATO ""TALLER CONTROL DE EMOCIONES PARA PERSONAS EN RIESGO DE EXCLUSIÓN SOCIAL"" EN CMAS, PERIODO: 07/01/14 30/09/14";07/01/2014;5.308,88;SIRIMIRI, SERVICIOS SOCIO-CULTURALES S.L .
2014/CONASO0032;TALLER DE ARREGLOS DE ROPA EN LOS LOCALES DE BIDELAN DEL 07/01/14 AL 30/09/14;07/01/2014;6.292,00;IRSE-INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA
2013/CONASO0378;SERVICIOS DE SELECCIÓN Y ENVÍO DE NOTICIAS DE PRENSA ESCRITA;08/01/2014;18.452,50;ACCESO GROUP, S.L.
2014/CONASO0004;APROBACIÓN DEL GASTO Y ABONO DE FACTURA 13/10573 A CONTENEDORES ESCOR VITORIA,SL POR LIMPIEZA ESPECIAL DEL CEMENTERIO EL SALVADOR POR TODOS LOS SANTOS 2013;10/01/2014;5.286,52;CONTENEDORES ESCOR VITORIA, SL
2014/CONASO0008;CONTRATO MENOR PROGRAMA  ANIMACIÓN SOCIO -CULTURAL DE RESIDENCIAS Y SERVICIOS DE ATENCIÓN DIURNA SERV. PERSONAS MAYORES;14/01/2014;13.063,73;SIRIMIRI, SERVICIOS SOCIO-CULTURALES S.L .
2014/CONOOR0002;REPARACION CALANDRA-PLANCHADORA UBICADA EN LA LAVANDERIA DEL CIAM SAN PRUDENCIO;14/01/2014;7.226,14;EUSKOTEL DUBIX, S.L.
2014/CONSOC0002;SUMINISTRO DE PRODUCTOS QUÍMICOS PARA PISCINAS INTERIORES DEL COMPLEJO DEPORTIVO MENDIZORROTZA DEL 01 DE ENERO DE 2014 AL 31 DE DICIEMBRE DE 2014;16/01/2014;7.910,34;URTEAGA QUIMICA S.L.
2014/CONOOR0003;OBRAS DE SUSTITUCIÓN DE INSTALACIÓN DE ILUMINACIÓN MEJORANDO SU EFICIENCIA EN EL EMEI HAURTZARO DE VITORIA-GASTEIZ;17/01/2014;31.162,58;URARTE MONTAJES ELECTRICOS S.A.L.
2014/CONOOR0004;OBRAS DE SUSTITUCIÓN DE ILUMINACIÓN MEJORANDO SU EFICIENCIA EN LA RESIDENCIA SAN PRUDENCIO DE VITORIA-GASTEIZ;17/01/2014;44.918,47;ELECTRICIDAD FEMAR, S.L.
2013/CONSPE0080;SUMINISTRO DE PIENSO PARA EL CENTRO DE PROTECCIÓN ANIMAL (AÑO 2014);21/01/2014;10.000,00;J.J, ZUBIZARRETA URANGA
2014/CONASO0014;GESTIÓN Y EJECUCIÓN DE PROYECTO DE INTEGRACIÓN JUVENIL EN ZONA CASCO VIEJO Y ENESANCHE;24/01/2014;7.802,55;EMAIZE CENTRO SEXOLOGICO S.L.
2014/CONASO0015;APROBACIÓN   Y ABONO DE FACTURA A KIDE EMAUS SL POR TAREAS DE LIMPIEZA DE SOLAR ES Y RECOGIDA DE ENSERES VOLUMINOSOS;24/01/2014;18.863,90;KIDE EMAÚS S.L.
2014/CONSOC0003;SUMINISTRO Y ARRENDAMIENTO DE MÁQUINAS FOTOCOPIADORAS EN LA RED DE BIBLIOTECAS MUNICIPALES EN LOS CENTROS CÍVICOS, AÑO 2014;29/01/2014;5.532,12;DOCUCONSULT, S.L.
2014/CONASO0026;MANTENIMIENTO DEL ASCENSOR RAE 120161 EN LAS MURALLAS PREFUNDACIONALES;31/01/2014;1.039,83;ELECTRA VITORIA S.COOP. LTDA.
2014/CONASO0027;MANTENIMIENTO DEL ASCENSOR RAE 120705 EN EL CENTRO SOCIAL DE ADURTZA;31/01/2014;771,98;THYSSENKRUPP ELEVADORES S.L.
2013/CONOEX0127;VENTA MEDIANTE SUBASTA DE DIVERSO MATERIAL PARA ACHATARRAR, RECOGIDO EN EL VERTEDERO DE GARDELEGI;04/02/2014;3.240,00;REYDESA RECYCLING S.A.
2014/CONASO0009;"SERVICIO DE AFINACIÓN DE PIANOS PARA LA ESCUELA MUNICIPAL DE MÚSICA ""LUIS ARAMBURU""";04/02/2014;3.620,00;ENRIQUE ARZAMENDI BALERDI
2014/CONASO0031;CONTRATO TALLER BARRE EGITEN, CMAS PERIODO: 05/02/14 - 30/09/14;04/02/2014;4.655,48;SIRIMIRI, SERVICIOS SOCIO-CULTURALES S.L .
2014/CONASO0033;TALLER CUIDADO DEL HOGAR DE NIÑOS/AS Y DE MAYORES;04/02/2014;10.291,05;EULEN SERVICIOS SOCIOSANITARIOS S.A.
2014/CONASO0034;TALLER DE COSTURA CREATIVA EN LOS LOCALES DE BIDELAN DEL 07/01/14 AL 30/09/14;05/02/2014;6.292,00;IRSE-INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA
2014/CONASP0041;APROBACIÓN Y ADJUDICACIÓN DEL SERVICIO D DE RECOGIDA Y TRANSPORTE DE LOS CADÁVERE S DE ANIMALES EN EL MUNICIPIO;10/02/2014;16.680,00;SERVICIOS AGROFORESTALES EURIA S.L.
2014/CONASO0043;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A-228 A MARKETING BERRIA POR DISTRIBUCIÓ N DEL CALENDARIO DEL PUNTO VERDE MÓVIL, 20144 (PVM);10/02/2014;3.267,00;MARKETING BERRIA DISTRIBUCIÓN DE PUBLICIDAD
2014/CONAEI0047;AUDITORIA ENERGETICA EN INSTALACIONES ELECTRICAS DE 39 EDIFICIOS MUNICIPALES;11/02/2014;12.900,00;RAMON RUIZ-CUEVAS PEÑA
2014/CONOOR0005;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A ELECTROTÉCNICA DE URBINA SA POR INSTAL ACIÓN ELÉCTRICA PARA LAS TXOZNAS, 2013;12/02/2014;23.798,69;ELECTROTÉCNICA DE URBINA S.A.
2014/CONASO0052;"APROBACIÓN DEL GASTO Y ADJUDICACIÓN DE LA CONTRATACIÓN DE LA CREACIÓN DEL CANAL ""VITORIA-GASTEIZ EN MOVIMIENTO"" EN EL CORREO DIGITAL";14/02/2014;15.730,00;CMNORTE SLU
2014/CONASO0030;PRESTACIÓN DEL SERVICIO DE GESTIÓN Y COORDINACIÓN DEL PROYECTO OZEN.NET PARA LA ESCUELA MUNICIPAL DE MÚSICA;17/02/2014;7.260,00;TRAYECTO APLICACIONES CULTURALES, SL
2014/CONASO0056;PRESTACIÓN DEL SERVICIO DE FISIOTERAPIA PARA LA ESCUELA DE DANZA 'JOSÉ URUNUELA';18/02/2014;3.841,20;CIENTO80º CENTRO DE FISIOTERAPIA Y NUTRICIÓN DE VITORIA-GASTEIZ
2014/CONASP0063;CONTRATO MENOR SERVICIO DE VIGILANCIA EN LOS SERVICIOS SOCIALES DE BASE;18/02/2014;21.194,66;DELTA SEGURIDAD, S.A.
2014/CONASP0038;LABORES AUXILIARES DE EVENTOS DEPORTIVOS QUE ORGANIZA O COLABORA EL SERVICIO DE DEPORTES PARA 2014;20/02/2014;14.865,51;EVENTOKIT
