Ajuntament de Lleida. Pressupost d'ingressos per conceptes 2014;;
;;
 Concepte;Denominació;Import € 
;;
;Capítol 1. Impostos directes;
;;
;Article 10. Impost sobre la renda;
00.10000;Cessió IRPF;2.366.995,00
;Total article 10;2.366.995,00
;;
;Article 11. Impostos sobre el capital;
00.11200;Impost sobre bens immobles rústecs;625.986,00
00.11300;Impost sobre bens immobles urbans;51.169.056,65
00.11400;Impost sobre bens immobles de característiques especials;22.636,00
00.11500;Impost sobre vehicles de tracció mecànica;8.195.562,00
00.11600;Impost sobre l'increment del valor dels terrenys urbans;6.300.000,00
;Total article 11;66.313.240,65
;;
;Article 13. Impost sobre les activitats econòmiques;
00.13000;Impost sobre activitats empresarials;6.347.058,15
;Total article 13;6.347.058,15
;;
;Total capítol 1;75.027.293,80
;;
;;
;;
;Capítol 2. Impostos indirectes;
;;
;Article 21. Impostos sobre el valor afegit;
00.21000;Cessió IVA;2.109.272,00
;Total article 21;2.109.272,00
;;
;Article 22. Sobre consums específics;
00.22000;Cessió IE alcohol i derivats;32.727,00
00.22001;Cessió IE cervesa;10.322,00
00.22003;Cessió IE tabac;250.146,00
00.22004;Cessió IE hidrocarburs;321.396,00
00.22006;Cessió IE productes intermedis;732
;Total article 22;615.323,00
;;
;Article 29. Altres impostos indirectes;
00.29000;Impost sobre construccions, instal·lacions i obres;1.550.117,16
;Total article 29;1.550.117,16
;;
;Total capítol 2;4.274.712,16
;;
;;
;;
;Capítol 3. Taxes, preus públics i altres ingressos;
;;
;Article 30. Taxes per la prestació de serveis públics bàsics;
00.30100;Clavegueram;137.580,25
00.30200;Recollida d'escombraries;5.105.259,00
00.30300;Ingressos per recollida selectiva;659.736,00
00.30901;Manteniment i altres serveis cementiri. Drets funeraris;435.605,00
00.30902;Mercats i fires;782.433,00
00.30903;Bàscula municipal;900,2
;Total article 30;7.121.513,45
;;
;Article 31. Taxes per la prestació de serveis públics de carácter social i preferent;
00.31102;Activitats i serveis prestats per Serveis Personals;172.397,00
00.31103;Servei de teleassistència;42.267,00
00.31200;Escoles Bressol;629.384,00
00.31201;Estiu dels petits;99.240,00
00.31202;Escola de Música;238.411,00
00.31203;Conservatori;188.143,00
00.31206;Escola d'Art;52.500,00
00.31207;Universitat Popular;16.380,00
00.31209;Altres serveis educatius;1.118,00
00.31900;Laboratori i canera municipals;9.178,10
00.31901;Taxa per utilització de sales municipals;37.884,22
;Total article 31;1.486.902,32
;;
;Article 32. Taxes per la realització d'activitats de competència local;
00.32100;Llicencies urbanístiques;59.085,30
00.32101;Taxa d'estudi tramitació llicència d'obres;300.000,00
00.32200;Llicència primera ocupació;106.316,26
00.32500;Tramitació i expedició de documents;199.123,34
00.32501;Llicencies taxis i vehicles de lloguer;3.189,00
00.32600;Retirada vehicles de la via publica;9.191,00
00.32601;Retirada de vehicles contracte EYSSA;680.539,94
00.32900;Taxa ambiental;249.724,73
00.32901;Llicencies de publicitat dinàmica;4.317,00
;Total article 32;1.611.486,57
;;
;Article 33. Taxes per la utilización privativa o l'aprofitament especial del domini públic local;
00.33001;Estacionament vigilats vehicles zona blava;5.273.472,68
00.33100;Entrada de vehicles. Guals;1.511.331,56
00.33200;Participació ingressos bruts empreses elèctriques i gas;2.038.773,48
00.33400;Taxes per ocupació del subsòl;25.837,90
00.33500;Vetlladors;350.000,00
00.33501;Quioscs i vidrieres;12.464,70
00.33600;Ocupació via pública mercats;67.000,00
00.33800;Compensació Telefònica;393.238,41
00.33900;Ocupació via publica;24.921,79
00.33901;Tanques i bastides;39.905,11
00.33902;Taxes horts de Rufea;8.628,25
00.33906;Casetes de fira;149.147,93
;Total article 33;9.894.721,81
;;
;Article 34. Preus públics;
00.34301;Inscripcions activitats esportives;145.000,00
00.34302;Ingressos piscines municipals;220.625,00
00.34303;Quotes pistes d'atletisme;4.816,00
00.34304;Serveis dels pavellons municipals;12.506,30
00.34400;Venda d'entrades;50.000,00
00.34900;Preu públic residus comercials;2.040.942,00
;Total article 34;2.473.889,30
;;
;Article 36. Vendes;
00.36000;Venda de publicacions pròpies;500
00.36100;Venda material inservible;64.932,00
00.36200;Venda d'altres bens (fotocòpies, reprografia...);1.933,10
;Total article 36;67.365,10
;;
;Article 38. Reintegraments d'operacions corrents;
00.38900;Reintegrament de pressupostos tancats;500.000,00
;Total article 38;500.000,00
;;
;Article 39. Altres ingressos;
00.39100;Multes disciplina urbanística;82.611,06
00.39110;Multes infracció ordenances;410.000,00
00.39120;Multes de circulació;3.802.168,20
00.39200;Recàrrec per declaració extemporània sense requeriment previ;194.393,39
00.39210;Recàrrec executiu;121.057,34
00.39211;Recàrrecs de constrenyiment;643.355,78
00.39300;Interessos de demora;388.647,02
00.39900;Ingressos diversos comerç i mercats;56.000,00
00.39901;Anuncis a càrrec de particulars;8.257,00
00.39902;Reintegrament obres a càrrec particulars;300.000,00
00.39903;Execucions subsidiàries urgents;20.000,00
00.39907;Ingressos Centre de Dia de Magraners;105.520,00
;Total article 39;6.132.009,79
;;
;Total capítol 3;29.287.888,34
;;
;;
;;
;Capítol 4. Transferències corrents;
;;
;Article 42. De l'administració de l'estat;
00.42000;Fons Nacional Cooperació Municipal;26.130.927,00
00.42020;Compensació IBI centres educatius concertats;340.872,00
00.42090;Subvenció dèficit transports públics urbans;338.000,00
00.42091;Altres transferències de l'Estat;15.300,00
00.42092;Subvenció Plan Nacional de Drogas;84.132,90
00.42095;Transferència Ministerio de Sanidad. Red Española de Ciudades Saludables;6.300,00
00.42190;Subvenció INAP formació;19.873,80
;Total article 42;26.935.405,70
;;
;Article 45. De comunitates autònomes;
00.45000;Fons Cooperació Municipal de Catalunya;553.000,00
