Ajuntament de Lleida. Pressupost de despeses per partides 2014. Classificació orgànica-econòmica;;
;;
 Partida;Denominació;Import € 
;;
;Orgànica 01. GOVERN;
;;
;Capítol 1. Despeses de personal;
1.912.010.000;RETRIB.BASIQUES I ALTRES REMUN. ALTS CARRECS;1.217.455,96
1.912.011.000;RETRIB.BASIQUES PERSONAL EVENTUAL ASSESSOR;104.017,86
1.912.011.001;ALTRES REMUNERAC. PERSONAL EVENTUAL ASSESSOR;262.022,65
1.912.012.000;SOUS DEL GRUP A1.;14.677,32
1.912.012.003;SOUS DEL GRUP C1;49.424,20
1.912.012.004;SOUS DEL GRUP C2;58.650,06
1.912.012.005;SOUS DEL GRUP E;8.318,47
1.912.012.006;TRIENNIS;33.478,44
1.912.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;88.614,37
1.912.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;259.361,68
1.920.015.000;PRODUCTIVITAT;5.825,68
1.912.016.400;COMPLEMENT FAMILIAR;1.800,00
;Total capítol 1;2.103.646,69
;;
;Capítol 2. Despeses corrents en béns i serveis;
1.920.121.300;MANTENIMENT MAQUINÀRIA;547,64
1.912.021.600;MANTENIMENT EQUIPS INFORMATICS;11.989,08
1.920.221.600;MANTENIMENT EQUIPS INFORMATICS;233,48
1.912.022.103;COMBUSTIBLES I CARBURANTS;27.376,50
1.920.222.199;SUBMINISTRAMENT ALTRE MATERIAL TECNIC;1.499,10
1.912.022.299;DESPESES DE COMUNICACIONS;299,42
1.912.022.601;ATENCIONS PROTOCOLARIES;20.980,90
1.920.222.601;ATENCIONS PROTOCOLARIES;1.082,09
1.922.022.601;ATENCIONS PROTOCOLARIES;4.495,91
1.920.222.602;DESPESES DIVERSES DE DIVULGACIO;35.329,00
1.912.022.699;ALTRES DESPESES DE FUNCIONAMENT;17.983,63
1.920.122.699;ALTRES DESPESES DE FUNCIONAMENT;14.900,00
1.920.222.699;ALTRES DESPESES DE FUNCIONAMENT;9.682,18
1.922.022.699;ALTRES DESPESES DE FUNCIONAMENT;43.210,66
1.920.222.799;ALTRES CONTRACTES PRESTACIO SERVEIS;349.731,00
1.912.023.000;DIETES DE CARRECS ELECTES;11.979,00
1.912.023.020;DIETES DEL PERSONAL;4.196,49
1.920.123.020;DIETES DEL PERSONAL;107,05
1.920.223.020;DIETES DEL PERSONAL;383,97
1.912.023.301;MITJANS MATERIALS GRUPS POLITICS;105.500,00
1.912.023.302;INDEMNITZACIONS ALTRES ÒRGANS;20.000,00
;Total capítol 2;681.507,10
;;
;Capítol 4. Transferències corrents;
1.943.046.800;TRANSF. A ENTITATS LOCALS DESCENTRALITZADES;264.094,00
1.912.048.201;SUBVENCIÓ FUNDACIÓ ABADIA DE MONTSERRAT;2.569,09
1.912.048.202;APORTACIO FUNDACIÓ MONESTIR DE POBLET;2.569,09
;Total capítol 4;269.232,18
;;
;Total orgànica 01;3.054.385,97
;;
;;
;;
;Orgànica 02. SEGURETAT, CIVISME I RÈGIM INTERIOR;
;;
;Capítol 1. Despeses de personal;
2.920.011.000;RETRIB. BASIQUES PERSONAL EVENTUAL ASSESSOR;16.559,06
2.920.011.001;ALTRES REMUNERAC. PERSONAL EVENTUAL ASSESSOR;42.289,69
2.132.012.000;SOUS DEL GRUP A1;30.577,75
2.332.012.000;SOUS DEL GRUP A1;14.677,32
2.920.012.000;SOUS DEL GRUP A1;227.498,46
2.132.012.001;SOUS DEL GRUP A2;25.813,04
2.332.012.001;SOUS DEL GRUP A2;12.906,52
2.920.012.001;SOUS DEL GRUP A2;103.252,16
2.132.012.003;SOUS DEL GRUP C1;217.466,48
2.332.012.003;SOUS DEL GRUP C1;29.654,52
2.920.012.003;SOUS DEL GRUP C1;257.507,93
2.132.012.004;SOUS DEL GRUP C2;1.783.939,33
2.134.012.004;SOUS DEL GRUP C2;8.378,58
2.920.012.004;SOUS DEL GRUP C2;109.619,76
2.132.012.005;SOUS GRUP E PERSONAL FUNCIONARI;639,89
2.332.012.005;SOUS DEL GRUP E;7.678,58
2.920.012.005;SOUS DEL GRUP E;180.446,63
2.132.012.006;TRIENNIS;383.917,00
2.134.012.006;TRIENNIS;2.252,34
2.332.012.006;TRIENNIS;14.307,10
2.920.012.006;TRIENNIS;183.258,62
2.132.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;1.348.124,60
2.134.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;5.527,06
2.332.012.100;RETRIB.COMPLENTARIES PERSONAL FUNCIONARI;43.472,40
2.920.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;594.161,29
2.132.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;5.002.571,20
2.134.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;27.280,45
2.332.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;61.876,48
2.920.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;1.017.263,44
2.132.012.103;ALTRES COMPLEMENTS;37.831,64
2.920.012.103;ALTRES COMPLEMENTS;404.852,54
2.132.013.000;RETRIB. BASIQUES LABORAL FIXES;9.379,62
2.134.013.000;RETRIB. BÀSIQUES PERSONAL LABORAL;29.063,14
2.920.013.000;RETRIB. BASIQUES PERSONAL LABORAL;112.011,58
2.132.013.002;RET.COMPLEM.LABORAL FIXES;15.448,18
2.134.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;57.542,57
2.920.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;159.231,96
2.132.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;12.413,10
2.920.013.100;RETRIB. BASIQUES PERSONAL LABORAL EVENTUAL;7.867,16
2.132.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;7.551,20
2.920.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;5.912,22
2.920.015.000;PRODUCTIVITAT;141.480,80
2.132.015.100;GRATIFICACIONS;280.000,00
2.231.016.000;SEGURETAT SOCIAL;11.621.563,93
2.221.016.008;ASSISTÈNCIA MÈDICO-FARMACÈUTICA;126.637,70
2.920.016.200;DESPESES FORMACIO I PERFECCIONAMENT PERSONAL;100.000,00
2.920.016.205;ASSEGURANCES;200.000,00
2.920.016.209;ALTRES DESPESES SOCIALS;28.634,20
2.221.016.400;COMPLEMENT FAMILIAR;53.700,05
;Total capítol 1;25.164.039,27
;;
;Capítol 2. Despeses corrents en béns i serveis;
2.920.020.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;15.000,00
2.132.020.400;LLOGUER MATERIAL DE TRANSPORT;182.000,00
2.920.020.400;LLOGUER MATERIAL DE TRANSPORT;85.235,28
2.132.021.001;GESTIÓ DE SEGURETAT VIAL;350.000,00
2.920.021.201;PREVENCIO DE RISCS EN EDIFICIS;15.952,09
2.132.021.400;REPARACIÓ, MANTENIMENT I CONSERVACIÓ VEHICLES;22.500,00
2.920.021.400;REPARACIO MANTENIMENT DE VEHICLES;42.663,02
2.132.021.600;MANTENIMENT EQUIPS INFORMATICS;1.414,86
2.134.021.600;MANTENIMENT EQUIPS INFORMATICS;1.054,00
2.332.021.600;MANTENIMENT EQUIPS INFORMÀTICS;245
2.920.021.600;MANTENIMENT D'EQUIPS INFORMÀTICS;299,42
2.132.022.103;COMBUSTIBLES I CARBURANTS;85.000,00
2.134.022.103;COMBUSTIBLES I CARBURANTS;1.099,00
2.920.022.104;VESTUARI;84.630,00
2.132.022.199;ALTRES SUBMINISTRAMENTS;15.857,00
2.920.022.299;ALTRES DESPESES EN COMUNICACIONS;749,32
2.920.022.402;PRIMES D'ASSEGURANCES;600.000,00
2.132.022.601;ATENCIONS PROTOCOLARIES;2.000,00
2.134.022.601;ATENCIONS PROTOCOLARIES;1.253,00
2.920.022.604;DESPESES DIVERSES JURIDIQUES I CONTENCIOSES;30.251,96
2.231.022.609;ACCIÓ SOCIAL DESTINADA A FUNCIONARIS;3.775,29
2.132.022.699;ALTRES DESPESES DE FUNCIONAMENT;7.729,00
