BARRI;PAIS;TOTAL
CENTRE HISTORIC;ALEMANIA;6
CENTRE HISTORIC;ANDORRA;1
CENTRE HISTORIC;ANGOLA;4
CENTRE HISTORIC;ARGELIA;332
CENTRE HISTORIC;ARGENTINA;25
CENTRE HISTORIC;ARMENIA;2
CENTRE HISTORIC;AUSTRIA;2
CENTRE HISTORIC;BANGLADESH;6
CENTRE HISTORIC;BELGICA;5
CENTRE HISTORIC;BENIN;4
CENTRE HISTORIC;BIELORRUSIA;2
CENTRE HISTORIC;BOLIVIA;147
CENTRE HISTORIC;BRASIL;76
CENTRE HISTORIC;BULGARIA;79
CENTRE HISTORIC;BURKINA FASSO;10
CENTRE HISTORIC;BURUNDI;1
CENTRE HISTORIC;CABO VERDE;1
CENTRE HISTORIC;CAMERUN;61
CENTRE HISTORIC;CHILE;6
CENTRE HISTORIC;CHINA;157
CENTRE HISTORIC;COLOMBIA;128
CENTRE HISTORIC;CONGO;12
CENTRE HISTORIC;COSTA DE MARFIL;11
CENTRE HISTORIC;CROACIA;1
CENTRE HISTORIC;CUBA;6
CENTRE HISTORIC;DINAMARCA;1
CENTRE HISTORIC;DOMINICA;1
CENTRE HISTORIC;E.E.UNIDOS AMERI;6
CENTRE HISTORIC;ECUADOR;51
CENTRE HISTORIC;EGIPTO;18
CENTRE HISTORIC;ESLOVAQUIA;9
CENTRE HISTORIC;ESLOVENIA;2
CENTRE HISTORIC;ESTONIA;5
CENTRE HISTORIC;FRANCIA;12
CENTRE HISTORIC;GABON;1
CENTRE HISTORIC;GAMBIA;129
CENTRE HISTORIC;GHANA;60
CENTRE HISTORIC;GRECIA;2
CENTRE HISTORIC;GUATEMALA;2
CENTRE HISTORIC;GUINEA;89
CENTRE HISTORIC;GUINEA BISSAU;20
CENTRE HISTORIC;GUINEA ECUATORIA;95
CENTRE HISTORIC;HONDURAS;21
CENTRE HISTORIC;HUNGRIA;2
CENTRE HISTORIC;INDIA;39
CENTRE HISTORIC;INDONESIA;1
CENTRE HISTORIC;IRLANDA;1
CENTRE HISTORIC;ITALIA;18
CENTRE HISTORIC;LETONIA;4
CENTRE HISTORIC;LIBANO;1
CENTRE HISTORIC;LIBERIA;2
CENTRE HISTORIC;LIBIA;4
CENTRE HISTORIC;LITUANIA;7
CENTRE HISTORIC;MALI;229
CENTRE HISTORIC;MALTA;6
CENTRE HISTORIC;MARRUECOS;980
CENTRE HISTORIC;MAURITANIA;59
CENTRE HISTORIC;MEXICO;3
CENTRE HISTORIC;MOLDAVIA;1
CENTRE HISTORIC;NICARAGUA;3
CENTRE HISTORIC;NIGER;1
CENTRE HISTORIC;NIGERIA;145
CENTRE HISTORIC;NORUEGA;1
CENTRE HISTORIC;PAISES BAJOS;17
CENTRE HISTORIC;PAKISTAN;72
CENTRE HISTORIC;PANAMA;1
CENTRE HISTORIC;PARAGUAY;11
CENTRE HISTORIC;PERU;20
CENTRE HISTORIC;POLONIA;83
CENTRE HISTORIC;PORTUGAL;44
CENTRE HISTORIC;REINO UNIDO G.B.;12
CENTRE HISTORIC;REP.CHECA;2
CENTRE HISTORIC;REP.DOMINICANA;71
CENTRE HISTORIC;RUMANIA;789
CENTRE HISTORIC;RUSIA;33
CENTRE HISTORIC;SENEGAL;221
CENTRE HISTORIC;SERBIA;10
CENTRE HISTORIC;SIERRA LEONA;2
CENTRE HISTORIC;SUECIA;2
CENTRE HISTORIC;SUIZA;1
CENTRE HISTORIC;TANZANIA;1
CENTRE HISTORIC;TOGO;5
CENTRE HISTORIC;TUNEZ;7
CENTRE HISTORIC;UCRANIA;83
CENTRE HISTORIC;URUGUAY;11
CENTRE HISTORIC;VENEZUELA;13
CENTRE HISTORIC;YUGOSLAVIA;4
CENTRE HISTORIC;ZAIRE;1
RAMBLA FERRAN - ESTACIO;ALEMANIA;4
RAMBLA FERRAN - ESTACIO;ANGOLA;2
RAMBLA FERRAN - ESTACIO;ARGELIA;137
RAMBLA FERRAN - ESTACIO;ARGENTINA;10
RAMBLA FERRAN - ESTACIO;ARMENIA;5
