BARRI,PAIS,TOTAL
CENTRE HISTORIC,VENEZUELA,9
CENTRE HISTORIC,YUGOSLAVIA,1
RAMBLA FERRAN - ESTACIO,ALEMANIA,5
RAMBLA FERRAN - ESTACIO,ANGOLA,1
RAMBLA FERRAN - ESTACIO,ARGELIA,126
RAMBLA FERRAN - ESTACIO,ARGENTINA,7
RAMBLA FERRAN - ESTACIO,ARMENIA,5
RAMBLA FERRAN - ESTACIO,AUSTRIA,2
RAMBLA FERRAN - ESTACIO,BELGICA,1
RAMBLA FERRAN - ESTACIO,BOLIVIA,22
RAMBLA FERRAN - ESTACIO,BRASIL,50
RAMBLA FERRAN - ESTACIO,BULGARIA,34
RAMBLA FERRAN - ESTACIO,CAMERUN,14
RAMBLA FERRAN - ESTACIO,CANADA,1
RAMBLA FERRAN - ESTACIO,CHILE,4
RAMBLA FERRAN - ESTACIO,CHINA,33
RAMBLA FERRAN - ESTACIO,COLOMBIA,39
RAMBLA FERRAN - ESTACIO,COSTA DE MARFIL,9
RAMBLA FERRAN - ESTACIO,COSTA RICA,1
RAMBLA FERRAN - ESTACIO,CUBA,5
RAMBLA FERRAN - ESTACIO,E.E.UNIDOS AMERI,3
RAMBLA FERRAN - ESTACIO,ECUADOR,9
RAMBLA FERRAN - ESTACIO,ESLOVAQUIA,2
RAMBLA FERRAN - ESTACIO,ESLOVENIA,1
RAMBLA FERRAN - ESTACIO,ETIOPIA,2
RAMBLA FERRAN - ESTACIO,FRANCIA,11
RAMBLA FERRAN - ESTACIO,GAMBIA,9
RAMBLA FERRAN - ESTACIO,GEORGIA,4
RAMBLA FERRAN - ESTACIO,GHANA,14
RAMBLA FERRAN - ESTACIO,GUINEA,3
RAMBLA FERRAN - ESTACIO,GUINEA BISSAU,3
RAMBLA FERRAN - ESTACIO,GUINEA ECUATORIA,7
RAMBLA FERRAN - ESTACIO,HONDURAS,16
RAMBLA FERRAN - ESTACIO,INDIA,30
RAMBLA FERRAN - ESTACIO,ITALIA,15
RAMBLA FERRAN - ESTACIO,JAPON,2
RAMBLA FERRAN - ESTACIO,LETONIA,1
RAMBLA FERRAN - ESTACIO,LITUANIA,6
RAMBLA FERRAN - ESTACIO,MALI,35
RAMBLA FERRAN - ESTACIO,MARRUECOS,298
RAMBLA FERRAN - ESTACIO,MAURITANIA,10
RAMBLA FERRAN - ESTACIO,MOLDAVIA,1
RAMBLA FERRAN - ESTACIO,NICARAGUA,1
RAMBLA FERRAN - ESTACIO,NIGERIA,45
RAMBLA FERRAN - ESTACIO,PAISES BAJOS,1
RAMBLA FERRAN - ESTACIO,PAKISTAN,25
RAMBLA FERRAN - ESTACIO,PARAGUAY,1
RAMBLA FERRAN - ESTACIO,PERU,8
RAMBLA FERRAN - ESTACIO,POLONIA,50
RAMBLA FERRAN - ESTACIO,PORTUGAL,13
RAMBLA FERRAN - ESTACIO,REP.COREA,1
RAMBLA FERRAN - ESTACIO,REP.DOMINICANA,17
RAMBLA FERRAN - ESTACIO,RUMANIA,360
RAMBLA FERRAN - ESTACIO,RUSIA,12
RAMBLA FERRAN - ESTACIO,SENEGAL,76
RAMBLA FERRAN - ESTACIO,SIRIA,1
RAMBLA FERRAN - ESTACIO,SUECIA,1
RAMBLA FERRAN - ESTACIO,TUNEZ,1
RAMBLA FERRAN - ESTACIO,TURQUIA,1
RAMBLA FERRAN - ESTACIO,UCRANIA,30
RAMBLA FERRAN - ESTACIO,URUGUAY,7
RAMBLA FERRAN - ESTACIO,VENEZUELA,4
UNIVERSITAT,ALEMANIA,4
UNIVERSITAT,ANDORRA,1
UNIVERSITAT,ANGOLA,2
UNIVERSITAT,ARGELIA,114
UNIVERSITAT,ARGENTINA,24
UNIVERSITAT,ARMENIA,3
UNIVERSITAT,AUSTRIA,1
UNIVERSITAT,BANGLADESH,1
UNIVERSITAT,BIELORRUSIA,2
UNIVERSITAT,BOLIVIA,105
UNIVERSITAT,BRASIL,93
UNIVERSITAT,BULGARIA,46
UNIVERSITAT,BURKINA FASSO,9
UNIVERSITAT,CAMERUN,11
UNIVERSITAT,CANADA,1
UNIVERSITAT,CENTROAFRICANA,1
UNIVERSITAT,CHILE,8
UNIVERSITAT,CHINA,212
UNIVERSITAT,COLOMBIA,107
UNIVERSITAT,CONGO,7
UNIVERSITAT,COSTA DE MARFIL,5
UNIVERSITAT,COSTA RICA,1
UNIVERSITAT,CROACIA,2
UNIVERSITAT,CUBA,14
UNIVERSITAT,E.E.UNIDOS AMERI,5
UNIVERSITAT,ECUADOR,61
UNIVERSITAT,EGIPTO,9
UNIVERSITAT,EL SALVADOR,1
UNIVERSITAT,ESLOVAQUIA,2
UNIVERSITAT,ESTONIA,2
UNIVERSITAT,FILIPINAS,1
UNIVERSITAT,FRANCIA,8
UNIVERSITAT,GAMBIA,27
UNIVERSITAT,GEORGIA,1
UNIVERSITAT,GHANA,13
UNIVERSITAT,GRECIA,3
UNIVERSITAT,GUINEA,54
UNIVERSITAT,GUINEA BISSAU,2
UNIVERSITAT,GUINEA ECUATORIA,13
UNIVERSITAT,HONDURAS,5
UNIVERSITAT,HUNGRIA,3
UNIVERSITAT,INDIA,5
UNIVERSITAT,ITALIA,46
UNIVERSITAT,JAPON,1
UNIVERSITAT,LETONIA,13
UNIVERSITAT,LITUANIA,9
UNIVERSITAT,MALI,46
UNIVERSITAT,MARRUECOS,376
UNIVERSITAT,MAURITANIA,18
UNIVERSITAT,MEXICO,12
UNIVERSITAT,MOLDAVIA,1
UNIVERSITAT,NICARAGUA,1
UNIVERSITAT,NIGERIA,38
UNIVERSITAT,PAISES BAJOS,5
UNIVERSITAT,PAKISTAN,12
UNIVERSITAT,PARAGUAY,7
UNIVERSITAT,PERU,24
UNIVERSITAT,POLONIA,35
UNIVERSITAT,PORTUGAL,24
UNIVERSITAT,REINO UNIDO G.B.,14
UNIVERSITAT,REP.CHECA,1
UNIVERSITAT,REP.COREA,4
UNIVERSITAT,REP.DEMOCR.CONGO,3
UNIVERSITAT,REP.DOMINICANA,44
UNIVERSITAT,RUMANIA,684
UNIVERSITAT,RUSIA,49
UNIVERSITAT,SENEGAL,52
UNIVERSITAT,SERBIA,2
UNIVERSITAT,SIRIA,1
UNIVERSITAT,SUECIA,1
UNIVERSITAT,SUIZA,1
UNIVERSITAT,TOGO,1
UNIVERSITAT,TUNEZ,1
UNIVERSITAT,TURQUIA,2
UNIVERSITAT,UCRANIA,53
UNIVERSITAT,URUGUAY,2
UNIVERSITAT,VENEZUELA,17
UNIVERSITAT,YEMEN,2
UNIVERSITAT,YUGOSLAVIA,1
PRINCEP DE VIANA - CLOT,ALEMANIA,7
PRINCEP DE VIANA - CLOT,ANGOLA,3
PRINCEP DE VIANA - CLOT,ARGELIA,206
PRINCEP DE VIANA - CLOT,ARGENTINA,21
PRINCEP DE VIANA - CLOT,ARMENIA,6
PRINCEP DE VIANA - CLOT,AUSTRIA,3
PRINCEP DE VIANA - CLOT,BELGICA,1
PRINCEP DE VIANA - CLOT,BIELORRUSIA,1
PRINCEP DE VIANA - CLOT,BOLIVIA,91
PRINCEP DE VIANA - CLOT,BRASIL,56
PRINCEP DE VIANA - CLOT,BULGARIA,69
PRINCEP DE VIANA - CLOT,BURKINA FASSO,11
PRINCEP DE VIANA - CLOT,CABO VERDE,1
PRINCEP DE VIANA - CLOT,CAMERUN,28
PRINCEP DE VIANA - CLOT,CHILE,8
PRINCEP DE VIANA - CLOT,CHINA,238
PRINCEP DE VIANA - CLOT,COLOMBIA,60
PRINCEP DE VIANA - CLOT,CONGO,6
PRINCEP DE VIANA - CLOT,COSTA DE MARFIL,8
PRINCEP DE VIANA - CLOT,CUBA,7
PRINCEP DE VIANA - CLOT,DINAMARCA,1
PRINCEP DE VIANA - CLOT,DOMINICA,1
PRINCEP DE VIANA - CLOT,E.E.UNIDOS AMERI,2
PRINCEP DE VIANA - CLOT,ECUADOR,53
PRINCEP DE VIANA - CLOT,EGIPTO,3
PRINCEP DE VIANA - CLOT,EL SALVADOR,1
PRINCEP DE VIANA - CLOT,ESLOVAQUIA,4
PRINCEP DE VIANA - CLOT,ESLOVENIA,1
PRINCEP DE VIANA - CLOT,FRANCIA,3
PRINCEP DE VIANA - CLOT,GAMBIA,84
PRINCEP DE VIANA - CLOT,GEORGIA,1
PRINCEP DE VIANA - CLOT,GHANA,25
PRINCEP DE VIANA - CLOT,GRECIA,2
PRINCEP DE VIANA - CLOT,GUINEA,43
PRINCEP DE VIANA - CLOT,GUINEA BISSAU,5
PRINCEP DE VIANA - CLOT,GUINEA ECUATORIA,21
PRINCEP DE VIANA - CLOT,HONDURAS,15
PRINCEP DE VIANA - CLOT,INDIA,50
PRINCEP DE VIANA - CLOT,ITALIA,24
PRINCEP DE VIANA - CLOT,JORDANIA,1
PRINCEP DE VIANA - CLOT,LETONIA,2
PRINCEP DE VIANA - CLOT,LIBERIA,1
PRINCEP DE VIANA - CLOT,LITUANIA,16
PRINCEP DE VIANA - CLOT,MALI,49
PRINCEP DE VIANA - CLOT,MARRUECOS,641
PRINCEP DE VIANA - CLOT,MAURITANIA,18
PRINCEP DE VIANA - CLOT,MEXICO,1
PRINCEP DE VIANA - CLOT,MOLDAVIA,6
PRINCEP DE VIANA - CLOT,NICARAGUA,1
PRINCEP DE VIANA - CLOT,NIGER,4
PRINCEP DE VIANA - CLOT,NIGERIA,58
PRINCEP DE VIANA - CLOT,PAISES BAJOS,5
PRINCEP DE VIANA - CLOT,PAKISTAN,85
PRINCEP DE VIANA - CLOT,PARAGUAY,9
PRINCEP DE VIANA - CLOT,PERU,26
PRINCEP DE VIANA - CLOT,POLONIA,37
PRINCEP DE VIANA - CLOT,PORTUGAL,27
PRINCEP DE VIANA - CLOT,REINO UNIDO G.B.,10
PRINCEP DE VIANA - CLOT,REP.CHECA,1
PRINCEP DE VIANA - CLOT,REP.COREA,1
PRINCEP DE VIANA - CLOT,REP.DEMOCR.CONGO,1
PRINCEP DE VIANA - CLOT,REP.DOMINICANA,78
PRINCEP DE VIANA - CLOT,RUMANIA,855
PRINCEP DE VIANA - CLOT,RUSIA,44
PRINCEP DE VIANA - CLOT,SENEGAL,128
PRINCEP DE VIANA - CLOT,SERBIA,4
PRINCEP DE VIANA - CLOT,SIERRA LEONA,2
PRINCEP DE VIANA - CLOT,SIRIA,1
PRINCEP DE VIANA - CLOT,SUECIA,4
PRINCEP DE VIANA - CLOT,TOGO,4
PRINCEP DE VIANA - CLOT,TUNEZ,11
PRINCEP DE VIANA - CLOT,UCRANIA,114
PRINCEP DE VIANA - CLOT,URUGUAY,12
PRINCEP DE VIANA - CLOT,VENEZUELA,13
INSTITUTS - TEMPLERS,ALBANIA,2
INSTITUTS - TEMPLERS,ALEMANIA,4
INSTITUTS - TEMPLERS,ANGOLA,6
INSTITUTS - TEMPLERS,ARGELIA,29
INSTITUTS - TEMPLERS,ARGENTINA,15
INSTITUTS - TEMPLERS,AUSTRIA,1
INSTITUTS - TEMPLERS,BANGLADESH,2
INSTITUTS - TEMPLERS,BELGICA,1
INSTITUTS - TEMPLERS,BIELORRUSIA,1
INSTITUTS - TEMPLERS,BOLIVIA,47
INSTITUTS - TEMPLERS,BRASIL,34
INSTITUTS - TEMPLERS,BULGARIA,14
INSTITUTS - TEMPLERS,BURKINA FASSO,4
INSTITUTS - TEMPLERS,CAMERUN,24
INSTITUTS - TEMPLERS,CHILE,6
INSTITUTS - TEMPLERS,CHINA,82
INSTITUTS - TEMPLERS,CHIPRE,1
INSTITUTS - TEMPLERS,COLOMBIA,53
INSTITUTS - TEMPLERS,COSTA DE MARFIL,7
INSTITUTS - TEMPLERS,CROACIA,1
INSTITUTS - TEMPLERS,CUBA,4
INSTITUTS - TEMPLERS,DOMINICA,1
INSTITUTS - TEMPLERS,E.E.UNIDOS AMERI,4
INSTITUTS - TEMPLERS,ECUADOR,26
INSTITUTS - TEMPLERS,EGIPTO,8
INSTITUTS - TEMPLERS,ESLOVAQUIA,1
INSTITUTS - TEMPLERS,ETIOPIA,1
INSTITUTS - TEMPLERS,FILIPINAS,1
INSTITUTS - TEMPLERS,FRANCIA,9
INSTITUTS - TEMPLERS,GAMBIA,17
INSTITUTS - TEMPLERS,GEORGIA,5
INSTITUTS - TEMPLERS,GHANA,21
INSTITUTS - TEMPLERS,GRECIA,1
INSTITUTS - TEMPLERS,GUINEA,25
INSTITUTS - TEMPLERS,GUINEA BISSAU,1
INSTITUTS - TEMPLERS,GUINEA ECUATORIA,5
INSTITUTS - TEMPLERS,HONDURAS,6
INSTITUTS - TEMPLERS,HUNGRIA,3
INSTITUTS - TEMPLERS,INDIA,2
INSTITUTS - TEMPLERS,IRLANDA,1
INSTITUTS - TEMPLERS,ISRAEL,1
INSTITUTS - TEMPLERS,ITALIA,24
INSTITUTS - TEMPLERS,LETONIA,4
INSTITUTS - TEMPLERS,LITUANIA,7
INSTITUTS - TEMPLERS,MALI,30
INSTITUTS - TEMPLERS,MARRUECOS,172
INSTITUTS - TEMPLERS,MAURITANIA,4
INSTITUTS - TEMPLERS,MEXICO,5
INSTITUTS - TEMPLERS,MOLDAVIA,4
INSTITUTS - TEMPLERS,MONTENEGRO,1
INSTITUTS - TEMPLERS,NIGER,5
INSTITUTS - TEMPLERS,NIGERIA,32
INSTITUTS - TEMPLERS,PAISES BAJOS,3
INSTITUTS - TEMPLERS,PAKISTAN,6
INSTITUTS - TEMPLERS,PANAMA,1
INSTITUTS - TEMPLERS,PARAGUAY,6
INSTITUTS - TEMPLERS,PERU,10
INSTITUTS - TEMPLERS,POLONIA,31
INSTITUTS - TEMPLERS,PORTUGAL,12
INSTITUTS - TEMPLERS,REINO UNIDO G.B.,3
INSTITUTS - TEMPLERS,REP.CHECA,3
INSTITUTS - TEMPLERS,REP.COREA,2
INSTITUTS - TEMPLERS,REP.DOMINICANA,21
INSTITUTS - TEMPLERS,RUMANIA,278
INSTITUTS - TEMPLERS,RUSIA,12
INSTITUTS - TEMPLERS,SENEGAL,27
INSTITUTS - TEMPLERS,SERBIA,5
INSTITUTS - TEMPLERS,SIERRA LEONA,2
INSTITUTS - TEMPLERS,SUIZA,1
INSTITUTS - TEMPLERS,TOGO,1
INSTITUTS - TEMPLERS,TUNEZ,1
INSTITUTS - TEMPLERS,UCRANIA,5
INSTITUTS - TEMPLERS,URUGUAY,4
INSTITUTS - TEMPLERS,UZBEKISTAN,1
INSTITUTS - TEMPLERS,VENEZUELA,10
INSTITUTS - TEMPLERS,YUGOSLAVIA,1
XALETS - HUMBERT TORRES,ALEMANIA,3
XALETS - HUMBERT TORRES,ARGELIA,23
XALETS - HUMBERT TORRES,ARGENTINA,14
XALETS - HUMBERT TORRES,AUSTRIA,2
XALETS - HUMBERT TORRES,BANGLADESH,1
XALETS - HUMBERT TORRES,BOLIVIA,29
XALETS - HUMBERT TORRES,BRASIL,29
XALETS - HUMBERT TORRES,BULGARIA,18
XALETS - HUMBERT TORRES,CAMERUN,2
XALETS - HUMBERT TORRES,CHINA,64
XALETS - HUMBERT TORRES,COLOMBIA,25
XALETS - HUMBERT TORRES,CONGO,1
XALETS - HUMBERT TORRES,COSTA DE MARFIL,2
XALETS - HUMBERT TORRES,CUBA,2
XALETS - HUMBERT TORRES,ECUADOR,24
XALETS - HUMBERT TORRES,ESLOVAQUIA,1
XALETS - HUMBERT TORRES,FRANCIA,3
XALETS - HUMBERT TORRES,GAMBIA,15
XALETS - HUMBERT TORRES,GEORGIA,4
XALETS - HUMBERT TORRES,GHANA,5
XALETS - HUMBERT TORRES,GUINEA,21
XALETS - HUMBERT TORRES,GUINEA BISSAU,3
XALETS - HUMBERT TORRES,GUINEA ECUATORIA,6
XALETS - HUMBERT TORRES,HONDURAS,5
XALETS - HUMBERT TORRES,INDIA,7
XALETS - HUMBERT TORRES,IRAN,2
XALETS - HUMBERT TORRES,ITALIA,6
XALETS - HUMBERT TORRES,LIBERIA,1
XALETS - HUMBERT TORRES,LITUANIA,9
XALETS - HUMBERT TORRES,MALI,29
XALETS - HUMBERT TORRES,MARRUECOS,101
XALETS - HUMBERT TORRES,MAURITANIA,6
XALETS - HUMBERT TORRES,MEXICO,4
XALETS - HUMBERT TORRES,MOLDAVIA,6
XALETS - HUMBERT TORRES,NIGER,2
XALETS - HUMBERT TORRES,NIGERIA,22
XALETS - HUMBERT TORRES,PAISES BAJOS,1
XALETS - HUMBERT TORRES,PAKISTAN,22
XALETS - HUMBERT TORRES,PANAMA,1
XALETS - HUMBERT TORRES,PARAGUAY,5
XALETS - HUMBERT TORRES,PERU,10
XALETS - HUMBERT TORRES,POLONIA,11
XALETS - HUMBERT TORRES,PORTUGAL,12
XALETS - HUMBERT TORRES,REINO UNIDO G.B.,13
XALETS - HUMBERT TORRES,REP.CHECA,1
XALETS - HUMBERT TORRES,REP.DOMINICANA,22
XALETS - HUMBERT TORRES,RUMANIA,205
XALETS - HUMBERT TORRES,RUSIA,13
XALETS - HUMBERT TORRES,SENEGAL,36
XALETS - HUMBERT TORRES,SUECIA,1
XALETS - HUMBERT TORRES,TUNEZ,2
XALETS - HUMBERT TORRES,TURQUIA,1
XALETS - HUMBERT TORRES,UCRANIA,17
XALETS - HUMBERT TORRES,URUGUAY,2
"CAMP D,ESPORTS",ALEMANIA,1
"CAMP D,ESPORTS",ANDORRA,1
"CAMP D,ESPORTS",ARGELIA,40
"CAMP D,ESPORTS",ARGENTINA,4
"CAMP D,ESPORTS",ARMENIA,1
"CAMP D,ESPORTS",BELGICA,1
"CAMP D,ESPORTS",BOLIVIA,38
"CAMP D,ESPORTS",BRASIL,41
"CAMP D,ESPORTS",BULGARIA,86
"CAMP D,ESPORTS",CAMERUN,3
"CAMP D,ESPORTS",CANADA,1
"CAMP D,ESPORTS",CHILE,2
"CAMP D,ESPORTS",CHINA,20
"CAMP D,ESPORTS",CHIPRE,1
"CAMP D,ESPORTS",COLOMBIA,31
"CAMP D,ESPORTS",COSTA DE MARFIL,6
"CAMP D,ESPORTS",CROACIA,1
"CAMP D,ESPORTS",CUBA,5
"CAMP D,ESPORTS",ECUADOR,3
"CAMP D,ESPORTS",EGIPTO,7
"CAMP D,ESPORTS",FRANCIA,6
"CAMP D,ESPORTS",GAMBIA,7
"CAMP D,ESPORTS",GHANA,2
"CAMP D,ESPORTS",GUINEA,7
"CAMP D,ESPORTS",GUINEA ECUATORIA,2
"CAMP D,ESPORTS",HONDURAS,1
"CAMP D,ESPORTS",INDIA,9
"CAMP D,ESPORTS",IRLANDA,2
"CAMP D,ESPORTS",ITALIA,4
"CAMP D,ESPORTS",KAZAJSTAN,1
"CAMP D,ESPORTS",LETONIA,2
"CAMP D,ESPORTS",MACEDONIA,4
"CAMP D,ESPORTS",MALI,6
"CAMP D,ESPORTS",MARRUECOS,49
"CAMP D,ESPORTS",MAURITANIA,2
"CAMP D,ESPORTS",MEXICO,13
"CAMP D,ESPORTS",MOLDAVIA,1
"CAMP D,ESPORTS",NICARAGUA,1
"CAMP D,ESPORTS",NIGERIA,9
"CAMP D,ESPORTS",PAKISTAN,9
"CAMP D,ESPORTS",PARAGUAY,2
"CAMP D,ESPORTS",PERU,13
"CAMP D,ESPORTS",POLONIA,13
"CAMP D,ESPORTS",PORTUGAL,23
"CAMP D,ESPORTS",REINO UNIDO G.B.,3
"CAMP D,ESPORTS",REP.DOMINICANA,10
"CAMP D,ESPORTS",RUMANIA,256
"CAMP D,ESPORTS",RUSIA,21
"CAMP D,ESPORTS",SENEGAL,31
"CAMP D,ESPORTS",UCRANIA,23
"CAMP D,ESPORTS",URUGUAY,2
"CAMP D,ESPORTS",VENEZUELA,13
"CAMP D,ESPORTS",YUGOSLAVIA,2
JOC DE LA BOLA,ANDORRA,1
JOC DE LA BOLA,ARGELIA,13
JOC DE LA BOLA,ARGENTINA,2
JOC DE LA BOLA,BOLIVIA,4
JOC DE LA BOLA,BRASIL,15
JOC DE LA BOLA,BULGARIA,13
JOC DE LA BOLA,CHINA,2
JOC DE LA BOLA,COLOMBIA,8
JOC DE LA BOLA,CUBA,1
JOC DE LA BOLA,E.E.UNIDOS AMERI,1
JOC DE LA BOLA,ECUADOR,4
JOC DE LA BOLA,EL SALVADOR,1
JOC DE LA BOLA,FRANCIA,1
JOC DE LA BOLA,HAITI,1
JOC DE LA BOLA,ITALIA,7
JOC DE LA BOLA,MALI,1
JOC DE LA BOLA,MARRUECOS,10
JOC DE LA BOLA,MEXICO,1
JOC DE LA BOLA,PAISES BAJOS,1
JOC DE LA BOLA,PERU,3
JOC DE LA BOLA,POLONIA,2
JOC DE LA BOLA,PORTUGAL,2
JOC DE LA BOLA,REINO UNIDO G.B.,2
JOC DE LA BOLA,RUMANIA,75
JOC DE LA BOLA,RUSIA,5
JOC DE LA BOLA,SENEGAL,3
JOC DE LA BOLA,UCRANIA,2
MARIOLA,ALBANIA,1
MARIOLA,ALEMANIA,6
MARIOLA,ANGOLA,4
MARIOLA,ARGELIA,86
MARIOLA,ARGENTINA,9
MARIOLA,AUSTRIA,4
MARIOLA,BOLIVIA,34
MARIOLA,BRASIL,61
MARIOLA,BULGARIA,35
MARIOLA,BURKINA FASSO,16
MARIOLA,CAMERUN,18
MARIOLA,CANADA,1
MARIOLA,CHILE,3
MARIOLA,CHINA,62
MARIOLA,COLOMBIA,57
MARIOLA,CONGO,5
MARIOLA,COSTA DE MARFIL,3
MARIOLA,CUBA,5
MARIOLA,DINAMARCA,1
MARIOLA,DOMINICA,1
MARIOLA,E.E.UNIDOS AMERI,2
MARIOLA,ECUADOR,40
MARIOLA,EGIPTO,13
MARIOLA,ESLOVAQUIA,2
MARIOLA,FILIPINAS,1
MARIOLA,FINLANDIA,1
MARIOLA,FRANCIA,12
MARIOLA,GAMBIA,35
MARIOLA,GHANA,32
MARIOLA,GRECIA,1
MARIOLA,GUINEA,79
MARIOLA,GUINEA BISSAU,5
MARIOLA,GUINEA ECUATORIA,13
MARIOLA,HAITI,1
MARIOLA,HONDURAS,6
MARIOLA,HUNGRIA,5
MARIOLA,INDIA,6
MARIOLA,ITALIA,12
MARIOLA,MALAWI,1
MARIOLA,MALI,83
MARIOLA,MALTA,1
MARIOLA,MARRUECOS,592
MARIOLA,MAURITANIA,14
MARIOLA,MEXICO,3
MARIOLA,MOLDAVIA,4
MARIOLA,NICARAGUA,1
MARIOLA,NIGERIA,125
MARIOLA,NORUEGA,1
MARIOLA,PAISES BAJOS,5
MARIOLA,PAKISTAN,28
MARIOLA,PARAGUAY,3
MARIOLA,PERU,10
MARIOLA,POLONIA,38
MARIOLA,PORTUGAL,26
MARIOLA,REINO UNIDO G.B.,6
MARIOLA,REP.COREA,3
MARIOLA,REP.DOMINICANA,20
MARIOLA,RUMANIA,507
MARIOLA,RUSIA,25
MARIOLA,SENEGAL,84
MARIOLA,SIERRA LEONA,2
MARIOLA,SUECIA,2
MARIOLA,SUIZA,1
MARIOLA,TOGO,5
MARIOLA,TUNEZ,2
MARIOLA,TURQUIA,1
MARIOLA,UCRANIA,31
MARIOLA,UGANDA,1
MARIOLA,URUGUAY,3
MARIOLA,VENEZUELA,13
BALAFIA,ALEMANIA,3
BALAFIA,ANGOLA,1
BALAFIA,ARGELIA,192
BALAFIA,ARGENTINA,19
BALAFIA,AUSTRIA,4
BALAFIA,BANGLADESH,1
BALAFIA,BENIN,1
BALAFIA,BOLIVIA,25
BALAFIA,BRASIL,38
BALAFIA,BULGARIA,70
BALAFIA,BURKINA FASSO,4
BALAFIA,CAMERUN,11
BALAFIA,CANADA,1
BALAFIA,CHILE,6
BALAFIA,CHINA,86
BALAFIA,COLOMBIA,51
BALAFIA,CONGO,8
BALAFIA,COSTA DE MARFIL,14
BALAFIA,CUBA,1
BALAFIA,E.E.UNIDOS AMERI,2
BALAFIA,ECUADOR,23
BALAFIA,EGIPTO,14
BALAFIA,ESLOVENIA,1
BALAFIA,ESTONIA,2
BALAFIA,FINLANDIA,1
BALAFIA,FRANCIA,7
BALAFIA,GAMBIA,62
BALAFIA,GEORGIA,17
BALAFIA,GHANA,23
BALAFIA,GUINEA,66
BALAFIA,GUINEA BISSAU,2
BALAFIA,GUINEA ECUATORIA,12
