NOM BARRI,PAIS,TOTAL
CENTRE HISTORIC,AFGANISTAN,3
CENTRE HISTORIC,ALBANIA,1
CENTRE HISTORIC,ALEMANIA,6
CENTRE HISTORIC,ANDORRA,2
CENTRE HISTORIC,ANGOLA,3
CENTRE HISTORIC,ARGELIA,295
CENTRE HISTORIC,ARGENTINA,27
CENTRE HISTORIC,ARMENIA,2
CENTRE HISTORIC,AUSTRIA,4
CENTRE HISTORIC,BANGLADESH,6
CENTRE HISTORIC,BELGICA,2
CENTRE HISTORIC,BENIN,4
CENTRE HISTORIC,BOLIVIA,100
CENTRE HISTORIC,BRASIL,61
CENTRE HISTORIC,BULGARIA,72
CENTRE HISTORIC,BURKINA FASSO,15
CENTRE HISTORIC,CAMERUN,59
CENTRE HISTORIC,CANADA,2
CENTRE HISTORIC,CHILE,6
CENTRE HISTORIC,CHINA,104
CENTRE HISTORIC,COLOMBIA,97
CENTRE HISTORIC,CONGO,13
CENTRE HISTORIC,COSTA DE MARFIL,18
CENTRE HISTORIC,COSTA RICA,1
CENTRE HISTORIC,CUBA,10
CENTRE HISTORIC,DOMINICA,1
CENTRE HISTORIC,E.E.UNIDOS AMERI,9
CENTRE HISTORIC,ECUADOR,50
CENTRE HISTORIC,EGIPTO,21
CENTRE HISTORIC,EL SALVADOR,1
CENTRE HISTORIC,ESLOVAQUIA,4
CENTRE HISTORIC,ESLOVENIA,1
CENTRE HISTORIC,ESTONIA,3
CENTRE HISTORIC,FRANCIA,8
CENTRE HISTORIC,GAMBIA,131
CENTRE HISTORIC,GEORGIA,1
CENTRE HISTORIC,GHANA,70
CENTRE HISTORIC,GRECIA,1
CENTRE HISTORIC,GUINEA,94
CENTRE HISTORIC,GUINEA BISSAU,15
CENTRE HISTORIC,GUINEA ECUATORIA,68
CENTRE HISTORIC,HONDURAS,25
CENTRE HISTORIC,HUNGRIA,1
CENTRE HISTORIC,INDIA,25
CENTRE HISTORIC,INDONESIA,1
CENTRE HISTORIC,IRAN,2
CENTRE HISTORIC,IRLANDA,1
CENTRE HISTORIC,ITALIA,16
CENTRE HISTORIC,LETONIA,9
CENTRE HISTORIC,LIBANO,2
CENTRE HISTORIC,LIBERIA,1
CENTRE HISTORIC,LIBIA,2
CENTRE HISTORIC,LITUANIA,8
CENTRE HISTORIC,MALI,216
CENTRE HISTORIC,MALTA,4
CENTRE HISTORIC,MARRUECOS,884
CENTRE HISTORIC,MAURITANIA,49
CENTRE HISTORIC,MEXICO,6
CENTRE HISTORIC,MOLDAVIA,5
CENTRE HISTORIC,NICARAGUA,2
CENTRE HISTORIC,NIGERIA,133
CENTRE HISTORIC,NORUEGA,1
CENTRE HISTORIC,PAISES BAJOS,11
CENTRE HISTORIC,PAKISTAN,99
CENTRE HISTORIC,PANAMA,2
CENTRE HISTORIC,PARAGUAY,8
CENTRE HISTORIC,PERU,17
CENTRE HISTORIC,POLONIA,110
CENTRE HISTORIC,PORTUGAL,36
CENTRE HISTORIC,REINO UNIDO G.B.,9
CENTRE HISTORIC,REP.CHECA,1
CENTRE HISTORIC,REP.DEMOCR.CONGO,2
CENTRE HISTORIC,REP.DOMINICANA,59
CENTRE HISTORIC,RUMANIA,804
CENTRE HISTORIC,RUSIA,17
CENTRE HISTORIC,SENEGAL,238
CENTRE HISTORIC,SERBIA,10
CENTRE HISTORIC,SIERRA LEONA,1
CENTRE HISTORIC,SIRIA,1
CENTRE HISTORIC,SUECIA,2
CENTRE HISTORIC,SUIZA,1
CENTRE HISTORIC,TOGO,3
CENTRE HISTORIC,TUNEZ,8
CENTRE HISTORIC,UCRANIA,69
CENTRE HISTORIC,URUGUAY,6
CENTRE HISTORIC,VENEZUELA,5
RAMBLA FERRAN - ESTACIO,ALBANIA,1
RAMBLA FERRAN - ESTACIO,ALEMANIA,6
RAMBLA FERRAN - ESTACIO,ANGOLA,1
RAMBLA FERRAN - ESTACIO,ARGELIA,127
RAMBLA FERRAN - ESTACIO,ARGENTINA,7
RAMBLA FERRAN - ESTACIO,ARMENIA,5
RAMBLA FERRAN - ESTACIO,AUSTRIA,2
RAMBLA FERRAN - ESTACIO,BELGICA,1
RAMBLA FERRAN - ESTACIO,BOLIVIA,19
RAMBLA FERRAN - ESTACIO,BRASIL,50
RAMBLA FERRAN - ESTACIO,BULGARIA,37
RAMBLA FERRAN - ESTACIO,CAMERUN,15
RAMBLA FERRAN - ESTACIO,CANADA,2
RAMBLA FERRAN - ESTACIO,CHILE,4
RAMBLA FERRAN - ESTACIO,CHINA,42
RAMBLA FERRAN - ESTACIO,COLOMBIA,34
RAMBLA FERRAN - ESTACIO,CONGO,1
RAMBLA FERRAN - ESTACIO,COSTA DE MARFIL,10
RAMBLA FERRAN - ESTACIO,CUBA,6
RAMBLA FERRAN - ESTACIO,E.E.UNIDOS AMERI,3
RAMBLA FERRAN - ESTACIO,ECUADOR,10
RAMBLA FERRAN - ESTACIO,ESLOVAQUIA,1
RAMBLA FERRAN - ESTACIO,ESLOVENIA,1
RAMBLA FERRAN - ESTACIO,ETIOPIA,2
RAMBLA FERRAN - ESTACIO,FRANCIA,11
RAMBLA FERRAN - ESTACIO,GAMBIA,17
RAMBLA FERRAN - ESTACIO,GEORGIA,7
RAMBLA FERRAN - ESTACIO,GHANA,15
RAMBLA FERRAN - ESTACIO,GUINEA,6
RAMBLA FERRAN - ESTACIO,GUINEA BISSAU,4
RAMBLA FERRAN - ESTACIO,GUINEA ECUATORIA,6
RAMBLA FERRAN - ESTACIO,HONDURAS,11
RAMBLA FERRAN - ESTACIO,INDIA,27
RAMBLA FERRAN - ESTACIO,ITALIA,5
RAMBLA FERRAN - ESTACIO,JAPON,2
