Patronat Municipal de Turisme. Pressupost d'ingressos per conceptes 2014;;
;;
;Capítol;Import € 
;3. Taxes, preus públics i altres ingressos;225.293,74
;4. Transferències corrents;844.924,00
;7. Transferències de capital;18.000,00
;;
;;
;Total general;1.088.217,74
;;
;;
;;
 Concepte;Denominació;Import € 
;;
;Capítol 3. Taxes, preus públics i altres ingressos;
;;
;Article 34. Preus públics;
34400;Venda d'entrades del Centre d'interpretació de l'Orde del Temple de Gardeny;4.000,00
;Total article 34;4.000,00
;;
;Article 36. Vendes;
36600;Vendes del Centre d'informació i reserves de Turisme de Lleida;65.000,00
36601;Venda de productes i serveis turístics;25.000,00
;Total article 36;90.000,00
;;
;Article 39. Altres ingressos;
39900;Cànons de concessions administratives;24.793,74
39901;Ingressos de Turisme de Negocis i Reunions;33.000,00
39902;Patrocinis de productes i programes;73.500,00
;Total article 39;131.293,74
;;
;Total capítol 3;225.293,74
;;
;;
;;
;Capítol 4. Transferències corrents;
;;
;Article 40. De l'administració general de l'entitat local;
40000;Transferència corrent Ajuntament de Lleida;784.924,00
40001;Transferència corrent Ajuntament de Lleida · Llei 5/2012, de 20 de març de mesures fiscals, financeres i administratives i de creació de l’ impost sobre estades en establiments turístics;60.000,00
;Total article 40;844.924,00
;;
;Total capítol 4;844.924,00
;;
;;
;;
;Capítol 7. Transferències de capital;
;;
;Article 70. De l'administració general de l'entitat local;
70000;Transferència capital Ajuntament de Lleida;18.000,00
;Total article 70;18.000,00
;;
;Total capítol 7;18.000,00
;;
;;
;Total general;1.088.217,74
;;
;;
