Associació de Comerciants;AssociacioVeinal;Títol;Propietari;Telèfon;Correu electrònic;Pàgina web;Enllaç 360º;Facebook;Twitter;Altra xarxa;Google Maps;Tienda Online
;AVV Universitat-Zona Alta;Abacus Cooperativa;;;;http://online.abacus.coop/ca/;;http://www.facebook.com/Abacus.Coop;https://twitter.com/AbacusCoop;http://www.youtube.com/user/Abacuscooperativa;;http://online.abacus.coop/ca/
;AVV Escorxador-Templers;Acadèmia Manager;;973 27 06 89;manager@lamanager.es;http://www.lamanager.es/;;;;;;
;AVV Escorxador-Templers;Acliod;Carles;973 281 438;;http://www.acliod.com/;;;;;;
;;Agustí Mestre;;973 20 10 00;;http://www.agustimestre.com/;;https://www.facebook.com/AgustiMestreLleida;;;;
;;Autoescola Anaya La Seu;;973 24 16 48;info@anayalaseu.com;http://anayalaseu.com/;;https://www.facebook.com/anayalaseu;https://twitter.com/anayalaseu;;;
;AVV Clot de les Granotes;Autoescola Gilabert;;973 72 58 58;info@autoescolagilabert.cat;http://www.autoescolagilabert.cat/;;https://www.facebook.com/pages/AUTOESCOLA-GILABERT/106770936021483?fref=ts;;;;
;AVV Escorxador-Templers;Autoescola Ilerda I;; 973 268 448 - 666 544 766 ;mailto:info@autoescolailerda.cat;http://www.autoescolailerda.cat/;;https://www.facebook.com/autoescola.ilerda;;;;
;AVV Magisteri Zona Alta;Autoescola La Seu 3;;973 244 845 - 973 245 740 ;laseu3@laseu3.com;http://www.centro-formacion-transporte.com/;;;;https://plus.google.com/110102254688710483655/about?hl=en;;
;AVV Universitat-Zona Alta;Autoescola Paris;;973 269 438 // Whatsapp: 644 499 294;info@autoescolaparis.com;http://www.autoescolaparis.com/;;https://www.facebook.com/autoescola.paris;https://twitter.com/aeparis;;;
;;Autoescola Segrià;;973 222 417;autoescolasegria@gmail.com;http://www.aesegria.com/;;https://www.facebook.com/autoescolasegria;;;;
;;Bon Area;;;;http://www.bonarea.com/html;;;;;https://www.google.es/maps/search/bon+area/@41.6171235,0.6160005,16z/data=!3m1!4b1;https://www.bonarea.com/html/ca/shop/shopping
;AVV Cappont;Bon Blat - Trinitaris;;973 202 761;lidiajmb@hotmail.com;;;https://www.facebook.com/pages/Forn-de-pa-Bon-Blat/428761227236649;;;;
;AVV Noguerola;Boutique Linia;;"Margall: 973 23 16 89; Ronda:  973 24 65 09";;http://www.boutiquelinia.com/;;;;;;
