Ajuntament de Lleida. Pressupost de despeses per partides 2014. Classificació econòmica;;
;;
 Partida;Denominació;Import € 
;;
;Capítol 1. Despeses de personal;
;;
;Article 10. Òrgans de govern i personal directiu;
1.912.010.000;RETRIB.BASIQUES I ALTRES REMUN. ALTS CARRECS;1.217.455,96
;Total article 10;1.217.455,96
;;
;Article 11. Personal eventual;
3.150.011.000;RETRIBUCIONS BASIQUES;38.294,38
3.155.011.000;RETRIBUCIONS BASIQUES;23.428,58
5.231.011.000;RETRIBUCIONS BÀSIQUES;21.735,32
6.333.011.000;RETRIB.BASIQUES PERSONAL EVENTUAL ASSESSOR;33.870,00
6.335.011.000;RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL;31.529,86
7.431.011.000;RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL;15.806,16
1.912.011.000;RETRIB.BASIQUES PERSONAL EVENTUAL ASSESSOR;104.017,86
2.920.011.000;RETRIB. BASIQUES PERSONAL EVENTUAL ASSESSOR;16.559,06
4.931.011.000;RETRIBUCIONS BÀSIQUES;21.735,32
3.150.011.001;RETRIBUCIONS COMPLEMENTARIES;108.797,87
3.155.011.001;RETRIBUCIONS COMPLEMENTARIES;52.546,67
5.231.011.001;RETRIBUCIONS COMPLEMENTARIES;56.293,49
6.333.011.001;RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL;61.678,63
6.335.011.001;ALTRES REMUNERAC. PERSONAL EVENTUAL ASSESSOR;65.196,13
7.431.011.001;RETRIBUCIONS COMPLEMENTÀRIES EVENTUALS;44.512,81
1.912.011.001;ALTRES REMUNERAC. PERSONAL EVENTUAL ASSESSOR;262.022,65
2.920.011.001;ALTRES REMUNERAC. PERSONAL EVENTUAL ASSESSOR;42.289,69
4.931.011.001;RETRIBUCIONS COMPLEMENTARIES;56.392,61
;Total article 11;1.056.707,09
;;
;Article 12. Personal funcionari;
2.132.012.000;SOUS DEL GRUP A1;30.577,75
3.150.012.000;SOUS DEL GRUP A1;196.920,71
3.155.012.000;SOUS DEL GRUP A1;15.900,43
12.170.012.000;SOUS DEL GRUP A1;44.031,96
12.171.012.000;SOUS DEL GRUP A1;14.677,32
5.231.012.000;SOUS GRUP A1 PERSONAL FUNCIONARI;117.418,56
5.232.012.000;SOUS GRUP A1;88.063,92
5.313.012.000;SOUS DEL GRUP A1;44.031,96
6.320.012.000;SOUS GRUP A1 PERSONAL FUNCIONARI;599.323,90
6.330.012.000;SOUS DEL GRUP A1;88.063,92
2.332.012.000;SOUS DEL GRUP A1;14.677,32
6.333.012.000;RETRIBUCIONS BÀSIQUES PERSONAL FUNCIONARI GRUP A1;88.063,92
6.335.012.000;RETRIBUCIONS BÀSIQUES FUNCIONARIS GRUP A1;29.354,64
