Nombre;Dirección;Teléfono
Asociación Cultural Os Zagales;Juan José Lorente, 56 50005;976 251 583;
Calidad Grafica S.L.;Polígono Plaza, C/ Bari, 15 50017;976 126 113;
CAPRICHOS;AVDA AMERICA,42 50001;;
Club Hípico Doble-F;Avda. de Cataluña, 242 50014;;
Complejo para el Tratamiento de Residuos Urbanos de Zaragoza (CTRUZ);Parque Tecnológico López Soriano 50720;876 242 600;
DIA;AVDA MADRID,223 50001;;
Dominguez Viguera;C/ Madre Vedruna, 22, 4º D 50008;;
EL RINCON COFFEE;AVDA CESAREO ALIERTA,17 50001;;
FERRETERÍA PINETA;CALLE ALBERTO DUCE,14 50001;;
Jardines García Laborda;Ctra. Catorce Septiembre 50720;;
LA TORRE;CALLE SAN VICENTE MÁRTIR,5 50001;;
MARI CARMEN TREMUL;CALLE CENTRO,3 50001;;
MONTORI BARRANCO;CALLE JULIAN GALLEGO,40 50001;;
Pilates Sebrango;C/ Arzobispo Casimiro Morcillo, 40, local 50006;976 37 58 47;
REYCOR;AVDA GOYA,12 50001;;
SUPERMERCADOS SIMPLY;CALLE BARCELONA,51 50001;;
TABACOS;CALLE PILAR MIRO,2 50001;;
A COLOR;CALLE HERNAN CORTES,5 50001;;
A DIARIO;CALLE DOCTOR CERRADA,29 50001;;
A Flama;C/ Mayor, 53, local 50001;976 039 008;
A J CASH SERV OF CASIO;CALLE EL AAIUN,3 50001;;
A JUEGO;CALLE BOLONIA,10 50001;;
A LA HOZ;AVDA SAN JOSÉ,152 50001;;
A. LAS FUENTES;CALLE RODRIGO REBOLLEDO,38 50001;;
A LOJA DO GATO;TRAV JARDINES REALES,7 50001;;
A MARES;AVDA PABLO GARGALLO,17 50001;;
A MILLAN;AVDA INDEPENDENCIA,29 50001;;
A MURILLO;CALLE SANCHO RAMIREZ,13 50001;;
A O Z;CALLE SAN PABLO,17 50001;976441894;
A TODO TRAPO;CALLE MÉNDEZ NÚÑEZ,9 50001;;
A través de internet;Vía Hispanidad,22 50071;;
A TU GUSTO;CALLE VIOLETA PARRA,28 50001;;
A VV Actur-Puente Santiago;C/ Margarita Xirgú, 2, local 50018;976-734-955;
A+B;URB ALAMEDA,3 50001;;
AB;CALLE SAN JORGE,18 50001;;
Ababol Fashion;CALLE BOLIVIA,70 50010;976 098 301;
Abacería Bermejo;Caspe, 18-20 50017;655 989 963;
Ábaco Digital;C/ Méndez Nuñez, 31, 3º Dcha. 50003;976 297 980;
ABAD;CALLE CORTES DE ARAGON,43 50001;;
ABALORIOS;CALLE ESPOZ Y MINA,5 50001;;
ABALORIUM ABALORI;AVDA SAN JOSÉ,129 50001;;
ABC FLOPPY;PASEO FERNANDO EL CATOLICO,8 50001;;
ABCD Producciones Audiovisuales S.L.;C/ Corona de Aragon, 40, 5º 50009;976-561-944;
Abdelaziz Saghiri;C/ Salvador Minguijon, 27, local 2 50002;;
ABRACADABRA;CALLE GRAN VIA,26 50001;;
ABRAMAT;CALLE VALLE DE ZURIZA,19 50001;976392112;
A.C. Olifante;Avda. Navarra, 14, 4º Izda. 50500;976-649-286;
Academia Conchita Trigo;C/ Santa Cruz, 7, 4º B 50012;;
Academia Da Vinci;C/ Don Pedro de Luna, 32, local 50010;976 343 752 / 605 790 823;
Academia de Arte, Dibujo y Pintura. Estudio Calon;C/ Albareda, 10 50004;619 475 651;
Academia de Baile Almozara;C/ Río Aragón, 1 50003;638 708 191;
Academia de Baile Coppelia Danza S.C.;C/ La Luz, 16 50006;976 273 038;
Academia de Baile El Almacen;C/ Fray Juan Regla, 10 50017;976 069 610;
Academia de Baile Feeling;C/ Tomás Higuera, 14 50013;976 412 539;
Academia de Baile Nadia Azouz;C/ Fueros de Aragón, 7-9 50005;976 402 989;
Academia de Baile Pilar Torcal y Jan Moller;C/ Lapuyade, 1 50007;656 863 531;
Academia de dibujo y Pintura Barbasán;C/ Jerónimo Blancas, 8 50001;976 218 973;
Academia de Dibujo y Pintura. Manuel y Arte;C/ Monasterio Nuestra Señora del Pueyo, 14 50002;976 412 951;
Academia de Escritura. Scriptorium;C/ Buenos Aires, 16, 1º B 50180;;
Academia de idiomas Adrian Hawley;Pº Sagasta 50008;976 223 303;
Academia de idiomas Britania Centro de Estudios;Pº Teruel 50004;976-212-835;
Academia de idiomas Brittany;C/ Gertrudis Gómez de Avellaneda 50018;976-106-494;
Academia de idiomas Camden Language Centre;Pº de los Rosales, 22, bajos 50008;976-424-858;
Academia de idiomas City Centre;C/ Almagro 50004;976 222 739;
Academia de idiomas Esic;Vía Ibérica 50009;976 360 714;
Academia de idiomas Graham Language Services;Pza. Nuestra Señora del Carmen 50004;976 239 165;
Academia de idiomas Grupo Enseñalia;Pº Gran Vía 50006;976 221 676;
Academia de idiomas Iberlingva;Pº Gran Vía, 5 50006;976 350 017;
Academia de idiomas Idiomas Kernel;C/ Lapuyade 50007;976 371 265;
Academia de idiomas Infolang;C/ Alicante 50007;976 278 325;
Academia de idiomas International House;C/ Cortes de Aragón 50005;976 565 255;
Academia de idiomas Liverpool English School;C/ San Juan de la Cruz 50006;976 791 179;
Academia de idiomas Modlang;Residencial Paraíso, 2 - local 56 50008;976 333 333;
Academia de idiomas My English Centre;C/ Pablo Ruiz Picasso 50015;976 513 778;
Academia de idiomas O' Clock;C/ Pintor Manuel Viola 50004;976 06 49 70;
Academia de idiomas Streamline;C/ Doctor Julián Sanz Ibáñez 50017;976 300 009;
Academia de idiomas System School of English;C/ Antonio Cánovas, 15-17, Bajo 50004;976 218 110;
Academia de idiomas Technical College;C/ María Lostal 50008;976 227 909;
Academia de idiomas The English Way;Avda. Francisco de Goya 50006;976 275 860;
Academia de idiomas Yes Academia;Avda. Alcalde Gómez Laguna 50009;976 350 505;
Academia de idiomas Zaralengua Idiomas;C/ Duquesa Villahermosa 50009;976 458 200;
Academia de Música Puerta Sancho;Avda. Puerta de Sancho, 14 50003;976 443 804;
Academia de Música y Canto Bosco Yamaha;C/ Rioja, 10 50017;976 489 568;
Academia de Música y Canto. Música Nova;C/ Viriato, 4 50017;976 319 981;
Academia de Música y Canto. Nairi Grigorian Arakimov;C/ Maestro Marquina, 14 50006;976 278 507;
Academia de Música y Danza Estampa Baturra;C/ Batalla de Arapiles, 18 50003;608 260 908;
Academia de Música y Danza Miralbueno;Pza. Lagos Azules, 3 50011;976 307 404  678 480 908;
Academia de Pintura de Pedro Pisa;C/ José Luis Albareda, 10 50004;976 901 110;
Academia de Policía Local;C/ Domingo Miral , 1 50009;976 724 114/  24 horas: 092;
Academia Dixit;C/ Juslibol, 36 50015;;
Academia La Bauhaus;C/ Emilio Castelar, 3, local 50013;976 591 236;
ACANTO FLORES;CALLE ALFONSO X EL SABIO,8 50001;976254122;
acarquitectos;C/ Juan XXIII, 1-3-5 OF (5) 50010;976 317 772;
ACASAMIA;CALLE LAGUNA DE RINS,3 50001;;
ACB-Aviva;C/ María Montessori, 13 50018;;
Acción Laboral;C/ Ricardo del Arco, 29 50015;976 741 369;
"""
ACEITUNAS Y ENCURTIDOS""";VIA UNIVERSITAS,60 50001;976332538;
Aceleradora 'La Terminal';Avenida Ciudad de Soria, 8. Acceso por Avenida Autonomía 7 50003;976 72 66 27;
ACESA;CALLE LORENZO PARDO,30 50001;;
ACGF Nobleza Baturra;C/ Antonio Bravo, 9 50017;976 349 245;

