id;idCentro;title;streetAddress;postalCode;junta;addressLocality;addressRegion;addressCountry;telephone;faxNumber;email;geometry;publicTransport;accessibility;space;sameAs
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-2672";"2672";"Unidad de Inspección y Atención al Ciudadano (Policía Zaragoza)";"C/ Domingo Miral , 1";"50009";"Junta Municipal Universidad";"Zaragoza";"Zaragoza";"España";"976 724108, 4108";"";"";"675070.13 4612107.5";"30, 35, 40, 42, Tranvía";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-2672"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-2693";"2693";"Instalación deportiva elemental de Fútbol Sala y Vestuarios";"C/ Monasterio de Obarra, s/n";"50002";"Junta Municipal Las Fuentes";"Zaragoza";"Zaragoza";"España";"";"";"";"678296.87 4612692.47";"";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-2693"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-2694";"2694";"Instalación deportiva elemental de Baloncesto";"C/ María de Aragón, s/n";"50013";"Junta Municipal Las Fuentes";"Zaragoza";"Zaragoza";"España";"";"";"";"678143.86 4612575.89";"";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-2694"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-2715";"2715";"Colegio Publico Angel Riviere";"C/ José Galiay, 4";"50008";"Junta Municipal San José";"Zaragoza";"Zaragoza";"España";"976 493903";"976 42 91 62";"ceeangelriviere@gmail.com";"677390.44 4611778.5";"";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-2715"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-2716";"2716";"Colegio Publico Antonio Beltran";"Avda. Vía Hispanidad, 68";"50010";"Junta Municipal Delicias";"Zaragoza";"Zaragoza";"España";"976 332864";"";"";"673647.34 4612709.18";"";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-2716"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-3164";"3164";"Grupo Municipal Izquierda Unida";"Pza. del Pilar , 18";"50003";"Junta Municipal Casco Histórico";"Zaragoza";"Zaragoza";"España";"976 724823 (En Edificio Seminario, Ext. 1307)";"";"grupomunicipaliu@zaragoza.es";"676840.38 4613965.9";"21, 22, 30, 35, 36, Tranvía";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-3164"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-20629";"20629";"Ludoteca Municipal Barbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-20629"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-2722";"2722";"Servicio de Ingenieria de Desarrollo Urbano";"Vía Hispanidad, 20";"50071";"Junta Municipal Universidad";"Zaragoza";"Zaragoza";"España";"976 721090, 721718";"";"";"674094.66 4611606.41";"35, 42, Tranvía";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-2722"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-2728";"2728";"Servicio Administrativo de Acción Social y Deportes";"Pza. San Carlos, 4";"50001";"Junta Municipal Casco Histórico";"Zaragoza";"Zaragoza";"España";"976 721800, 1800";"";"";"676999.67 4613489.75";"21, 28, 35, 39, 43, 45, N1";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-2728"
"https://www.zaragoza.es/sede/servicio/cultura/evento/location/rec-2745";"2745";"Unidad de Gestión e Inspección Catastral";"Edificio Trovador, Pza. Antonio Beltran Martinez";"50002";"Junta Municipal Casco Histórico";"Zaragoza";"Zaragoza";"España";"976 723761, 3761";"";"";"677529.56 4613429.48";"21,22,29,30,32,35,38,39,40,44";"";"";"http://www.zaragoza.es/api/recurso/cultura-ocio/lugar/evento-zaragoza/rec-2745"
