"Id";"Nom";" Adreça";" Codi";" Telèfon";" Correu";" Web";" Horari";" Notes";"Preu";"utm_x_etrs89";" utm_y_etrs89";" lon";" lat"
"1";"Auditori de Girona";"Passeig de la Devesa, 35 ";"17001";"872 08 07 09 ";"info@auditorigirona.org ";"www.auditorigirona.org";"taquilles: de dimarts a divendres de 12 a 14 h";"";"depén dels espectacles";"484390";"4648195";"2,81155605";"41,98560375"
"2";"Biblioteca Antonia Adroher";"Can Sunyer, 46";"17007";"972 213 315 ";"biblioadroher@ajgirona.cat";"www.girona.cat/biblioteques";"Dilluns, dimecres, dijous i divendres de 10 a 14 i de 15.30 a 20 h - Dimarts de 15.30 a 20 h - Dissabte d'11 a 14 i de 16 a 19 h";"juliol i agost: Dilluns, dimecres, dijous i divendres de 10 a 14 i de 15.30 a 20 h - Dimarts de 15.30 a 20 h";"entrada lliure ";"484176";"4649089";"2,80894858";"41,99365141"
"3";"Biblioteca Ernest Lluch";"Carrer Saragossa, 27 ";"17003";"972 426 368 ";"bibliolluch@ajgirona.cat";"www.girona.cat/biblioteques";"Dilluns, dimecres, dijous i divendres de 10 a 20 h - Dimarts de 15.30 a 20 h - Dissabtes d'11 a 14 i de 16 a 19 h ";"juliol i agost: Dilluns, dimecres, dijous i divendres de 10 a 14 i de 15.30 a 20 h - Dimarts de 15.30 a 20 h";"entrada lliure ";"484989";"4646570";"2,81882863";"41,97097958"
"4";"Biblioteca Escolar Montfollet ";"Montfalgars, 4 ";"17006";"";"bibmontfollet@gmail.com";"www.girona.cat/biblioteques";"De dilluns a divendres de 16.30 a 19h. Oberta només en període escolar.";"";"entrada lliure ";"483594";"4646800";"2,80198572";"41,97302331"
"5";"Biblioteca Just M. Casero";"Plaça de l’Om, 1 ";"17007";"972 211 370";"bibliojcasero@ajgirona.cat";"www.girona.cat/biblioteques";"Dilluns, dimecres, dijous i divendres de 10 a 14 i de 15.30 a 20 h - Dimarts de 15.30 a 20 h - Dissabtes d'11 a 14 i de 16 a 19 h ";"juliol i agost: Dilluns, dimecres, dijous i divendres de 10 a 14 i de 15.30 a 20 h - Dimarts de 15.30 a 20 h";"entrada lliure ";"485509";"4651155";"2,82499152";"42,01228475"
"6";"Biblioteca Salvador Allende";"Carrer de Baix, 2";"17006";"972 232 715";"biblioallende@ajgirona.cat";"www.girona.cat/biblioteques";"Dilluns, dimecres, dijous i divendres de 10 a 20 h - Dimarts de 15.30 a 20 h - Dissabtes d'11 a 14 i de 16 a 19 h";"juliol i agost: Dilluns, dimecres, dijous i divendres de 10 a 14 i de 15.30 a 20 h - Dimarts de 15.30 a 20 h";"entrada lliure ";"483996";"4647346";"2,80682282";"41,97794921"
"7";"Bòlit, Centre d'Art Contemporàni. Girona (Bòlit_LaRambla, Sala Fidel Aguilar)";"Rambla de la Llibertat, 1 ";"17004";"972 427 627";"info@bolit.cat";"www.bolit.cat";"del 23 d'octubre de 2013 al 4 de gener de 2014: De dimecres a diumenge, festius inclosos, d'11 a 14h i de 16 a 18h. Tancat els dies 24,25,26 i 31 de desembre de 2013 i 1 de gener de 2014. Dies 29 d'octubre, 1 i 3 de novembre, obert d'11 a 14h i de 16 a 21h.";"";"entrada lliure ";"485400";"4647928";"2,82375535";"41,98321834"
"8";"Bòlit, Centre d'Art Contemporàni. Girona (Bòlit_StNicolau)";"Plaça de Santa Llúcia, 1";"17007";"973 427 627";"info@bolit.cat";"www.bolit.cat";"Dilluns: d'11 a 14h - Dimarts i dijous: de 17 a 20h - Dimecres d'11 a 14h i de 17 a 20h - Divendres, dissabtes, diumenges i festius: de 12 a 14h i de 17 a 20h";"";"entrada lliure ";"485592";"4648575";"2,82605721";"41,98904918"
"9";"Museu d'Història dels Jueus (Call de Girona)";"Carrer de la Força, 8";"17003";"972 216 761";"callgirona@ajgirona.cat";"www.girona.cat/call";"De setembre a juny: de dimarts a dissabte de 10 a 18 h; dilluns, diumenges i festius de 10 a 14 h. - Tancat els dies 1 i 6 de gener, 25 i 26 de desembre.";"Juliol i agost: de dilluns a dissabte de 10 a 20 h; diumenges i festius de 10 a 14 h. ";"entrada lliure ";"485533";"4648237";"2,82535325";"41,98600385"
"10";"Institut d'estudis Nahmanides. Biblioteca Eliezer E. Schalit  (Call de Girona)";"carrer de sant Llorenç, 3";"17004";"972 216 761";"callgirona@ajgirona.cat";"www.girona.cat/call";"De setembre a juny: de dilluns a dissabte de 10 a 14 h; tardes de dimecres i dijous de 16 a 19 h. - Tancat  els diumenges i festius.";"Juliol i agost: de dilluns a divendres de 10 a 15 h; dimecres de 17 a 20 h. - Tancat els dissabtes, diumenges i festius.";"entrada lliure ";"485533";"4648240";"2,82535317";"41,98603087"
