FID,NOMBRE,DIRECCION,BARRIO,DISTRITO,SECCION,NUM_MESAS,MESAS_COLE
0.0,TERRENO INSULAR PANCHO SUAREZ,"CTRA. LOS CAMPITOS, S/N",LOS CAMPITOS,07,05,2.0,D07S05 AB
1.0,I.F.P. MERCEDES PINTO (Antig. I.B.A.D.),"CALLE PEDRO SUAREZ HERNANDEZ, 3",BALLESTER,06,06,3.0,D06S0 U D06S08 AB
2.0,COLEGIO DE TINCER,"AVDA. DE TINCER, 40",TINCER,11,01,4.0,D11S0 AB D11S06 AB
3.0,COLEGIO SECUNDINO DELGADO,"CALLE DECANO CONSULAR JESUS RAMOS GLEZ, 8",AÑAZA,11,11,5.0,D11S11 AB D11S16 U D11S17 AB
4.0,INSTITUTO MARIA ROSA ALONSO,"AVDA. PRINCIPAL DE AÑAZA, 104",AÑAZA,11,08,4.0,D11S08 AB D11S09 AB
5.0,COLEGIO ISABEL LA CATOLICA,"CALLE  FERNANDEZ NAVARRO, 43",CUATRO TORRES,03,08,5.0,D03S01 ABC D03S08 AB
6.0,VIERNES CENTRO DE FORMACION,"AVDA. SAN SEBASTIAN, 79",LA SALLE,03,09,2.0,D03S09 U D03S18 U
7.0,COLEGIO TOME CANO,"CALLE LEGAZPI, 2",LA SALLE,03,04,2.0,D03S04 U D03S06 U
8.0,COLEGIO SAN FERNANDO,"CALLE RAMON Y CAJAL, 45",DUGGI,05,05,6.0,D05S05 AB D05S06 AB D05S11 U D05S15 U
9.0,AYUNTAMIENTO S/C SEDE LA GRANJA,"AVDA. MADRID, 2",CHAPATAL,06,02,10.0,D03S13 AB D03S15 AB D05S07 AB D06S13 U D06S25 ABC
10.0,COLEGIO EL TABLERO,"CALLE CASTAÑO, 6",EL TABLERO,12,02,2.0,D12S02 AB
11.0,COLEGIO SANTA MARIA DEL MAR,"CALLE ATAMAN, 24",ALISIOS,12,06,6.0,D12S04 AB D12S06 AB D12S08 AB
12.0,COLEGIO MATIAS LLABRES VERD,"CALLE CONVENTO, 23 (LLANO DEL MORO)",LLANO MORO,12,01,2.0,D12S01 AB
13.0,AA.VV. EL MOLINO,"CALLE HILARIO GARCIA, 1B",BARRANCO GRANDE,11,04,5.0,D11S03 AB D11S04 AB
14.0,INSTITUTO EL SOBRADILLO,"CALLE PROLONGACION AREJO, 2",LA GALLEGA,12,07,5.0,D12S07 ABC D12S09 AB
15.0,CENTRO EDUC. ESPEC. HERMANO PEDRO,"CALLE GARA Y JONAY, 1",LAS CABRITAS,09,10,2.0,D09S10 AB
16.0,COLEGIO LAS DELICIAS,"CALLE PEDRO DOBLADO CLAVERIE, 1",LAS DELICIAS,10,09,2.0,D10S09 AB
17.0,INSTITUTO TOMAS IRIARTE,"CALLE DIEGO DE ALMAGRO, 1",LAS DELICIAS,10,08,1.0,D10S08 U
18.0,AA.VV. MORTES Y AFONSO,"CALLE JADE, 3A",SANTA CLARA,09,22,4.0,D09S16 AB D10S11 AB
19.0,COLEGIO BUENAVENTURA BONNET,"CALLE CARDENAL CISNEROS, 10",CHIMISAY,10,02,2.0,D10S02 AB
20.0,I.F.P. LOS GLADIOLOS,"CALLE LOS HUARACHEROS, 5",LOS GLADIOLOS,06,23,6.0,D06S05 AB D06S18 AB D06S23 AB
21.0,INSTITUTO BENITO PEREZ ARMAS,"CALLE PIO BAROJA, 12",LOS GLADIOLOS,06,17,4.0,D06S14 AB D06S17 U D06S24 U
22.0,AULA DE ADULTOS TENA ARTIGAS,"CTRA DEL ROSARIO, 88A",MIRAMAR,10,05,2.0,D10S04 U D10S05 U
23.0,INSTITUTO LAS INDIAS,"CALLE ELADIO ROCA SALAZAR, 8A.",EL PERU,06,22,2.0,D06S29 AB
24.0,COLEGIO TAGOROR,"CALLE NUÑEZ DE LA PEÑA, 33",GARCIA ESCAMEZ,09,03,4.0,D09S01 U D09S02 U D09S03 AB
25.0,COLEGIO HERMANOS ESTEBANEZ MURPHY,"CALLE SAN JUAN DE LA RAMBLA, 1",LA SALUD,04,09,1.0,D04S09 U
26.0,CENTRO DE PROFESORES,"CALLE ELADIO ROCA SALAZAR, 8",EL PERU,06,29,2.0,D06S21 AB
27.0,COLEGIO LOS DRAGOS,"CALLE JUAN RAMON JIMENEZ, 14",LOS GLADIOLOS,06,26,4.0,D06S04 U D06S16 U D06S26 AB
28.0,COLEGIO VEINTICINCO DE JULIO,"CALLE TANAUSU, 4",LA SALUD,04,06,3.0,D04S04 U D04S05 U D04S14 U
29.0,COLEGIO RODRIGUEZ GALVAN,"CALLE GUIA DE ISORA, 46",LA SALUD,04,06,4.0,D04S06 AB D04S07 AB
30.0,COLEGIO RAFAEL GAVIÑO DEL BOSQUE,"CALLE SAN JUAN EVANGELISTA, 32",MARIA JIMENEZ,07,01,4.0,D07S01 AB D07S09 AB
31.0,COLEGIO SAN ANDRES,"CALLE DOCTOR RAFAEL FOLCH YOU, 3",SAN ANDRES,07,02,2.0,D07S02 AB
32.0,COLEGIO AGUSTIN CABRERA DIAZ,"PLAZA ROQUE NEGRO, 55",ROQUE NEGRO,08,01,1.0,D08S01 A
33.0,COLEGIO JOSE PEREZ RODRIGUEZ,"PASAJE LOS BANQUITOS, 29",IGUESTE DE SAN ANDRES,07,03,1.0,D07S03 C
34.0,INSTITUTO BERNABE RODRIGUEZ,"AVDA. SAN SEBASTIAN, 7",EL CABO,03,11,3.0,D03S10U D03S11 AB
35.0,ESCUELA DE IDIOMAS,"CALLE ENRIQUE WOLFSON,16",LAS MIMOSAS,05,10,4.0,D05S09 AB D05S10 AB
36.0,COLEGIO LOS MENCEYES,"CALLE CUPRESO, 2",AÑAZA,11,11,7.0,D11S12 AB D11S14 ABC D11S20 AB
37.0,CENTRO DE DIA DE MAYORES MONTENEVADO,"CALLE AGUERE, 6",SAN SEBASTIAN,03,03,3.0,D03S02 U D03S03 AB
38.0,INSTITUTO CESAR MANRIQUE,"AVDA. PRINCIPES DE ESPAÑA, 5",CHIMISAY,10,02,3.0,D10S10 U D10S12 AB
39.0,AA.VV. NUESTRA SEÑORA DEL CARMEN,"AVDA. NTRA SRA DEL CARMEN, 1",VALLESECO,07,07,3.0,D07S04 U D07S07 AB
40.0,INSTITUTO VEREDILLAS,"AVDA. LAS HESPERIDES, 1",BARRANCO GRANDE,11,02,6.0,D11S02 AB D11S13 AB D11S18 AB
41.0,COLEGIO SANTA CRUZ DE CALIFORNIA,"CALLE GANSO, 2",EL SOBRADILLO,11,10,6.0,D11S07 AB D11S10 AB D11S19 AB
42.0,EDIFICIO DE USOS MULTIPLES,"AVDA. FRANCISCO LA ROCHE, 35",TOSCAL,01,01,6.0,D01S01 AB D01S02 U D01S06 AB D01S07 U
43.0,MINISTERIO DE TRABAJO (Ant. Sindical),"CALLE MENDEZ NUÑEZ, 84",TOSCAL,01,03,4.0,D01S03 AB D01S04 AB
44.0,D.G. TELECOMUNICACIONES,"CALLE. RUBEN MARICHAL LOPEZ, 12",IFARA,01,08,2.0,D01S08 AB
45.0,AULAS  DEL ICAP,"PLAZA DE ANAGA, 3",URBANIZACION ANAGA,01,10,2.0,D01S10 AB
46.0,EDIFICIO JUNTA DEL PUERTO,"AVDA. FRANCISCO LA ROCHE, 49",URBANIZACION ANAGA,01,09,4.0,D01S09 AB D01S12 AB
47.0,EDIFICIO DESARROLLO LOCAL,"PLAZA VICTIMAS DEL TERRORISMO, 1",ZONA CENTRO,02,02,3.0,D02S02 U D02S09 AB
48.0,ANTIGUA ESCUELA DE BELLAS ARTES,"PLAZA IRENEO GONZALEZ, 1",ZONA CENTRO,02,04,7.0,D02S03 AB D02S04 U D02S05 AB D02S06 AB
49.0,SALA DE ARTE LA RECOVA,"PLAZA ISLA DE LA MADERA, 1",ZONA CENTRO,02,07,1.0,D02S07 U
