FID,GEOCODIGO,DESDE,HASTA,UTM_X,UTM_Y,GRAD_X,GRAD_Y,LONGITUD
0.0,BUSTURLINE01,1,2A,377849.851947,3149558.26699,-16.2477066514,28.4668929107,464.955777811
1.0,BUSTURLINE2A,2A,2,377914.555875,3149664.48077,-16.2470571148,28.467857501,1775.39153811
2.0,BUSTURLINE02,2,3,377921.944379,3150147.00236,-16.2470327943,28.4722127235,303.162825661
3.0,BUSTURLINE03,3,4,377968.375295,3150442.03531,-16.2465898527,28.474879604,1890.41000295
4.0,BUSTURLINE04,4,4B,377269.127496,3150347.11274,-16.2537213645,28.4739573184,696.003936993
5.0,BUSTURLINE4B,4B,5,377346.952224,3150058.08723,-16.2528957468,28.4713563316,912.24014376
6.0,BUSTURLINE05,5,6,377089.506643,3149971.9647,-16.2555158353,28.47055487,560.646318536
7.0,BUSTURLINE06,6,7,377005.007998,3149499.587,-16.2563283761,28.4662839277,888.93857253
8.0,BUSTURLINE07,7,8,376907.379284,3148618.52262,-16.2572312942,28.4583235443,1012.35200991
9.0,BUSTURLINE08,8,9,376982.469002,3148169.73038,-16.2564166081,28.4542804961,1335.77586455
10.0,BUSTURLINE09,9,10,377203.932372,3148749.01015,-16.2542168877,28.4595290859,315.447182105
11.0,BUSTURLINE10,10,11,377491.970676,3148734.8681,-16.2512739898,28.4594285489,1094.40107106
12.0,BUSTURLINE11,11,1,377484.370271,3149197.57835,-16.2514007941,28.4636035759,720.537094837
