FID,NOMBRE,TIPO,GEOCODIGO,WEB,DIRECCION
0.0,DISTRITO SUROESTE,Sedes municipales,CON_038,http://www.santacruzdetenerife.es/distritos/distrito-suroeste/,CALLE AVEGATO 1A
1.0,POLICIA LOCAL (AÑAZA),Sedes municipales,CON_012,http://www.santacruzdetenerife.es/servicios-municipales/seguridad-ciudadana-y-movilidad/policia-local/,AVENIDA PRINCIPAL AÑAZA 2
2.0,UTS DE AÑAZA,Sedes municipales,CON_056,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,AVENIDA PRINCIPAL AÑAZA 2
3.0,OFICINA DE ATENCION E INFORMACION CIUDADANA DE AÑAZA (OIAC),Sedes municipales,CON_013,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,AVENIDA PRINCIPAL DE AÑAZA 2
4.0,POLICIA LOCAL,Sedes municipales,CON_007,http://www.santacruzdetenerife.es/servicios-municipales/seguridad-ciudadana-y-movilidad/policia-local/,AVENIDA TRES DE MAYO 79
5.0,UTS DE OFRA,Sedes municipales,CON_044,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,CALLE ELÍAS BACALLADO 2A
6.0,OFICINA DE ATENCION E INFORMACION CIUDADANA DE OFRA (OIAC),Sedes municipales,CON_004,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,CALLE ELÍAS BACALLADO 2A
7.0,SEDE ADMINISTRATIVA MUNICIPAL OFRA,Sedes municipales,CON_003,http://www.santacruzdetenerife.es/,CALLE ELÍAS BACALLADO 2A
8.0,DISTRITO OFRA - COSTA SUR,Sedes municipales,CON_005,http://www.santacruzdetenerife.es/distritos/distrito-ofra-costa-sur/,CALLE ELÍAS BACALLADO 2A
9.0,PALACETE COVIELLA - SERVICIO INSULAR DE ATENCION A LA MUJER,Sedes municipales,CON_018,http://www.santacruzdetenerife.es/servicios-municipales/igualdad/,CALLE FRANCISCO DE AGUILAR Y AGUILAR 1
10.0,POLICIA LOCAL - GRUPO DE  ASISTENCIA PARA LA MUJER (GRAMU),Sedes municipales,CON_040,http://www.santacruzdetenerife.es/servicios-municipales/seguridad-ciudadana-y-movilidad/policia-local/,CALLE FRANCISCO DE AGUILAR Y AGUILAR 1
11.0,UTS DE LOS GLADIOLOS,Sedes municipales,CON_052,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,CALLE COMODORO ROLIN 2
12.0,OFICINA DE ATENCION E INFORMACION CIUDADANA DE SALUD-LA SALLE (OIAC),Sedes municipales,CON_061,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,AVENIDA TRES DE MAYO 40
13.0,GERENCIA DE URBANISMO. VIVIENDAS MUNICIPALES,Sedes municipales,CON_023,http://www.santacruzdetenerife.es/servicios-municipales/urbanismo/,AVENIDA TRES DE MAYO 40
14.0,ORGANISMO AUTONOMO DE DEPORTES,Sedes municipales,CON_017,http://www.santacruzdetenerife.es/servicios-municipales/deportes/,CALLE DOCTOR FERNANDO BARAJAS PRAT 1
15.0,ORGANISMO AUTONOMO DE FIESTAS Y ACTIVIDADES RECREATIVAS,Sedes municipales,CON_022,http://www.santacruzdetenerife.es/servicios-municipales/fiestas/,CALLE ANTONIO DOMINGUEZ ALFONSO 7
16.0,EDIFICIO FIDES,Sedes municipales,CON_049,http://www.santacruzdetenerife.es/servicios-municipales/igualdad/,CALLE VIERA Y CLAVIJO 50
17.0,POLICIA LOCAL PROTECCIÓN TURÍSTICA,Sedes municipales,TUR_026,http://www.santacruzdetenerife.es/servicios-municipales/seguridad-ciudadana-y-movilidad/policia-local/,CALLE LA MARINA 1
18.0,UTS DE ZONA CENTRO,Sedes municipales,CON_051,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,CALLE SAN PEDRO ALCANTARA 5
19.0,ORGANISMO AUTONOMO DE CULTURA,Sedes municipales,CON_026,http://www.santacruzdetenerife.es/servicios-municipales/cultura/,CALLE MARCOS REDONDO 2
20.0,DISTRITO CENTRO-IFARA,Sedes municipales,CON_035,http://www.santacruzdetenerife.es/distritos/distrito-centro-ifara/,CALLE AFILARMONICA NIFU-NIFA 32
21.0,OFICINA DE TURISMO DE SANTA CRUZ,Sedes municipales,CON_029,http://www.sociedad-desarrollo.com/default.htm,CALLE AFILARMONICA NIFU-NIFA 32
22.0,PARTICIPACION CIUDADANA,Sedes municipales,CON_059,http://www.santacruzdetenerife.es/servicios-municipales/participacion-ciudadana/,CALLE AFILARMONICA NIFU-NIFA 32
23.0,SOCIEDAD DE DESARROLLO - SEDE CENTRAL,Sedes municipales,CON_045,http://www.sociedad-desarrollo.com/default.htm,CALLE IMELDO SERIS 83
24.0,IMAS - INSTITUTO MUNICIPAL DE ATENCION SOCIAL,Sedes municipales,CON_048,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,CALLE SAN PEDRO ALCANTARA 5
25.0,CAMARA DE COMERCIO - VENTANILLA UNICA EMPRESARIAL,Sedes municipales,CON_008,http://www.ventanillaempresarial.org/opencms/opencms/es/oficinasVUE/Canarias/SantaCruzdeTenerife/index,PLAZA LA CANDELARIA 6
26.0,OFICINA DE ATENCION E INFORMACION CIUDADANA DE LA SALUD (OIAC),Sedes municipales,CON_006,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,CALLE TANAUSU 4
27.0,UTS DE LA SALUD,Sedes municipales,CON_053,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,CALLE TANAUSU 4
28.0,EMPRESA MUNICIPAL DE AGUAS (EMMASA),Sedes municipales,CON_025,http://www.emmasa.es/,CALLE COMODORO ROLIN 4A
29.0,OFICINA DE ATENCION E INFORMACION CIUDADANA DEL SOBRADILLO (OIAC),Sedes municipales,CON_010,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,AVENIDA LOS MAJUELOS 5
30.0,UTS DE BARRANCO GRANDE,Sedes municipales,CON_054,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,AVENIDA LOS MAJUELOS 5
31.0,COMISIÓN ESPECIAL DE SUGERENCIAS Y RECLAMACIONES (CESYR),Sedes municipales,CON_046,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,CALLE AFILARMONICA NIFU-NIFA 48
32.0,SEDE BANDA DE MÚSICA,Sedes municipales,CON_066,http://www.santacruzdetenerife.es/servicios-municipales/cultura/banda-municipal-de-musica/,AVENIDA SAN SEBASTIAN 156
33.0,ESCUELA MUNICIPAL DE MUSICA,Sedes municipales,CON_057,http://www.santacruzdetenerife.es/servicios-municipales/cultura/directorio-de-cultura/,PARQUE TIO PINO 1
34.0,AYUNTAMIENTO - PALACIO MUNICIPAL,Sedes municipales,CON_001,http://www.santacruzdetenerife.es/,CALLE VIERA Y CLAVIJO 46
35.0,DISTRITO DE ANAGA,Sedes municipales,CON_032,http://www.santacruzdetenerife.es/distritos/distrito-anaga/,AVENIDA PEDRO SCHWARTZ S/N
36.0,OFICINA DE ATENCION E INFORMACION CIUDADANA DE SAN ANDRES (OIAC),Sedes municipales,CON_011,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,PLAZA CONCEJAL ANTONIO COVA DOMINGUEZ 1
37.0,UTS DE SAN ANDRES,Sedes municipales,CON_055,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,PLAZA CONCEJAL ANTONIO COVA DOMINGUEZ 1
38.0,OFICINA DE ATENCION E INFORMACION CIUDADANA SEDE CENTRAL LA GRANJA (OAIC),Sedes municipales,CON_036,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,AVENIDA DE MADRID 2
39.0,OMIC - OFICINA MUNICIPAL DE INFORMACION AL CONSUMIDOR,Sedes municipales,CON_067,http://www.santacruzdetenerife.es/servicios-municipales/atencion-ciudadana/directorio-de-atencion-ciudadana/,AVENIDA DE MADRID 2
40.0,DISTRITO SALUD-LA SALLE,Sedes municipales,CON_068,http://www.santacruzdetenerife.es/distritos/distrito-salud-la-salle/,AVENIDA DE MADRID 2
41.0,CENTRO MUNICIPAL DE ACOGIDA (ALBERGUE),Sedes municipales,CON_015,http://www.santacruzdetenerife.es/servicios-municipales/atencion-social/directorio-de-atencion-social/,CALLE AZORIN 22
