Òrgan gestor,Núm. Expt.,Objecte , Import adjudicat ,Adjudicatari
DISTRICTE DE L'EIXAMPLE ,20172034,Auditoria del grau d'accessibilitat de les finques del barri de Sant Antoni ," 19.828,88 € ",BORDAS EDDY
DISTRICTE DE L'EIXAMPLE ,20172035,Estudi de les necessitats de la població d'entre 15 i 25 anys del barri de Sant Antoni," 7.000,00 € ","INNOVACION, TRANSFERENCIA"
DISTRICTE DE GRÀCIA ,20173155,Estudi de mobilitat del barri del Coll," 10.396,32 € ","CINESI, SLU"
"GERÈNCIA DE DRETS DE CIUTADANIA, PARTICIPACIÓ I TRANSPARÈNCIA ",531/17,Estudi per valorar el funcionament dels serveis de PIADs i SARA," 21.344,40 € ",OPS NEO SL
"GERÈNCIA DE DRETS DE CIUTADANIA, PARTICIPACIÓ I TRANSPARÈNCIA ",812/17,Informes xarxa escoles," 5.808,00 € ",ESCOLA SUPERIOR DE COMERC INTERNACI
"GERÈNCIA DE DRETS DE CIUTADANIA, PARTICIPACIÓ I TRANSPARÈNCIA ",941/17,Avaluació externa resultats projecte DIMO," 21.339,56 € ",FUNDACIO PER L'ACREDITACIO I EL DES
"GERÈNCIA DE DRETS DE CIUTADANIA, PARTICIPACIÓ I TRANSPARÈNCIA ",722/17,Mesures enfocament ddhh de polítiques públiques a l'espai públic," 14.520,00 € ",FERNANDEZ BESSA
"GERÈNCIA DE DRETS DE CIUTADANIA, PARTICIPACIÓ I TRANSPARÈNCIA ",864/17,Informe i nota conceptual sobre conferència CESDHC," 16.852,88 € ",INSTITUT DRETS HUMANS DE CATALUNYA
"GERÈNCIA DE DRETS DE CIUTADANIA, PARTICIPACIÓ I TRANSPARÈNCIA ",833/17,Estudi òrgans participació de Sant Andreu i Horta-Guinardó ," 14.725,70 € ",RAONS PUBLIQUES S.C.C.L.
GERÈNCIA DE DRETS SOCIALS,20170172,Suport tècnic i elaboració diversos informes del projecte BMINCOME," 21.494,92 € ",LAIN ESCANDELL
GERÈNCIA DE DRETS SOCIALS,20170190,Informe sobre l'impacte de les propostes del Consell de Benestar Social," 11.107,80 € ","HORES EXTRAORDINARIES, SL"
GERÈNCIA DE DRETS SOCIALS,20170207,Anàlisi propositiu atenció social bàsica malalts crònics i dependents," 11.579,70 € ","ESTRATEGIES QUALITAT URBANA, SL"
GERÈNCIA DE DRETS SOCIALS,20170261,Elaboració de document base i suport al Consell Assessor de Salut Laboral," 19.965,00 € ",MOMENTUM LAB S.L
GERÈNCIA D'ECOLOGIA URBANA  ,20170493,Estudi d'alternatives tipològiques per al Pla Futur de Can Peguera," 21.175,00 € ",BACH TRIADO
GERÈNCIA D'ECOLOGIA URBANA  ,20170432,Estudi de revisió dels controls dels serveis de neteja," 2.178,00 € ",UNIVERSIDAD AUTONOMA BARCELONA
GERÈNCIA D'ECOLOGIA URBANA  ,20170433,Informe gestió dels residus a Barcelona 2016," 8.439,75 € ",ANTONIO PARIS LOPEZ
GERÈNCIA D'ECOLOGIA URBANA  ,20170494,Estudi papallones verd urbà i propostes millora," 20.570,00 € ",CENTRO DE INVESTIGACIÓN ECOLÓGICA
GERÈNCIA D'ECOLOGIA URBANA  ,20170358,Estudi impacte economia col.laborativa en mobilitat," 21.719,50 € ",IDEEM INNOVA S.L.
,,,,
GERÈNCIA DE PRESIDÈNCIA I ECONOMIA,2017/518,Projecte de recerca sobre experiències innovadores," 21.175,00 € ",CARLES PI I SUNYER D'ESTUDISAU
GERÈNCIA DE PRESIDÈNCIA I ECONOMIA,2017/579,Estudi sobre remunicipalitzacions en municipis de més de 50.000 habs.," 13.624,60 € ",CARLES PI I SUNYER D'ESTUDISAU
GERÈNCIA DE PRESIDÈNCIA I ECONOMIA,2017/567,Estudi viabilitat revocació concessions demanials," 10.890,00 € ","ALBIÑANA Y SUAREZ DE LEZO, SLP"
GERÈNCIA DE PRESIDÈNCIA I ECONOMIA,2017/598,Indicadors econòmics i socials per a l'Observatori de Barcelona," 7.211,60 € ",CAMBRA OFIC COMERÇ IND. I NAVEGACIÓ
GERÈNCIA DE PRESIDÈNCIA I ECONOMIA,2017/590,Informe sobre el finançament de les gran ciutats," 21.758,89 € ",CARLES PI I SUNYER D'ESTUDISAU
GERÈNCIA DE PRESIDÈNCIA I ECONOMIA,2017/555,Informe sobre regulació de la integritat en contratació pública," 16.335,00 € ",FUNDACIO UNIVERSITAT OBERTA DE CATA
GERÈNCIA DE PRESIDÈNCIA I ECONOMIA,2017/597,Pla estratègic de la direcció de patrimoni," 8.107,00 € ","MOLAS I BEYKIRCH, SL"
INSTITUT MUNICIPAL DEL PAISATGE URBÀ i LA QUALITAT DE VIDA,2017/036,Estudi previ per la elaboració del catàleg per a la redacció de la Carta de Paisatge de Barcelona," 10.829,50 € ",ANNA RENAU PERMANYER
PATRONAT MUNICIPAL DE L'HABITATGE,003/17,Elaboració pla pilot allotjament transitori a Barcelona," 19.701,00 € ","STRADDLE3 CONSTRUCTORES, SL"
INSTITUT MUNICIPAL DE PARCS I JARDINS,17/0112,Estudi per a l'avaluació i millora de processos del Departament de Concessions i Permisos," 20.328,00 € ","PANORAM 2006, S.L."
INSTITUT MUNICIPAL DE PARCS I JARDINS,17/0134,Estudi d'avaluació del control del tigre del plàtan amb nematodes entomopatògens (NEP) (50%)," 10.859,75 € ",UNIVERSITAT DE LLEIDA -DEPARTAMENT DE PRODUCCIÓ VEGETAL I CIÈNCIA FORESTAL
INSTITUT DE CULTURA DE BARCELONA,C170000813,Estudi de públics pel Festival Grec," 9.619,50 € ","TEKNECULTURA GESTIO, S.L."
INSTITUT DE CULTURA DE BARCELONA,C170001314,Estudi impacte econòmic IVA," 7.701,41 € ",AUDICONSULTORES
INSTITUT DE CULTURA DE BARCELONA,C170001177,Informe d'indicadors de Centre Cívics," 3.146,00 € ","ARDERIU RENAU, EDUARD"
INSTITUT DE CULTURA DE BARCELONA,C170001488,Memòries instal·lacions Centres Cívics," 14.725,70 € ",CROQUIS DISSENY MUNTATGES  I REALIT
"BARCELONA CICLE DE L'AIGUA, SA",EXP17-0114,Estudi històric recent amb sensor d'alta resolució Terra SAR-x," 18.000,00 € ","TRE ALTAMIRA, S.L."
"BARCELONA DE SERVEIS MUNICIPALS, SA",P16010213,Valoració de la comparativa de les eines de gestió TIC (Tecnologies de la Informació i la Comunicació)," 13.108,80 € ",EVERIS
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17005070,"Definició, desenvolupament, implantació i posta en marxa del Pla Tecnològic de BSM"," 5.183,44 € ",POLTOX IBERICA
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17003371,Enquestes vinculades a l’informe aforaments del Park Güell - Primavera 2017," 4.223,23 € ",DOYMO 
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17003664,Estudi Client invisible Aparcaments REGESA primer semestre 2017," 973,09 € ",DOYMO
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17005162,Estudi basat en en enquestes realitzades als xofers dels autocars de l'entorn de la Sagrada Familia. Primavera 2017.," 7.370,11 € ",DOYMO 
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17005579,Informe de resultats obtinguts de les accions de client invisible realitzades entorn a l’activitat del servei de grua de B:SM. Lot 1: Estudis de Client.," 1.781,12 € ",DOYMO 
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17002211,Estudi d’impacte acústic del Sot del Migdia," 2.200,00 € ",AXIOMA
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17002835,"Estudi per l'evaluació del volum existent d'indisciplina en l'estacionament fora plaça a la cliutat de Barcelona, per conèixer quin és el grau existent d'indisciplina i l'evolució del mateix. Lot 2: Treball de camp. Des de novembre de 2016 fins a octubre de 2017."," 6.590,00 € ",DOYMO 
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17003435,Estudi de sectors + ratios sectorials ," 3.375,00 € ",INFORMA D&B
"BARCELONA DE SERVEIS MUNICIPALS, SA",P16004758,Estudi que permeti predir el nivell de probabilitat de tenir espais lliures en cada àrea DUM de la ciutat de Barcelona.," 9.680,00 € ",BOSCH I GIMPERA 
