"Baixes per inscripció indeguda o caducitat per nacionalitat espanyola o estrangera",,,,,
"Any 2016",,,,,
,"Dte.","Barris","TOTAL","Espanyola","Estrangera"
,"BARCELONA",,33746,11613,22133
,1,"1. el Raval",3083,598,2485
,1,"2. el Barri Gòtic",1052,201,851
,1,"3. la Barceloneta",760,201,559
,1,"4. Sant Pere, Santa Caterina i la Ribera",1082,225,857
,2,"5. el Fort Pienc",681,221,460
,2,"6. la Sagrada Família",1154,395,759
,2,"7. la Dreta de l'Eixample",1003,309,694
,2,"8. l'Antiga Esquerra de l'Eixample",982,312,670
,2,"9. la Nova Esquerra de l'Eixample",1140,418,722
,2,"10. Sant Antoni",1045,344,701
,3,"11. el Poble Sec - AEI Parc Montjuïc",1433,425,1008
,3,"12. la Marina del Prat Vermell - AEI Zona Franca",17,13,4
,3,"13. la Marina de Port",547,218,329
,3,"14. la Font de la Guatlla",215,67,148
,3,"15. Hostafrancs",408,138,270
,3,"16. la Bordeta",297,119,178
,3,"17. Sants - Badal",439,147,292
,3,"18. Sants",876,295,581
,4,"19. les Corts",729,289,440
,4,"20. la Maternitat i Sant Ramon",354,138,216
,4,"21. Pedralbes",190,63,127
,5,"22. Vallvidrera, el Tibidabo i les Planes",52,26,26
,5,"23. Sarrià",341,117,224
,5,"24. les Tres Torres",166,91,75
,5,"25. Sant Gervasi - la Bonanova",367,182,185
,5,"26. Sant Gervasi - Galvany",649,308,341
,5,"27. el Putxet i el Farró",477,212,265
,6,"28. Vallcarca i els Penitents",263,100,163
,6,"29. el Coll",134,50,84
,6,"30. la Salut",215,84,131
,6,"31. la Vila de Gràcia",1143,337,806
,6,"32. el Camp d'en Grassot i Gràcia Nova",612,245,367
,7,"33. el Baix Guinardó",408,168,240
,7,"34. Can Baró",130,47,83
,7,"35. el Guinardó",623,269,354
,7,"36. la Font d'en Fargues",82,52,30
,7,"37. el Carmel",503,227,276
,7,"38. la Teixonera",159,71,88
,7,"39. Sant Genís dels Agudells",92,44,48
,7,"40. Montbau",84,36,48
,7,"41. la Vall d'Hebron",60,31,29
,7,"42. la Clota",19,4,15
,7,"43. Horta",440,154,286
,8,"44. Vilapicina i la Torre Llobeta",376,150,226
,8,"45. Porta",391,166,225
,8,"46. el Turó de la Peira",363,154,209
,8,"47. Can Peguera",22,16,6
,8,"48. la Guineueta",147,78,69
,8,"49. Canyelles",36,20,16
,8,"50. les Roquetes",360,144,216
,8,"51. Verdun",264,100,164
,8,"52. la Prosperitat",395,158,237
,8,"53. la Trinitat Nova",159,71,88
,8,"54. Torre Baró",49,29,20
,8,"55. Ciutat Meridiana",273,81,192
,8,"56. Vallbona",24,12,12
,9,"57. la Trinitat Vella",352,108,244
,9,"58. Baró de Viver",18,11,7
,9,"59. el Bon Pastor",199,81,118
,9,"60. Sant Andreu",521,291,230
,9,"61. la Sagrera",446,185,261
,9,"62. el Congrés i els Indians",227,81,146
,9,"63. Navas",329,138,191
,10,"64. el Camp de l'Arpa del Clot",727,293,434
,10,"65. el Clot",445,159,286
,10,"66. el Parc i la Llacuna del Poblenou",294,71,223
,10,"67. la Vila Olímpica del Poblenou",139,38,101
,10,"68. el Poblenou",674,228,446
,10,"69. Diagonal Mar i el Front Marítim del Poblenou",225,82,143
,10,"70. el Besòs i el Maresme",747,197,550
,10,"71. Provençals del Poblenou",316,130,186
,10,"72. Sant Martí de Provençals",296,141,155
,10,"73. la Verneda i la Pau",424,209,215
,,"No consta",2,0,2
