"Nacionalitats","BARCELONA","1. el Raval","2. el Barri 
Gòtic","3. la Barceloneta","4. Sant Pere, 
Santa Caterina 
i la Ribera","5. el Fort
Pienc","6. la Sagrada 
Família","7. la Dreta 
de l'Eixample","8. l'Antiga Esquerra 
de l'Eixample","9. la Nova Esquerra 
de l'Eixample","10. Sant Antoni","11. el Poble Sec -
AEI Parc Montjuïc","12. la Marina del Prat 
Vermell - AEI Zona Franca","13. la Marina 
de Port","14. la Font 
de la Guatlla","15. Hostafrancs","16. la Bordeta","17. Sants -
Badal","18. Sants","19. les Corts","20. la Maternitat 
i Sant Ramon","21. Pedralbes","22. Vallvidrera, 
el Tibidabo i
les Planes","23. Sarrià","24. les Tres Torres","25. Sant Gervasi -
la Bonanova","26. Sant Gervasi - 
Galvany","27. el Putxet
i el Farró","28. Vallcarca
i els Penitents","29. el Coll","30. la Salut","31. la Vila 
de Gràcia","32. el Camp d'en 
Grassot i Gràcia Nova","33. el Baix Guinardó","34. Can Baró","35. el Guinardó","36. la Font 
d'en Fargues","37. el Carmel","38. la Teixonera","39. Sant Genís
dels Agudells","40. Montbau","41. la Vall 
d'Hebron","42. la Clota","43. Horta","44. Vilapicina i 
la Torre Llobeta","45. Porta","46. el Turó 
de la Peira","47. Can Peguera","48. la Guineueta","49. Canyelles","50. les Roquetes","51. Verdun","52. la Prosperitat","53. la Trinitat Nova","54. Torre Baró","55. Ciutat 
Meridiana","56. Vallbona","57. la Trinitat Vella","58. Baró de Viver","59. el Bon Pastor","60. Sant Andreu","61. la Sagrera","62. el Congrés
i els Indians","63. Navas","64. el Camp de 
l'Arpa del Clot","65. el Clot","66. el Parc i la Llacuna
 del Poblenou","67. la Vila Olímpica 
del Poblenou","68. el Poblenou","69. Diagonal Mar i 
el Front Marítim 
del Poblenou","70. el Besòs i 
el Maresme","71. Provençals 
del Poblenou","72. Sant Martí 
de Provençals","73. la Verneda 
i la Pau","No consta"
"Filipines",167,49,7,0,12,1,3,2,6,3,6,24,0,14,0,5,2,4,5,1,3,0,0,0,0,1,3,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"Portugal",163,7,0,3,4,6,2,5,8,11,4,3,0,3,1,3,1,0,9,7,2,1,0,1,0,0,6,1,1,0,1,7,4,1,0,2,0,7,0,0,2,6,0,3,0,2,1,0,0,0,3,2,1,0,0,2,0,2,0,0,1,1,1,0,2,3,3,2,0,2,6,5,1,1,0
"Geòrgia",149,5,2,0,1,2,1,0,3,5,1,6,0,1,2,1,4,8,7,1,1,3,0,1,1,3,1,1,0,0,3,0,2,2,1,8,0,3,0,0,0,1,0,2,3,4,7,0,0,1,1,1,2,6,0,1,0,2,1,0,7,6,2,0,7,1,2,0,2,0,2,0,4,4,0
"Bangladesh",147,96,3,1,3,3,0,0,0,3,8,9,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0
"Mèxic",143,5,6,2,3,5,7,8,14,5,4,2,0,1,4,0,5,2,8,5,3,0,0,2,1,0,4,1,1,0,0,5,4,1,0,2,0,0,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,4,6,2,1,1,2,1,1,1,1,0
"Cuba",142,6,1,5,2,4,4,5,7,5,12,2,0,6,2,0,3,2,6,2,3,0,0,0,0,1,3,0,2,0,0,3,2,2,0,2,0,1,0,0,0,1,0,3,0,2,1,0,4,0,0,1,2,2,0,0,1,2,0,1,4,1,2,2,3,4,4,0,3,0,2,3,0,1,0
"Estats Units, els",137,3,11,4,4,6,3,9,2,5,3,1,0,1,0,3,2,1,1,4,0,1,0,4,3,3,5,4,1,0,2,8,1,5,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,3,0,0,0,20,0,0
"Xile",137,9,1,2,2,3,5,6,7,7,3,3,0,1,1,2,2,5,3,2,2,0,0,2,0,4,0,6,1,2,1,3,8,1,0,2,0,1,0,1,1,0,0,0,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,2,1,2,1,7,4,5,1,0,3,1,1,1,1,1,0
"Polònia",119,6,3,1,3,0,2,5,0,4,2,6,0,6,0,0,0,6,3,1,2,0,0,2,0,0,2,7,1,1,0,8,1,1,1,5,1,6,1,0,0,0,0,2,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,4,4,2,3,0,3,0
"Països Baixos",115,5,2,8,5,3,2,5,1,3,4,6,0,0,0,3,0,1,1,0,0,3,1,2,0,2,3,1,0,0,0,10,5,2,0,3,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,3,0,2,0,1,8,1,4,0,0,2,1,1,0
"Nepal",99,11,1,5,1,5,9,0,7,0,2,7,0,0,1,3,0,7,1,1,1,0,0,0,0,2,0,0,0,0,0,4,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0
"El Salvador",92,5,0,1,0,1,1,2,4,0,1,1,0,1,1,2,2,2,1,3,2,4,1,1,0,0,1,2,0,0,0,3,0,0,0,5,0,6,2,0,0,0,0,2,2,1,1,0,0,0,1,3,4,1,0,1,0,0,0,0,7,1,1,0,0,0,0,0,2,0,4,6,0,0,0
"Uruguai",86,4,0,2,0,0,2,4,1,2,4,1,0,2,0,5,0,3,5,0,0,0,3,0,2,0,1,1,0,0,1,2,2,1,0,0,0,1,0,2,1,0,0,1,1,1,1,0,1,0,2,1,2,0,0,1,0,0,0,0,1,4,1,3,4,1,0,0,4,0,0,0,4,1,0
"Armènia",79,0,1,1,0,1,1,3,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,3,1,0,0,0,0,2,3,0,0,0,2,2,4,0,0,0,0,5,3,5,1,0,4,0,1,1,11,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,1,1,0,2,6,0
"Bulgària",78,3,1,4,1,0,2,0,4,2,0,1,0,2,4,3,0,0,2,3,2,1,0,1,0,0,0,1,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,2,5,1,7,0,0,1,0
"Bèlgica",72,5,4,5,1,0,4,4,3,3,3,2,0,0,0,1,0,1,1,1,0,0,0,1,3,2,6,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,0,0,0,1,1,0,1,1,0,0
"Algèria",71,7,1,2,5,0,3,1,2,2,0,2,0,1,0,1,1,1,1,1,0,2,0,1,0,0,0,5,0,0,2,1,1,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,5,1,5,0,0
"Japó",65,3,0,0,2,3,2,1,2,1,1,1,0,0,0,0,0,1,1,17,3,1,0,4,8,2,1,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Senegal",61,4,3,0,8,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,0,3,0,3,3,0,6,0,6,0,0,6,0
"Suècia",58,3,2,4,4,1,3,4,2,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,0,2,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,4,0,0,0
"Nicaragua",58,0,0,1,0,3,1,1,5,1,0,0,0,4,2,0,0,1,0,1,1,0,0,1,0,2,3,3,1,0,1,1,0,0,0,2,0,3,0,0,0,0,0,4,3,1,1,0,1,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0
"Suïssa",40,2,1,1,1,0,1,1,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,2,0,0
"Nigèria",39,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,0,2,2,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
"Ghana",37,0,1,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,11,0,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"Guinea",37,0,0,0,1,0,1,0,0,1,0,2,0,2,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,7,1,0,1,0,2,0,0,0,0,0,2,1,0,0,0
"Irlanda",34,4,0,1,0,1,1,6,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,3,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Txèquia",34,0,1,1,2,2,2,0,1,1,1,1,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
"Iran",32,0,1,0,2,1,1,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,2,1,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hongria",30,1,1,1,2,0,3,2,1,1,0,2,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"Síria",28,7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Turquia",26,0,1,1,0,3,3,0,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0
"Moldàvia",25,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,1,0,1,2,0
"Belarús",25,1,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,1,0,0
"Canadà",23,2,2,1,1,1,0,0,0,1,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Corea del Sud",23,1,0,0,1,0,1,1,3,2,2,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Finlàndia",22,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0
"Grècia",20,2,1,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
"Àustria",19,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"Costa Rica",18,3,0,0,0,1,0,0,1,1,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lituània",17,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Gàmbia",17,2,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
"Albània",16,0,2,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0
"Guinea Equatorial",16,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Guatemala",16,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dinamarca",15,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Andorra",15,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Austràlia",15,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Letònia",14,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Estònia",14,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sèrbia",13,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"Egipte",13,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0
"Camerun",12,4,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Iraq, l'",12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
"Eslovènia",11,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",11,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eslovàquia",10,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tailàndia",10,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Líban",9,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Territoris Palestins [o Palestina]",9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Noruega",8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Líbia",8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
