Dte.,Barri,Total,"Fins a
15 anys","De 16 a
44 anys","De 45 a
64 anys","De 65 a
74 anys","75 anys 
i més","No
consta"
1,"1. el Raval",4.081,97,609,1.495,782,1.098,3
1,"2. el Barri Gòtic",1.420,16,175,490,276,463,2
1,"3. la Barceloneta",1.510,21,226,562,304,397,0
1,"4. Sant Pere, Santa Caterina i la Ribera",1.774,26,269,547,374,558,0
2,"5. el Fort Pienc",2.296,62,273,636,481,844,0
2,"6. la Sagrada Família",4.214,85,482,1.185,838,1.624,1
2,"7. la Dreta de l'Eixample",3.343,68,325,855,633,1.462,4
2,"8. l'Antiga Esquerra de l'Eixample",3.208,58,289,844,620,1.397,2
2,"9. la Nova Esquerra de l'Eixample",4.851,84,551,1.354,1.004,1.858,4
2,"10. Sant Antoni",3.348,60,366,916,649,1.357,3
3,"11. el Poble Sec - AEI Parc Montjuïc",3.504,93,483,1.130,692,1.106,1
3,"12. la Marina del Prat Vermell - AEI Zona Franca",214,2,66,78,25,43,0
3,"13. la Marina de Port",3.482,73,489,1.184,711,1.025,1
3,"14. la Font de la Guatlla",1.182,17,214,358,261,332,0
3,"15. Hostafrancs",1.375,20,185,460,283,427,0
3,"16. la Bordeta",1.682,33,201,533,371,544,0
3,"17. Sants - Badal",2.003,38,254,620,427,664,1
3,"18. Sants",3.357,63,454,998,636,1.206,2
4,"19. les Corts",3.507,71,369,905,786,1.376,0
4,"20. la Maternitat i Sant Ramon",2.011,31,193,526,433,828,0
4,"21. Pedralbes",733,12,96,148,139,338,0
5,"22. Vallvidrera, el Tibidabo i les Planes",259,14,47,73,51,74,0
5,"23. Sarrià",1.410,37,169,341,240,623,4
5,"24. les Tres Torres",787,25,93,178,146,345,1
5,"25. Sant Gervasi - la Bonanova",1.648,41,175,400,276,756,11
5,"26. Sant Gervasi - Galvany",2.748,55,293,624,463,1.313,4
5,"27. el Putxet i el Farró",1.782,43,213,475,349,702,0
6,"28. Vallcarca i els Penitents",1.188,24,162,342,231,429,0
6,"29. el Coll",665,10,97,202,143,213,0
6,"30. la Salut",1.176,42,193,317,214,410,0
6,"31. la Vila de Gràcia",3.832,70,465,1.176,694,1.427,1
6,"32. el Camp d'en Grassot i Gràcia Nova",2.697,57,292,739,567,1.042,4
7,"33. el Baix Guinardó",2.039,43,221,598,399,778,0
7,"34. Can Baró",761,19,106,238,143,255,0
7,"35. el Guinardó",2.868,75,354,833,581,1.025,5
7,"36. la Font d'en Fargues",726,16,102,192,174,242,0
7,"37. el Carmel",3.142,82,495,986,773,806,0
7,"38. la Teixonera",1.046,28,146,341,241,290,0
7,"39. Sant Genís dels Agudells",646,19,70,167,135,255,0
7,"40. Montbau",606,10,64,136,82,314,1
7,"41. la Vall d'Hebron",458,9,68,126,97,158,0
7,"42. la Clota",42,1,8,12,5,16,0
7,"43. Horta",2.373,54,342,720,518,739,2
8,"44. Vilapicina i la Torre Llobeta",2.322,52,275,617,460,918,2
8,"45. Porta",2.478,55,298,682,542,901,1
8,"46. el Turó de la Peira",1.561,29,149,476,185,722,0
8,"47. Can Peguera",341,8,64,131,45,93,0
8,"48. la Guineueta",1.841,34,212,517,392,686,0
8,"49. Canyelles",909,10,127,330,217,225,1
8,"50. les Roquetes",1.655,35,279,604,347,390,0
8,"51. Verdun",1.323,33,169,429,281,411,2
8,"52. la Prosperitat",2.523,41,323,724,622,813,0
8,"53. la Trinitat Nova",894,26,135,364,128,241,1
8,"54. Torre Baró",385,14,97,144,55,75,0
8,"55. Ciutat Meridiana",1.126,27,200,374,279,246,1
8,"56. Vallbona",201,5,43,73,25,55,1
9,"57. la Trinitat Vella",855,49,154,320,167,165,0
9,"58. Baró de Viver",348,16,88,137,48,59,0
9,"59. el Bon Pastor",1.196,50,212,405,258,271,0
9,"60. Sant Andreu",4.934,113,671,1.496,1.019,1.635,2
9,"61. la Sagrera",2.533,65,347,806,521,794,0
9,"62. el Congrés i els Indians",1.349,36,155,377,206,575,1
9,"63. Navas",1.881,34,234,538,382,693,0
10,"64. el Camp de l'Arpa del Clot",3.200,73,405,1.000,697,1.025,0
10,"65. el Clot",2.051,63,290,720,389,589,0
10,"66. el Parc i la Llacuna del Poblenou",1.332,34,208,488,248,354,1
10,"67. la Vila Olímpica del Poblenou",443,30,74,147,82,110,0
10,"68. el Poblenou",2.415,90,301,779,429,816,1
10,"69. Diagonal Mar i el Front Marítim del Poblenou",756,38,119,226,152,221,0
10,"70. el Besòs i el Maresme",2.180,83,345,808,296,648,0
10,"71. Provençals del Poblenou",1.625,40,245,572,295,473,0
10,"72. Sant Martí de Provençals",2.623,51,307,764,542,959,0
10,"73. la Verneda i la Pau",3.133,60,431,883,725,1.034,0
,"No consta",223,4,34,60,38,87,4
