"Baixes per inscripció indeguda o caducitat per nacionalitats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nacionalitats","BARCELONA","1. el Raval","2. el Barri 
Gòtic","3. la Barceloneta","4. Sant Pere, 
Santa Caterina 
i la Ribera","5. el Fort
Pienc","6. la Sagrada 
Família","7. la Dreta 
de l'Eixample","8. l'Antiga Esquerra 
de l'Eixample","9. la Nova Esquerra 
de l'Eixample","10. Sant Antoni","11. el Poble Sec -
AEI Parc Montjuïc","12. la Marina del Prat 
Vermell - AEI Zona Franca","13. la Marina 
de Port","14. la Font 
de la Guatlla","15. Hostafrancs","16. la Bordeta","17. Sants -
Badal","18. Sants","19. les Corts","20. la Maternitat 
i Sant Ramon","21. Pedralbes","22. Vallvidrera, 
el Tibidabo i
les Planes","23. Sarrià","24. les Tres Torres","25. Sant Gervasi -
la Bonanova","26. Sant Gervasi - 
Galvany","27. el Putxet
i el Farró","28. Vallcarca
i els Penitents","29. el Coll","30. la Salut","31. la Vila 
de Gràcia","32. el Camp d'en 
Grassot i Gràcia Nova","33. el Baix Guinardó","34. Can Baró","35. el Guinardó","36. la Font 
d'en Fargues","37. el Carmel","38. la Teixonera","39. Sant Genís
dels Agudells","40. Montbau","41. la Vall 
d'Hebron","42. la Clota","43. Horta","44. Vilapicina i 
la Torre Llobeta","45. Porta","46. el Turó 
de la Peira","47. Can Peguera","48. la Guineueta","49. Canyelles","50. les Roquetes","51. Verdun","52. la Prosperitat","53. la Trinitat Nova","54. Torre Baró","55. Ciutat 
Meridiana","56. Vallbona","57. la Trinitat Vella","58. Baró de Viver","59. el Bon Pastor","60. Sant Andreu","61. la Sagrera","62. el Congrés
i els Indians","63. Navas","64. el Camp de 
l'Arpa del Clot","65. el Clot","66. el Parc i la Llacuna
 del Poblenou","67. la Vila Olímpica 
del Poblenou","68. el Poblenou","69. Diagonal Mar i 
el Front Marítim 
del Poblenou","70. el Besòs i 
el Maresme","71. Provençals 
del Poblenou","72. Sant Martí 
de Provençals","73. la Verneda 
i la Pau","No consta"
,"TOTAL",33746,3083,1052,760,1082,681,1154,1003,982,1140,1045,1433,17,547,215,408,297,439,876,729,354,190,52,341,166,367,649,477,263,134,215,1143,612,408,130,623,82,503,159,92,84,60,19,440,376,391,363,22,147,36,360,264,395,159,49,273,24,352,18,199,521,446,227,329,727,445,294,139,674,225,747,316,296,424,2
,"Espanya",11613,598,201,201,225,221,395,309,312,418,344,425,13,218,67,138,119,147,295,289,138,63,26,117,91,182,308,212,100,50,84,337,245,168,47,269,52,227,71,44,36,31,4,154,150,166,154,16,78,20,144,100,158,71,29,81,12,108,11,81,291,185,81,138,293,159,71,38,228,82,197,130,141,209,0
,"Itàlia",2471,177,132,104,138,82,104,98,103,91,105,115,0,15,18,18,20,14,61,61,27,22,6,26,2,28,41,36,31,18,33,154,57,37,9,40,2,27,10,9,1,0,0,23,10,7,4,0,9,0,3,3,8,2,0,2,0,6,0,4,10,14,9,15,45,24,43,22,73,13,16,14,7,12,1
,"Pakistan",2244,682,91,42,56,7,22,7,18,17,62,238,0,39,6,29,15,25,56,10,3,5,0,7,0,1,1,3,2,7,5,22,7,12,5,12,1,20,6,3,1,0,12,8,4,6,32,0,1,0,26,13,28,14,1,19,1,91,1,28,15,5,2,6,28,7,12,0,32,1,265,14,5,22,0
,"França",1277,72,80,28,85,34,57,58,59,50,41,47,0,4,16,15,6,10,23,28,14,31,2,40,11,22,40,23,16,1,11,73,35,10,4,18,4,7,2,0,5,1,0,9,8,4,1,0,0,0,2,1,4,1,0,2,0,1,0,0,9,9,4,9,26,14,12,14,30,15,3,10,1,5,0
,"Xina",1051,21,8,4,20,45,57,50,39,66,63,35,0,19,7,18,12,18,50,35,4,4,0,9,2,14,2,9,6,1,2,20,14,16,3,14,0,5,0,0,1,2,0,5,22,6,4,0,3,0,1,33,10,4,2,1,0,3,0,3,23,17,16,16,22,26,15,1,17,12,31,13,14,36,0
,"Marroc, el",902,127,35,27,35,21,18,12,1,25,17,65,0,21,3,8,5,10,29,5,2,1,0,4,1,5,5,12,6,6,3,13,8,5,2,10,4,17,1,2,2,0,0,22,11,11,5,3,1,2,15,1,19,10,2,13,3,34,0,5,8,5,4,13,31,24,11,0,15,6,24,19,8,4,0
,"Colòmbia",731,27,21,10,15,9,55,35,28,31,19,25,0,17,8,15,11,5,20,16,12,2,0,7,0,9,18,5,4,1,1,25,14,6,2,21,3,4,5,4,1,5,1,7,12,11,10,0,4,2,3,3,10,3,3,4,0,4,0,10,14,17,4,8,26,13,7,3,5,1,11,6,5,8,0
,"Regne Unit",725,68,44,33,64,20,23,47,47,19,19,35,0,2,2,6,6,8,10,8,4,6,2,12,7,7,13,14,7,1,5,56,13,10,2,5,0,1,0,0,0,2,0,2,1,1,1,1,1,0,3,2,2,1,0,0,0,2,0,1,2,4,1,2,13,10,6,6,20,6,2,3,2,1,1
,"Romania",708,50,13,13,9,18,12,15,8,14,11,38,0,11,3,13,5,21,21,23,5,4,0,3,0,3,7,14,1,3,6,18,6,9,7,14,3,10,8,0,2,0,0,41,13,11,3,0,8,2,15,16,7,3,1,13,0,13,0,5,11,14,12,6,11,5,6,2,16,6,15,10,12,10,0
