"Tipus indicador",Indicador,Fórmula,"Indicador ITA",Unitat,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Observacions
"INDICADORS RELATIUS A L'ENDEUTAMENT","Endeutament per habitant ","Deute viu a 31 de desembre / nº d'habitants","No ITA","Euros per habitant","720,8","660,9","581,7","476,6","462,6","741,1","674,8","718,8","683,3","606,4","520,8",
"INDICADORS RELATIUS A L'ENDEUTAMENT","Evolució temporal del deute","Deute viu a 31 de desembre",45,"Milions d'euros","1.148,40","1.061,20","927,8","770,1","750,1","1.200,10","1.090,10","1.165,10","1.101,40","971,7","835,7",
"INDICADORS RELATIUS A L'ENDEUTAMENT","Capacitat de retorn del deute amb ingressos corrents (en termes SEC)","Deute viu a 31 de desembre / Drets reconeguts (capítols 1 a 5) (en termes SEC)","No ITA",%,"62,60%","53,80%","41,10%","33,70%","33,60%","58,80%","57,90%","52,10%","46,70%","38,60%","32,80%",
"INDICADORS RELATIUS A L'ENDEUTAMENT","Cost mitjà del deute","Interessos meritats / saldo (deute) mig disposat","No ITA",%,"3,00%","3,20%","3,80%","4,10%","3,30%","2,80%","2,90%","2,90%","2,80%","2,90%","2,50%",
"INDICADORS RELATIUS A L'ENDEUTAMENT","Vida mitjana del deute","Saldo (deute) x dies acumulat / Saldo viu (deute) / 365","No ITA",Anys,6,"5,4","5,9","4,5","5,8","5,9","5,4","5,2","4,6","4,2","5,5",
"INDICADORS RELATIUS A L'ENDEUTAMENT","Endeutament relatiu","Deute viu a 31 de desembre / Drets reconeguts (capítols 1 a 9)","No ITA",%,"55,50%","48,70%","38,90%","32,40%","27,50%","40,30%","45,60%","46,30%","44,10%","36,50%","29,90%",
"INDICADORS D'OPERACIONS CORRENTS","Ingressos corrents per habitant","Drets reconeguts nets (capítols 1 a 5) / nº d'habitants","No ITA","Euros per habitant","1.208,50","1.287,50","1.465,80","1.444,90","1.436,10","1.379,30","1.416,30","1.427,20","1.507,90","1.629,40","1.615,30",
"INDICADORS D'OPERACIONS CORRENTS","Ingressos fiscals per habitant","Drets reconeguts nets (capítols 1 a 3) / nº d'habitants",40,"Euros per habitant","678,4","711,8","760,1","739,8","726,8","765,9",771,"778,8","806,9","837,4","872,9",
"INDICADORS D'OPERACIONS CORRENTS","Despeses corrents per habitant","Obligacions reconegudes (capítols 1 a 5) / nº d'habitants","No ITA","Euros per habitant","813,3","862,5","945,8","1.008,90","1.069,10","1.095,20","1.108,00","1.115,40","1.140,60","1.176,70","1.264,00",
"INDICADORS D'OPERACIONS CORRENTS","Despeses financeres (interessos) per habitant","Obligacions reconegudes (capítol 3) / nº d'habitants","No ITA","Euros per habitant","26,4",22,"22,3","17,7","16,2",13,21,20,"20,7","18,5","14,6",
"INDICADORS D'OPERACIONS CORRENTS","Pes relatiu de les despeses financeres","Obligacions reconegudes (capítol 3) / Drets reconeguts (capítols 1 a 5)","No ITA",%,"2,20%","1,70%","1,50%","1,20%","1,10%","0,90%","1,50%","1,40%","1,40%","1,10%","0,90%",
"INDICADORS D'OPERACIONS CORRENTS","% d'estalvi corrent envers els ingressos corrents","Drets reconeguts nets(capítols 1 a 5) - Obligacions reconegudes (capítols 1 a 5) / Drets reconeguts (capítols 1 a 5)","No ITA",%,"32,70%","33,00%","35,50%","30,20%","25,60%","20,60%","21,80%","21,80%","24,40%","27,80%","21,70%",
"INDICADORS D'OPERACIONS CORRENTS","% d'estalvi corrent envers els ingressos corrents (en termes SEC)","(Ingressos corrents SEC - Despeses corrents SEC) / Ingressos corrents SEC","No ITA",%,"29,40%","29,80%","33,20%","28,50%","22,50%","13,10%","5,10%","19,10%","19,80%","25,10%","19,70%",
"INDICADORS D'OPERACIONS DE CAPITAL","Inversió (operacions de capital) per habitant","Obligacions reconegudes (capítols 6 i 7) / nº d'habitants",42,"Euros per habitant","287,2","333,8","363,1","375,7","537,2","452,9","328,8","263,2","207,3","382,7","279,8",
"INDICADORS D'OPERACIONS DE CAPITAL","Inversió directa per habitant*","Obligacions reconegudes (capítol 6) / nº d'habitants",63,"Euros per habitant","60,2",94,"125,3","111,6",286,"181,2","111,2","243,3","193,4","283,8","247,3","*El criteri d'imputació de les despeses de capítol 6 ha patit una variació al llarg del temps, on s'ha tendit a passar d'imputar del capítol 7 al capítol 6 els encàrrecs d'inversió a les entitats dependents. "
"INDICADORS D'OPERACIONS DE CAPITAL","Esforç inversor","bligacions reconegudes (capítols 6 i 7) / Obligacions reconegudes totals","No ITA",%,"23,90%","26,70%","26,00%","25,20%","32,00%","28,00%","21,60%","18,30%","14,60%","23,20%","16,10%",
"INDICADORS D'OPERACIONS DE CAPITAL","% d'ingressos derivats de l'urbanisme envers el pressupost total d'ingressos","Drets reconeguts nets(ICIO, llicències urbanístiques i d'obres, taxes d'informes, planols i certificats urbanistics, costos d'urbanització, reparcel·lacions, càrregues urbanístiques i  cessió d'aprofitament urbanístic ) / Drets reconeguts (capítols 1 a 9)",64,%,"2,50%","2,90%","4,00%","3,00%","1,30%","1,30%","1,20%","1,40%","1,20%","1,10%","1,00%",
"INDICADORS D'OPERACIONS DE CAPITAL","% de despeses derivades de l'urbanisme envers el pressupost total de despeses*","Obligacions reconegudes (grup de programa ""Urbanisme"") / obligacions reconegudes (capítols 1 a 9) [*El criteri d'imputació als programes relacionats amb l'urbanisme sobreestima aquest import. A partir de 2012 es canviar el criteri d'assignació de recursos a programes.]","No ITA",%,"23,10%","23,80%","23,20%","25,20%","25,40%","19,80%","15,50%","14,40%","11,20%","11,30%","10,20%","*El criteri d'imputació als programes relacionats amb l'urbanisme sobreestima aquest import. A partir de 2012 es canviar el criteri d'assignació de recursos a programes."
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució del pressupost d'ingressos","Drets reconeguts nets / Previsions definitives totals","No ITA",%,"103,80%","102,60%","101,30%","93,70%","95,50%","100,10%","91,10%","99,50%","106,40%","98,50%","98,50%",
