Capítol,"Text Capítol",Article,"Text Article",Concepte,"Text Concepte",Subconcepte,"Text Subconcepte",Orgànic,"Text Orgànic",Àrees,"Text Àrees",Política,"Text Política","Grup de programes","Text Grup de programes",Programes,"Text Programes",Subprogrames,"Text Subprogrames","CRÉDIT INICIAL"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",100,"RET.BASIQUES I ALTRES ÒRGANS GOVERN",10000,"Retribucions bàsiques òrgans govern",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9121,"Òrgans de govern",91211,"Representacio política","3.190.432,34"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9121,"Òrgans de govern",91211,"Representacio política","565.359,92"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9121,"Òrgans de govern",91212,"Direcció tècnica de premsa","145.885,32"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9122,"Relacions institucionals",91222,Protocol,"69.805,20"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9201,"Direcció i administració generals",92011,"Administració general","634.482,48"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9201,"Direcció i administració generals",92012,"Serveis editorials","67.898,84"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9201,"Direcció i administració generals",92014,"Serveis jurídics","163.466,84"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9201,"Direcció i administració generals",92016,"Direcció administrativa gabinet d'alcald","85.942,64"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9202,"Defensa drets-llibertats públiques dels ciutadans",92021,"Sindicatura de Greuges","49.493,56"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIR",10100,"Retribucions bàsiques personal directiu",0101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9203,"Arxiu i biblioteca municipal",92032,"Sistema d'arxius","64.158,63"
