Dte,Barris,Edificis,Immobles
BARCELONA,,70.717,857.862
1,"1. el Raval",1.851,22.876
1,"2. el Barri Gòtic",1.106,11.062
1,"3. la Barceloneta",1.160,9.226
1,"4. Sant Pere, Santa Caterina i la Ribera",1.492,15.419
2,"5. el Fort Pienc",611,16.426
2,"6. la Sagrada Família",1.533,29.907
2,"7. la Dreta de l'Eixample",1.896,31.758
2,"8. l'Antiga Esquerra de l'Eixample",1.518,28.259
2,"9. la Nova Esquerra de l'Eixample",1.283,33.142
2,"10. Sant Antoni",1.135,22.745
3,"11. el Poble Sec - AEI Parc Montjuïc",1.583,20.883
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",110,588
3,"13. la Marina de Port",514,13.617
3,"14. la Font de la Guatlla",348,5.166
3,"15. Hostafrancs",727,8.755
3,"16. la Bordeta",493,9.233
3,"17. Sants - Badal",944,12.728
3,"18. Sants",2.287,23.482
4,"19. les Corts",1.256,24.865
4,"20. la Maternitat i Sant Ramon",598,12.152
4,"21. Pedralbes",622,5.383
5,"22. Vallvidrera, el Tibidabo i les Planes",1.105,1.539
5,"23. Sarrià",2.034,12.184
5,"24. les Tres Torres",631,6.999
5,"25. Sant Gervasi - la Bonanova",1.310,12.981
5,"26. Sant Gervasi - Galvany",1.836,28.246
5,"27. el Putxet i el Farró",1.490,16.977
6,"28. Vallcarca i els Penitents",1.285,8.308
6,"29. el Coll",574,3.820
6,"30. la Salut",545,6.397
6,"31. la Vila de Gràcia",3.934,34.541
6,"32. el Camp d'en Grassot i Gràcia Nova",1.181,18.990
7,"33. el Baix Guinardó",740,13.396
7,"34. Can Baró",674,4.894
7,"35. el Guinardó",2.064,19.715
7,"36. la Font d'en Fargues",1.019,4.490
7,"37. el Carmel",1.791,15.574
7,"38. la Teixonera",759,5.800
7,"39. Sant Genís dels Agudells",333,3.369
7,"40. Montbau",274,2.636
7,"41. la Vall d'Hebron",93,2.553
7,"42. la Clota",140,231
7,"43. Horta",2.106,12.913
8,"44. Vilapicina i la Torre Llobeta",1.086,13.094
8,"45. Porta",817,12.130
8,"46. el Turó de la Peira",363,7.473
8,"47. Can Peguera",674,1.295
8,"48. la Guineueta",293,7.029
8,"49. Canyelles",79,3.076
8,"50. les Roquetes",926,6.973
8,"51. Verdun",601,6.302
8,"52. la Prosperitat",1.159,12.948
8,"53. la Trinitat Nova",214,3.133
8,"54. Torre Baró",488,839
8,"55. Ciutat Meridiana",253,4.038
8,"56. Vallbona",159,541
9,"57. la Trinitat Vella",619,4.028
9,"58. Baró de Viver",66,1.124
9,"59. el Bon Pastor",1.091,5.496
9,"60. Sant Andreu",3.242,27.702
9,"61. la Sagrera",705,14.111
9,"62. el Congrés i els Indians",695,7.030
9,"63. Navas",699,11.215
10,"64. el Camp de l'Arpa del Clot",1.854,20.973
10,"65. el Clot",801,13.195
10,"66. el Parc i la Llacuna del Poblenou",350,7.186
10,"67. la Vila Olímpica del Poblenou",446,4.422
10,"68. el Poblenou",1.497,16.857
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,6.414
10,"70. el Besòs i el Maresme",918,9.643
10,"71. Provençals del Poblenou",449,9.403
10,"72. Sant Martí de Provençals",472,12.558
10,"73. la Verneda i la Pau",430,13.409
