"Immigrants per nacionalitat espanyola o estrangera",,,,,,
"Any 2016",,,,,,
,"Dte.",,"Barris","TOTAL","Espanyola","Estrangera"
,"BARCELONA",,,85172,33050,52122
,1,,"1. el Raval",4976,1020,3956
,1,,"2. el Barri Gòtic",2198,471,1727
,1,,"3. la Barceloneta",1548,344,1204
,1,,"4. Sant Pere, Santa Caterina i la Ribera",2377,578,1799
,2,,"5. el Fort Pienc",1994,642,1352
,2,,"6. la Sagrada Família",3155,1162,1993
,2,,"7. la Dreta de l'Eixample",2943,1050,1893
,2,,"8. l'Antiga Esquerra de l'Eixample",2911,1022,1889
,2,,"9. la Nova Esquerra de l'Eixample",3486,1371,2115
,2,,"10. Sant Antoni",2146,766,1380
,3,,"11. el Poble Sec - AEI Parc Montjuïc",2729,825,1904
,3,,"12. la Marina del Prat Vermell - AEI Zona Franca",35,25,10
,3,,"13. la Marina de Port",1301,587,714
,3,,"14. la Font de la Guatlla",600,250,350
,3,,"15. Hostafrancs",1023,403,620
,3,,"16. la Bordeta",887,417,470
,3,,"17. Sants - Badal",1366,582,784
,3,,"18. Sants",2322,982,1340
,4,,"19. les Corts",2047,1047,1000
,4,,"20. la Maternitat i Sant Ramon",1210,609,601
,4,,"21. Pedralbes",735,305,430
,5,,"22. Vallvidrera, el Tibidabo i les Planes",150,92,58
,5,,"23. Sarrià",1131,568,563
,5,,"24. les Tres Torres",612,340,272
,5,,"25. Sant Gervasi - la Bonanova",1123,525,598
,5,,"26. Sant Gervasi - Galvany",2269,1087,1182
,5,,"27. el Putxet i el Farró",1271,636,635
,6,,"28. Vallcarca i els Penitents",679,316,363
,6,,"29. el Coll",332,153,179
,6,,"30. la Salut",609,262,347
,6,,"31. la Vila de Gràcia",3055,1210,1845
,6,,"32. el Camp d'en Grassot i Gràcia Nova",1505,680,825
,7,,"33. el Baix Guinardó",1060,506,554
,7,,"34. Can Baró",374,170,204
,7,,"35. el Guinardó",1626,745,881
,7,,"36. la Font d'en Fargues",202,109,93
,7,,"37. el Carmel",1153,482,671
,7,,"38. la Teixonera",536,245,291
,7,,"39. Sant Genís dels Agudells",347,150,197
,7,,"40. Montbau",231,88,143
,7,,"41. la Vall d'Hebron",211,104,107
,7,,"42. la Clota",23,11,12
,7,,"43. Horta",969,423,546
,8,,"44. Vilapicina i la Torre Llobeta",956,417,539
,8,,"45. Porta",1166,475,691
,8,,"46. el Turó de la Peira",717,267,450
,8,,"47. Can Peguera",68,49,19
,8,,"48. la Guineueta",464,246,218
,8,,"49. Canyelles",129,89,40
,8,,"50. les Roquetes",852,292,560
,8,,"51. Verdun",576,209,367
,8,,"52. la Prosperitat",1099,410,689
,8,,"53. la Trinitat Nova",345,144,201
,8,,"54. Torre Baró",125,54,71
,8,,"55. Ciutat Meridiana",626,186,440
,8,,"56. Vallbona",65,42,23
,9,,"57. la Trinitat Vella",545,182,363
,9,,"58. Baró de Viver",84,46,38
,9,,"59. el Bon Pastor",484,226,258
,9,,"60. Sant Andreu",1750,930,820
,9,,"61. la Sagrera",1179,532,647
,9,,"62. el Congrés i els Indians",550,222,328
,9,,"63. Navas",913,370,543
,10,,"64. el Camp de l'Arpa del Clot",1894,789,1105
,10,,"65. el Clot",1159,475,684
,10,,"66. el Parc i la Llacuna del Poblenou",856,274,582
,10,,"67. la Vila Olímpica del Poblenou",391,164,227
,10,,"68. el Poblenou",1620,640,980
,10,,"69. Diagonal Mar i el Front Marítim del Poblenou",669,240,429
,10,,"70. el Besòs i el Maresme",1575,446,1129
,10,,"71. Provençals del Poblenou",805,353,452
,10,,"72. Sant Martí de Provençals",1037,443,594
,10,,"73. la Verneda i la Pau",1007,471,536
,,,"No consta",9,7,2
