"Dte.","Barris","TOTAL","Espanyola","Estrangera"
"BARCELONA",,580399,547170,33229
1,"1. el Raval",6524,5112,1412
1,"2. el Barri Gòtic",6275,5773,502
1,"3. la Barceloneta",3737,3254,483
1,"4. Sant Pere, Santa Caterina i la Ribera",4558,3809,749
2,"5. el Fort Pienc",11005,10266,739
2,"6. la Sagrada Família",16079,15182,897
2,"7. la Dreta de l'Eixample",20318,19250,1068
2,"8. l'Antiga Esquerra de l'Eixample",15806,14927,879
2,"9. la Nova Esquerra de l'Eixample",22011,20846,1165
2,"10. Sant Antoni",11774,11104,670
3,"11. el Poble Sec - AEI Parc Montjuïc",9701,8591,1110
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",4016,3971,45
3,"13. la Marina de Port",11130,10535,595
3,"14. la Font de la Guatlla",5361,5127,234
3,"15. Hostafrancs",4904,4535,369
3,"16. la Bordeta",11512,11189,323
3,"17. Sants - Badal",7781,7356,425
3,"18. Sants",12597,11771,826
4,"19. les Corts",22335,21613,722
4,"20. la Maternitat i Sant Ramon",10101,9666,435
4,"21. Pedralbes",9915,9345,570
5,"22. Vallvidrera, el Tibidabo i les Planes",2014,1823,191
5,"23. Sarrià",10946,10241,705
5,"24. les Tres Torres",10243,9886,357
5,"25. Sant Gervasi - la Bonanova",11931,11438,493
5,"26. Sant Gervasi - Galvany",26226,25159,1067
5,"27. el Putxet i el Farró",11861,11270,591
6,"28. Vallcarca i els Penitents",5942,5611,331
6,"29. el Coll",2313,2177,136
6,"30. la Salut",4965,4750,215
6,"31. la Vila de Gràcia",13900,12977,923
6,"32. el Camp d'en Grassot i Gràcia Nova",11604,11074,530
7,"33. el Baix Guinardó",8347,7935,412
7,"34. Can Baró",3048,2902,146
7,"35. el Guinardó",11985,11379,606
7,"36. la Font d'en Fargues",4043,3932,111
7,"37. el Carmel",9752,9231,521
7,"38. la Teixonera",3915,3662,253
7,"39. Sant Genís dels Agudells",2943,2800,143
7,"40. Montbau",1766,1686,80
7,"41. la Vall d'Hebron",2208,2134,74
7,"42. la Clota",168,159,9
7,"43. Horta",9221,8939,282
8,"44. Vilapicina i la Torre Llobeta",8285,7919,366
8,"45. Porta",7897,7505,392
8,"46. el Turó de la Peira",3732,3450,282
8,"47. Can Peguera",654,639,15
8,"48. la Guineueta",5309,5160,149
8,"49. Canyelles",2944,2900,44
8,"50. les Roquetes",4862,4361,501
8,"51. Verdun",3679,3413,266
8,"52. la Prosperitat",8596,8103,493
8,"53. la Trinitat Nova",1985,1826,159
8,"54. Torre Baró",883,838,45
8,"55. Ciutat Meridiana",3001,2595,406
8,"56. Vallbona",441,410,31
9,"57. la Trinitat Vella",2917,2451,466
9,"58. Baró de Viver",691,662,29
9,"59. el Bon Pastor",5408,5175,233
9,"60. Sant Andreu",20143,19523,620
9,"61. la Sagrera",9719,9339,380
9,"62. el Congrés i els Indians",4099,3871,228
9,"63. Navas",7610,7239,371
10,"64. el Camp de l'Arpa del Clot",12182,11522,660
10,"65. el Clot",8827,8355,472
10,"66. el Parc i la Llacuna del Poblenou",6845,6466,379
10,"67. la Vila Olímpica del Poblenou",4038,3681,357
10,"68. el Poblenou",10725,9867,858
10,"69. Diagonal Mar i el Front Marítim del Poblenou",4341,3816,525
10,"70. el Besòs i el Maresme",6472,5711,761
10,"71. Provençals del Poblenou",7361,6861,500
10,"72. Sant Martí de Provençals",9005,8608,397
10,"73. la Verneda i la Pau",10187,9762,425
,"No consta",780,755,25
