Capítol,"Text Capítol",Article,"Text Article",Concepte,"Text Concepte",Subconcepte,"Text Subconcepte",Orgànic,"Text Orgànic",Àrea,"Text Àrea",Política,"Text Política","Grup de programes","Text Grup de programes",Programa,"Text Programa",Subprograma,"Text Subprograma","CRÈDITS EXTRAORD.","SUPLEMENTS CRED.",AMPLIACIONS,"TRANSFERÈNCIES (MAS)","TRANSFERÈNCIES (MENOS)","SALDO MINIS","INCORP. ROMANENTS","GENER. INGRESSOS","BAIXES PER ANUL.","AJUSTOS PRÒRROGA","TOTAL MODIF."
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",100,"RET.BASIQUES I ALTRES ÒRGANS GOVERN",10000,"Retribucions bàsiques òrgans govern",101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9121,"Òrgans de govern",91211,"Representacio política",0,0,0,"45.746,62","55.144,00",0,0,0,0,0,"-9.397,38"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",100,"RET.BASIQUES I ALTRES ÒRGANS GOVERN",10012,"Paga extra 2012 Membres corporacio",101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9121,"Òrgans de govern",91211,"Representacio política",0,0,0,"49.469,50",0,0,0,0,0,0,"49.469,50"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",100,"RET.BASIQUES I ALTRES ÒRGANS GOVERN",10012,"Paga extra 2012 Membres corporacio",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",929,"Imprevistos i funcions no classificades",9292,"Dotació per imprevistos",92921,"Dotació per imprevistos",0,0,0,"19.476,45",0,0,0,0,0,0,"19.476,45"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIRECTIU",10100,"Retribucions bàsiques personal directiu",101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9121,"Òrgans de govern",91211,"Representacio política",0,0,0,0,"388.809,81",0,0,0,0,0,"-388.809,81"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIRECTIU",10100,"Retribucions bàsiques personal directiu",101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9121,"Òrgans de govern",91212,"Direcció tècnica de premsa",0,0,0,0,"48.759,40",0,0,0,0,0,"-48.759,40"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIRECTIU",10100,"Retribucions bàsiques personal directiu",101,"0101 G. Recursos",9,"Actuacions de caràcter general",91,"Òrgans de govern",912,"Òrgans de govern",9122,"Relacions institucionals",91223,"Relacions internacionals",0,0,0,"29.472,11",0,0,0,0,0,0,"29.472,11"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIRECTIU",10100,"Retribucions bàsiques personal directiu",101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9201,"Direcció i administració generals",92011,"Administració general",0,0,0,"85.732,12",0,0,0,0,0,0,"85.732,12"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIRECTIU",10100,"Retribucions bàsiques personal directiu",101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9201,"Direcció i administració generals",92014,"Serveis jurídics",0,0,0,"1.624,30","17.453,05",0,0,0,0,0,"-15.828,75"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIRECTIU",10100,"Retribucions bàsiques personal directiu",101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9201,"Direcció i administració generals",92015,"Coordinació territorial",0,0,0,"70.756,78","42.865,31",0,0,0,0,0,"27.891,47"
1,"DESPESES DE PERSONAL",10,"ÒRGANS DE GOVERN I PERSONAL DIRECTIU",101,"RET. BASIQUES I ALTRES REM. PERSONAL DIRECTIU",10100,"Retribucions bàsiques personal directiu",101,"0101 G. Recursos",9,"Actuacions de caràcter general",92,"Serveis de caràcter general",920,"Administració general",9201,"Direcció i administració generals",92016,"Direcció administrativa gabinet d'alcald",0,0,0,0,"52.259,06",0,0,0,0,0,"-52.259,06"
