



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
9204;"Cementerio Británico (British Cemetery)";"";"Abierto al público los martes, jueves y sábados (excepto días festivos) de 10:30 a 13 horas.  (Consultar previamente por teléfono 917 146 422)";"";"Metro: Urgel  Bus: 34, 35, 118, 119";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a0307a7e0a61c010VgnVCM1000000b205a0aRCRD";"COMANDANTE FONTANES";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28019";"SAN ISIDRO";"CARABANCHEL";"438782";"4472082";"40.395212860537896";"-3.722633997992097";"917 146 422 (Consulado Británico - Sección consular), Horario: de lunes a viernes de 8 a 16 horas            
";"";"BritishCemeteryMadrid@fco.gov.uk";"/contenido/entidadesYorganismos/Cementerios"; 
9189;"Cementerio Civil";"";"Invierno: todos los días de 8 a 18:30 horas.  Verano: todos los días de 8 a 19:30 horas.";"Sin oficinas propias. Tramitaciones en Cementerio de la Almudena";"Metro: La Elipa (línea 2)  Bus: 15, 28, 106, 110, 113, 210";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5e91f2d8c559f010VgnVCM1000000b205a0aRCRD";"DAROCA";"AVENIDA";"V";"90";"";"";"";"";"MADRID";"MADRID";"28017";"VENTAS";"CIUDAD LINEAL";"445126";"4475619";"40.42751913746381";"-3.6482030278949904";"915 108 464 (Cementerio Almudena)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
9205;"Cementerio Cristo de El Pardo";"";"Martes, jueves, sábado y domingo, de 10 a 17 horas";"Sin oficinas propias. Tramitaciones en Cementerio de la Almudena";"Bus: 601 (Hasta El Pardo: Línea Interurbana de Autobuses)";"Iglesia del Santo Cristo de El Pardo";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4d707a7e0a61c010VgnVCM1000000b205a0aRCRD";"CRISTO DE EL PARDO";"CARRETERA";"V";"11";"";"";"";"";"MADRID";"MADRID";"28048";"EL PARDO";"FUENCARRAL-EL PARDO";"433307";"4485916";"40.519411567887154";"-3.7886095756711633";"915 108 464 (Cementerio Almudena)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
9193;"Cementerio de Aravaca";"";"Jueves a domingo, de 10 a 17 horas.";"Sin oficinas propias. Tramitaciones en Cementerio de la Almudena";"Bus: 161, 162";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=99c1f2d8c559f010VgnVCM1000000b205a0aRCRD";"ZARZUELA";"CAMINO";"V";"26";"";"";"";"";"MADRID";"MADRID";"28023";"VALDEMARIN";"MONCLOA-ARAVACA";"433384";"4479958";"40.46574702347528";"-3.7870732983676145";"915 108 464 (Cementerio Almudena)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
9186;"Cementerio de Barajas";"";"Jueves y domingos, de 10 a 17 horas.";"Sin oficinas propias. Tramitaciones en Cementerio de la Almudena";"Metro: Barajas (línea 8)  Bus: 101, 105, 115, 151, 201";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9102f2d8c559f010VgnVCM1000000b205a0aRCRD";"CEMENTERIO NUEVO";"CARRETERA";"V";"60";"";"";"";"";"MADRID";"MADRID";"28042";"AEROPUERTO";"BARAJAS";"450364";"4481628";"40.481990715777975";"-3.58691492041717";"915 108 464 (Cementerio Almudena)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
9188;"Cementerio de Canillas";"";"Abierto todos los días del año de 10 a 17 horas.";"Sin oficinas propias. Tramitaciones en Cementerio de la Almudena";"Metro: Esperanza (línea 4)   Bus: 120, 122";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8252f2d8c559f010VgnVCM1000000b205a0aRCRD";"SILVANO";"CALLE";"V";"69";"";"";"";"";"MADRID";"MADRID";"28043";"CANILLAS";"HORTALEZA";"445772";"4479352";"40.46119048092996";"-3.6409071636750134";"915 108 464 (Cementerio Almudena)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
9187;"Cementerio de Canillejas";"";"Jueves y domingo, de 10 a 17 horas.";"Sin oficinas propias. Tramitaciones en Cementerio de la Almudena";"Bus: 28, 48, 77, 105, 140, 153";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6a22f2d8c559f010VgnVCM1000000b205a0aRCRD";"NECTAR";"CALLE";"V";"34";"";"";"";"";"MADRID";"MADRID";"28022";"CANILLEJAS";"SAN BLAS-CANILLEJAS";"448352";"4477336";"40.443193889855884";"-3.6103138628823834";"915 108 464 (Cementerio Almudena)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
9190;"Cementerio de Carabanchel Alto";"";"Invierno: todos los días de 8 a 18:30 horas.  Verano: todos los días de 8 a 19:30 horas";"El Cementerio Hebreo se aloja en el espacio compartido con el Cementerio Sur.";"Metro: Carabanchel Alto (línea 11)  Bus: 108, 118, 155";"Sin oficinas propias. Tramitaciones en Cementerio Sur";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6f417a7e0a61c010VgnVCM1000000b205a0aRCRD";"VIA LUSITANA";"CALLE";"V";"55";"";"";"";"";"MADRID";"MADRID";"28054";"BUENAVISTA";"CARABANCHEL";"437261";"4469000";"40.36733534193104";"-3.740262790092704";"915 108 506 (Cementerio Sur)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
9195;"Cementerio de El Pardo";"";"Todos los días del año de 10 a 17 horas.";"Sin oficinas propias. Tramitaciones en Cementerio de la Almudena";"Bus: 601 (Hasta El Pardo, Empresa de autobuses Alacuber)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9867b47a0559f010VgnVCM2000000c205a0aRCRD";"EL PARDO A COLMENAR VIEJO";"CARRETERA";"V";"13";"";"";"";"";"MADRID";"MADRID";"28048";"EL PARDO";"FUENCARRAL-EL PARDO";"433584";"4487843";"40.53679250322743";"-3.7855425467019455";"915 108 464 (Cementerio Almudena)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
9185;"Cementerio de Fuencarral";"";"Todos los días del año de 10 a 17 horas.";"Sin oficinas propias. Tramitaciones en el Cementerio de la Almudena";"Metro: Montecarmelo (línea 10)  Bus: 134, 178";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bf87b47a0559f010VgnVCM2000000c205a0aRCRD";"MONTECARMELO";"AVENIDA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28049";"EL GOLOSO";"FUENCARRAL-EL PARDO";"440756";"4484407";"40.50638464823704";"-3.700539259907993";"915 108 464 (Cementerio la Almudena)";"";"";"/contenido/entidadesYorganismos/Cementerios"; 
