



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
58125;"Centro de Día Casa de las Flores";"";"";"Centro de día para personas mayores";"Metro: L4, L6 (Arg&uuml;elles)  Bus: 1, 21, 44, 133, 82, 132, C1, C2";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9e688ed67151c010VgnVCM2000000c205a0aRCRD";"RODRIGUEZ SAN PEDRO";"CALLE";"V";"72";"";"";"";"";"MADRID";"MADRID";"28015";"GAZTAMBIDE";"CHAMBERI";"439321";"4476163";"40.43202480081298";"-3.7166851018012044";"915 442 626";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
61278;"Centro de Día Concertado 'Casablanca'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"Bus: 160, 162, 651, 652, 653, 654, 655  Renfe: Majadahonda / El Barrial";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0c198ed67151c010VgnVCM2000000c205a0aRCRD";"VICTORIA";"AVENIDA";"V";"74";"";"";"";"";"MADRID";"MADRID";"28023";"EL PLANTIO";"MONCLOA-ARAVACA";"430058";"4480599";"40.47124744928332";"-3.826372463894";"913 728 102";"";"info@grupocasablanca.com";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
77408;"Centro de Día Concertado 'Centro Madrid'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"BUS: 25, 36, 39, 121, 131";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=54e88ed67151c010VgnVCM2000000c205a0aRCRD";"SESEÑA";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28024";"ALUCHE";"LATINA";"435454";"4472494";"40.398672531809765";"-3.7618992126482502";"917 114 168";"";"cgdmadrid@yahoo.es";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
11776;"Centro de Día Concertado 'Centro Médico Psicogeriátrico'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"Metro: Manuel Becerra   Bus: 12, 21, 38, 43, 53, 71, 106, 110, 146";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5186d4985261c010VgnVCM1000000b205a0aRCRD";"DOCTOR GOMEZ ULLA";"CALLE";"NUM";"22";"";"";"";"";"MADRID";"MADRID";"28028";"GUINDALERA";"SALAMANCA";"443524";"4475992";"40.43077195810396";"-3.667109125113171";"913 555 295";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
5420440;"Centro de Día Concertado 'Doctor Espina'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"Metro: Oporto  Bus: 34, 37, 108, 118";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c7c8004786cc3210VgnVCM1000000b205a0aRCRD";"DOCTOR ESPINA";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28019";"OPAÑEL";"CARABANCHEL";"438330";"4471471";"40.38965704522436";"-3.72793552048858";"914 724 539    
";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
60986;"Centro de Día Concertado 'Edad Dorada'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"Metro: Latina   Bus: 17, 18, 23, 35, 60";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=79488ed67151c010VgnVCM2000000c205a0aRCRD";"GENERAL VARA DE REY";"PLAZA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28005";"EMBAJADORES";"CENTRO";"439980";"4473636";"40.40929932684141";"-3.7086772240833703";"91 366 28 94";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
165570;"Centro de Día Concertado 'El Bosque'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"Metro: O'Donnell  Bus: 2, 30, 56, 71, 143";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f59f8f90a581c010VgnVCM1000000b205a0aRCRD";"LOS PEÑASCALES";"CALLE";"V";"14";"";"";"";"";"MADRID";"MADRID";"28028";"FUENTE DEL BERRO";"SALAMANCA";"443586";"4475235";"40.423947643400474";"-3.6663226180670008";"915 732 828";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
116392;"Centro de Día Concertado 'Florencia'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"Metro: Pavones   Bus: 30, 32";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ffaa8899fc81c010VgnVCM1000000b205a0aRCRD";"FLORENCIA";"CALLE";"V";"24";"";"";"";"";"MADRID";"MADRID";"28030";"PAVONES";"MORATALAZ";"446882";"4472747";"40.40176060620903";"-3.6272625412717243";"917 727 044";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
57670;"Centro de Día Concertado 'Garbosol'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"Bus: 22, 59, 79, 85, 130 Metro: L3 (Villaverde Alto)";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e6388ed67151c010VgnVCM2000000c205a0aRCRD";"JOSE DEL PINO JIMENEZ";"CALLE";"V";"54";"";"";"";"";"MADRID";"MADRID";"28021";"SAN ANDRES";"VILLAVERDE";"439286";"4466576";"40.345648842216264";"-3.7161821683026086";"917 977 858";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
5438226;"Centro de Día Concertado 'Geriacen'";"";"De 8,15 a 18 horas de Lunes a Viernes.";"- Atención sociosanitaria preventiva y rehabilitadora.  - Apoyo a la familia.  - Aseo y cuidado personal.  - Transporte adaptado.  - Alimentación y nutrición.";"Bus: 13, 124, 135, 726, 779.";"Documentación a aportar:    - Solicitud en impreso específico.  - Informe médico donde se indique el diagnóstico o enfermedad.  - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones.  - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.   Información complementaria:   - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante.  - Valoración y propuesta por parte del trabajador social municipal.  - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6fdd895bab834210VgnVCM1000000b205a0aRCRD";"VIRGEN DE ARANZAZU";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28034";"VALVERDE";"FUENCARRAL-EL PARDO";"441645";"4482042";"40.48514297066639";"-3.689829122091437";"913 340 861";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores"; 
