Catalogación PGOUM97;Número catálogo;Catalogación 31_12_16;BIC_BIP;Denominación;OBSERVACIONES;VIA_CLASE_TX;VIA_NOMBRE;APP_NUM;APP_CLF;UTMX_ETRS;UTMY_ETRS
Ambiental;21104;"Desaparecido por 
Demolición Total";;;;CALLE;RAMIREZ DE PRADO;12;;441766,22;4472286,14
Ambiental;21103;"Desaparecido por 
Demolición Total";;;;CALLE;RAMIREZ DE PRADO;12;;441766,22;4472286,14
Ambiental;20456;"Desaparecido por 
Demolición Total";;;;CALLE;FERROCARRIL;4;B;441059,53;4472499,18
Ambiental;28512;"Desaparecido por 
Demolición Total";;;;PLAZA;CAPUCHINOS;1;;434124,64;4485655,78
Ambiental;30541;"Desaparecido por 
Demolición Total";;;;AVENIDA;REAL;27;;448355,97;4472681,08
Ambiental;28783;"Desaparecido por 
Demolición Total";;;;CALLE;BERENISA;11;;433842,89;4478902,08
Ambiental;28781;"Desaparecido por 
Demolición Total";;;;CALLE;BERENISA;19;;433796,22;4478892,48
Ambiental;28576;"Desaparecido por 
Demolición Total";;;;PLAZA;NUESTRA SEÑORA DEL BUEN CAMINO;2;;433681,91;4478811,64
Ambiental;28555;"Desaparecido por 
Demolición Total";;;;CALLE;EL BOYERO;16;;433803,17;4478848,36
Ambiental;28554;"Desaparecido por 
Demolición Total";;;Boyero, 14 A y 14 B;CALLE;EL BOYERO;14;B;433793,67;4478846,8
Ambiental;28552;"Desaparecido por 
Demolición Total";;;;CALLE;EL BOYERO;10;;433770,14;4478843,21
Ambiental;18431;"Desaparecido por 
Demolición Total";;;;CALLE;CARIDAD;10;;442698,26;4472605,59
Ambiental;28545;"Desaparecido por 
Demolición Total";;;;CALLE;EL BOYERO;13;;433805,35;4478856,87
Ambiental;17963;"Desaparecido por 
Demolición Total";;;;CALLE;GIL DE SANTIVAÑES;6;;441554,39;4474852,89
Ambiental;16619;"Desaparecido por 
Demolición Total";;;;CALLE;DOCTOR CASTELO;3;;442411,17;4474661,06
Ambiental;28269;"Desaparecido por 
Demolición Total";;;;CALLE;DULCINEA;16;;440646,29;4477755,06
Ambiental;28179;"Desaparecido por 
Demolición Total";;;;CALLE;MERCEDES;14;;440539,89;4478418,89
Ambiental;28057;"Desaparecido por 
Demolición Total";;;;CALLE;BRAVO MURILLO;315;;440912,84;4479404,21
Ambiental;28054;"Desaparecido por 
Demolición Total";;;;CALLE;BRAVO MURILLO;289;;440778,67;4479141,95
Ambiental;28007;"Desaparecido por 
Demolición Total";;;;CALLE;JOSE;24;;441010,89;4479877,06
Ambiental;29057;"Desaparecido por 
Demolición Total";;;;CALLE;PILAR DE ZARAGOZA;61;;443024,74;4476354,27
Ambiental;28547;"Desaparecido por 
Demolición Total";;;;CALLE;EL BOYERO;7;;433764,97;4478851,21
Ambiental;01668;"Desaparecido por 
Demolición Total";;;;CALLE;HORTALEZA;24;;440597,98;4474763,34
Ambiental;08298;"Desaparecido por 
Demolición Total";;;;CALLE;MARTIN DE LOS HEROS;73;;439035,6;4475757,33
Ambiental;10803;"Desaparecido por 
Demolición Total";;;;CALLE;LUCIO DEL VALLE;14;;439906,31;4476852,25
Ambiental;04083;"Desaparecido por 
Demolición Total";;;;CALLE;ATOCHA;21;;440352,27;4473953,59
Ambiental;06072;"Desaparecido por 
Demolición Total";;;;CALLE;TOLEDO;74;;439756,59;4473441,2
Ambiental;06069;"Desaparecido por 
Demolición Total";;;;CALLE;TOLEDO;68;;439775,16;4473471,63
Ambiental;06037;"Desaparecido por 
Demolición Total";;;;CALLE;MEDIODIA CHICA;6;;439632,4;4473486,26
Ambiental;08700;"Desaparecido por 
Demolición Total";;;;CALLE;ILUSTRACION;14;;439140,5;4474762,66
Ambiental;08770;"Desaparecido por 
Demolición Total";;;;CALLE;CADARSO;18;;439310,12;4474892,78
Ambiental;09379;"Desaparecido por 
Demolición Total";;;;CALLE;GUZMAN EL BUENO;28;;439510,43;4476086,29
Ambiental;05080;"Desaparecido por 
Demolición Total";;;;CALLE;LAVAPIES;13;;440375,12;4473619,56
Ambiental;04283;"Desaparecido por 
Demolición Total";;;;CALLE;HUERTAS;39;;440753,83;4473893,5
Ambiental;34998;Volumétrico;;;Colonia C. Jardín Alfonso XIII-Municipal;;;;;;
Ambiental;10731;"Desaparecido por 
Demolición Total";;;;CALLE;VIRGEN DE NIEVA;1;;440275,58;4477430,69
Ambiental;04900;"Desaparecido por 
Demolición Total";;;;CALLE;AVE MARIA;6;;440582,62;4473705,19
Ambiental;09504;"Desaparecido por 
Demolición Total";;;;CALLE;GAZTAMBIDE;1;;439277,01;4475822,9
Ambiental;01454;"Desaparecido por 
Demolición Total";;;;CALLE;REGUEROS;13;;440934,48;4475141,49
Ambiental;09505;"Desaparecido por 
Demolición Total";;;;CALLE;PRINCESA;58;;439250,88;4475825,49
Estructural;03802;Parcial;;;;CALLE;CONCEPCION JERONIMA;11;;440179,81;4473934,22
Estructural;32108;Ambiental;;EUIT. AGRÍCOLAS;;AVENIDA;PUERTA DE HIERRO;4;;438102,28;4477064,08
Estructural;32107;Singular;;ETSI AGRÓNOMOS-LAB. MECÁNICA AGRÍCOLA;;AVENIDA;PUERTA DE HIERRO;4;;438102,28;4477064,08
Estructural;32105;Descatalogado;;ETSI AGÓNOMOS-REPROGRAFÍA;;AVENIDA;PUERTA DE HIERRO;4;;438102,28;4477064,08
Estructural;32104;Descatalogado;;ETSI AGÓNOMOS -AULARIO;;AVENIDA;PUERTA DE HIERRO;4;;438102,28;4477064,08
Estructural;03117;Volumétrico;;;;CALLE;PRECIADOS;4;;440254,92;4474338,81
Estructural;28580;Parcial;;;;CALLE;PEREZ DE VICTORIA;11;;433595,29;4478822,2
Estructural;03616;"Desaparecido por 
Demolición Total";;;;PLAZA;PUERTA CERRADA;4;;439893,97;4473916,56
Estructural;16063;"Desaparecido por 
Demolición Total";;;;CALLE;ALCALA;103;;442041,82;4474778,47
Estructural;29108;"Desaparecido por 
Demolición Total";;;;CALLE;CASTELAR;13;;443479,94;4475770,29
Estructural;26677;Parcial;;;;CALLE;SANTA TERESA;7;;440994,08;4475241,75
Estructural;28147;"Desaparecido por 
Demolición Total";;;;CALLE;AVILA;31;;440640,99;4478239,8
Estructural;03331;Descatalogado;BIP;TEATRO ALBÉNIZ;;CALLE;PAZ;11;;440263,37;4474095,68
Estructural;26640;Parcial;;;;CALLE;GENERAL CASTAÑOS;15;;441157,54;4475307,21
Estructural;22018;Descatalogado;;;;CALLE;ORFILA;7;;441241,88;4475428,01
Estructural;22041;"Desaparecido por 
Demolición Total";;;;CALLE;PIRINEOS;25;;439203,14;4478612,64
Estructural;25069;Volumétrico;;;;CALLE;PINAR;16;;441691,17;4476646,4
Estructural;01571;"Desaparecido por 
Demolición Total";;;;CALLE;MUÑOZ TORRERO;4;;440409,39;4474727,29
Estructural;01629;"Desaparecido por 
Demolición Total";;;;CALLE;PEREZ GALDOS;4;;440577;4474881,55
Estructural;26507;"Desaparecido por 
Demolición Total";;;;PLAZA;SANTA BARBARA;3;;440919,19;4475422,06
Estructural;26578;Integral;;;;CALLE;APODACA;7;;440567,61;4475428,93
Estructural;26613;Singular;;;;CALLE;ZURBANO;14;;441162,74;4475495,6
Estructural;26706;Parcial;;;;PLAZA;SANTA BARBARA;10;;440929,91;4475324,37
Estructural;18533;"Desaparecido por 
Demolición Total";;;;CALLE;JUAN DE URBIETA;11;;442493,21;4472868,41
Estructural;32109;Descatalogado;;EUIT. AGRÍCOLAS-BODEGA INDUSTRÍAS AGRÍCOLAS;;AVENIDA;PUERTA DE HIERRO;4;;438102,28;4477064,08
Estructural;01884;"Desaparecido por 
Demolición Total";;;;CALLE;SAN MARCOS;32;;440798,96;4474744,53
Estructural;26646;Parcial;;;;CALLE;SANTA TERESA;14;;441017,4;4475199,76
Estructural;02125;Volumétrico;;;;CALLE;GRAN VIA;54;;439991,99;4474769,79
Estructural;03985;"Desaparecido por 
Demolición Total";;;;CALLE;VENTURA DE LA VEGA;1;;440713,87;4474200,38
Estructural;26687;Parcial;;;;CALLE;ORELLANA;11;;441057,01;4475323,94
Estructural;30059;Volumétrico;;;;CALLE;ACANTO;13;;442638,3;4472080,73
Estructural;26735;Parcial;;;;CALLE;LOPE DE RUEDA;21;;442536,09;4474804,35
Estructural;02501;Volumétrico;;;;CALLE;LEGANITOS;39;;439703,5;4474894,34
Estructural;03086;Volumétrico;BIC-Monumento;CONJUNTO EDIFICIOS DE LA PUERTA DEL SOL;;PLAZA;PUERTA DEL SOL;10;;440248,15;4474282,94
Estructural;26619;Parcial;;;;CALLE;GENERAL CASTAÑOS;3;;441118,33;4475159,21
Estructural;08607;Parcial;;;;CALLE;VENTURA RODRIGUEZ;18;;439410,27;4475148,2
Estructural;07315;Parcial;;;;PLAZA;ESPAÑA;19;;439672,69;4475063,34
Estructural;12440;Integral;;;;CALLE;ALMAGRO;1;;441011,14;4475513,01
Estructural;26703;Parcial;;;;CALLE;ORELLANA;4;;440983,14;4475353,17
Estructural;06156;Volumétrico;;;;CALLE;CALATRAVA;4;;439707,33;4473423,88
Estructural;07414;"Desaparecido por 
Demolición Total";;;;CALLE;EMBAJADORES;40;;440164,47;4473361,37
Estructural;07476;Integral;;;;CALLE;RELATORES;20;;440321,41;4473812,46
Estructural;14728;"Desaparecido por 
Demolición Total";;;;CALLE;DON RAMON DE LA CRUZ;58;;442602,06;4475557,78
Estructural;30610;"Desaparecido por 
Demolición Total";;;;CALLE;MONSEÑOR OSCAR ROMERO;23;;436895,23;4470338,89
Estructural;30060;Volumétrico;;;;CALLE;ACANTO;11;C;442618,57;4472118,67
Estructural;12499;Parcial;;;;PASEO;CASTELLANA;19;;441471,73;4475583,73
Estructural;07238;"Desaparecido por 
Demolición Total";;;;COSTANILLA;SAN VICENTE;5;;440131,15;4475308,6
Estructural;07477;Parcial;;;;CALLE;DUQUE DE MEDINACELI;6;;440957,41;4474049,08
Estructural;30063;Volumétrico;;;;CALLE;ACANTO;11;A;442576,33;4472179,63
Estructural;07493;Descatalogado;;;;CALLE;ARGUMOSA;43;;440964,08;4473205,96
Estructural;30904;Volumétrico;;INSTALACIONES MILITARES CAMPAMENTO: CUARTEL ALFOSNSO XIII-EDIFICIO IZQUIERDA;;PASEO;EXTREMADURA;384;;433950,08;4471228,25
Estructural;30062;Volumétrico;;;;CALLE;ACANTO;11;B;442598,33;4472143,12
Estructural;30904;Volumétrico;;INSTALACIONES MILITARES CAMPAMENTO: CUARTEL ALFONSO XIII-EDIFICIO IZQUIERDA;;PASEO;EXTREMADURA;384;;433950,08;4471228,25
Integral;26737;Estructural;;;;CALLE;DOCTOR CASTELO;49;;443059,16;4474613,88
Integral;30912;Estructural;;PABELLONES ESTACIÓN MILITAR;;AVENIDA;LAS AGUILAS;16;D;434107,73;4470564,53
Integral;32055;Volumétrico;;FACULTAD CE. ESTADÍSTICA-EDIF. PRINCIPAL;;AVENIDA;PUERTA DE HIERRO;1;C;437681,41;4477614,49
Integral;17669;Estructural;;;;CALLE;MONTALBAN;6;;441404,84;4474370,98
Integral;25878;Volumétrico;;EDIFICIO ANEXO;;PASEO;RECOLETOS;23;;441281,93;4474893,67
Integral;32010;Estructural;;ETSI TELECOMUNICACIONES EDIF. A);;AVENIDA;COMPLUTENSE;28;;438382,35;4478216,74
Integral;26626;Parcial;;;Argensola, 20 y 22;CALLE;ARGENSOLA;20;;441088,96;4475242,68
Integral;16031;Descatalogado;BIP;INMUEBLE PALACETE C/ VILLANUEVA, 18;;CALLE;VILLANUEVA;18;;441669,71;4474869,68
Integral;32138;Estructural;;CMU. SAN AGUSTÍN- RECEPCIÓN;;TRAVESIA;ANTONIO NEBRIJA;4;;438288,86;4476484,9
Integral;32139;Estructural;;CMU. SAN AGUSTÍN-DORMITORIOS;;TRAVESIA;ANTONIO NEBRIJA;4;;438288,86;4476484,9
Integral;32011;Estructural;;ETSI TELECOMUNICACIONES (EDIF. B);;AVENIDA;COMPLUTENSE;28;;438382,35;4478216,74
Integral;00577;"Desaparecido por 
Demolición Total";;;;CALLE;MARQUES DE SANTA ANA;8;;440192,01;4475087,09
Integral;32012;Descatalogado;;ETSI TELECOMUNICACIONES (EDIF. C);;AVENIDA;COMPLUTENSE;28;;438382,35;4478216,74
Integral;00907;Estructural;;;;CALLE;SAN BERNARDO;48;;439998,37;4475157,11
Integral;25810;Parcial;;;;CALLE;MARQUES DE CUBAS;21;;440986,52;4474223,66
Integral;15819;Estructural;;;;CALLE;GOYA;63;;442268,78;4475171,81
Integral;32077;Estructural;;CMU. SAN JUAN EVANGELISTA;;AVENIDA;GREGORIO DEL AMO;4;;438956,18;4477565,07
No catalogado;34988;Volumétrico;;;Colonia Bellas Vistas;;;;;;
No catalogado;32186;Parcial;;INSTITUTO CIENCIAS AMBIENTALES;;CALLE;MANUEL BARTOLOME COSSIO;8;;438896,69;4477122,11
No Catalogado;22331;Volumétrico;;;;PASEO;CASTELLANA;99;;441323,63;4478261,29
No Catalogado;22470;Ambiental;;;"Potosi, 8 y 10; Bolivia, 5 y 7, Cochabamba, 21 y 23";CALLE;POTOSI;8;;442450,92;4478684,34
No catalogado;25786;Estructural;BIC-Monumento;EDIFICACION DEL JARDÍN BOTÁNICO: INVERNADERO GRAELLS;;PLAZA;MURILLO;2;;441285,88;4473759,81
No Catalogado;22486;Estructural;;;;CALLE;MENENDEZ PIDAL;3;C;442112,89;4478980,45
No Catalogado;22487;Integral;;;;CALLE;MENENDEZ PIDAL;5;;442132,23;4479040,06
No Catalogado;22490;Ambiental;;INSTALACIONES MILITARES CAMPAMENTO: PICADERO CUBIERTO;;PASEO;EXTREMADURA;447;A;433794,14;4471026,34
No Catalogado;25118;Parcial;;;;CALLE;JORGE MANRIQUE;12;;441579,08;4477200,76
No Catalogado;30652;Parcial;;;;CALLE;VIEJA DE PINTO;17;;439816,55;4466550,88
No Catalogado;22485;Estructural;;;;CALLE;MENENDEZ PIDAL;3;B;442109,37;4478969,9
No Catalogado;30653;Estructural;;;;CALLE;OXIGENO;4;;439971,35;4466516,52
No Catalogado;30651;Ambiental;;;;PLAZA;MAYOR DE VILLAVERDE;4;;439929,88;4466551,94
No Catalogado;30650;Ambiental;;;;AVENIDA;REAL DE PINTO;18;;440005,67;4466535,98
Parcial;04894;"Desaparecido por 
Demolición Total";;;;CALLE;CABEZA;36;;440505,81;4473711,93
Parcial;14980;Ambiental;;;;CALLE;GENERAL DIAZ PORLIER;83;;442604,02;4476006,11
Parcial;06146;Ambiental;;;;CALLE;AGUILA;17;;439537,58;4473421,02
Parcial;14982;Ambiental;;;;CALLE;JUAN BRAVO;43;;442585,22;4475999,56
Parcial;01244;"Desaparecido por 
Demolición Total";;;;CALLE;SANTA BARBARA;1;;440544,64;4475079,36
Parcial;15175;"Desaparecido por 
Demolición Total";;;;CALLE;JOSE ORTEGA Y GASSET;73;;442910,53;4475694,45
Parcial;04386;Estructural;;;;CALLE;AMOR DE DIOS;17;;440740,26;4473770,98
Parcial;04585;Ambiental;;;;CALLE;ALMADEN;21;;441149,8;4473602,63
Parcial;05891;Integral;;;;CALLE;LUCIENTE;4;;439685,14;4473558,34
Parcial;03809;"Desaparecido por 
Demolición Total";;;;CALLE;CONDE DE ROMANONES;14;;440175,72;4473819,88
Parcial;04678;"Desaparecido por 
Demolición Total";;;;CALLE;MARQUES DE TOCA;10;;440924,33;4473496,09
Parcial;20386;Ambiental;;;;CALLE;PALOS DE LA FRONTERA;31;;441085,6;4472743,01
Parcial;10249;Ambiental;;;;CALLE;PABLO ARANDA;6;;441897,64;4477029,6
Parcial;04904;"Desaparecido por 
Demolición Total";;;;CALLE;OLMO;21;;440551,19;4473676,38
Parcial;10871;Descatalogado;;;;CALLE;BOIX Y MORER;20;;440103,9;4476957,39
Parcial;01168;"Desaparecido por 
Demolición Total";;;;CALLE;BALLESTA;20;;440332,72;4474828,99
Parcial;05035;"Desaparecido por 
Demolición Total";;;;CALLE;AMPARO;21;;440301,08;4473549,18
Parcial;10870;Descatalogado;;;;CALLE;BOIX Y MORER;18;;440103,07;4476949,42
Parcial;15775;"Desaparecido por 
Demolición Total";;;;CALLE;LAGASCA;46;;441873,27;4475240,97
Parcial;05452;"Desaparecido por 
Demolición Total";;;;CALLE;SOMBRERETE;3;;440449,05;4473360,01
Parcial;05527;"Desaparecido por 
Demolición Total";;;;CALLE;ESPINO;4;;440470,41;4473195,81
Parcial;08662;"Desaparecido por 
Demolición Total";;;;CALLE;MARTIN DE LOS HEROS;8;;439492,13;4475090,32
Parcial;03845;"Desaparecido por 
Demolición Total";;;;CALLE;CRUZ;20;;440422,75;4474087,81
Parcial;02262;"Desaparecido por 
Demolición Total";;;;CALLE;INFANTAS;22;;440643,08;4474684,15
Parcial;17292;"Desaparecido por 
Demolición Total";;;;CALLE;JORGE JUAN;94;;442845,59;4474947,51
Parcial;13899;"Desaparecido por 
Demolición Total";;;;PASEO;CASTELLANA;62;;441524,46;4476488,44
Parcial;17206;"Desaparecido por 
Demolición Total";;;;CALLE;GOYA;80;;442793,17;4475100,66
Parcial;19373;"Desaparecido por 
Demolición Total";;;;CALLE;MANZANARES;7;;439009,79;4473828,36
Parcial;13406;"Desaparecido por 
Demolición Total";;;;CALLE;PONZANO;44;;440709,9;4476838,22
Parcial;19509;"Desaparecido por 
Demolición Total";;;;PASEO;IMPERIAL;11;;439121,76;4473415,25
Parcial;20393;Ambiental;;;;CALLE;PALOS DE LA FRONTERA;33;;441096,37;4472741,99
Parcial;19533;Ambiental;;;;RONDA;SEGOVIA;50;;439475,44;4473183,31
Parcial;18430;"Desaparecido por 
Demolición Total";;;;CALLE;CARIDAD;8;;442689,82;4472592,59
Parcial;12578;Ambiental;;;;CALLE;GENOVA;27;;441290,64;4475272,84
Parcial;01808;"Desaparecido por 
Demolición Total";;;;CALLE;BARBIERI;21;;440789,9;4474802,55
Parcial;01807;"Desaparecido por 
Demolición Total";;;;CALLE;BARBIERI;23;;440791,7;4474808,48
Parcial;02717;Descatalogado;;;;CALLE;REQUENA;1;;439580,85;4474285,34
Parcial;07403;Ambiental;;;;CALLE;CARLOS ARNICHES;23;;439904,3;4473230,72
Parcial;20385;Ambiental;;;;PASEO;DELICIAS;42;;441121,09;4472748,93
Parcial;03303;"Desaparecido por 
Demolición Total";;;;CALLE;BOLSA;8;;440219,9;4474054,18
Parcial;06320;"Desaparecido por 
Demolición Total";;;;CALLE;EMBAJADORES;18;;440080,56;4473475,74
Parcial;14981;"Desaparecido por 
Demolición Total";;;;CALLE;JUAN BRAVO;45;;442588,89;4475999,21
Parcial;16874;Descatalogado;;;;CALLE;MAIQUEZ;56;;442879,11;4474284,84
Parcial;32032;Estructural;;ETSI MONTES - PAB. MADERAS - 1;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32045;Estructural;;CMU. VASCO QUIROGA (ANTIGUA CAPILLA);;CALLE;LEONARDO PRIETO CASTRO;4;;438894,91;4478087,79
Parcial;32043;Descatalogado;;ETSI MONTES - INVERNADERO - 4;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32042;Descatalogado;;ETSI MONTES - INVERNADERO -3;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32041;Descatalogado;;ETSI MONTES - INVERNADERO - 2;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32039;Descatalogado;;ESTI MONTES - INVERNADERO - 1;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32036;Descatalogado;;ETSI MONTES - PAB. MADERAS - 4;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32035;Descatalogado;;ETSI MONTES - PAB. MADERAS -3;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32000;Ambiental;;INIA;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
Parcial;26689;Estructural;;;;CALLE;ORELLANA;15;;441093,61;4475300,66
Parcial;32052;Descatalogado;;CC. DE LA EDUCACIÓN - PISCINA;;AVENIDA;MORERAS;1;;439059,7;4478141,67
Parcial;22035;Descatalogado;;;;CALLE;VICENTE CABALLERO;3;;443311,74;4474560,76
Parcial;32030;Estructural;;ETSI MONTES- PAB. HIDRÁULICA;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32029;Estructural;;ETSI MONTES - PISCIF ACTORIA;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
Parcial;32009;Ambiental;;FACULTAD FILOSOFÍA B (GEOGRAFÍA E HISTORIA);;CALLE;PROFESOR ARANGUREN;5;;437751,79;4477866,3
Parcial;32004;Descatalogado;;INIA CASA ANTIGUOS GUARDESES;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
Parcial;32003;Descatalogado;;INIA NA VE CONEJO;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
Parcial;32002;Descatalogado;;INIA NA VES, OVINO, PORCINO Y PIENSOS;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
Parcial;32001;Descatalogado;;INIA NA VE MUFLONES;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
Parcial;32034;Descatalogado;;ETSI MONTES - PAB. MADERAS -2;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
